id,name,shares,comments,content,posted_on,image,post_url,image_content
885214159398195,الجزيرة - العراق,1,6,#تغطية_مباشرة - قصف يتركز على مستشفى الشفاء وإعلان عن وفيات بين مرضى العناية المركزة والرضع، وكتائب القسام تعلن تدمير دبابات جنوب غزةيمكنكم متابعة تطورات #حرب_غزة عبر قناة الجزيرة على واتساب http://aja.me/zktxv2,2023-11-12:23:07,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 8 5 1 2 6 9 _ 1 0 2 0 0 6 5 6 7 9 2 7 5 5 8 2 _ 8 1 8 1 2 6 5 2 2 1 4 0 2 5 6 9 1 0 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = J u s y d M q U w c Y A X _ v 2 1 U 7 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A K Y 0 S s 9 a d Q - y k O j 2 I 6 O L l t F w O m E g G f N D s 2 s I u Q R h l _ J Q & o e = 6 5 5 6 E D 9 5,https://www.facebook.com/AJA.Iraq/videos/885214159398195/?__cft__[0]=AZVnjaiez7h-BlvDlleY0nsuX2_n3VpeUK3G1rzs21yr33aHiW1yRhUMsw0G3YX77vWwiJjHnwUXwjYl4ptXJ-3GGjB6vTTzwvpAFGFe2JoNp9ZgrBLctWbe3C0WQ_HepI61ZSA8TPX_KU405YYtUn7mprUWE3_O0xajYquDyFGUpcdYz1Ed_Wiz4MON1xIL-lGfOpvaLcIfP9PK5tneRP2C&__tn__=%2CO%2CP-R,"و g‏ aw‏ 0 1 8م ل e‏ سا 1 : ¥ 1 قرو ) با ا 3 ,71 3 5 د _لية 1 ل حد لطوو ويح اس هنا VTN‏ 6 مكة ن: الام 4 8 : : :"
366184222586480,الجزيرة - العراق,4,8,#تغطية_مباشرة - الاحتلال يكثف من قصفه على غزة ويقطع خدمات الاتصالات والإنترنتيمكنكم متابعة تطورات #حرب_غزة عبر قناة الجزيرة على واتساب: http://aja.me/zktxv2,2023-10-07:19:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 2 2 3 8 8 5 _ 1 3 2 3 8 5 9 6 6 1 8 2 4 9 7 0 _ 1 5 7 9 7 0 1 3 9 3 5 5 0 2 5 7 7 9 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = F j z 5 g 7 Q h - u w A X _ u 4 Y j e & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B X Y R m W G V I G _ m o X H e M Y 1 - E A y 7 w D b _ _ j j o N r 5 K _ 7 U i p R F Q & o e = 6 5 5 5 B 9 C 0,https://www.facebook.com/AJA.Iraq/videos/366184222586480/?__cft__[0]=AZVq87IJbCu6HeqRJN14tPoPRvBTNy_iBJX61GuUfzdDL69OTDiuDwOf4GQSzSGawRaLrxC3mbD-wPKCM3hEhxECNPSK5WfWujorx8arDTSwe0GQTkDnbrECuw9eyugUqp1Ah7dfuwpo9IYDgi4HhvdbTbCtThNQHjHH9PXcsFxiuib0OTvX4PE_6G3IufcVdlzBLynIxzVjqI9_PGTv7uSs&__tn__=%2CO%2CP-R,%. Mg ا ل الاي د‎ W T g o o B\ S . 1 لال اي ا حر لي ا‎ به 0 الا لا بي الا‎ داج ا اليب ا 7 ا‎ ~ e ١ 0 د ار ان‎ W ا‎ او عور اخ ا فصر .م ما‎ e A LT 72 لا اا‎ 17 B % I LR دا ا للم‎ 3 7 U ا‎ N اللا‎ o e عار‎ 57 5 - RS LA للسجييها الجزيرة ترصد آثار القصف الذي استهدف منزلا في منطقة‎ ١ 0 Vs ا سوا الميناء غرب غزة وراح ضحيته أكثر من 30 شهيدا‎ 3 ١ المتحدة ل685: تؤيد وقفا لإطلاق النار يسمح بالإفراج عن الرهائن‎ padl الصا مندوب إسرائيل لدى‎ ’
pfbid02XkYYvSDhC6KRpUHAsyPQr5L3yXoP55W5vvWgiE2zQTrzaCdjFkgv2jHfgVyTfD2Dl,الجزيرة - العراق,0,1,https://aja.me/0kvjvdلمتابعة التطورات على الساحة الفلسطينية أولًا بأول.. انضموا لقناة الجزيرة - فلسطين عبر واتساب,2023-10-08:14:26,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 8 8 0 0 4 4 _ 7 3 9 9 0 2 0 8 1 5 1 0 2 2 0 _ 5 5 1 4 4 4 7 3 2 1 2 1 5 9 2 7 7 0 5 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c 8 q I o w D C 3 b Q A X 9 9 d z E Y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A V M H - B Q Q G 7 H X M t C G r D F b Y f l F G m v Z f U k 9 x T O z W O m R r I 5 w & o e = 6 5 5 5 D C 7 5,https://www.facebook.com/AJA.Iraq/posts/pfbid02XkYYvSDhC6KRpUHAsyPQr5L3yXoP55W5vvWgiE2zQTrzaCdjFkgv2jHfgVyTfD2Dl?__cft__[0]=AZUgqO5aFxnzCYfA1QZbuz_RqgAhiFEckSon2mn9hOsRL2eT5mL1Kmp0Ex_DxjMWh0ZepDRLnrcQFoyPsEsnexZJCZULCSmHwt3iKdrJxvo5dDwD0BgK3zJnEdaV_Ih-XfIW6wRU_5WGh3ANP4ewkzwxZ47rdIvLvuGYxPiCJzoy8vjoWFgjgoeP_Cj6_QWvJ77_b6Um0w1NKIEeNGLKSnMU&__tn__=%2CO%2CP-R,
858787775740612,الجزيرة - العراق,5,24,#تغطية_مباشرة – قصف إسرائيلي متواصل على مناطق مختلفة في #غزة، والمقاومة تشتبك مع جيش الاحتلال على عدة محاوريمكنكم متابعة تطورات #حرب_غزة عبر قناة الجزيرة على واتساب: http://aja.me/zktxv2,2023-10-08:21:49,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 5 5 0 6 3 6 _ 9 0 0 9 9 7 4 5 8 1 1 2 8 2 9 _ 5 2 4 5 1 0 7 3 0 3 7 5 0 6 5 5 5 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = W I X U j 0 C v k t k A X 9 3 F U D k & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A C M M _ Y j a G p i A C a n e k E L F q Q M F v n z j G D h F 3 x r R 5 J N 1 x X Z w & o e = 6 5 5 5 F 2 A 8,https://www.facebook.com/AJA.Iraq/videos/858787775740612/?__cft__[0]=AZWAGfZPOrI7S83C9rgY39Tj3ySj9cJ-ZI7h0ATl_8yooo0E2e4bn_SFY2me6uY6VnN-ba2loEbJiYQU_4arVLgIEXk-fUysX38HSMWymmW5kLTanr-ehWmZhwx4KHDIGwa-md7o4gp9grPzboEHAtd82J3AOpCzWH2P7PcKBXGDspvvkQLk71zK4Tzw1dgANRiRHMCtYKZzhr8pn29puvDu&__tn__=%2CO%2CP-R,"it | 1] o 1 مباش متشت ل 1 - , | لت‎ | ا و‎ - ¥ 1 وا اد سس‎ : . 08 - 1 [PRIES | —&‘ ) ا و اللي ال نا‎ o ol ron 0 اد ا‎ | 1 o™ N Wy 2 AT امسا‎ SRR e 7 ١١ 0 ا‎ 1 0 0 5 1 Yol 7 اا‎ ال الا‎ B SO الك‎ B R |y Ar بذ‎ B ok A 1 مها 0 دلومو ا الاين‎ ٠ ال اذ اق كوا‎ e للب = عاج المتحدث باسم وزارة الصحة بغزة: 9770 شهيدا منذ‎ بدء الحرب على غزة بينهم 4800 طفل و2550 امرأة‎ . 2 ااااالي: استهداف مواقع للجيش بقذائف هاون وصاروخ مضاد للدروع على الحدود مع لبان . الناه‎"
328622686432287,الجزيرة - العراق,0,48,#تغطية_مباشرة - قوات الاحتلال تقصف مدرسة الفاخورة وتواصل استهداف المستشفيات، وعدد الشهداء يقترب من 9500يمكنكم متابعة التطورات عبر قناة الجزيرة على واتساب: http://aja.me/zktxv2#حرب_غزة,2023-10-15:03:57,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 5 5 8 3 9 9 _ 1 4 2 3 8 4 5 0 5 6 3 2 2 9 5 _ 3 5 1 0 0 6 5 6 8 4 8 6 2 1 0 4 3 0 0 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = S 7 w 2 K 6 5 E R l 8 A X _ z u i 7 3 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A t 2 6 r _ m K C r A e l d Q u R s k 7 k _ 0 x S G o _ 2 j b J W h E d O D K H 6 o - Q & o e = 6 5 5 7 1 3 D 5,https://www.facebook.com/AJA.Iraq/videos/328622686432287/?__cft__[0]=AZUeEOUrgX_AlUyPM80BE1-euRDapdEQJyiUKjm8qwWn_xqXmnMcm6OSqiIzIDHfs4e9N50z9h1ZHOnrgchCQfS4LPfqt3Qcv_P_11av1T5VAq0yCQFCOopkufzYVTOWYvZPmtNQnQsihtGz3akE9phakmghvskboS0z-srmsc2wE2EQ-BzQoxjix8NNONgq1ZT1U4UrlE95XdK2_YYULpcO&__tn__=%2CO%2CP-R,"5 RN ولا ا‎ ١ لدت م ا + وروا‎ o 2 Ny '@ ’ ) اال‎ 0 Sy Pf’ 0"" نيال‎ ٠. يهط الل حورا ا الا ا ا‎ :الل‎ 8 i 38 ا‎ v, ,*G%.‘i; / ل‎ | = 3, i L S (R TR 1) بي‎ S0 B e OO g | e g 8 ا‎ 0 0 7 o~ - ل ليق»‎ y ا‎ شط ا ليت 7 اده‎ احص‎ 7 ١ ا‎ SR, ا ا‎ e ل 0 8 ل ا ا وا إ الا لي ل ا يل اا 4 ولا اذ 0 ييا ند لط له لايد 7 ره عاجل 8 اهرات في العا 5 الأمريك ية i i ""lg‏ | 10 تطالب بوقف الحرب الإسرائيلية على غزة اام انيد إلى غزة = بلينكن: وقف إطلاق نار الآن سيتيح لحماس إعادة التموضع وتكرار ما فعلته"
1209897610392971:1209897610392971,الجزيرة - العراق,0,41,,2023-10-21:20:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 7 9 0 6 2 7 1 _ 7 3 9 0 6 3 8 4 4 9 2 7 3 7 7 _ 6 5 7 3 2 3 8 1 4 0 8 9 4 8 5 5 9 3 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = y 4 D J w 5 X 0 n c Y A X - h d 9 w P & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B T 4 a q Y 7 3 E e 7 2 O _ F _ B U W d j 0 O j q d Y U t V y 7 j j S j W 8 j 0 K E V A & o e = 6 5 5 6 2 A 3 1,https://www.facebook.com/AJA.Iraq/posts/1209897610392971:1209897610392971?__cft__[0]=AZVxvD3vPH_GPQ_EcMFMaQV669WIIxygN62pzw7U69E63QpHy8LWBfYs5y9DQ4UJ9ZhlrLdagu8kgL-ygnS8p_XwSGo-A3dJBnLSPiQQviyECSm4VMfhkHLea1gRODE163KJ54Kpnd0ghpmm2dfwigrPK1SIQdE5I6V5-e5lHDEcqEj6ob4u6eky6sJIXiHvRnwL_vBsHsl8hHPzIZpc2zfM&__tn__=%2CO%2CP-R,8 . بنقلا ١ل v ١‏ R‏ م 3 ا ا اي & 2 اا شاه e‏ زا - o N\ - ’‏ 0 ل ا 1 1 ا i o v ’wza‏ ا ا S et G e‏ ا e‏ ال ل SR m‏ لد اللا
701977935337433,الجزيرة - العراق,0,0,#تغطية_مباشرة - قصف إسرائيلي بالتزامن مع اشتباكات عنيفة مع المقاومة جنوب مدينة #غزة، والقسام تعلن استهداف آليات عسكرية إسرائيلية شمال غرب القطاعيمكنكم متابعة التطورات عبر قناة الجزيرة على واتساب:http://aja.me/zktxv2,2023-10-29:15:14,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 6 7 4 0 4 3 _ 7 2 3 6 2 2 4 7 2 9 7 6 1 4 9 _ 2 5 7 7 6 4 9 4 0 5 3 8 3 6 4 2 0 7 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = f D U d H s R 4 Q 6 M A X 9 E 5 _ w O & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B v N A B k 9 U 9 e a u K a 9 x e 0 u d e P z e C H 7 O Y 9 E y H H v H 8 Q A q R K 6 A & o e = 6 5 5 6 F 9 1 4,https://www.facebook.com/AJA.Iraq/videos/701977935337433/?__cft__[0]=AZUGlAyb8J595zvBYvz5FndIBeG5S3P9O58qVe3XN8gc8IPCNffQa913uWou59MyE8AmvwF199aO-CGDM7NSFlfbbRRJaMaSQq16KBIahfh_nAgMHVMxaMjMGWDqjOKmw17Qn4QPz4Wph3dLsQVNHedSdtdg9pp8thm6qi6c-3o2Ypx6jz-5dtfa2_UM4VdFLeA_L4IfYCPaujziZJgeJUXd&__tn__=%2CO%2CP-R,"0 2 e . د‎ "" Ryt | R BTy ا اق‎ = - - p: : | ) لم‎ il o .’A ا‎ ١ ا لواو ا ل كا الهم‎ . نار‎ | SO | ل ا ا اليه‎ الا ل م‎ 1 KL 0 ا‎ (B ..~,’ ""1 ل‎ ا اا‎ i ساف( دور‎ 7 رد‎ e ا‎ W اا‎ | - - 7 يا بذ لازن 2 را‎ A ) م‎ ا م ا اح الاح لد ل‎ S S b T 0 @ o PRy W e 2 gl زان‎ R SN 8‏ ووه ا دام اانا - & 0 ; | سرانا القدس : نخوخ , اتشاكات ضارة مع قوات الاحتلاا 7 10 0 3 طق أ و أبسل ثب ل 1 ض 8 ممه o o‏ موحد الا ود سحام FgBal‏ الأمسان. اسرائق المكظت Jalo Ly‏ اتن و"
803231288154449,الجزيرة - العراق,4,50,#تغطية_مباشرة – 400 فلسطيني بين شهيد وجريح في قصف على مخيم #جباليا للاجئين شمالي #غزة، وإسرائيل تعترف بمقتل تسعة من جنودها وإثنين من قوات النخبة وتتحدث عن دفع ثمن باهظ لعملياتهالمتابعة تطورات #حرب_غزة عبر قناة #الجزيرة على واتساب: http://aja.me/zktxv2,2023-11-05:15:48,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 5 2 8 5 5 8 _ 3 6 3 8 1 4 7 2 2 7 4 8 0 2 7 _ 5 5 6 6 3 4 8 9 8 6 2 8 5 7 0 5 3 8 5 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = L j L U y q - 6 D H c A X - Z u A b U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D l k s C - n 0 9 0 - R t 3 k z e j S E _ 0 u Q W r - k P X T 4 U T i t l I R X c l p w & o e = 6 5 5 7 2 A 3 0,https://www.facebook.com/AJA.Iraq/videos/803231288154449/?__cft__[0]=AZWsYMpzXiq8QHIV9-DFGqw0qUSu56AQ8YlLUX73ns1qo0lmDFjGYW7XqyH3R1xG4I5a9wu0eFgPATKryyMsQQEarxja__laRRyJcWzHyljtru8f03SH6rCGodj3lml-uYCR_Ud-6rdfhhSX6SRMsYfDUTSMtQLgIZ8WyteMsdxlSeC4KRIsJzXRAJpzVPxh7_zikDsSX-phharITeFshHlP&__tn__=%2CO%2CP-R,e‏ ااا 0 5 ض 7 م 2 26 7 حو + 2 ا : ا لح 0 i 7 9 ] م‎ ان له . ¥ Y‏ : وجريح بقصف على نح بن ليا 0600 نا هديش الإسراكيدي استختم NS‏ توي على الممسقور el‏ انارق AL eS8‏
pfbid02rWViRQtXcHWoFywpZSWyhXEoFAmQysgNpYU2rxH8kzD6hZtsTZFrPHYv4DxiWUYpl,الجزيرة - العراق,0,1,المساعدات الأمريكية.. سيطرة سياسية أداتها المال#الجزيرة_سياق,2023-11-13:01:41,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 2 2 9 3 8 3 2 _ 1 4 9 6 0 9 4 7 0 7 8 0 6 6 9 0 _ 6 4 5 4 4 1 5 8 9 7 0 8 1 7 5 3 2 3 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = G Q E j s 9 u r i d M A X _ I W 0 h i & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B I w e F V K 0 5 K B U H 1 a z X Z P s V v S 6 9 L i U t m F T t P 5 G s l j m b B K A & o e = 6 5 5 6 1 4 6 C,https://www.facebook.com/AJA.Iraq/posts/pfbid02rWViRQtXcHWoFywpZSWyhXEoFAmQysgNpYU2rxH8kzD6hZtsTZFrPHYv4DxiWUYpl?__cft__[0]=AZXSBMuIbhQ40TJ8fKuiX22lU-xhvZu35jHAdvBusLKnsZCHnJ5yDdAYIZgZJj0RatZb1NyFuhPC6h_-1Ku1uHkaU3C7HEW98akGIcj5kqJ7JkNmqXqk3lX_6GNy9SKQy7rnrlYS75pLswRiE0_DWw7YEz-QJPIQm-1HzczDFw5yWtfh_T_lP19lFBLyxb0Ml_Ag6sJ_4Fp3bOq_PlaFVVGF&__tn__=%2CO%2CP-R,. I_I i ‘sﬁl—“‘ i اللا‎ ا‎ الاب‎ T b UL 1 5 | - ; Y szimﬁ;ﬁz‘ == عدات لذ هم‎ » a 1 : £
pfbid029AZxkCXwZHBQLHwtYgo9SQYXxodQGLpigEALVhGDDyW9R54yoDTMYZVCQR2EZ6GBl,الجزيرة - العراق,0,0,الألعاب النارية.. تسلية قاتلة#إنفوغراف,2023-11-13:01:41,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 4 7 8 5 7 3 5 _ 7 1 8 2 1 5 7 8 7 0 1 2 1 8 3 _ 6 2 2 9 6 4 6 5 7 9 2 1 0 4 3 7 1 0 4 _ n . j p g ? s t p = d s t - j p g _ p 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = P t y B O a M x A m E A X 9 c T E 7 q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C - l K t c y 6 f m E p E Y F s y 2 8 D s 4 R g e o L E c p j p L y X L b A m _ W d E A & o e = 6 5 5 6 9 E A 9,https://www.facebook.com/AJA.Iraq/posts/pfbid029AZxkCXwZHBQLHwtYgo9SQYXxodQGLpigEALVhGDDyW9R54yoDTMYZVCQR2EZ6GBl?__cft__[0]=AZWpaURWLkUMMnDOOpt2nVLsu2TkoLRWyqiONvoXCG-QlAv_GVVnzjA1GqN8GDrwqN6fo4BYbyL4hY0C1eBSTmYl9EGh2SILNjFDxbldzvw_JvmN65tOgDtmH1nl0QKNGaxRFuPo0D2a3IyckdnTjz63dRbux7tGdH56USqN3M4Ypr5Cg67DHDF3e-XBogZn8E3VgYKQWxfYXFsnJ6CUh63S&__tn__=%2CO%2CP-R,| C'Iulg_Sj)_:_lI ] الالعقاب النارية‎ o]l
