id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid025dUMqb9C5YR5t1KQDnMJHozJYr8YnGjwgde9rRpj24YZcG6yND3c9sjB5hCve2hbl,العربية مصر - Al Arabiya Egypt,5,30,"""لا غذاء ولا وقود وتحاصره الدبابات"".. مستشفى الشفاء في غزة عمره أكبر من دولة إسرائيل بعامين وكان ثكنة عسكرية بريطانية.#العربية_مصر",2023-11-13:01:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 4 6 1 5 5 7 _ 2 0 3 1 5 8 4 1 2 3 8 9 2 2 8 3 _ 7 5 3 1 0 4 7 7 5 3 0 1 7 1 1 4 2 2 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = y H j k W 0 R y b A s A X 8 N q m q i & _ n c _ o c = A Q l i x C 0 G U N F u d d I 0 U o J Y X N 5 Y 3 r b p k 9 P P w 9 8 p J U P b P z R C z 6 e E U L K V b h _ p n M 7 L B B 6 W p q I & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A p B A 1 c J 4 c K P L r 1 Y B 6 e F r l Z M N C z n T M p C p o T z 4 x D y k u L - A & o e = 6 5 5 6 F B A 5,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid025dUMqb9C5YR5t1KQDnMJHozJYr8YnGjwgde9rRpj24YZcG6yND3c9sjB5hCve2hbl?__cft__[0]=AZVO0EMHmYcUR7ZnRyBBYuHx8K74aavYiS6fsGy_FBF3ho9_r9stbolHlrtWoAN6EcCz-Ky0ygkvZK0lJ6NDpE4VnqAIQrJ7Zd78Nk3pabGiDHr2K1SXvpGNhJRbO9I7x2zxt1Znpmj0m2eIB9awmmJ8SPirfBh8pTqzNg8aBrP2FdD2WOHtr6Eunz0_il0U3eUDDosx3b62K6LW58V1v7a6&__tn__=%2CO%2CP-R,o . 1-— ] T 0‏ 8 W‏ زم ور T‏ ل ع T‏ IRy f‏ - 7 ميقل » ار - ٍٍ ا ا ل 1 \ ل g =‏ ' - : 7< . TR o g‏ r 3 0‏ - = 6 نه | R‏ ا ١‏ /N‏ 3 كوا A‏ 21 ا ولا > وماج Tl .. 3‏ حا + العربية ألا ; flas‏ i‏ ا ي_ | = > وا لي 0 1 0 ا N v = 4o‏ فا سداد اا % ١‏ 7 ام 8 = الم 7 ا T - 0 \‏ نا الا y | AL‏ :1 1/1
pfbid02ZtprZ57Dg6eTk4NDPgkeGb1c61CvccTAdp34nKMKoQfFbD5s7WiuJcKX747zeKpRl,العربية مصر - Al Arabiya Egypt,13,31,"""بكل المراحل شفنا الموت والرعب"".. رحلة نزوح مخيفة وسط الدبابات والجثث يقطعها أهل غزة من جنوب القطاع بسبب القصف الإسرائيلي.#العربية_مصر",2023-11-13:00:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 3 2 6 0 9 0 _ 3 4 0 9 8 5 2 0 1 9 0 9 2 6 1 _ 9 1 3 8 6 2 6 6 7 3 3 6 5 0 1 0 4 4 4 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = K k i _ D h v 6 8 T 4 A X 9 r e j i v & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B B 2 P O z N J u u e t W 1 d C a 3 E w X a r 1 2 m M f 1 p Y i U n b x r o m o c 6 6 A & o e = 6 5 5 6 F 7 9 9,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid02ZtprZ57Dg6eTk4NDPgkeGb1c61CvccTAdp34nKMKoQfFbD5s7WiuJcKX747zeKpRl?__cft__[0]=AZVaNuW0Yl4WEAPuTf2MHj0vi48gcPyzWGMEl2BPhb3kRKISyQj12HGTrsSi3ReJrXKBIKqhsUbkXY6AeMKvnJGC0N0nSx1wWuJubr7Sxa_B_99jbbAzYth0X4vqLqjd4qHbqW3pe8yuzs8_3CuVQ3d8wAk6C2KEuXcXqKqRsJlBwqniIqCy6DD1Rixx_JSR2hcYxPw5fGivjWBKChQuNRyd&__tn__=%2CO%2CP-R,. { م : 0 | 0% أل A‏ 1 م نازحون مل غزة): L‏ ; | |
pfbid031rqHRruKtkEyQxKnnJBwpevwFg3iDjB9An4CUpBztXoHzEh1pNWneMVihiGAV2XQl,العربية مصر - Al Arabiya Egypt,0,8,مع تراجع التضخم.. متى تستقر أسعار السلع بالأسواق في مصر؟#العربية_مصر,2023-11-12:23:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 2 2 8 2 6 6 _ 1 0 6 1 0 1 3 0 5 1 9 1 3 5 1 4 _ 4 2 8 4 7 1 9 6 3 9 1 1 4 6 4 9 2 7 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = N x a C H q i S T o w A X 9 R Y r C 5 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B r j - N u S X f X h e S 2 R u 3 O - Z m 2 U 2 k N V 3 e Z E N f - R - Z X N G W b W g & o e = 6 5 5 7 3 A 1 B,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid031rqHRruKtkEyQxKnnJBwpevwFg3iDjB9An4CUpBztXoHzEh1pNWneMVihiGAV2XQl?__cft__[0]=AZUZbLSKkSoGkfWDk6bisAL16bg8DH7dUnZiOl0bp3Ln-NI7HJW-Ty1tKdk8VIgROeT7u8f5V6UbNeBYdXQ0z-9NCEJzaLmKpW-aB8B-MKow8QPcSDVSuz_MkRBK6B3tRi-zc7ZSxme3JQ03W2Jto74NfBqHCoMURVVCFKLQLbnq5iXWrWvVwgLuC41tCXFz7WIYxG4BrXRUJuvmx-TPZuZK&__tn__=%2CO%2CP-R,"3"" f -‏ | 3 T e (‏ الا o)‏ = ع تك X o‏ ا , | e‏ ص ب i‘‏ 5ل كد كا كد مايال اق : b 55‏ ا o‏ ب ST Tt‏ it VS 27 o e -‏ ال 825 e‏ 6 ©2 عو ا } NN, =‏ ل Dy‏ Al . B‏ £ العربية مصر : N : -‏ 1 2 اا o‏ كيد e‏ كيد 7 عبد اها ضيه اليدم ادي الودج الب لص 0 البك انك نا عا تيم تيم سمي سس يسم R > 9|06‏ + 1 ’_\’;\,«-.4«- وا مرج e, i,‏ h = "" N &‏"
pfbid09FNkVaHHgDmgtML2d7K5abYN22hhymQK3D8eG39bmSpHNn3du6X1F25EXhX1hdBcl,العربية مصر - Al Arabiya Egypt,9,8,مشاهد تهجير نكبة 1948 تتكرر من جديد.. معاناة يعيشها الغزاويون في نزوحهم نحو جنوب القطاع وسط ظروف معيشية صعبة.#العربية_مصر,2023-11-12:23:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 6 1 8 9 8 9 _ 1 4 1 1 6 8 5 9 2 9 7 7 0 9 4 3 _ 7 7 1 2 3 7 1 6 9 5 9 3 7 8 4 8 8 1 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = z j q L M K 8 k 3 G 8 A X - b E T Q 7 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D k 1 d w V D c 5 U N f W Q n o D X p E Q O G Q f S A _ I l 2 B k M w Q z 8 X Q j m 6 Q & o e = 6 5 5 5 D 7 6 0,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid09FNkVaHHgDmgtML2d7K5abYN22hhymQK3D8eG39bmSpHNn3du6X1F25EXhX1hdBcl?__cft__[0]=AZWsgsiKXkIqfelHBuYrzwGeP5BZYU0eASFb6IdfP1qXP-qhoKKASaLARPBYhJTcuyw1tH_NxMHZ3pM7yiAWeVoZO-mBeQiUmj8Rjc4nJ4i-L3YmbdWQlsleljvqDVffGGmF81TLhViOvvDUZbjSDIPwaxsxRJrHPvgzzTXPOMWtVSQPpD8ThZcQ9j-BQxqrX3aCIjTIW9Wwj81YG_R0Kk3A&__tn__=%2CO%2CP-R,bt W ’ الب‎ 13 لز‎ ١ et أ كنا‎ ١ 1948 ض مسا جير نكبة‎
pfbid0pWqr4mtG4KDMe75d8sDxMVYPq4KeNmeUWDUBWv7Mjq24Y7yucfd2zHLzr6heDAULl,العربية مصر - Al Arabiya Egypt,0,0,يرتدون الزي العسكري الإسرائيلي.. ملثمون مسلحون يقتحمون قرى فلسطينية والأهالي يتصدون لهم.#العربية_مصر,2023-11-12:23:22,h t t p s : / / s t a t i c . x x . f b c d n . n e t / r s r c . p h p / v 3 / y 9 / r / Z - d b C l Q D X L v . p n g,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid0pWqr4mtG4KDMe75d8sDxMVYPq4KeNmeUWDUBWv7Mjq24Y7yucfd2zHLzr6heDAULl?__cft__[0]=AZV2DubXVojtGJPPtRZckpvbd1HdZW34EUNyVOPeBBLSYdU1gqPvkZ8P3WC0AsFYRjtzoxk-OYiv_eMTLWK45rAclyktR3zeczdCIDM74cvMWSQ9TeZY9bBMK1fnuc3KfLb8qlcoSEs9LoIvz1NvLS8eerVrVu_8Q7M24TYb2deF1MLg23uixs5J9fK2cn1i9fpPqrtwHfV65_0WDsVClM19&__tn__=%2CO%2CP-R,1
pfbid02xxycd8Ed9T8msVN9rDCkDpc5kYCW5FMwxrbKk9284UWn1JHsVPXMxknHcNbMjw4Zl,العربية مصر - Al Arabiya Egypt,0,0,"""ضغط لا تتحمله موارد المدينة"".. خان يونس تستقبل مليون نازح في شهر واحد#العربية_مصر",2023-11-12:22:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 5 5 5 0 6 0 7 _ 3 5 9 7 3 4 1 4 6 5 6 1 6 5 2 _ 5 6 2 1 4 2 5 1 4 9 2 1 3 3 8 2 9 8 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = O G O s l a 7 J I g E A X _ a T k F 5 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A D D d N r c 2 i e D K C S 1 d X S z r t P R N E t 7 _ S 7 C c T a S 7 6 I m 0 C P T A & o e = 6 5 5 7 7 5 B 1,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid02xxycd8Ed9T8msVN9rDCkDpc5kYCW5FMwxrbKk9284UWn1JHsVPXMxknHcNbMjw4Zl?__cft__[0]=AZU8kH5hBvYSPcKudwOthhbk1-8dMaBMbLmmIoH1gtxnH2mg6B2zqJIOGSB78bA4lk12R3_gR1xRqmTGLMKoGxDz_jnzmwSQqpr1hhblOKdmyRS96hrEs5XrHpuYkOP8WvtHhyxAsDjc5r2DKF3j3vXCjqolgYIMBgRwkXred3Ib0UGptNnjyBXcfIEJ9CDxgWrelCgfd_p0kF1jDZd1vXV4&__tn__=%2CO%2CP-R,R <~ 5‏ راق _ » - ا J‏ لاد ا h‏ ' اا : . N‏ خان يون تستقبل ل ال 0 ب NN‏
pfbid0Z7isVMfMrKM6bYqSVCkki4vSiD6ij9REqjZ9MWG8fwDvWfBvEJtcthL3ubFvX9pml,العربية مصر - Al Arabiya Egypt,0,0," الفنانة سلوى عثمان في تصريحات صحفية حول رحيل والدها الفنان عثمان محمد علي : ""لم أقتنع أنه توفي إلا بعدما أخبرني الطبيب بالأمر"".#العربية_مصر",2023-11-12:22:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 6 9 3 1 8 _ 7 2 8 3 9 3 4 6 9 3 3 4 2 4 4 _ 7 7 6 3 3 2 7 7 6 9 0 3 6 3 8 1 2 2 7 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = i x p z Q u W H Z v 8 A X 9 T y A o y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B r 0 6 j p c k H e F k y j h Y - Y B A q t s g j U U m m r W H K Z v m v x F l d h P A & o e = 6 5 5 6 F E D 6,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid0Z7isVMfMrKM6bYqSVCkki4vSiD6ij9REqjZ9MWG8fwDvWfBvEJtcthL3ubFvX9pml?__cft__[0]=AZVcHMgQTQSkFq5p7vcQD_Ws_t2o3cKpKw1kub4_XADEqkPHDwpYmZQ4S1SFw0kCa68cNnq0KVoLlZqCh5hobypM7JAOG4eyWuDloOF0wNJUD7pB8Locp87aq9BheaD4RIHYkK6ZeRXz2Yg0OLtlbEuWZSdoAL5zLNSokyfCeeyZ8BEyfq8tme7ZPh9J4IEuR9Ypu8G2x0X7UuPFMmqEHZ54&__tn__=%2CO%2CP-R,"م""-» A‏ ١‏ ا ١١ل‏ 5 § [ أ ;'AA‘ ‘ - s g‏ | L |‏ W‏ 1 1 ا ١‏ ¢ \ 1 \ والدي تأصيب ب جلطة في المخ, كانت السبب الرئيسبي في رحيلم.؛ ظننت في البداية أنها غيبوبة سكرء ولم أقتنتع أتم توفي إلا بعدما أخبرني الطبيب بالأمر"
pfbid02FsuMswob2uEofGx4x1B1oicSY5DovX1yK3zKB8DfNLsMMZ6Zw13BZUK4jPbKv4FMl,العربية مصر - Al Arabiya Egypt,5,19,تفاصيل جديدة بشأن حفل المنصورية تكشفها النيابة العامة.. وتحيل 3 أشخاص للمحاكمة الجنائية لتكديرهم السلم العام#العربية_مصر,2023-11-12:21:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 4 0 0 0 6 6 5 1 1 _ 3 6 0 1 0 4 3 3 3 1 4 7 8 4 9 _ 7 2 4 3 4 7 8 4 7 7 3 4 0 7 7 2 3 2 3 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = B H S g J n t f n X 8 A X 9 G d h b a & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C F f q l p 7 _ Q L 2 w p 2 S L p n N H H O D P J Z E 5 U 6 r e S F W p Q 0 3 J - 6 U w & o e = 6 5 5 5 B 2 0 5,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid02FsuMswob2uEofGx4x1B1oicSY5DovX1yK3zKB8DfNLsMMZ6Zw13BZUK4jPbKv4FMl?__cft__[0]=AZVGkJDwKa5eJLxF1SfNX22foAZb8aDZNrvKhNg5qhzMp7BduJqWOncDJaKfrhVHx09NjAmnXL4XLde8Q-CsxDYHtdoRc492IUCIg-01jgtX9G0Pk7i7p1cPzM7AP9R3nGoIaJTTHTGJ3iTGrAN7LD3OoMSkvOLqGR7hBrTxx7fLa7hsXR3OgLZslKW9Njf1hDE6ADyRekGro5AnPZEEvamn&__tn__=%2CO%2CP-R,بشأن ؤ صيل جه م \
pfbid0QutpcLHJwoYdnw1TjSRbagdRBN9DkwP4zXbe8TdiEdGgCxYo8LGh2pW6VrzbKQwtl,العربية مصر - Al Arabiya Egypt,3,95," قال البنك المركزي المصري، اليوم الأحد، إن مصر ستطرح أذون خزانة دولارية بقيمة 1.6 مليار دولار لأجل عام غدًا الإثنين، على أن تتم تسوية العطاء يوم الثلاثاء. المركزي المصري أعلن يوم 6 نوفمبر الجاري أن مصر باعت أذون خزانة لأجل عام بقيمة 656.7 مليون يورو في مزاد بمتوسط عائد 4%. ستحل هذه الأذون محل أذون مستحقة بقيمة 699.2 مليون يورو تم بيعها العام الماضي بمتوسط عائد 2.3%، وفقًا لما ذكرته وكالة ""رويترز"".#العربية_مصر",2023-11-12:21:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 6 4 9 3 5 _ 7 2 8 3 6 8 9 7 2 6 7 0 0 2 7 _ 4 6 7 2 7 0 5 5 9 9 0 1 0 5 2 3 7 2 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = N P G H W 0 m A 7 V Q A X 9 W G N W S & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D l b q K X L 9 h T s 7 N 9 P l E x U 0 q M y a _ N t H Y i v g I w n O f F j 1 4 9 Q g & o e = 6 5 5 6 6 2 D 5,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid0QutpcLHJwoYdnw1TjSRbagdRBN9DkwP4zXbe8TdiEdGgCxYo8LGh2pW6VrzbKQwtl?__cft__[0]=AZXFa1nuAL-_9oO75O5I4iyrm28lHYX1T9j0mNx1Xn8m61uuMdKKXQTM9xtSnFPdJDwNiAYXtjJaRs0KIpyH99aUY97HHGAlmJcHqJC3e0wECEr5k5zUuAxDLyJ7uMR8NG0WM4iD-LhJH7kSQwshj90Cq0aKKQ3SK71avBkSDe-vUsjegqjZosjgWAFftlEjUY3xOupfFWezO9hXB2u2a4c7&__tn__=%2CO%2CP-R,"/ { ١ 1 R 7 ١ 4 \\ 4 /4 e 1 ا‎ | 1"" i X ,! I8 سلس‎ W : o | il ع العربية_مصر‎ مصر تطرح أذون خزانة ب1.6 مليار دولار‎ لأجل عام‎"
pfbid02Diy2WrkK92gxL67f4dtfPLgxmZkZUHgAJvKFmVHJtm9UETA3wPaBCTaoX3FZfnNrl,العربية مصر - Al Arabiya Egypt,22,50,حياة 36 رضيعًا على المحك في مستشفى الشفاء بغزة بعد قطع التيار الكهربائي.. والطاقم الطبي يسعى لإنقاذهم بعد وفاة 3 آخرين.#العربية_مصر,2023-11-12:20:22,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 2 4 1 3 6 4 _ 3 6 1 9 4 1 2 1 6 2 0 2 2 9 2 _ 3 0 2 5 7 1 6 1 6 1 4 6 1 4 5 1 6 0 8 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = a C s y C O S _ l V c A X - P m G t J & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C O - U z S Y 5 H E n o v j Y o p U s j m B r T 5 i i 8 y h F K Z i F p D 6 g X T w m w & o e = 6 5 5 5 A 9 B E,https://www.facebook.com/AlArabiya.Egypt/posts/pfbid02Diy2WrkK92gxL67f4dtfPLgxmZkZUHgAJvKFmVHJtm9UETA3wPaBCTaoX3FZfnNrl?__cft__[0]=AZVWH7tzLe2krvEwbM--91SDBnanHoLxmkIzXzPapZSyLmxyNUDBs_BX3WTFLunBvYokaz1cjP9h5duu6BzHHt--Bp-0eilf9CUO87dPLVq-f2xiczJ3xEPAFHh2KMqHWkecUSLMEDV6BCG3qQHDAQSL1m0Yrku-BvFq8aO0WvorSgimAWgcLWiP8rBIsIQ8kYrTw17q5fcTWs4itQ1D9MSA&__tn__=%2CO%2CP-R,"صو Y‏ - I‏ سحل ‘Q‘ 5 "" T Al‏ الح ل | ً ا 9 ا 0 | v ;“—"" !‏ حح ب ا فعا > لنب دج : L 1 1 w‏ | حار ني 4 ) 7 7 و A‏ 8 4 وا ) 3 & اا -"
