id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02BLbcW5VrtsE8WrsCRAjXBzqDUBGApEbUAbLUeAQH45kiAgcbAQSH7gWsbRstH6Ybl,العربية.نت Alarabiya.net,0,15, سقوط قتيلين على الأقل جراء قصف إسرائيلي استهدف مقرا للأونروا في حي النصر بـ #غزة  مناشدات للصليب الأحمر ومطالبات بالسماح بإسعاف المصابين حيث أن المقر يضم عددا كبيرا من النازحين لتفاصيل أكثر | https://ara.tv/z6bsj لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية,2023-11-12:08:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 1 2 4 5 3 1 _ 7 3 0 7 5 7 1 5 5 7 3 7 6 4 2 _ 5 1 6 5 9 8 2 6 7 7 4 5 1 6 2 0 1 6 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = o S 7 p E 1 6 O k 7 g A X 8 p T g S Y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A R R p j z 4 l K m 5 U x c e 2 8 b T r 2 T 0 d g d r 3 c h M _ l b p 8 v S v 9 n w Q w & o e = 6 5 5 6 3 C D 6,https://www.facebook.com/AlArabiya.net/posts/pfbid02BLbcW5VrtsE8WrsCRAjXBzqDUBGApEbUAbLUeAQH45kiAgcbAQSH7gWsbRstH6Ybl?__cft__[0]=AZUE8CBbl5qD0bS6Js-RRuhUAG0EwWZSnjrcEdEV1Ho9deQ-UmFH04LgBuktk1n_nl8LxWJimn8mjJYRX1l-bxsCPJ-F_-bYKWIz-MDDH3TQCJmgGDHdXd5SGb-A-sjkrLiinbrNbKrYEoA7v27mdiWS50ExD3R6dcDxKsH94kvBMxn1jtXBu6wH33zgNAIpWnBNt0RDIrWYrxACZSZ9TDpr&__tn__=%2CO%2CP-R,Augah |‏ | ا 7 I‏ قصف إسرائيلي على مقر للأونروا في غزة.. وسقوط قتلى @alarabiya‏
pfbid0c6GrtLWAqUALX3DV2fFQ9sdyZRTWLckD5qMdZEXaFUVsxJsDJ2WQJiS5KA5SiNSxl,العربية.نت Alarabiya.net,1,20," الجيش الاسرائيلي يعلن أن حماس فقدت السيطرة على شمال #غزة ويعتبر أن القضاء على الحركة ""سيستغرق وقتا"" متحدث الجيش الإسرائيلي: حركة حماس لم تعد تتحكم بالنازحين وباتوا يغادرون شمال القطاع خلافا لتعليماتهالتفاصيل أكثر | https://ara.tv/p8ndu لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية",2023-11-12:07:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 2 0 3 6 5 3 3 _ 7 3 0 7 3 6 5 9 9 0 7 3 0 3 1 _ 5 6 2 9 4 4 0 9 7 9 0 5 8 9 4 8 2 8 6 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = y L 0 2 l y G a T m s A X 9 C 4 2 W O & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D _ N S f h o A 0 J a Y K O L P v v N C d F T r M 8 I G t D 7 B S A M x q r i D h Y C Q & o e = 6 5 5 6 1 D 1 C,https://www.facebook.com/AlArabiya.net/posts/pfbid0c6GrtLWAqUALX3DV2fFQ9sdyZRTWLckD5qMdZEXaFUVsxJsDJ2WQJiS5KA5SiNSxl?__cft__[0]=AZW9DNglq07OtWVt3hr6BOC8yRf97BTc70KAVQUHulZDu8LdQxPY6em4ZJWWkY9E5V1obPbD97NrWiyQXYccaMXJqi4a5P-bdYZNYwf42csiFac_1P-ZoieCt1AclNPo2PCWE-E2p1oVe72fHwfylSHllJYpDlSdGOFSKtrUeqd3T09utRwu-GBHPsHwiLu6xGvaLugfuRBL1mVWISyVP6iD&__tn__=%2CO%2CP-R,1 تأ ب جد o‏ ال My -‏ لس ا اها الم دح لم e‏ تن ااي 0 اط LSRN 4 v 7 | ”يه e‏ 3ع العربية_نت الجيش الإسرائيلي: حماس فقدت السيطرة على شمال غزة @alarabiya
pfbid0dqWgBSnMGmwQYCtxYxQmc25iPWawnPyQFwndvGTKctfE3TjXTNHvyeKxKqX3aWhLl,العربية.نت Alarabiya.net,2,26, #أميركا تعلن سقوط إحدى طائراتها العسكرية أثناء قيامها بعملية تدريب في شرق البحر المتوسط واشنطن تقول إنه لن يتم نشر المزيد من المعلومات حول الموظفين المشاركين بالتدريب احترامًا للعائلات المتضررةلتفاصيل أكثر | https://ara.tv/jgq6a لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية,2023-11-12:06:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 1 0 2 2 0 2 _ 7 3 0 7 1 8 1 1 9 0 7 4 8 7 9 _ 5 0 8 0 0 2 5 3 4 3 7 5 1 8 7 3 3 8 0 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = F 5 a 3 J T m p m l M A X - b 5 _ G L & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C K W W D n 2 k J f q f I J c c K o 8 c c i c j l H 7 L o L 4 6 0 1 N I P k N 8 Q F e g & o e = 6 5 5 6 2 2 0 F,https://www.facebook.com/AlArabiya.net/posts/pfbid0dqWgBSnMGmwQYCtxYxQmc25iPWawnPyQFwndvGTKctfE3TjXTNHvyeKxKqX3aWhLl?__cft__[0]=AZU8vCzAgbbYFrIJYuCtPhbh8yfyt7rJ1OsBGlmAi_1UPTGpyOEHRp6ChEuOxufvN0HFRNO26CHCrZp1d7JxayUOlIWfHApQp99ZO8MS8BhxNSBP4HuPqDu5bGXjYZ3miLHGi9apuJXHywh2r6WgAdfFQU-mrnLMUB35ZF0Jy8qGN0nlZpHHV1w_MXdXUn-Bp1s3baYn-Bm-CWlPUw1y_sMd&__tn__=%2CO%2CP-R,A اح ب كك‎ L حب‎ -~ W ا سال‎ 2 . ~ . Si-Paem\ ’ \ العربية_نت‎ واشنطن: سقوط طائرة عسكرية‎ أميركية في شرق البحر المتوسط‎ @alarabiya
pfbid02r87BWdXdTA5zFPA5in5AhfArdDFriQAoW5mXCQFHiisg5RvMYXArsuqfzkVnM7j4l,العربية.نت Alarabiya.net,0,0," #نتنياهو يعلن مواصلة الحرب على #غزة ويطالب #أميركا بعدم ""الرضوخ لضغوطات الأقليات"" لديها  رئيس الوزراء الإسرائيلي انتقد الأصوات المنددة بالحرب في الغرب وقال: ""هناك أصوات أميركية لا تدعمنا ونحن نحاربها""لتفاصيل أكثر | https://ara.tv/8msgt لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية",2023-11-12:05:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 5 0 6 1 9 _ 7 3 0 6 9 6 2 4 9 0 7 7 0 6 6 _ 4 8 4 2 4 4 8 0 3 1 1 1 1 9 7 8 7 4 4 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 b _ L F a M h 4 V w A X _ X L 4 E e & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B n C R V j I q X 7 q P b 8 f U r M 4 8 F B H B o E _ b Q K P F L s L s c m Y H 3 i O w & o e = 6 5 5 6 C F 9 F,https://www.facebook.com/AlArabiya.net/posts/pfbid02r87BWdXdTA5zFPA5in5AhfArdDFriQAoW5mXCQFHiisg5RvMYXArsuqfzkVnM7j4l?__cft__[0]=AZVXtukNtpBmDxb1ltJi2yHQzVYIYCSNHuUzmijCtUMZcVOIkEegjs6PPbwZ7xwRdKxx013Cp3TSfyEJcOhG4xjZvkhq28Uf_JZ8e3D5XRk6JcEcOvaii83mJ6znhaPQlauAJVP7imQxFXF7s9HDGlsAw0U7Nv8SEvjp73NnJ6mT8RLIw3kzkXC7kLMWLFQoEAleUg_RiCK8AKbYkVFcbZYw&__tn__=%2CO%2CP-R,A >4 v v L XK A A v 3ع العربية_نت نتنياهو للأميركيين: لا ترضخوا لضغوطات الأقليات لديكم @alarabiya‏
pfbid0UEYKsqdkazyqv9JS53Qr9h8oF9t5mL5GBCDGesjCe9hZ28xG771PidJgo15YsoBMl,العربية.نت Alarabiya.net,0,0," الجيش الإسرائيلي يشير إلى أن حزب الله يستهدف مناطق شمال #إسرائيل ""بأمر إيراني"" ويقول إن "" أذرع #إيران قد تجر المنطقة إلى الصراع"" متحدث الجيش الإسرائيلي يضيف أن قواته تعمق العمليات في مخيم الشاطئ بـ #غزة ويؤكد أنها ""لا تهاجم مستشفى الشفاء"" لتفاصيل أكثر | https://ara.tv/p8ndu… En voir plus",2023-11-12:04:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 9 7 2 9 1 _ 7 3 0 6 7 2 2 9 5 7 4 6 1 2 8 _ 6 0 7 4 9 1 1 6 4 0 2 9 8 1 5 9 0 5 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 7 O 8 i k X 5 z N O I A X - I z 3 s Z & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B V O W S H w 8 D c e c G U 3 C p b 0 7 d B U U o O T i w K B p G 5 F t V X X U l 6 8 w & o e = 6 5 5 6 9 A F 0,https://www.facebook.com/AlArabiya.net/posts/pfbid0UEYKsqdkazyqv9JS53Qr9h8oF9t5mL5GBCDGesjCe9hZ28xG771PidJgo15YsoBMl?__cft__[0]=AZW1Wa6maqjZAHEoqWfotlLsE_X6vImdECDrdKOT4SsyuRQbabL2_srV1_t9Zsc9D1bAPCWzjg3_VwtRDxXNvMuaK1pzybMUTItEygiBWB21n3wV9sYwGC719RNLpBZopd7thPSOt9JNK01Z9cC5oTZAFjk9ABSESamzf7TW1ionnK9anZ1J05PZ4cF6Dyo044GAoXhkDEtivGjDg4xR93GM&__tn__=%2CO%2CP-R,7 ) 7 Y‏ B‏ العربيترنت T‏ الجيش الإسرائيلي: حزب انتم بأمر إيراني يستهدف شمال إسرائيل alarabiya‏ ©
pfbid02KW2JxeGsNryUwwSDkvfvUvhvZ5Sre6vtwPCcHPqNA5NucjhLq13BqN5EmEbQHf5Hl,العربية.نت Alarabiya.net,1,7, الجيش الإسرائيلي يقصف مواقع في الأراضي السورية بعد سقوط صواريخ في الجولان المحتل  وسائل إعلام إسرائيلية تقول إن صاروخين سقطا في أرض فضاء بالجولان دون وقوع إصابات أو أضرارلتفاصيل أكثر | https://ara.tv/wds6f لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية,2023-11-12:03:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 9 7 6 8 0 _ 7 3 0 6 4 7 5 2 2 4 1 5 2 7 2 _ 1 6 3 0 2 7 9 3 3 1 4 7 6 8 7 5 1 6 9 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = E n n 9 o g n 9 o y 8 A X - _ i y 8 K & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A D 9 L Q c i w Y h s Z E T h J m N a z w 2 M p A Y G 2 t t V X 9 x w J W W C R D q K g & o e = 6 5 5 6 F 4 B 1,https://www.facebook.com/AlArabiya.net/posts/pfbid02KW2JxeGsNryUwwSDkvfvUvhvZ5Sre6vtwPCcHPqNA5NucjhLq13BqN5EmEbQHf5Hl?__cft__[0]=AZWwOThC_3PG_OdnDFCovfdj7kbwhkHU9i9qdmA4kaPzqd8R8pOy_v7OWIyyToSY1Kk8jRHy1Bw1zhpIe2owNzEdP4DE0lCNR-0Mki5PNwYwNhEGnMnNVLWU14rFSU-tmRigUJ-ZIoVUby2AqnIBFQqByj7ukMg1SDTuEzHlaQDJTPGTNDnMMa7ui-JNxRdY8JhLUUn1RoZ3yITD2LSZXW96&__tn__=%2CO%2CP-R,ا = T‏ 1 IA‏ ا كاد o l' p‏ .7(7..‘) : | B‏ : د م I‏ |; العربية_نت سقوط صواريخ بالجولان.. وإسرائيل ترد بقصف في سوريا @alarabiya‏
pfbid0XYKA5iwzogVfwDYpb5VNuUeXCxd5AZxpH2rBzgjHCkW45Rit1o5T6J7KfnTP1EjPl,العربية.نت Alarabiya.net,1,6," الجيش الإسرائيلي يعلن مقتل 5 من جنوده في #غزة ليرتفع إجمالي عدد قتلاه منذ الهجوم البري إلى 42 صحيفة ""تايمز أوف إسرائيل"" تفيد بتعرض قائد في كتيبة جولاني وضابط و 4 جنود آخرين لإصابات خطيرة خلال المعارك لتفاصيل أكثر | https://ara.tv/z5h35 لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية",2023-11-12:02:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 2 7 5 9 4 5 _ 7 3 0 6 2 8 2 7 9 0 8 3 8 6 3 _ 7 6 8 6 9 2 2 6 1 4 5 7 5 6 7 3 0 5 9 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 8 h A 0 w _ N X Y Q g A X 8 _ q A I A & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A f B 4 _ I W Z 9 x Z N - f S q M J B T u U C H B W u L y A b g B 6 w u V - V s B _ t w & o e = 6 5 5 5 A 7 8 D,https://www.facebook.com/AlArabiya.net/posts/pfbid0XYKA5iwzogVfwDYpb5VNuUeXCxd5AZxpH2rBzgjHCkW45Rit1o5T6J7KfnTP1EjPl?__cft__[0]=AZXGFc72-4TTdbAAG5ttIm-DrsRuv8FBurP1Heoq_O3QR5XFo_5NGcwEeGFfdPaa-dVGYVVHieObyD69nE1EVDKqemoUn280zjLpb2NnOnjBSJfl3Qii2KHTwtcjtDP14VrLfAYHCALEsE97eznXGk4s_2rsia8kE8g8FCw56XEsov8s_ruBtACvyN2nh3XjKGJTqc4yF6rHxdtODdNeZeor&__tn__=%2CO%2CP-R,e A0 N ™ e T ا دج ست ل‎ مقتل 5 جنود إسرائيليين باشتباكات‎ 42 غزة.. والعدد يرتفع ل‎ @alarabiya
pfbid02fR2gwHzRezU27sLrG11UcaLHekLpRLL6nXoj9xcSav8YHDXnTCZfmS2uruy12goCl,العربية.نت Alarabiya.net,2,4,الأمراض تنهش أجساد أطفال #غزة وتجمعات النزوح قد تتحول إلى بؤر لانتشار الأمراض#العربية,2023-11-12:02:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 3 4 8 6 2 6 9 _ 7 1 8 6 4 1 8 0 3 0 9 5 0 8 1 _ 7 6 5 4 6 7 3 3 8 5 6 8 7 4 7 8 5 9 4 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 3 x Y 6 4 t s Z o T M A X 9 X 0 X o 1 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A w p M 9 m H V 4 q r G u R 3 o n z - X T H N - X T W _ P V Q z a A 8 - O Y m t R 9 o w & o e = 6 5 5 6 2 E 4 B,https://www.facebook.com/AlArabiya.net/posts/pfbid02fR2gwHzRezU27sLrG11UcaLHekLpRLL6nXoj9xcSav8YHDXnTCZfmS2uruy12goCl?__cft__[0]=AZUoXoz_boERzH6keKC6pen7aO9nQG_ZMlVh4TAxRyFgGCAwzPM5anRyqBxWxwJ9KaGh2CUqVH-RFhQtgivaz8N8BABvNTbpw9Ec0XsFVKV65K23SPdOivO6hxKFTZZ86zQtSRl0K-nd5KGDKuVBWaxDxwufWWiAlBufVEQ898fyauR8g3qOvVdQCn1kP8U3XEzc7aJ5KcM0kNB_EDdYWB56&__tn__=%2CO%2CP-R,".- = ‘-‘x:\’:'; ا« شم‎ © لوالا‎ < ""7 M s ال‎ جح""‎ 42 g أمراض أطفال غزة ده‎ مرص--ع‎ . \ ص“‎ : 1 Rl NS U"
pfbid02CLhQ9u1xnizb9VwRuiMRr6LJFEVVrwN7t8SvUY9VsvUVgWgScSDvK9t39izmQJfol,العربية.نت Alarabiya.net,3,5,واشنطن تعلن سقوط طائرة عسكرية كانت في مهمة تدريبية في شرق البحر المتوسط#العربية,2023-11-12:02:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 3 4 6 2 6 4 _ 3 6 0 8 0 1 4 6 0 2 7 7 8 2 7 7 _ 5 2 3 5 3 3 1 9 0 0 4 3 2 1 1 9 7 9 9 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = K J W H b Z v s P 3 I A X 8 G 4 t B Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 4 x s O 1 j c M U - 2 8 k 0 A u U a V 0 G J b E L p T 3 w i C i 6 Z q K f T 6 l n _ w & o e = 6 5 5 6 A 7 1 D,https://www.facebook.com/AlArabiya.net/posts/pfbid02CLhQ9u1xnizb9VwRuiMRr6LJFEVVrwN7t8SvUY9VsvUVgWgScSDvK9t39izmQJfol?__cft__[0]=AZWtfKXzFHDSM9LEcraWm7WikR2bZzsGFPXn9SJioIkKaQw2RRjGCO3w7a-VwzvpiWrfrlbXqo6Rbc6CTLM2NoS0oEy6zUPn0L3VXQ1dZT522y5A6khGFVty8R6K8FwHcfdJLe_I_v-6WP9wIEqMZgOQ5Et2vRr1O4A1k0fyZsSNeLb8WHj1m6k4tw2JPXexTew5NqcfbLJBxuBnCc2-TkEJ&__tn__=%2CO%2CP-R,"g -~ ) #العربية A‏ شرق البحر المتوسط حم تيا السو ت_ أ وو ""ااا"
pfbid0CUTANGs2J7QP7pNwQKojZBy5BsLu6K1SM63kdWgZx6Zv6VZVJWQ95EkcnmZdrs4rl,العربية.نت Alarabiya.net,0,2, الهلال الأحمر الفلسطيني يؤكد  أن أكثر من 21 مستشفى من أصل 35 توقفت عن الخدمة في قطاع #غزة الهلال الأحمر يشير إلى أنه يواجه صعوبة في الوصول للأطقم الطبية بمستشفى القدس ويقول إن معظم خدماته قد توقفت لتفاصيل أكثر | https://ara.tv/cbvvg لآخر التطورات تابعونا على رابط البث المباشر https://bit.ly/40wcZxq #العربية,2023-11-12:01:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 0 7 0 1 4 _ 7 3 0 6 1 0 2 5 5 7 5 2 3 3 2 _ 7 7 2 4 5 6 2 5 4 2 1 7 1 5 2 1 0 0 6 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = j 5 1 b d R i H q J Q A X - g 0 0 M 2 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 7 Z B p L f 4 r W U w V U p w v W X L T f U v Z H Q Y o 0 i B O z 9 u _ Q t m s 3 V Q & o e = 6 5 5 5 8 6 3 3,https://www.facebook.com/AlArabiya.net/posts/pfbid0CUTANGs2J7QP7pNwQKojZBy5BsLu6K1SM63kdWgZx6Zv6VZVJWQ95EkcnmZdrs4rl?__cft__[0]=AZXbYh30iDTZ4mPvFuNcmY_RM_xEFpFJPiHBN8WT-RSfh9yc9yWMd04H7Gk9DBT1ytgZVs1RSARVdP4hKvVvKND8BDeceMn_9G0HK8llmt08BuisjIoo7TqPuBIGwR39mUxlkWKIiabZCGUqsvbh0YoyQg5nwxjE5CmoMffe3oUEXmKTzKINIje9EfNlA_yqD8FmiVQOY1OyMOF8AQsxWcO-&__tn__=%2CO%2CP-R,"I ¥ 1‏ - i‏ 0 - 1 - 7 y 1‏ م"" 2 ب . ‘A‘ a Y‏ و f B iy‏ ا للد ع العربية_نت الهلال الأكمر الفتلسطيني:21 مستشفى توقفت عن العمل في غزة @alarabiya‏"
