id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0af4Ed931FxGis6tWYgpwty1R2V9AwoR9U5febue8YSPJwqK74v2eJ71aGbtgpkNel,The New Arab,0,0,Gaza's border authority announced on Saturday that the Rafah land crossing into Egypt would reopen on Sunday for foreign passport holders and dependents,2023-11-12:19:01,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 3 6 1 0 3 3 7 9 5 6 2 5 0 9 9 6 1 7 0 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 7 7 1 9 4 4 9 7 4 . j p e g % 3 F h % 3 D a 5 f 2 f 2 3 a % 2 6 i t o k % 3 D p _ j M z L 3 P & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E O 6 N S J O y j s T i E k i q Z g M f B E D E V s P 1 6 r B 0 9 w 2 O H p 6 7 Y r A Q & o e = 6 5 5 2 F 5 3 5 & _ n c _ s i d = c a 2 0 c 4,https://www.facebook.com/AlAraby.en/posts/pfbid0af4Ed931FxGis6tWYgpwty1R2V9AwoR9U5febue8YSPJwqK74v2eJ71aGbtgpkNel?__cft__[0]=AZVES7bVzoAB7yEgOekTjpHvQKqWZhXaZiPF2UR1VVeF4vAh0IU3YZkyy7mYIea3j7QB78amI2J3hrY7StQMRXQFHmBxzI7yW6HiJH6d4FZ9h2tcf20513KWDZ67CZSFhK8ILAgMJAQroJ2P645F6UcM9P8OqV8OMQteC6pvrA1pNoaJsTFczFrukzcyAMNrGeOO46Qon3-8zR1EknPLeh2V&__tn__=%2CO%2CP-R,"7 18 الذي o,‏ ) "" 85 |"
pfbid0isDHemgNwwGCXL5jG2K69bf9ZyQ63BSB7NGmRiv9wsD1eg1PWyUYPNLExXDXgQ9Zl,The New Arab,5,2,"An Israeli minister said on Saturday that Tel Aviv was rolling out a ""Nakba"" in the Gaza Strip, as more than 1.5 million people have been left displaced by Israel’s relentless bombardment of the Palestinian territory.",2023-11-12:18:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 6 5 1 7 2 9 3 6 8 9 4 2 2 6 9 7 0 9 5 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 5 2 8 6 3 8 5 4 0 . j p e g % 3 F h % 3 D 6 f 8 e 8 4 4 8 % 2 6 i t o k % 3 D b D d h K L e y & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E n c u k n m v P s w f u u F r c d h u - r - 0 L I G 0 o A a 1 7 P K 6 4 M F 9 q _ f A & o e = 6 5 5 2 7 D 7 C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0isDHemgNwwGCXL5jG2K69bf9ZyQ63BSB7NGmRiv9wsD1eg1PWyUYPNLExXDXgQ9Zl?__cft__[0]=AZWg1JxlI9o1IStadWpVzggGYqj3tckJ5_tz5dXxjJ1qLERjlujPgFMe6GFXAvUgdTPcKJYS6bMAd8FjUZtA0BD9L5NeJqKgXzZFrVNr4wM7Soh7MhwVBzFBczQtfx6q55lNxbCyQb05lArJxQgL53Fyt8AsjOB5x2BaGNcquPqF2HAlgpeqG-WLuwakEag5Yg4o4tqj2ENGRUR2s2cZ7rii&__tn__=%2CO%2CP-R,1 B T 2. جب‎ \Y. %
pfbid05HNuSHXirSDeUJiWwLcRCwYJ6kbNyz4qeeMFDTFoufLz3mfyaUMWga2veC9bu9qSl,The New Arab,7,7,"""The pressure is going to continue to mount. That's why people are coming. They're coming because they think this is a basic moral test for everyone and it's a moral test for our political leaders.”Saturday was the biggest ever pro-Palestine march in UK history, with over 800,000 people marching in the streets calling for a ceasefire in Gaza, according to organisers Palestine Solidarity Campaign.The march also held symbolic importance as it occurred on 11 November, Armistice Day, as hundreds of thousands of people in London marched peacefully to demand a ceasefire and called for a Free Palestine.",2023-11-12:18:02,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 4 0 0 0 5 4 2 3 8 _ 1 0 3 2 1 5 8 9 2 1 1 6 4 8 2 1 _ 1 4 0 8 4 0 4 7 6 7 2 6 4 5 6 0 1 4 2 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = Y W Z N 8 5 W 6 X Y U A X - O 2 M I D & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B Z o V W l U t o Y 2 6 S o J v V T _ 7 U O 7 w E L e h C c G u m W s K b l K 2 p W B g & o e = 6 5 5 5 B 0 3 F,https://www.facebook.com/AlAraby.en/posts/pfbid05HNuSHXirSDeUJiWwLcRCwYJ6kbNyz4qeeMFDTFoufLz3mfyaUMWga2veC9bu9qSl?__cft__[0]=AZWclv3fzhWb-YLTxP4SPSMf6yjrK1rM4oUsndpzMg432ZNUmo2eOAFDLfJWF0Vznid7w2gIBOO20P2uCuCwOunBB8lsW7NHU6bIL2BLl8nnVPaZGE_kar9bxK5n4BD4V3PjIuw3bYLdZtDLdg4LsTi-02iqFVPv2Fj6cUJ80DtA8Sd1PbNbf05xEgbLsZjXyExo58GDDDdPKXiYd6WjIsiT&__tn__=%2CO%2CP-R,"v b L Wit el 0 AR SR ا‎ 1 الوا ا‎ T من ا ال ا او . وفوا‎ وو اا لا ا‎ = gy كاب‎ ¥ 2 ا ل‎ . el SR لير‎ - U م ا ل ال‎ s S, s 0 ٍ %% ا يدر‎ s e TR ) SR e ik ) W é::s ol i ا ال ا‎ ال الل ) ل ان و ال‎ Y2 لا ان 3 انا وان‎ oy 0 اجو فيا .الع اح وق ا تاج‎ 9 ] & ا ال ما‎ [ and the second biggest . iprotest in British history, g 0- + ال ال‎ ¥ ١ & 0 . % خلا‎ 2 15 gy 4 : 9 : أ ا‎ قم ل‎ ¥R ] \ > 18 v"
pfbid0pjjJfvamSds6GZ28Dc8L6yQgrAMYrgQYQnwPxBuLyyvUnBV5imfEVcBJG9KAHa6Pl,The New Arab,1,2,"Lebanon's Hezbollah using new weapons in Israel attacks, Nasrallah says",2023-11-12:17:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 8 0 8 7 6 4 7 4 6 5 9 4 8 0 2 1 7 6 2 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 7 7 6 0 1 3 1 2 0 . j p e g % 3 F h % 3 D 1 9 9 d 8 c 1 f % 2 6 i t o k % 3 D W u x O D Q s V & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G 8 z f V C 0 X D 9 E f 3 M 9 J w f b y N 9 7 g A v W i _ v q b _ S Z v n N f s m Q l A & o e = 6 5 5 2 E B 8 A & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0pjjJfvamSds6GZ28Dc8L6yQgrAMYrgQYQnwPxBuLyyvUnBV5imfEVcBJG9KAHa6Pl?__cft__[0]=AZWIkXv9-nmY-rikvTjHIsvh6_b8CwX46XQs0nIvUr1I2c--vtzD-qh-HuHksrkHzGWhHW7-KAhHTiPJ-NLDTzj812TsltuvV83S1d2HoOGkUX53qClAvOkMHJCQWTb_Bkkzk0KtF2oL0Lyx4gfIR-Cr7E1j6dt5w9jkW0JUGrUQxKP91lx1n8P6EfY1784uLE_5zJzFy3BKQx1RLWJzDBp0&__tn__=%2CO%2CP-R,L et r.:i;‘@.-.- = ا ا ل‎ . e W 78 ذخو‎ : جه‎
pfbid0q5pmfypCRfQTk65MkqaMvEmYQ1wd9cMukFkigRBMBfUq2ptrZ3KyNhjdGuDuEQDKl,The New Arab,3,6,"A huge protest took place in the South African city of Cape Town on Saturday, in a show of solidarity with Palestine as the death toll for Israel's war on Gaza climbed above 11,000",2023-11-12:16:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 2 4 9 8 7 9 0 7 0 6 3 1 7 8 1 9 9 0 0 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 7 6 9 0 0 5 5 3 9 . j p e g % 3 F h % 3 D 8 a a 5 f a 2 d % 2 6 i t o k % 3 D u 1 w _ U - 1 R & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G r d 4 m q 7 T E K c _ C O 1 X k b i w u P R N L w W - a c f w p d W O U M i L y F R g & o e = 6 5 5 3 0 7 5 F & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0q5pmfypCRfQTk65MkqaMvEmYQ1wd9cMukFkigRBMBfUq2ptrZ3KyNhjdGuDuEQDKl?__cft__[0]=AZVORwK2Zz5Re8jZ6K8u_Iq6xUgXKbmQDuoDYPFK87-voEMjHGWMP8yMcBlWZ9L2T_d0uK20SnbcG-OqqlTzZdbDHNY7CYxF83IMCK_of1rqm08b66llR-dVFUIS0-AOXeI5JEb4kInuW1dbYyimDAivdtwO3xOKPSjlnvRzi9MW3LZwoCvrfxP2gQpNIVQ_tpYCDbAxlGgnXa21RMkR--vV&__tn__=%2CO%2CP-R,كم ا 8 خط ١‏ الو ١‏ = PR‏ £ / 1 حل قو ل =
pfbid0rfEWWrAfJnt3a7nr4aDSM1RarfXLPmMwtf8129G1tTCAfssZiXKhdktXuQ7WxUmRl,The New Arab,3,16,"Israeli Prime Minister Benjamin Netanyahu has thrown up more doubts about the future of the Gaza Strip, suggesting that the Palestinian Authority in its current form should not take charge of the coastal enclave",2023-11-12:15:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 7 7 1 8 5 9 0 4 9 5 6 6 1 9 2 6 2 5 2 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 6 8 9 5 2 3 7 7 2 . j p e g % 3 F h % 3 D a 5 f 2 f 2 3 a % 2 6 i t o k % 3 D Q t m K V X K V & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F E Q X P S l 1 g h Y 2 z k r l l d C 1 6 R Y l h H i P 8 1 R Q M u r 6 g 7 5 L 3 b N A & o e = 6 5 5 2 9 7 7 9 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0rfEWWrAfJnt3a7nr4aDSM1RarfXLPmMwtf8129G1tTCAfssZiXKhdktXuQ7WxUmRl?__cft__[0]=AZU9jkyvuUM9pVRfZpC6BpaHC9DktN_ujgjcqiGp0q47Q1acfmL_Nwm1OL6PeRYVJqhEZv6K4ERJflFvm26J6IjbFPIdjRxR77CAnRO11I0MUPq_c3foz2dwWLzoIhthTO36ycWQ_wPhg95JEcpvJFDFnDBs5NqRW4uqHep8TRliAIdQd7N2PIE4nCoeAsevYJsiy3FkOQVYMDvaxKuCRqGe&__tn__=%2CO%2CP-R,B
pfbid0kovAhvZo2RjUXesAKfCXuhbkgUc9Lu3Lx57SyQdudojsh6tjs86owQm8yYa3vcWNl,The New Arab,6,53,"Iranian President Ebrahim Raisi called Saturday on Islamic governments to designate Israel's military a ""terrorist organisation"", citing its current war on the Gaza Strip",2023-11-12:15:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 5 7 9 8 9 4 0 8 8 8 0 7 1 1 9 5 8 6 0 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 7 7 5 5 0 9 9 2 5 . j p e g % 3 F h % 3 D a 5 f 2 f 2 3 a % 2 6 i t o k % 3 D G j I a 5 a h 3 & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E U s L 4 j 9 p C e Y 1 z B P N 0 I _ A z n D f H l L i r 7 5 k v J l V I c O p U T E A & o e = 6 5 5 2 C D A 7 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0kovAhvZo2RjUXesAKfCXuhbkgUc9Lu3Lx57SyQdudojsh6tjs86owQm8yYa3vcWNl?__cft__[0]=AZXl7lLNPIumvsukQFCzsJ4gcIHNMLLV6gzxk3IEMSeSS3BYjIiDv_qz-oXiqIp5R3eIjpzu6o2zZpqEmL6zrPBUyofWjJI5wOjEWhLapdcDnqtvRC5ytETWISGSIj7Qet4lYbI-y2cEeKcB26ftU56au-Vu5M8VTeV1i-m6X3lWagClx79rUuIanZjuvO64LJhaxZdxY-6CmWhPEpbubbMU&__tn__=%2CO%2CP-R,0 |: - ﬁ-: ! ها 4= _ صل‎
pfbid0ajCujc5LhPD155PRqsGa59S4guN872pJmAP9k5auduAsJR66avqYs93BkcbB4Sjml,The New Arab,3,4,"Israeli tanks surround Al-Shifa Hospital in Gaza City, which has been completely cut off and now faces a blackout as the last generator ran out yesterday",2023-11-12:13:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 6 4 3 3 8 5 9 9 2 7 1 8 2 9 7 8 4 4 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 1 7 7 5 2 8 5 1 0 0 . j p e g % 3 F h % 3 D a 5 f 2 f 2 3 a % 2 6 i t o k % 3 D j _ W I 9 N E q & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H L 1 D 9 C 9 8 y a G a e U o 8 D i D s i 0 f 3 z e _ 8 X x b a x Y I V 1 - D o F G O w & o e = 6 5 5 2 B 0 8 0 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0ajCujc5LhPD155PRqsGa59S4guN872pJmAP9k5auduAsJR66avqYs93BkcbB4Sjml?__cft__[0]=AZWMnp5mUtIZWOtzeT0iVwYLj9LSXzdxp8rEXW9f5wJ9aHeA5DHVWwllR77Lm9iSf3ULm9JhHBo0gUmm3usn99WMICFw4eM0bvUJkhpVN3NwJDunwRxXGtMarCl8lLoQ_qzpDwTq3kAQTEXTX9edS4BNLgoxOYxh6tzizb9v1bHJH_5QEwRUT8TtbcXDdU_BJHZhnKjV4OrpNhva1JBH9w_M&__tn__=%2CO%2CP-R,"= = - SN 2 ; l' rEw .. - % | ا‎ »«"" شب “اماي 0 د‎ bt A AW و و‎ ام لي بحصي‎ S تيل > افك‎ & : 2 د‎ e ا ال‎ الخ ل‎ R e R امياد قاض لد ود هج‎ الو‎ o ا‎ ey o د لكر ا داح‎ s R e - ‘ N لي‎ et اتاد‎ W N P"
pfbid0zVmNK7jZLytY4tiaZci4H6Mpj9kSMz1kiMmmXS9CvaEbWD7f5ZWsdRWoi6wAYQuMl,The New Arab,2,9,"Since Israel’s onslaught on Gaza, thousands have protested Dutch complicity & silence. In the lead-up to upcoming elections, progressive parties are avoiding taking a position, but the solidarity movement is making this difficult, writes Alex de Jong.",2023-11-12:12:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 4 8 7 9 6 8 8 7 6 3 5 8 3 8 4 4 2 1 4 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 2 0 2 3 - 1 1 % 2 F G e t t y I m a g e s - 1 7 2 6 7 7 1 9 3 7 . j p g % 3 F h % 3 D 6 9 f 2 b 9 d 0 % 2 6 i t o k % 3 D O o E B D 6 E 0 & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E Q y - d q i 0 g Y K S O Y J e C 5 b V E 4 8 K 3 9 j B t w A H f D 1 u - _ W K 7 2 R Q & o e = 6 5 5 2 A 0 1 3 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid0zVmNK7jZLytY4tiaZci4H6Mpj9kSMz1kiMmmXS9CvaEbWD7f5ZWsdRWoi6wAYQuMl?__cft__[0]=AZUE7qvxYNkQaWjprTI0AumlNAihY7wsrJPZyEWAKc3jONjBptLVaNpQNhw_JgZlJE-ERDJ1-2AFx7JhSzipRxzIi53VQnLh1SVUo-mqaO2J_kJoASaRlAah68CxxBYAZIqt4kGBu1W0oD3WiKon9jOgcOFx4PzLy2mBKB2hjEomnQW4wvQZcUGoU9QqP8CJp1GHf-l_8cZXC0oHtrmdyuz_&__tn__=%2CO%2CP-R,"1 ouf 3 o - R g ri رم 5 حم و 7 ترم‎ ""> 1 1 0 ’ 2 كلأ - [ 81"
pfbid02z3fSMTTG2pd14XTJRyAsgHuyDNpE7kM7yURqrQW9DSNrrUAzaMVpwoqcExmtB7zQl,The New Arab,1,1,"The boycott against the Israeli occupation is growing worldwide. Activists have taken to Twitter and TikTok to expose how multinationals sustain Israel's occupation of Palestine, with three companies reoccurring: McDonald's, Starbucks, and Disney+.",2023-11-12:11:02,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 3 9 7 1 2 5 8 4 2 2 3 0 5 1 7 4 9 6 0 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . n e w a r a b . c o m % 2 F s i t e s % 2 F d e f a u l t % 2 F f i l e s % 2 F s t y l e s % 2 F 6 0 0 x 3 3 8 % 2 F p u b l i c % 2 F 2 0 2 3 - 1 1 % 2 F T I K T O K _ I S R A E L _ B O Y C O T T . j p g % 3 F h % 3 D d e f b 1 a b a % 2 6 i t o k % 3 D 8 R m S H D 4 N & f b _ o b o = 1 & u t l d = n e w a r a b . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H a r H y r b S v W O S d J o q q V I B z v X S B e G B y 4 9 y Z o x E O 4 G Y 0 c H A & o e = 6 5 5 2 9 4 8 8 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlAraby.en/posts/pfbid02z3fSMTTG2pd14XTJRyAsgHuyDNpE7kM7yURqrQW9DSNrrUAzaMVpwoqcExmtB7zQl?__cft__[0]=AZUWhk117_6ReB_E7TDIPeG12ZIHxfReyPEWdQIDx_KhQoI5ee6x2INq589v1L-pJm9dhRXhvwEIBHTeI4EiDUkWh9fQERbGYIGgUCLuwx7vszAScP7xyc8o74lWOKGBjh0n3PSZaq2cLFQCvMU_-A0pn42acSDz2CH2H8gcgWrERfXYF-dZ8bRN_0gP11SAoGsPKa6CQ9Uid08oCu5VSMBh&__tn__=%2CO%2CP-R,kvl o
