id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0vf5xmsq6QAoFWjiDrfVtQYoNqeUgQXFy5DoDnnSZe7kqPTJjwg7qEunTqnpDHMvpl,Al Hadath Lebanon الحدث اللبناني,0,0,"كتب وزير الأشغال العامة والنقل في حكومة تصريف الأعمال علي حميه عبر منصة ""اكس"": ""تعبيراً عن وضع التزامنا بالسعي لإعادة الإنارة إلى أنفاق المطار الكوكودي موضع التنفيذ، يهم وزارة الاشغال العامة والنقل بأن تعلن وبدءًا من يوم الإثنين ١٣/١١/٢٠٢٣ انطلاق ورشة تركيب الواح الطاقة الشمسية في المطار وتركيب المصابيح المخصصة داخل أنفاقه.",2023-11-13:00:01,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 2 7 5 5 1 _ 3 4 5 0 4 7 9 9 1 5 0 8 5 9 8 _ 2 9 0 2 7 9 2 1 6 2 7 5 7 4 3 7 8 0 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = C J 7 z 8 _ 5 i 8 W o A X _ 9 j 2 U c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B N _ 3 K - K V x X G b - O p J q o B o I h 9 u e d 1 4 N 8 R f 2 4 l V T B H a v x - Q & o e = 6 5 5 6 0 A 6 D,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid0vf5xmsq6QAoFWjiDrfVtQYoNqeUgQXFy5DoDnnSZe7kqPTJjwg7qEunTqnpDHMvpl?__cft__[0]=AZUh2LIP35mYo0vAHGT2DbbXgzue8cJELHyJ-OcNCwv6RFMJ0gso_NNkpngtw5ZH1RsYHF9rJVRQIpxqD2j3zREXI_KZSkYzNSsL_f2vf6Gb6SuU2qWNXMCUdZD1YxMyUOCzRJoowM761DoSHVeEYZ4w1kQdxMSFK4KteAMpSIMEHPfs8LlQYIL8LZ3N_bPVy9ANak9wxY8jEAjowK87itRw&__tn__=%2CO%2CP-R,"وز تت ٠‏ ل ) م 4 1 1 3 اع !8 N S, O‏ 4 | ر # الحدث_اللبناني y‏ _- 1 حميه: انطلاققرهة تركيب algli‏ الطاقة الشمسية فوهالهظاريه؟ م"
pfbid0wJ7FYagh7dN5ZbBMqGUMDgyERCsDxqTmCTaVcvxHjdiVRrrHQtdzuNeEEXAVZZBal,Al Hadath Lebanon الحدث اللبناني,0,0,"أكسيوس: أوستن حذر إسرائيل من فتح جبهة ثانية مع ""حزب الله""",2023-11-12:23:47,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 6 4 3 4 8 0 7 4 7 7 5 0 8 8 7 5 2 5 5 ? u r l = h t t p s % 3 A % 2 F % 2 F v i d . a l a r a b i y a . n e t % 2 F i m a g e s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 0 1 % 2 F 5 4 e 9 f c 1 3 - b 3 1 6 - 4 b e 1 - a f 9 2 - f e 7 7 6 7 3 a e 6 c d % 2 F 5 4 e 9 f c 1 3 - b 3 1 6 - 4 b e 1 - a f 9 2 - f e 7 7 6 7 3 a e 6 c d _ 1 6 x 9 _ 6 0 0 x 3 3 8 . J P G & f b _ o b o = 1 & u t l d = a l a r a b i y a . n e t & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F q v 3 X p a c V T 4 e E f o t Z e f R p J Q _ 7 c n E - b O 8 T P D F a G 5 E X 6 O w & o e = 6 5 5 3 1 2 E C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid0wJ7FYagh7dN5ZbBMqGUMDgyERCsDxqTmCTaVcvxHjdiVRrrHQtdzuNeEEXAVZZBal?__cft__[0]=AZXV2hIpTJXwiUZwlPg5YbnXL2FjocUnwWGjl1KKdRksJTFUgsZSsH9s4pek8IbGuXUqgeDUn2PCzF_mI4d0L2HoUalAJZSlIxpJrWgOmBAKF5mQN33Ss7NrKDFarL-wpbDMw3SUJB-pUvNRpD59Tf3KHMGNQsTj-GbeBA7GtqxtgtyALc_9k2biXceRlTroGewQ6e60I-E0UZmQAnsgLfkO&__tn__=%2CO%2CP-R,A U e e v 8 L بجوو و66‎ ; N b ومممي‎
pfbid0g7YjRhtyWWKJpQYSjFaDXg65jGZbiEMGatYy7BhK13divTy7LjgxZmgigefS3TCNl,Al Hadath Lebanon الحدث اللبناني,0,0,أكسيوس: غالانت أبلغ نظيره الأميركي أن حزب الله يصعد هجماته التي شملت هجوما بطائرة مسيرة من سوريا على إيلات,2023-11-12:23:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 2 4 0 7 5 1 _ 3 4 5 0 4 4 1 1 1 5 0 8 9 8 6 _ 1 4 5 7 5 0 4 7 7 7 4 6 3 6 2 7 2 4 9 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = b 3 e o y Y v 1 1 Y A A X - I 9 n 8 t & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D J k 2 Y 9 O N p j S f J 1 5 F S 9 4 I g Y B D c z x 4 L X v j c Y S J Y u u U r H K w & o e = 6 5 5 5 A 3 1 5,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid0g7YjRhtyWWKJpQYSjFaDXg65jGZbiEMGatYy7BhK13divTy7LjgxZmgigefS3TCNl?__cft__[0]=AZVG-IU-DwQ678VDD3k3RDxAe_-Qt0kNoYbX4YVPYtQjiK2qkaIgJQxdoUBhFVNcFmR8vkre0LpnzqWTThjyR30l_4bBKWUdLHhkmNp9XuQvZ05vvZd5ac91KCWJOlOcacgKWA4NDose-53YrFCH6orFoFCic7SHbcwAbHA7LpaoRWzS0xW0tOL1-1UDgSn2XGX2_6CsM0Sp6papnJwKnkDr&__tn__=%2CO%2CP-R,7 »ا L‏ اجا ١‏ i <‏ أكسيوس: غالانث أبلغ - مسمهدة ‏ . شملت هجوما بطائرة ‏ مسيرة من سوريا على إيلات
pfbid09P8TEjEBka2FaCgoJwfTUNZByeZuuF9kt2JezLdTHmffqDBdwf2hUFauDYTKDm5nl,Al Hadath Lebanon الحدث اللبناني,0,0,أكسيوس عن مصدر إسرائيلي: إدارة بايدن تشعر بالقلق من تهديدات غالانت العلنية لحزب الله,2023-11-12:23:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 2 6 9 2 5 5 _ 3 4 5 0 4 3 1 2 8 1 7 5 7 5 1 _ 4 6 4 5 6 0 4 0 6 8 2 3 9 1 8 4 6 2 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = w C o w h E G 5 z J g A X 8 E y e V 3 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D g b Y k m - V K g V F T C r f h G x 0 _ U P 3 d i r 8 8 I p z F u C v P N J 4 e y L w & o e = 6 5 5 6 8 1 B D,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid09P8TEjEBka2FaCgoJwfTUNZByeZuuF9kt2JezLdTHmffqDBdwf2hUFauDYTKDm5nl?__cft__[0]=AZVPE2aBpq0KXe_Y0sCWEsbQswDFxrEInR8hEfjyK_tbqtRtJpV7b-C5ha1mDg69sy0fV9nw4Io03A83vG2qY6jtC95mfTvqyFevel9ujV41hmWcKP-kKR8NIg9IiHqdqtzQIZ20_FnPN3R7-Yh6TVrXU3llxQ6zZAAetevP_rrcjZ84QWhyW34out6Z7urGmuTNWwiaSgIWOJdZqm1BQvqI&__tn__=%2CO%2CP-R,7 »ا | ل‎ =L L إسرائيلي: إدارة بايدن - تشعر تشعر بالقلق من تهديدات . غالانت العلنية لحزب الثم
pfbid0LXyqb8XJUzQ1V5mXPBgRuMsrAg8JP5S6S9qxTsAqDd5fu21u2cj1PS2QTMQ4rvjrl,Al Hadath Lebanon الحدث اللبناني,1,2,أكسيوس: غالانت أبلغ أوستن أن سياسة إسرائيل هي عدم فتح جبهة ثانية في لبنان,2023-11-12:23:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 8 7 9 4 1 _ 3 4 5 0 4 2 1 6 1 5 0 9 1 8 1 _ 6 9 8 5 8 5 8 8 8 5 2 5 5 4 1 9 2 8 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = - b s V 1 1 - 5 M M o A X _ 1 Y Q D s & _ n c _ o c = A Q l F x o 9 S Y T B d l N 8 R G h n 0 _ L x b y 7 5 q F H C u t K 6 7 J S A k 6 9 y h 5 u p Y y Z M l F W 0 N o O q G K D d 3 e q w & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C g y j U p l b e 1 G T Y 8 e _ A 9 W r O 1 g H Z 2 2 0 f p F c c g 0 t i 4 S I s b y w & o e = 6 5 5 7 1 E F A,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid0LXyqb8XJUzQ1V5mXPBgRuMsrAg8JP5S6S9qxTsAqDd5fu21u2cj1PS2QTMQ4rvjrl?__cft__[0]=AZX7X1K3sVlMP9qbCgAVGFeisK6ablDR4TXUdrQ6GhSwCDCxihkIP8z95J_hvVB8bkcSR7f3Fy3WdeRorHpRZHPH_7-PbHEJDwJqxEqzjsJz5BUNitiuBE6267X9C2YFGMEDDRXssxkfHywiCvC5I7gjvSj3HZafiM9x-Od3ENfEHSon-bah6VZrEAcrg_7TlQJajKvP3rZUyBdAwmx82-1p&__tn__=%2CO%2CP-R,4 »ا . i ٠ . الأميركي أن سياسة إسرائيل‎ | ب ا جبسة ثانية‎
pfbid02fNjeToW4KSVjinEGZd3oYgmgohmPDYnWXLjYCDhkuGjgqTywzL886BA26ewKoGmZl,Al Hadath Lebanon الحدث اللبناني,1,5,أكسيوس: وزير الدفاع الأميركي طلب من إسرائيل تجنب الخطوات التي قد تؤدي إلى حرب شاملة مع حزب الله,2023-11-12:23:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 8 1 2 5 5 _ 3 4 5 0 4 1 6 3 4 8 4 2 5 6 7 _ 2 3 2 5 6 0 7 3 8 5 2 8 4 0 0 9 7 2 9 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = k p k X D R y x U v w A X - t m 1 o U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C d 5 m R M i D U N S L - B 2 _ S Y a f d 1 O x N m 4 q f 7 m X g T O v m g 8 T q U Y A & o e = 6 5 5 5 D 5 4 A,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid02fNjeToW4KSVjinEGZd3oYgmgohmPDYnWXLjYCDhkuGjgqTywzL886BA26ewKoGmZl?__cft__[0]=AZW-HMSP2CreBibrgjG8-qgd2L4rVIKru29Evo6FXJfhwYzP1YiAmtZ41T_XR84ZJdnnBO755rxFGbWK9xiatiJ5VCH8sTU9zYq6lK8-PNSGIJc2QNaFg9rmW_-2lKbVA9qI7mik9PksI9lsIFCLjss7Dhg0M5QT4Z3GzdVyLKqUJI4qkE3DCenPmzeHr5wwft6w-0JHF_ZIBPnnj-hIXQt2&__tn__=%2CO%2CP-R,"7 »ا > ا ٠‏ أكسيوس: وزير الدفاء - الأميركيّ طلب من إسرائيل.."" تؤديا إلى حرب شاملة كر حزب انتقه -"
pfbid034NJPtaa2eAyyYuCUcLxEyRPeWUK8S5KopCcYzkkVNWBRpVHbKSU4h89tp85WxukVl,Al Hadath Lebanon الحدث اللبناني,1,10,أكسيوس عن مصادر: وزير الدفاع الأميركي حذر نظيره الإسرائيلي بشأن العمليات في لبنان,2023-11-12:23:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 7 5 7 6 9 _ 3 4 5 0 4 0 7 3 1 5 0 9 3 2 4 _ 6 0 2 0 1 4 6 3 7 9 7 7 3 5 0 4 0 2 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c r 8 1 M q i l r S k A X - A K i r h & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A e Y 6 T q Q 6 p 7 k 6 W h x 0 M r N 7 H u q q c Z p X - V W s Z 0 t I V x _ r u 1 o Q & o e = 6 5 5 6 8 1 9 D,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid034NJPtaa2eAyyYuCUcLxEyRPeWUK8S5KopCcYzkkVNWBRpVHbKSU4h89tp85WxukVl?__cft__[0]=AZVPxiVL_b-9u_I0DSxC9-oQb7f56iGCvPYP0wYq93uwVfb3Y640we8gnyAHiGC1aIHX9zW9cDxL2SOuiybpbs0ymwoYeIHVCQoFbRDm0hL2wyFeENgOIw_aLqccdj5yBGGMV60psf4CtmAvV73Up7rhwm-KMCiyGPMU6rMAKIGTNv56r3kTYreC8mWEFfa84tMR4ukqbjto5iJBcR4n0WV0&__tn__=%2CO%2CP-R,"4 "" لا alL L‏ حك 1 ض < [ . أكسيّوس عن مَصاد؛ وزير .. 5 ""الدقاع الأميركي حذر نظيره - الإسرائيلي بشان العمليات |"
pfbid02yNuc5kTRMaKwro2mwMe5mLa5xBny3k4V6yeXXd7XqQd4QwpsVL36fj1JWRYrBAFl,Al Hadath Lebanon الحدث اللبناني,2,9,"هل تحدث المواجهة الكبرى بين #حزب_الله و #إسرائيل بعد تصعيد ""هو الأعنف"" ومؤشرات متزايدة على حرب ""حقيقية"" بينهما؟.. الكاتب السياسي أسعد بشارة يجيب#لبنان#الحدث",2023-11-12:22:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 1 6 4 6 8 4 _ 3 0 7 5 3 6 0 0 2 2 0 8 2 4 9 _ 3 2 9 6 2 2 4 7 6 9 7 5 1 2 3 6 7 2 3 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 3 q k S 7 b _ N D w Y A X _ L l 1 4 l & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D S B m r z f c Y z _ w i i 9 z e X o 5 b g v c R g D R b S 8 F 7 P 0 i f N f L 9 P S Q & o e = 6 5 5 7 1 5 7 F,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid02yNuc5kTRMaKwro2mwMe5mLa5xBny3k4V6yeXXd7XqQd4QwpsVL36fj1JWRYrBAFl?__cft__[0]=AZW5I1a0nnjZd7qXWg1uz1saiN1JiaCSvEuXa-VwlORyx00Sk869NK9dXhy1tSWKncEs15Rj3hI_sesF1L5uXCPIZ2ensrc2C67QsMGvB1Rfh1HHmVTqYu7MHTRLb2GXlk5sJ1kZ6fUTCLeWpu12lpv7MyP-Xn9J4REkYMG1ms7EW21F0rbwMLHlHG7d-05mmFlKUpxAfd2dMv6EJnNx-Rwv&__tn__=%2CO%2CP-R,o Y e و‎ S il puulg 1ل ورين حزبا النه‎
pfbid02bs4PXpvNucWecVTXEGjHCQPiabU6Qoffja4mSegNDY26yZ6G7jbPa4F7xFd3qvoVl,Al Hadath Lebanon الحدث اللبناني,1,5,"كتبت النائبة حليمة قعقور، في منشور على حسابها عبر منصة ""إكس"": ""على قوات الأمن اللبنانيّة إطلاق سراح الناشطيَن باسم جوني وخضر أنور من الاتحاد الطلابيّ العام فورًا دون تأخير"". يذكر أن شابين لبنانيين أقدما عصر اليوم على نزع العلم الفرنسي من السفارة الفرنسية ووضع العلم الفلسطيني مكانه، وعلى الاثر تحرك الجيش اللبناني وقام بتوقيفهما"".",2023-11-12:22:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 4 3 9 7 4 _ 3 4 5 0 1 7 6 1 8 1 7 8 3 0 2 _ 7 6 8 3 0 3 5 7 4 7 9 4 3 7 7 7 6 3 8 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = b 5 H Z a H o n V J Q A X 8 l I e J _ & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B X T f T q p w d P N W D H K 3 w b M i n R 9 1 O 8 D m A 6 l k J A y Z 7 v 2 n y W U A & o e = 6 5 5 6 3 9 3 6,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid02bs4PXpvNucWecVTXEGjHCQPiabU6Qoffja4mSegNDY26yZ6G7jbPa4F7xFd3qvoVl?__cft__[0]=AZWrSUbZVJar7pwQxyjgdG3g9gtb-jKhUst1girdJV_nRFPo5jFWMWV7t0RuXUCE-Q9z_zN-xMZBBGCg9CGytqSbsouBH5ImOZFsHcplxVhSX_NsM0E18DQoPahsBjAmZMsY-hcZPlETM85WAvYJC2yQ-9OHEohnjwYlUI_MVh6W7Nk8BDa_m3AGI0Ewo42nCyb1XQyY2mLBO2kSA65FMNZU&__tn__=%2CO%2CP-R,"£ .I""’ 7 e 4 7 -\ 7 ١ حا ل‎ & 7~ ] SOl - B ا‎ | # الحدث_اللبناني مق 7٠7‏ مكمفور طالب بإطلاق سراح كانه ين ١‏ لبنانيين؟ ~= - تح"
pfbid0214Cd1Jtd4uYJfqPcyRvsc8wdubHuxR9EAumEogFRHieByvEwgo9XeTDNd383ReRml,Al Hadath Lebanon الحدث اللبناني,0,0,"كتب رئيس حزب ""الكتائب اللبنانية"" النائب سامي الجميل، في منشور على حسابه عبر منصة ""إكس"": ""أولويتنا ألّا يحصل بعائلاتنا وأولادنا وشبابنا ونسائنا في الجنوب، وكل لبنان ما يحصل في غزة"". وشدّد على أن ""واجب الداخل منع حزب الله من التصعيد أيضاً، كما على الحكومة اللبنانية تحمّل مسوؤلياتها وإرسال الجيش بشكل كثيف إلى الجنوب"".",2023-11-12:22:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 9 1 1 3 7 _ 3 4 5 0 1 3 3 2 4 8 4 5 3 9 8 _ 3 8 3 6 5 9 6 4 1 1 9 0 0 4 0 7 1 2 9 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = k f K K C Z h X t U g A X 8 g p 5 j h & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B u _ A 5 l v Q z m t F D _ o A 6 r u j 5 m 7 m E v 1 A K X h p J i T L m v 7 - W 6 B A & o e = 6 5 5 5 F 3 E 8,https://www.facebook.com/AlHadath.Lebanon/posts/pfbid0214Cd1Jtd4uYJfqPcyRvsc8wdubHuxR9EAumEogFRHieByvEwgo9XeTDNd383ReRml?__cft__[0]=AZUzDC7UxjJWLipepUe8HndYikCM4Soqw41RO2eO1yB7-mP8xq98tGSdJux_3YAOYaQ4xgzwAvrKUQTuKtBdlBe1b1AYAHr4F9YwHc7Fud3Gk8aZLt12EajJLdExWapfTD702OUNTkVWxZhJg0X6_YK99CtJSSP5wChurJRtyPYwTYE79A136lG3-m-7iQee5whMNkJk_XC-M4cs6XfuIOfm&__tn__=%2CO%2CP-R,27 £ i o‏ | الجميل: على احزب انثه من التصعيد L I‏
