id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0FYgaYGEKESfEhKMhyPPakkydS3Dg8DDnps9wNEqVTyBj8WMZK6U42MRioGtwmcXsl,Al Jazeera World,465,316,"In May 2021, Israeli warplanes bombed and demolished four residential and commercial towers in Gaza, which also housed international media organisations including Al Jazeera Media Network and the Associated Press.Why did Israel attack these buildings? Full documentary : aje.me/60min",2023-11-04:19:51,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 3 9 0 3 8 1 _ 8 6 9 0 0 7 7 9 4 5 9 7 8 1 7 _ 1 2 0 6 2 1 6 9 7 2 5 4 1 4 7 8 3 9 6 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = K y x Z - L s H 1 D 8 A X 8 J P g j E & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D L i P Q V g z d b 1 F m C k i S 7 L O S F i H k N t u - F e y 6 a o G i R 8 T d _ A A & o e = 6 5 5 5 3 C 1 6,https://www.facebook.com/AlJazeeraWorld/posts/pfbid0FYgaYGEKESfEhKMhyPPakkydS3Dg8DDnps9wNEqVTyBj8WMZK6U42MRioGtwmcXsl?__cft__[0]=AZXpaf49aJg_4zpQpsXYUDyt-uQZjIdc04c0JpLh-OoKO4BSwxvwdUPyAsRZ2i9V5DoX9vKFzV-n3KA7z8MrJGrl_SZ_yOp46PZ1JBkoF7pVgixGb1EGpyUkXGEU9_poQCqFiRJHKX0upN9g_woMaf5jZZ7lWRqBB205mF4qcQMn2SN4PM9FryJg_OeCQfv21s4-Sxz4F1pTRa8tfDUl_jye&__tn__=%2CO%2CP-R,"d. 5 1 الأب - دلقي‎ r = ) TR ع‎ 7 - "" — | , MM oIS - انا‎ THE BOMBING OF FOUR TOWERS IN طحن‎ IN MAY 2021"
pfbid03amACWeLNd6iXbGYwBoT7JLxMiJBfSaPonxSU5Rg141G7FjE3jRRKXNoJTQJWRHfl,Al Jazeera World,17,36,"'They say that everything we do is satanic but it’s our culture and our way of life.’In a remote village in Ivory Coast, young men endure tough physical and mental challenges to be accepted as adults. Watch the film: aje.me/sacred",2023-11-12:17:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 2 7 2 7 7 7 6 5 9 _ 3 1 8 6 0 7 9 9 0 2 0 2 5 6 5 _ 3 0 2 0 3 6 9 8 5 7 0 0 3 9 7 5 7 3 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = q 3 Q 6 Q Y a I G K E A X 8 D c D u F & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D C g 6 P L _ i c 8 k i C R F Y k p P s f t 7 K z r x G B v s h 7 J C 1 Y n E G s L 9 g & o e = 6 5 5 6 0 E 3 A,https://www.facebook.com/AlJazeeraWorld/posts/pfbid03amACWeLNd6iXbGYwBoT7JLxMiJBfSaPonxSU5Rg141G7FjE3jRRKXNoJTQJWRHfl?__cft__[0]=AZXzItuiLCuIyLraYGSd_JL7n6gOb7fr4sBV4hbEz7yKfbTVIksSv8459LkBQibTKZsETdCKmrcPTH7Ku42CM_LKhM0ktego9H7EtPGYdoBXr2ddZQRjaCK7n8E34oU9uTeM_Mrhm5Gl5hWwIdLe1OkKB8m2Tug_39DGPm2PXbBmHTpmqOq9A1q6BOwZh3UW1UyglHaP8W7O4zyOWsB2YwZ-&__tn__=%2CO%2CP-R,"ALJAZEERA / ""‘ - e -‏ لق نيه الا الج The Sacred Woods ._=‏ Coast‏ بوملا A coming-of-age ritualin‏"
pfbid0siVxqJw8HUfkXjpCgxxQdTJnYWqfaNGdZoQJZh11QArqEGTxjSHacUU8iV1NL2wtl,Al Jazeera World,23,26,"As two young Palestinians try to start a life together in a Beirut refugee camp, they face problems setting up a home.Watch the film: https://aje.me/shatila",2023-11-12:17:34,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 2 6 7 8 6 0 7 0 _ 9 3 6 7 7 2 3 8 7 4 8 2 6 5 4 _ 7 7 9 7 9 1 6 8 8 7 4 1 9 7 6 6 2 4 5 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 1 T 8 6 P n u y 4 d A A X 8 r _ 9 x Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B p _ o c G t C T 9 - W D u 5 V E q L U m - d s 1 u F Z A O d J l y e z a 2 n A v M h A & o e = 6 5 5 6 5 6 7 8,https://www.facebook.com/AlJazeeraWorld/posts/pfbid0siVxqJw8HUfkXjpCgxxQdTJnYWqfaNGdZoQJZh11QArqEGTxjSHacUU8iV1NL2wtl?__cft__[0]=AZVNdalc-Cm7bLKbrLQ-PeeVBt0UWhMlkxBctgGp2waIxX5SKUxwMldTsJw9ZNUQRizTDs2q2tNB_GNtHB6OQCNictPRcw6pCzFFviMn99Y_oCZR57omgAVBTwkYw2X0pohmyKbUeIPLiimA0vQnKzX5f6H5DYpdhh83P7nHwhRVGnwlLj8yAEurgLz6w6jzRGfExGLl2LgdE8by_m90IXYr&__tn__=%2CO%2CP-R,"> ! |- D 4 | روا‎ Lo : ا‎ . T @ e i > )2~ % “‘; 9 8 5 7 i e - كت 2 أل‎ s B . ’ P 1 T 7 o 0 : "" ‘ كط ' ل‎ 0 2 b Sl سًَ ا - & او‎ 1 . 'y مط‎ \ | B \ ' / S 3 1 T A PALESTINIAN COUPLE SEARCHES FOR HOME"
pfbid0AYcyoyeuUzJXmFsHRRECv9Qn5w4DrVXSKVPw6iCfAwhmrKWMhas99HqATomGmhgWl,Al Jazeera World,65,16,"Marking the 20th anniversary of the death of Edward Said, American-Palestinian writer, academic and champion of the Palestinian cause in the West. Find out more about his legacy in the film: https://aje.me/edward",2023-11-12:17:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 0 0 7 4 6 7 2 _ 6 6 9 1 8 0 1 7 5 1 7 9 6 5 9 _ 7 0 2 3 1 2 9 5 6 2 6 6 4 6 1 3 6 1 0 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = I K 8 7 d j Q 8 3 - w A X _ j w f O R & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C 2 u B 1 s G T 5 q i z x R _ W i L 9 w b c Y K S G L X x P O k 5 e q i q S l A v c m g & o e = 6 5 5 5 6 0 7 D,https://www.facebook.com/AlJazeeraWorld/posts/pfbid0AYcyoyeuUzJXmFsHRRECv9Qn5w4DrVXSKVPw6iCfAwhmrKWMhas99HqATomGmhgWl?__cft__[0]=AZVQaeymc2xIy6Qn9r3pQLyfSEnPSf0xMPrthZU5uKIGFK-0He1Kk-s7S0Gmmi_hCPvcIGDbMkVil1NGQlQILa3No-nqW_9YYTr_BayKrsgS8IKXn49b3UvgSVLa4N5f0UIO62D3J-Bk6e4WbHdNXeFRSFNjJN44lotzbJ5133SjRJnR3F4jqSp1u93EUsjZ3CaAqF3KRRk2JWQncrj5PRoY&__tn__=%2CO%2CP-R,- { g \ ) = 1 | == i E ‘ 14 THE AMERICAN-PALESTINIAN WRITER
pfbid02sKTNA69R8KxCnr9zpVQcRmz1o3ZW1HfQ8Xs7qBW7SU7cWmRQRKDsLaWw9rrnzpEDl,Al Jazeera World,0,0,This is the story of the Tunisian politician who transformed the country’s economy in the 1970s.Watch the film: https://aje.me/hedi,2023-11-12:17:45,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 9 6 3 0 5 5 4 _ 8 4 6 9 0 4 9 5 0 0 1 5 6 8 5 _ 2 5 4 3 1 0 6 2 9 0 8 9 4 3 3 5 1 8 1 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = V a 0 k s q j 8 j a E A X _ j e a 5 H & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A l M K J 6 4 L O Z L i r X 7 X 2 R n 4 K p E j w s j J 1 W s q 4 L - f g 0 m K E R m w & o e = 6 5 5 5 2 3 C E,https://www.facebook.com/AlJazeeraWorld/posts/pfbid02sKTNA69R8KxCnr9zpVQcRmz1o3ZW1HfQ8Xs7qBW7SU7cWmRQRKDsLaWw9rrnzpEDl?__cft__[0]=AZXbmZ3uwRpZvJzCikDrXBc7gWOWh-M1FptYNDSzd_Hz0DOYBx3XL0tU7h4_WqSq5KEs0fah6SJp6cUsRVaI6TgFzHxWg9ENOhQEbU7g76grkAGTYsJKbsfJknABXAH9-s3k2nKpIVzg79J110sHaKzKGEJ6s4Xk5OnQSp_AULQP7kxlkDMz6lm4t4pLLbiRb6IWI1yCSMgrCSpOhMC5_f3Z&__tn__=%2CO%2CP-R,"g 0 0 اط‎ ""- م‎ s e & ل«‎ 1 __ i الجا‎ % 04 هد‎ THE TRANSFORMER OF TUNISIA'S ECONOMY"
pfbid02Np89K8rSP6BjY4TrqXBDkimeqvucUPNCLGKWxteMjY9D3hbNQaUEjymyFdxbAq4Rl,Al Jazeera World,8,6,The Iraqi Power Broker - coming soon to Al Jazeera World,2023-11-12:17:40,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 4 5 2 4 4 2 9 9 _ 1 0 3 3 4 0 9 9 1 0 9 5 5 7 4 2 _ 5 9 1 0 1 0 9 3 6 4 2 0 6 0 8 4 8 8 0 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 0 6 i 8 N Z B 1 n d k A X 9 3 P 6 _ o & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C 4 - H J l B C h H P z f a n 5 _ z q D N s 1 i Q 1 i u R g A r y j k k z 5 c W N 9 T A & o e = 6 5 5 6 2 B 0 A,https://www.facebook.com/AlJazeeraWorld/posts/pfbid02Np89K8rSP6BjY4TrqXBDkimeqvucUPNCLGKWxteMjY9D3hbNQaUEjymyFdxbAq4Rl?__cft__[0]=AZUT7pvIJcqtzgSG92eTvdsvtF0HQ46dkU-g6FrX41HNd_ng9PbYSzo3-S8UBz5aK_epHx-dkE8VxMuqWC9RMZJdxTGCPf7PYKaYLJO7_W0ASGcu1eX3g4pCn41yGjZeqtmRphWkrl8G1dN1CJ4UoFwraMcWU-vixEwzIy_5GMFU22fMQD3_0uQ9tPMCrboF8cEneafDMA_c4ymsvjAsuD5D&__tn__=%2CO%2CP-R,"- = * o . o g ! . . ‘ 0 who survived B exile and the'c نم""‎ of two kings = i"
pfbid0gzf5i5qJJnBfKiPeHwJ7Gw7kmEvtnJAPZ7HZHa8RpznsGeDTuXA4rRroeWmLZ2tDl,Al Jazeera World,38,23,"The story of Dr. Ibrahim Oweiss, a renowned Egyptian economist who taught former US president Clinton and the King of Spain. Watch the full documentary: aje.me/moneymen",2023-11-12:17:44,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 4 7 1 4 7 1 8 9 _ 1 2 8 0 3 1 9 6 1 2 6 1 7 3 1 2 _ 5 7 0 9 2 8 1 0 1 3 0 9 6 8 8 3 5 7 3 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 5 b i W o y P 8 l p s A X _ T O d C 2 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D n 2 y 0 J n R F x x F c U G G l Y x c g m N V _ r L A O R C H a j i Y x A e G J f F A & o e = 6 5 5 5 7 1 0 4,https://www.facebook.com/AlJazeeraWorld/posts/pfbid0gzf5i5qJJnBfKiPeHwJ7Gw7kmEvtnJAPZ7HZHa8RpznsGeDTuXA4rRroeWmLZ2tDl?__cft__[0]=AZWUwnccSYkTA8wayd-Vfc0p2dPDExXhSDLFOb5K8cWzXu2UAkEWao35sZ7U820OL5s4t1nArulAWfbuhrKXM-UtIqIairQXZoZTFzMI-lQplFfrMZB4ThTDSmfT-2xmsIOpcYGDssBSibsL_wNj9rG1LdIqvBpczMzVhCpX_pdjGZ9U_gbRTux1RKqMAnhoPXZK1zxNFZ7X_78sKgnqaK87&__tn__=%2CO%2CP-R,1 27 اا‎ ALJAZEERA \ vﬂ- م‎ - ص‎ - ) e .. B Egyptian ل‎ Dr. 58100 Oweiss
pfbid026J8fMLKQisnvN1Ago51M11CdSvdXpe9GLMJ1Ugvu5WRg2stg7CeT8DzrKad73W1ul,Al Jazeera World,7,5,"In a creative act of dissent, a Palestinian artist makes a postage stamp symbolising freedom from Israeli occupation.As the world marks #Nakba this week, watch ""Palestine Sunbird: A Stamp of Defiance’: https://aje.io/8evjs",2023-11-12:17:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 1 0 0 7 4 5 0 7 4 _ 3 2 6 3 8 9 0 9 8 0 2 8 9 8 9 2 _ 2 4 3 6 2 3 4 3 1 2 1 9 4 9 8 1 8 8 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = z z C H 7 w 5 C N k s A X 8 t 8 v d 9 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B N b H G x A i g 8 S 5 z 1 d V t t n V z x W x J s W P P f l B Y b P N Y e 6 f g P V A & o e = 6 5 5 5 1 3 F 4,https://www.facebook.com/AlJazeeraWorld/posts/pfbid026J8fMLKQisnvN1Ago51M11CdSvdXpe9GLMJ1Ugvu5WRg2stg7CeT8DzrKad73W1ul?__cft__[0]=AZXepKsP_1LoDq5G4NRDcUWaqNvlmziigtLdrkMFgEArCjafaVXBVYX-qPoKMjU_DH56DEwbJfRe3W7FLyqDTPKB1ysZZ_Cb1FOQZRyIOW_s6jZ-1Gw4AkO7NiySpAlwr9Z5UsWhDpUgO3z5pBVxIzV-p1vCkLcm58qk0AHb-yKjCoVQwkLTuqtmst4W_UFIdpsq2IrkGe7D1WuAjd6CWe57&__tn__=%2CO%2CP-R,=/ ا‎ ا ا‎ THE 'STATE OF PALESTINE'
pfbid02VUBVXZqkAc4sfUYmZcTs4WvCKUj13GKBggF6AhhN4XqMX1aeiLdWSS1EL5Q5LyMPl,Al Jazeera World,0,0,"Discover the remarkable story of Fouad Chehab, the soldier-turned-president who shaped modern Lebanon.Watch the film now at http://aje.me/fchehab",2023-11-12:17:52,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 4 5 9 8 2 4 8 7 _ 1 8 1 7 0 7 5 5 1 0 9 4 8 0 2 _ 8 1 0 5 1 4 9 1 9 1 5 5 4 3 1 0 7 2 8 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = o l I Q 0 A D u Q 7 o A X - Y _ 3 w 1 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C q g 8 n v T L _ H h 4 e J t h I 1 w q p 0 U y E V c 3 C V v Y S p s S x S l 2 O h k A & o e = 6 5 5 5 E B E 2,https://www.facebook.com/AlJazeeraWorld/posts/pfbid02VUBVXZqkAc4sfUYmZcTs4WvCKUj13GKBggF6AhhN4XqMX1aeiLdWSS1EL5Q5LyMPl?__cft__[0]=AZWwL-bVGj0q5rvShNLVSQf2z3t44a1IhxRVMWYx1m-02_zZDh7gMkb0wRefhylQl93GViU-hzD2faqDC3P51Ugh5I1l8YuTX1CxiUXr1B5w4qZ4xi5OQufTAEExOSfDedHhYy4jX6kvSVvl0_VqVRZTlpXVhfLKHIt2lsP5d2hPWjgqo8n2xzV_5Q7bkmFqA5y4AIoEPdQM1CHvEt6ZdjFL&__tn__=%2CO%2CP-R,"‘"" b 3 The soldier si:ét_esman Fouad Chehab"
pfbid0kXyNpLNhUxi7CkVJxghYRdBSEwkZzYTvvpQtR42JQzmmRsp7ng6BKREJy2sw5ySGl,Al Jazeera World,15,9,Musicians and singers tell stories of the Arab world’s best-loved songs and chants for the holy month.Watch ‘Four Ramadan Songs’: aje.io/rn6t7,2023-11-12:17:35,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 3 8 3 2 4 6 4 2 _ 5 1 7 3 9 9 1 4 0 6 0 0 6 2 3 _ 5 9 6 8 7 2 9 6 2 8 3 0 5 6 7 9 2 3 8 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = E N w C N Z B - D P A A X 8 8 z o z E & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B B P 7 N U c e x R r S D o F s a l K u 3 Y J E _ P X l K M H L J j p f y R r v q e J w & o e = 6 5 5 6 9 3 0 6,https://www.facebook.com/AlJazeeraWorld/posts/pfbid0kXyNpLNhUxi7CkVJxghYRdBSEwkZzYTvvpQtR42JQzmmRsp7ng6BKREJy2sw5ySGl?__cft__[0]=AZWVeNbdpSj2ylp4GIm3JEToz4xE6w7_kOzSyoQyKBPqw6sdkX4Jgj3n4WHMip45E42DuF5l3-wI77xtgvyrD_iNaDA8grQvehuR9fdZnyNw8vkSiCyxOogVoI1lRUOTLTOgLM99r-ytvKoqDr2NxJaEt22zjPNlooYknDMeuwJSE3oTHq9qSCzxB8ZOJu-3o5DA1m7zxQVSmChm13tb07yp&__tn__=%2CO%2CP-R,"4 > ¥ ؟‎ 34 . E ‘ تدا‎ "" » N 0 8. ) (D g v ل‎ 3 ol = l\' | ‘ * - C: © 0 ا‎ p : ol AL JAZEERA WORLD ' | 7 ماب‎ / 4 . ""د١ ل‎ ( ! ' ,"
