id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02p54vFisHXeSX8hf6yc9UQY59wP2dnnnawoDuhk3hpeJPeh5yrs89K93M5KCWXWBRl,العربية سوريا - Al Arabiya Syria,0,0,‏تاس: مسؤول روسي يقول إن طائرتين إسرائيليتين ضربتا منشآت في درعا بسوريا من أجواء الجولان ‎#العربية_عاجل #العربية #سوريا #العربية_سوريا,2023-11-13:00:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 5 6 1 9 7 _ 7 3 9 0 9 9 8 6 8 2 5 8 2 4 1 _ 1 5 1 8 3 5 7 2 1 2 8 8 6 7 6 2 4 9 1 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 2 A Z M y _ q x D o A A X _ 0 8 B d i & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A i s i i y i 7 Z g R k b a 2 Q K T d 0 r A Z O D j G K a l T b j 1 l a L 4 c j x h d w & o e = 6 5 5 5 E 6 9 C,https://www.facebook.com/Alarabiya.syria/posts/pfbid02p54vFisHXeSX8hf6yc9UQY59wP2dnnnawoDuhk3hpeJPeh5yrs89K93M5KCWXWBRl?__cft__[0]=AZWcIHaF6V7_85sM5Cq5LOKILlBvsXC6_6Xu15XhGpzthKhFYQceM-MsyUcwB6UkYwvdDMjEUS1KhGbkLsiuZxHbMUSMzsSbcdJK7qKZRTIhd6WQLDnxpwPqdlC3vJjs47cK_mJBWjgIqjnuT-Dd9B5kQj8OVP8VdX7YVKbO6IcRcHqOX0SCqLB-JykXFs9jcgQAEmrcLY2APzdPnp4LiZ74&__tn__=%2CO%2CP-R,تاس: / 9 1 إن طائرتين إسرائيليّتين ضربتا منشآت في درعا بسوريا من أجواء الجولان #العربية_عاجل
pfbid0Udas5qXJK9tqUuFhLbqHzXYy3bhybJ7tRRsGVm1GgnRiXFxNCsJ7RoXK3Dr3ZfwKl,العربية سوريا - Al Arabiya Syria,0,3,‏المرصد السوري: دوي انفجارات عنيفة في محيط مدينة الميادين بريف دير الزور شرق سوريا  ‎#العربية_عاجل #العربية_سوريا #سوريا #العربية,2023-11-13:00:14,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 3 2 2 4 0 _ 7 3 9 0 8 3 7 7 1 5 9 3 1 8 4 _ 3 6 5 4 4 2 7 9 0 2 8 7 1 7 5 8 1 3 1 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = T y V 9 c h w A b A 0 A X _ H k _ 7 m & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B J T r 3 O d 6 k x M R H i x 4 E q 3 f _ H 2 S X O p B 0 4 S l o V i w J j T 9 r O r g & o e = 6 5 5 5 9 E E 0,https://www.facebook.com/Alarabiya.syria/posts/pfbid0Udas5qXJK9tqUuFhLbqHzXYy3bhybJ7tRRsGVm1GgnRiXFxNCsJ7RoXK3Dr3ZfwKl?__cft__[0]=AZVRMU3JS03I-0QvU4pFV-ryne_N9fhv49NxLh0DLPIOflns6Dm-7TE8lELwuHvPljlmUAoD1Cw6ParzNuL_hctM_hSCZ9ayOoVKQvy72VGNp-hOvPc3l5dLeen9KI9L5U2m-vlS84Advg9TwAdDdpx4XeLiNni42AKwlrCmTQUhPtllhG-USO1S5vEZGHylthK1zFeTf_ibw-9avS7Lwtcn&__tn__=%2CO%2CP-R,o #العربية_عاجل‎ المرصد السوري؛ دوي انفجارات‎ عنيفة في محيط مدينة الميادين‎ بزريف دير الزور شرق سوريا‎ #العربية_عاجل‎
pfbid02sVqAPp8D156T2nZ4QFQ1TuAYRSKC33ohH9q9N3T1rGAKooXQ7kCfckx1F6yEk32Tl,العربية سوريا - Al Arabiya Syria,1,3,المرصد السوري: سقوط قذائف صاروخية في قاعدة حقل العمر الأميركية في دير الزور  ‎ #العربية_عاجل #العربية_سوريا #سوريا #العربية,2023-11-13:00:09,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 7 4 6 5 7 _ 7 3 9 0 8 2 1 5 1 5 9 3 3 4 6 _ 8 1 0 6 8 9 7 9 0 8 2 6 6 5 8 4 8 8 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = k O n z 1 4 0 w r u 8 A X - k 1 P y i & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D n L f X 9 w i f z T w C r X 7 b b F F x y Y J Z T l i D S I P b y V U r v R m X y G Q & o e = 6 5 5 6 D C 2 B,https://www.facebook.com/Alarabiya.syria/posts/pfbid02sVqAPp8D156T2nZ4QFQ1TuAYRSKC33ohH9q9N3T1rGAKooXQ7kCfckx1F6yEk32Tl?__cft__[0]=AZUoUxmGWY5x32jBDmbzupquneA0xJYAdvhW2cp_3TBJ29obCoq3zCqx5F-ghQ2GMs8OxIooYqRFlZ6dx26OURY61FzGXSkmEPqjcE98Lfw4HJ_eMBhWMvCdNzxcgYO5yJIYIDYxPdI4nvQRM3CfKjgnijQVx5fHkk6vUONC_hcP7xof0i6AAAe2zPICoAEj3Wr1Ah3uAIT55CYooYngoG3u&__tn__=%2CO%2CP-R,#لعرية_عاجل. المرصد السوري: سقوط قذائف صاروخية. في قاعدة حقل العمر الأميركية في دير الزور #العربية_عاجل
341074151901065,العربية سوريا - Al Arabiya Syria,0,2,تغطية خاصة من #العربية | الصليب الأحمر الدولي: مأساة إنسانية لا تحتمل في #غزة.. ومستشفى الشفاء: ما عرضته #إسرائيل من وقود يكفي لنصف ساعة فقط,2023-11-13:00:02,h t t p s : / / s t a t i c . x x . f b c d n . n e t / r s r c . p h p / v 3 / y M / r / 0 P X g _ i d o e Q M . p n g,https://www.facebook.com/Alarabiya.syria/videos/341074151901065/?__cft__[0]=AZV6jCAIPg3PjwVAM7Q0_YBj3PbHTq0HgxUDNlotl1HyNuGjjzI5r9hcTNDylMxCQIf1p1mbA4BdCkITXAaELSzYnuLm31g2GGV5rziyBORs8RD_hsgbaf1LnwbEFhTAEZ1jaTxwInnIYfQ71dxqS9KaxBQHaCZSBe5WIXd4tdOUJPix3AEPhvOxzVnicfUT0gxj0m5IUJ8C1P1Re3E_B5ro&__tn__=%2CO%2CP-R,1
pfbid0j1qiL1wg8Te4aDNoYxemjG2wkpPwu7FbUnr8Bk5QsrpHFCuHFdKUBYndhXD7pQsil,العربية سوريا - Al Arabiya Syria,0,0,أصدرت وزارة الاقتصاد والتجارة الخارجية السورية، قرارا يقضي بدعم تصدير مادة الحمضيات لموسم 2023- 2024، عبر عدة منح مالية للمصدرين بنسبة 25% من تكاليف الشحن البري والبحري للشحنات المصدرة، بين تاريخ 1 من تشرين الثاني الحالي و28 من شباط 2024.ويتضمن القرار منح دعم بنسبة 10% من تكاليف الشحن البري والبحري للشحنات المصدّرة بين 1 من آذار 2024 و 30 من أيار 2024، ويحصر القرار تقديم الدعم للسيارات أو الحاويات المحملة بالحمضيات فقط، وتستبعد الحاويات أو السيارات المختلطة، واشترط القرار أن… En voir plus,2023-11-13:00:00,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 9 7 4 7 5 6 _ 7 3 9 0 3 1 6 5 8 2 6 5 0 6 2 _ 1 2 8 1 0 4 9 3 5 8 7 0 3 7 9 4 9 0 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = v 3 f H L l U f t R Q A X 9 l L J E Z & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A D 9 m u d c 2 9 u L d J D Z f l y K Q R U F a Y F v v d B J g p u 4 4 I B 3 o W D l w & o e = 6 5 5 6 5 A D 4,https://www.facebook.com/Alarabiya.syria/posts/pfbid0j1qiL1wg8Te4aDNoYxemjG2wkpPwu7FbUnr8Bk5QsrpHFCuHFdKUBYndhXD7pQsil?__cft__[0]=AZWTyfTuUhaojgNlyLtvGFk2e5cJl5UC5ce0IoBg9tjKtztMu4azbxYm6b89SOwaYJZEyempHt2jcjv3pS7z_ILqowNslqjloJ0M0o0a_0rcU5pI6gVJZkxR4YuuwSjC3q6pvHX_vDi-OpoEHg64xhiA2t5zpYegNPNFBktli7JUMSbs09WkkkBG4BLOCc1qgIfYlW1FLgO1nvzueauARXqS&__tn__=%2CO%2CP-R,مس i‏ 2 - ادها الله ب :5 0 اا o‏ Qs b‏ - ارك BN‏ الحكومة السوزية تصدر قرارا بَدعم مصدري الحمضيات
pfbid02szLMsUUHTwbUj5tdhVGq18HtGLP2Kea9X7HZH5VukbY319JcpkNqfCmDLtyMivGKl,العربية سوريا - Al Arabiya Syria,0,0,"قتل عنصر وأصيب 3 آخرون من الميليشيات الموالية لإيران، بقصف جوي أميركي على موقعين منفصلين بريف دير الزور شمال شرقي سوريا، واحدة قرب الميادين غرب نهر الفرات، والأخرى في البوكمال على الحدود السورية العراقية، بحسب المرصد السوري.وأعلن مسؤول أميركي، أن الولايات المتحدة نفذت ضربتين جويتين في شرقي سوريا على جماعات متحالفة مع إيران، وقال إن ""أحد أهداف الضربتين كان منشأة قيادة وتحكم والآخر منشأة تخزين أسلحة""، وفقا لـ""وكالة رويترز"". #العربية_سوريا #سوريا #العربية",2023-11-12:23:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 2 3 0 3 7 2 2 _ 7 3 9 0 7 4 4 5 4 9 2 7 4 4 9 _ 6 4 7 9 3 9 6 0 1 5 5 7 0 4 9 6 9 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = g f b N a J P v T h Q A X 9 t 1 m H 9 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A e r t T 1 7 O H q 2 m T e d p g l c G d l O I E s X V I H s j j m - 7 b y y V X E s g & o e = 6 5 5 7 4 5 3 F,https://www.facebook.com/Alarabiya.syria/posts/pfbid02szLMsUUHTwbUj5tdhVGq18HtGLP2Kea9X7HZH5VukbY319JcpkNqfCmDLtyMivGKl?__cft__[0]=AZVDRwvvOE0shBWyXwPJbZrQKDvq3IxIwiOMLVbM1rRtlrAIxjHOCE-eN71SSG2viTWGdeJ52z5aXYYP5k8WvZ2z5IUhRz-lQYTF8Gp2L_AVUbayLQnhU7GoTnTLC5dJmlvrdT3D2NgM7ReBYyPI4Zg9JE2aYz0GeXR9gudmlLiuZnp_5TjSLfZQd_UNoVMHbwvkD5-BWp_PVjJaP-oZVa6g&__tn__=%2CO%2CP-R,العربية. سوريا ض 2 7 بع 7 Y/‏ VR‏ / — ع العربية_سوريا 4 قتي وجرحى من ميليشيات إيران بضربات أميركية في دير الزور
pfbid02ZDjC5HGoUpPzYBKyRMaKZJLVS6MapjUv6shEFx9jh6r4aEvYceNKc63FrptRZbBLl,العربية سوريا - Al Arabiya Syria,0,0,"أرسلت قوات التحالف الدولي بقيادة الولايات المتحدة، الأحد، تعزيزات عسكرية ولوجستية عبر طائرتين عسكريتين إلى قواتها المتمركزة في مناطق متفرقة شمال شرقي سوريا، بعد تعرضها لعدة هجمات صاروخية وأخرى جوية عبر طائرة مسيرة خلال الأيام الماضية.وقال المرصد السوري، إن طائرتي شحن عسكريتين لقوات التحالف الدولي محملتين بمعدات عسكرية متطورة وذخائر متنوعة، هبطتا في كل من قاعدتي حقل العمر النفطي أكبر قواعد ""التحالف"" في سوريا، وحقل ""الكونيكو"" للغاز بريف ديرالزور الشرقي، في إطار دعم قواعدها المتوزعة داخل الأراضي السورية، بعد الاستهدافات التي تعرضت لها منذ 19 تشرين الأول الماضي. #العربية_سوريا #سوريا #العربية",2023-11-12:23:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 7 8 8 5 9 _ 7 3 9 0 6 1 8 2 4 9 2 8 7 1 2 _ 3 6 1 9 8 2 7 3 0 2 1 3 7 2 3 1 3 0 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = W o h Y c E w h 2 L g A X 8 b Q 1 P r & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B M 4 r R _ p s x E I Y x D 7 W q O Q 2 r u o 0 c c w q e n H W O D 0 j O C 6 S Z j p A & o e = 6 5 5 5 D 7 2 0,https://www.facebook.com/Alarabiya.syria/posts/pfbid02ZDjC5HGoUpPzYBKyRMaKZJLVS6MapjUv6shEFx9jh6r4aEvYceNKc63FrptRZbBLl?__cft__[0]=AZWWrHTcw90456A0dvZ_FwSBz6aF9mRuuQ_GfuDR-gATB8pKHS3SI9vJ8EYV3gjLS35YJ_oUMhRBK9VtkiGXBJSlMHwunjBMJyG8LaJT2YrpMwpLjjnrG7kYU_Bju5R_YfhJrdlJ9c3QSwE3bwbtn-nuQOB6bO7gkH8o8BxFSQAlf1DEOKIOBzIwbsk4UjJOVp5xDJ6P5_YDMT3JtC5imBJ5&__tn__=%2CO%2CP-R,D SN T —— الس‎ ل ل‎ R R S S 3ج العربية_سوريا‎ طائرات عسكرية تنقل معدات عسكرية‎ لقوات التحالف إلى قاعدتين شرقي دير‎ الزور‎
pfbid037KS4kAEsPnnbjNHq3H5tpk7R3PMq1Nb35XYujk7J8tnvjq8d4J54e71bxdoutrs6l,العربية سوريا - Al Arabiya Syria,0,0,"شنت طائرات حربية أميركية، مساء الأحد، غارات جوية استهدفت مواقع عسكرية للميليشيات الإيرانية في محيط مدينة البوكمال على الحدود السورية - العراقية، وأخرى قرب مدينة الميادين غربي ضفة الفرات بريف دير الزور الشرقي.وقال المرصد السوري، إن طائرات استهدفت مقرا عسكريا على الأقل بالقرب من مدينة الميادين على الضفة الغربية لنهر الفرات، كما استهدفت بـ 4 ضربات مواقع في البوكمال قرب الحدود السورية-العراقية.وفي السياق، نقلت ""فوكس نيوز"" عن مسؤول أمريكي قوله إن القوات الأمريكية نفذت غارتين جويتين جديدتين على أهداف تابعة لإيران في شرق سوريا، في حين قالت مصادر إعلامية مقربة من إيران إن الغارات أسفرت عن سقوط قتيل وجرحى. #العربية_سوريا #سوريا #العربية",2023-11-12:22:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 2 2 3 4 2 2 8 _ 7 3 9 0 4 9 5 7 4 9 2 9 9 3 7 _ 5 6 2 1 6 1 4 6 8 6 9 0 4 8 4 7 8 4 4 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 3 V q Z n S L d b _ U A X - v L c r x & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A k 6 5 U - L s 7 e i B v V L Z - k K m Z Q p j 3 L z S Y S V g 6 R 2 n V t x r S I 0 w & o e = 6 5 5 6 4 A 3 E,https://www.facebook.com/Alarabiya.syria/posts/pfbid037KS4kAEsPnnbjNHq3H5tpk7R3PMq1Nb35XYujk7J8tnvjq8d4J54e71bxdoutrs6l?__cft__[0]=AZWezGbU8uizKcUTuarYSno_7SHffuhCkhdiElPifhr31EPpWF1GHxj-KuTN8EhK_jJ5_Tw-XDWfn6fcXzO0rvh4pllF2tsONkAZuPvW-b5cp3zb9tRyzPM_b3Yy9qnW_cg3iA9GJRzTxbWKGQUkIgGAsEpX1EtW39hvPiJ80xLMVuYuMi20Gck1HHzaVGCVdHmUA_VvtQ67rhuUD06iR5ZZ&__tn__=%2CO%2CP-R,سوريا طائرات Ay Sy ol‏ تقصف مواقع الميليشيات الإيرانية في دير الزور
pfbid03CGKLmAm8YT8UkKKgQQp4ZK3bTEZfMyjntQ1QLVPtfd57MZLKcVJZ2HiSxYFVqc3l,العربية سوريا - Al Arabiya Syria,0,8,"قتل القيادي السابق في فصيل ""جيش الثوار"" التابع لفصائل المعارضة السورية سابقا، المدعو ""إياد جعارة""، الأحد، إثر استهدافه بالرصاص من قبل مسلحين مجهولين على طريق قرية نهج غربي درعا.وقال ""تجمع أحرار حوران"" المحلي، إن جعارة هو أحد المطلوبين الستة الذين طالبت القوات الحكومية بتهجيرهم نحو الشمال السوري في كانون الثاني من عام 2021، ويتحدر من بلدة تل شهاب، وسبق أن قتلت زوجته وأصيب هو وعدد من أفراد أسرته، 17 تموز 2022، إثر استهدافه بعبوة ناسفة في منزله الذي كان يسكنه في مدينة طفس غربي درعا. #العربية_سوريا #سوريا #العربية",2023-11-12:22:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 0 7 1 9 1 _ 7 3 9 0 1 2 9 7 8 2 6 6 9 3 0 _ 7 3 7 9 0 6 0 6 3 0 7 5 6 2 4 6 9 9 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = g j H m o w l K v k k A X - g m 9 Q m & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 8 t i q O L D P j O c B 5 B 8 W 3 h K R j q 6 7 y l 7 W 4 u A w 9 5 M X m 6 Q S y N A & o e = 6 5 5 6 A 0 B 3,https://www.facebook.com/Alarabiya.syria/posts/pfbid03CGKLmAm8YT8UkKKgQQp4ZK3bTEZfMyjntQ1QLVPtfd57MZLKcVJZ2HiSxYFVqc3l?__cft__[0]=AZUQzQIFZ_Aqnd9UPA8aV3INODq-IGiHMVVLj0SGsJp-xh7ARPZdsQytuB4eLF_oD4B6NAIyOdxl0TSSoT_GZH6peAPidYxjIW3mWk5gbtbxI-3WshWP9Nv9W9zw1KwRgg4mKh2MvhxHgPhpo_3iEH2fAytAy_VM3Hd0kHu6VnOxzYIYYI0ZTOWKBywUkU-pVAYmphkBD306zNw-K6ksJQPa&__tn__=%2CO%2CP-R,"Agah سوريا‎ L i v ""_"".';'. عن‎ (e e 8 £, 0 0 ا‎ e لح‎ ع العربية_سوريا‎ اغتيال أحد المطلوبين الستة بريف درعا‎"
pfbid037xth3g7Zpt8mirMRKry3XcZM6TbeNEPmXgE8uaDLzH9emW2HGV5s74FAbVfCLe2Ql,العربية سوريا - Al Arabiya Syria,0,4,المرصد: غارات جوية مجهولة تستهدف محيط مدينة البوكمال #العربية_عاجل #العربية_سوريا #سوريا #العربية,2023-11-12:22:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 6 5 0 8 6 _ 7 3 9 0 3 4 9 2 1 5 9 8 0 6 9 _ 1 5 6 7 2 1 4 4 4 0 2 6 0 9 6 7 0 7 5 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = z B s L 5 t 0 j M R A A X _ 0 _ h v z & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C 7 w E 8 3 u v v 5 U r S v a M H y A D o v D p A e a X z R u Z m h 2 V P O N q Y T T g & o e = 6 5 5 6 B 6 8 2,https://www.facebook.com/Alarabiya.syria/posts/pfbid037xth3g7Zpt8mirMRKry3XcZM6TbeNEPmXgE8uaDLzH9emW2HGV5s74FAbVfCLe2Ql?__cft__[0]=AZWVjV_h2VhvBh4XCbnGiMcZPoW31lxig8AdqWjfd8CMphabL8ksyAxzGZxQR-4zqRudJkY1UoquylXn-LwGNiB65nR9BQM0UqD3z1lQHssrVec2E7U3uJgXInWP67NS5Cd-svsv0-6Hwjk6OyS-0v9JA86Z6GFg6shp94FOR5ojsyZ13x0EX8FG7QLZqc9pGvDILZnW0UqMdGsfn8Rr46OJ&__tn__=%2CO%2CP-R,BT ..‏ المرصد: غارات جوية ا . تستهدف مد e‏ البوكمال #العربية_عاجل مع
