id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02LMw2uGBseFzAoPM8wfWiPYBqFMisuTkkBR8o2Yi173UoBmtJBLog4CWtPrtCWKswl,Asharq Business اقتصاد الشرق,2,8,"شركة #بوينغ تقترب من إتمام صفقة كبيرة مع ""طيران #الإمارات"" لشراء طائرات من طراز ""777 إكس"" ذو البدن العريض، وفق مطلعين، في خطوة من شأنها توفير دفعة مهمة لبرنامج تأخر سنوات عن موعدهالتفاصيل: http://asharq.business/6182iBrrk#اقتصاد_الشرق",2023-11-12:21:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 2 4 1 9 3 _ 6 8 1 4 3 9 8 4 4 0 8 7 9 8 6 _ 1 6 0 1 7 2 8 2 4 3 1 0 6 6 6 6 5 7 3 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = g S a L j n n z V J 0 A X - Y 3 3 4 F & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A i P j a T j 7 T 8 m T W A p Z L r D - 8 J w C M m k p A v R M G O 7 2 I C t a l H Q g & o e = 6 5 5 5 7 B F 3,https://www.facebook.com/AsharqBusiness/posts/pfbid02LMw2uGBseFzAoPM8wfWiPYBqFMisuTkkBR8o2Yi173UoBmtJBLog4CWtPrtCWKswl?__cft__[0]=AZV2IzkthNSmSG_3-2ku7WmXkFH3_gpzj8VYSB5Opi7vwg0feqFQCiP2CMGJRSvuAcL7Pvcv65ME6_r7d-s_YtoxTwUDWS-BDd6CAjGmKZCrjfAEYdCTxYs-egrNo7EZvxNekCElK5fyFOaTJMPoIxcnwY62y2MQehr9K-FD2ngzQczNOqs4p2GxvfGbrC6euk5IQwLDt_hXoG_OPlhL4oy5&__tn__=%2CO%2CP-R,"١‏ شق 4 4 4 > 4 i ; o‏ ل EETIN ٠ — — لصويو للستت A‏ اا اا تت تل اك = = ""بوينغ"" تقترّب من jlail‏ صفقة طائرات كبيرة مع ""طيران الإمارات"""
pfbid02WPNExGPzHFuKpEHnQEe4aJ18ZEM92gmmwYCECvAhFFzKZw15uuSz6hTMZmQUrjkNl,Asharq Business اقتصاد الشرق,0,0,"ارتفع إجمالي حجم التجارة التراكمي عبر منصات التجارة الإلكترونية الرئيسية في مهرجان يوم العزاب في #الصين، بنسبة 2.08% إلى 156.4 مليار دولار مقارنة بنمو قدره 2.9% في العام 2021حققت شركة ""علي بابا"" وشركة التجارة الإلكترونية ""جيه دي دوت كوم"" مبيعات في يوم العزاب بلغت 122 مليار دولار خلال عام 2021، وهي أحدث بيانات متوفرة، حيث لم تُنشر أرقام المبيعات بالعام الماضي لأول مرة على الإطلاق وسط معاناة البلاد من جائحة كوروناكانت التوقعات لنمو مبيعات المهرجان، الذي يُنظر إليه على أنه م… En voir plus",2023-11-12:21:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 5 6 9 5 7 8 _ 6 8 1 4 3 6 1 5 0 7 5 5 0 2 2 _ 5 1 9 7 4 8 6 3 6 1 6 5 9 8 3 1 6 6 3 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = F i - o R Q z u A h w A X 8 5 q m H _ & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D j u T 5 S C E 1 6 d O 6 l g _ 0 d E O H V w P n l q W d Y 1 H G V k g c N S T x A q Q & o e = 6 5 5 6 1 6 B 1,https://www.facebook.com/AsharqBusiness/posts/pfbid02WPNExGPzHFuKpEHnQEe4aJ18ZEM92gmmwYCECvAhFFzKZw15uuSz6hTMZmQUrjkNl?__cft__[0]=AZVPMdWJaGCKIypo_-MyIRhwvxF4PzSiFI9WXld2kIGZ_jmPOv4nwV6Fxor2qQQFPJNj_frMJN_FYyA7vQcJW71eECGXySd34lOGMtup1fUO0jOkMa8adMWMmfQ-nqk7s25rHCz2OAm0O2rCV4Gr1Re3m_THpg7XevAZMfHEViLx6A7-tUPnGhsxNaWhMToz5H2h72Hcg6-NxqcNdojApJnu&__tn__=%2CO%2CP-R,"5 = ا قياسية تتجاوز‎ 3 el ت قياس‎ ! ""يب‎ ِ 0> 75105, توا‎ b, م‎ B 1 ١ B ,(v\;’\ ا‎ i B\ ‘ e §>"
pfbid02S2mHxjLNodMFJvZkHKF7axEdYt4w9T9Rdx6ygJjc1uM1W8SwE7a38itZTbaNkTyZl,Asharq Business اقتصاد الشرق,3,1,إحباط محاولة اختراق موقع شركة ميناء #القاهرة الجوي الإلكتروني، إذ حُجب الموقع عن العمل كإجراء إحترازي  من قبل الجهات المختصة، ومن المتوقع أن يعمل مجدداً بشكل طبيعي عند نهاية اليوم، وفق مصدر مسؤول بالشركةلم تتأثر أي من خدمات أو بيانات الموقع بمحاولة الاختراق، بحسب المصدر الذي أكد أن الشركة تتخذ أعلى معايير الأمن السيبرانيستبدأ شركة ميناء القاهرة الجوي على الفور بالتحقيقات لمعرفة هوية الفاعلين بهدف اتخاذ الإجراءات القانونية ضدهم#اقتصاد_الشرق,2023-11-12:20:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 0 1 0 8 9 _ 6 8 1 4 0 4 0 2 7 4 2 4 9 0 1 _ 7 7 9 7 3 3 0 6 6 7 1 6 7 2 1 3 0 4 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 8 I - 3 I b y 4 A Q Q A X 9 r a - _ A & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A f r 6 N o m P 4 l M X l 2 u Y s - 0 O e M E E 9 W h v D F g r v k c 8 K V G Z Y N n w & o e = 6 5 5 6 3 E E 7,https://www.facebook.com/AsharqBusiness/posts/pfbid02S2mHxjLNodMFJvZkHKF7axEdYt4w9T9Rdx6ygJjc1uM1W8SwE7a38itZTbaNkTyZl?__cft__[0]=AZXDc2kR7qr9uEX1IKimfDVSLVa2_6KsT06LZZ97psB6GuaLdeXfkpP585Rh_MYYJPPMprQULlvfwUsCZHLzde9mpP8VwScZgxvXWDl6A4XDO78QiPpMLf4CmYC0kCFYOHEdxcgGJWAS3LUHNxX0gErNZeHX2K5gsCVj4Xb3HKpH2qx4IBC2ngnTexGYHQ0Jw6mbpdgl07aayr2dPTTnv4zT&__tn__=%2CO%2CP-R,"إحباط محاولة. ا لموقع يق ا ل - ا الحا ا o‏ و / i —= , ورج‎ = 3"
pfbid02aYq8LN7guWsUeYwCbCLhxnSycZYJFr9vzernpYQFi3ZbXaqKrYWGwJmaaMdSvSyHl,Asharq Business اقتصاد الشرق,0,0,سهمها حقق أفضل أداء خلال الـ25 عاماً الماضية، مسجلاً متوسط عائد سنوي وصل إلى 37%، فما هي هذه الشركة؟#اقتصاد_الشرق,2023-11-12:18:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 2 3 8 9 0 2 _ 9 3 1 3 1 3 6 6 5 3 7 4 5 3 6 _ 5 5 4 5 6 1 7 8 9 8 9 7 6 9 8 3 4 6 3 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = A T o N f m g y 1 w Y A X _ o Z Z K 8 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 4 M X t u y z 9 W l h J Q b D Z l g h - M p w h 7 f 0 y 8 s T c j O P t f 7 n 7 9 b Q & o e = 6 5 5 6 5 4 5 4,https://www.facebook.com/AsharqBusiness/posts/pfbid02aYq8LN7guWsUeYwCbCLhxnSycZYJFr9vzernpYQFi3ZbXaqKrYWGwJmaaMdSvSyHl?__cft__[0]=AZVblK8ka33iZPIJETWDo-4pce9pM2amsJ7uE1aCvtb4_exC6Vy4Keo0lowgDavVgr2nigP8U0k-MGHHyoqAH8SKC41yZSNwrIU8XhIs1PvheNHwMazj8qTUE8thaMtk1x8mv4n7L7A_R7Y7ir2Uge1juRGJnEkPYG6jVD9NLKgpeC8uFpx4LAKNe_4OQF_PwjVEkS-Yldg4fC37j3DDxUSY&__tn__=%2CO%2CP-R,اا السهم الأفضل أداءً ببورصات | أمييكا الرئيسية خلال 25 عاما
pfbid03PqiV1XmhKMyZ6EyMq2oYUSGQXM7UUZnPc8GbsbXuu27wheCZhdzZszAnAXYTAXhl,Asharq Business اقتصاد الشرق,2,7,"بيعت قائمة عشاء من الدرجة الأولى في سفينة تيتانيك التي غرقت في العام 1912، مقابل 103 آلاف دولار، وفق دار ""هنري آلدريدج أند صن"" البريطانية للمزاداتالقائمة التي قُدرت قيمتها بما بين 60 و85 ألف دولار، تتضمن أطباق عشاء كالمحار ولحم الضأن بالنعناع والبط بصلصة النبيذ، ويعود تاريخها إلى 11 أبريل عام 1912عُثر على هذه الوثيقة الثمينة في ألبوم صور يعود إلى الستينات بعد وفاة لين ستيفنسون وهو مؤرخ في مقاطعة نوفا سكوشا في شرق #كنداأكد أندرو آلدريدج من دار المزادات أنّه رغم عمليات البحث التي أجريت مع عدد من هواة جمع القطع المتعلقة بتيتانيك ""لسنا على علم بوجود أي نسخ أخرى لقائمة من عشاء الدرجة الأولى ليوم 11 أبريل""#اقتصاد_الشرق",2023-11-12:17:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 5 7 8 5 2 9 _ 6 8 1 3 3 5 8 6 0 7 6 5 0 5 1 _ 5 9 3 4 4 6 9 3 0 1 0 9 2 0 6 3 0 4 1 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 w S n h w y A c s k A X 8 b o O 5 B & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A 8 p R l S J W v S 4 n d P k k Y e J y X 8 9 h S _ f H m 5 i R Q X f k 0 z u e C h t g & o e = 6 5 5 5 9 0 5 A,https://www.facebook.com/AsharqBusiness/posts/pfbid03PqiV1XmhKMyZ6EyMq2oYUSGQXM7UUZnPc8GbsbXuu27wheCZhdzZszAnAXYTAXhl?__cft__[0]=AZVceg1kNTWMEsH_Pezs009UjEdOUS9SQPoN-sg9-gubr6ji_Vpdj_2LgEEVMfBxq9j_uR7RH2ts7Rq3apn9VJ1d3aw_i_iBFTyMiCRkQvcNrxbl1lhC6ysDk2xcXA8bhs-APXaaDeyPKAKZRQhNr1bOJsDsODk_sW7lmQyqo4JratQeBj86iEWxYf47y0yeIY4S8DKYujmXsXa46POnYyEN&__tn__=%2CO%2CP-R,= C B‏ | e 59‏ ود S o‏ | TR o‏ ™ قائمة من عشاء تيتانيك ثُباع ‘ مقابل 103 آلاف دولار
pfbid03gzD24fVHuFiSc6MiZFPDBdsmxUYq5sSWxYGhC1w978tfqEUiSeEuZR9RPd6vm1pl,Asharq Business اقتصاد الشرق,3,19,#عاجل التضخم الأساسي في #مصر يتباطأ إلى 38.1% على أساس سنوي في أكتوبر من 39.7% في سبتمبر، بحسب البنك المركزي المصري #اقتصاد_الشرق,2023-11-12:15:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 6 0 7 6 9 5 _ 6 8 1 2 6 6 8 4 7 4 3 8 6 1 9 _ 1 7 0 3 2 9 7 6 1 4 9 8 6 1 0 4 2 6 8 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Q R X 1 d v i X x N Q A X _ b x 7 Q 6 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 7 V k n l 5 5 M q a 1 S k 8 O 9 u N 1 f q G h j r m v w Q C b p 5 a j m L w M m B D A & o e = 6 5 5 6 9 0 0 6,https://www.facebook.com/AsharqBusiness/posts/pfbid03gzD24fVHuFiSc6MiZFPDBdsmxUYq5sSWxYGhC1w978tfqEUiSeEuZR9RPd6vm1pl?__cft__[0]=AZXgtlm3nPNs_GK1qWhf-bHdZvV8uvz_xWJwnZ35PzhVbwQ-jhiRlY9nm41k39tj8dJDLB5UkocrKqpysklsEmWy0e5WM7zzZ_6a-uGxQxxTIQr3omEPWSR983u2PtFs6w1FkIs1BTkgSPrmyIvhB_qIFNTuN4eeGqxNkvOh1N_tqibrsnvdgN5iU8oaa9iCbVeFivr2sdymSUKBti1u4XSP&__tn__=%2CO%2CP-R,عاجل التضخم الأساسي في مصر يتباطأ إلى 9638.1 على أساس سنوي في أكتوبر من 9639.7 في سبتمبر . و A 1 )‏ Wb 7‏ > SN [~‏ e‏ ا ا ها b ! p ; <‏ 7 . »> e‏ الله & 3 ١‏ مل
pfbid02MaovLo1c9sDv7zCGxu1hXAFwqEfKi4dCopGcDwBL7X9Dxzz2XwMT87Ctda32rDfHl,Asharq Business اقتصاد الشرق,0,0,"عثرت ""بلومبرغ بيزنس ويك"" على 5 دول لم تؤيد أياً من طرفي الصراع الجيوسياسي الجديد، وهي: فيتنام وبولندا و #المكسيك و #المغرب وإندونيسيا، كمجموعة واحدة، سجّلت تلك الدول ناتجاً اقتصادياً قيمته 4 تريليونات دولار في 2022، وهو أكبر من مثيله في #الهند، ويقارب #ألمانيا أو #اليابان، رغم سياساتها وماضيها المختلف تماماً، إلا أنها تتقاسم رغبة في اغتنام المكاسب الاقتصادية المرتقب تحقيقها، وذلك من خلال العمل على التحول لنقاط الربط الجديدة بين #أميركا و #الصين و #أوروبا واقتصادات آسيوية أخرى… En voir plus",2023-11-12:14:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 7 1 1 5 9 2 _ 6 8 1 2 3 9 7 9 4 1 0 7 9 9 1 _ 8 2 8 9 0 5 3 7 6 1 6 0 5 3 5 5 6 5 2 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I f U L K K q t w F Y A X 9 E x A z J & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C L h T o n q T q e e 8 5 m 5 z 0 d X e z 1 T h E S x g E E B h h F o Y 4 r H l X g 3 w & o e = 6 5 5 6 F 1 1 6,https://www.facebook.com/AsharqBusiness/posts/pfbid02MaovLo1c9sDv7zCGxu1hXAFwqEfKi4dCopGcDwBL7X9Dxzz2XwMT87Ctda32rDfHl?__cft__[0]=AZUvGqKa9AEB6X48eLsj3ltJa9V1mMt9vYK2lgD-3Q-3Z8XfhKomcTaGejvyvb6D8FTHJKxDyr4tXWm5zrXn-6-KxqnNRoDxbWMUYmoLMCdrnNZA7qlSmDYUy-GD8Gl-P63SysOrz8tqrHB_beraJuNCjOCItqUpx0GOorQYIqXhAOjAsCVJaLqco4YOf1zDWMEfcPnHaYzqPxNmoka-CFB4&__tn__=%2CO%2CP-R,"s‏ ب من بينها المغرب.. 5دول تربط العالم اقتصادياً وسط عالم منقسم ا ل ات ا R‏ ومح el A 7 4 7 N N A .o لاسا‎ e g b مم احاح بس N‏ - > لمجي ا"" سا ¢ et . AR ."
pfbid0ZeQn4Jk2iqo3jdrurjyTEPbbm2ax1vnYK4b4iJeKYaZzK7RMkWF8NUZJbXuhMYqpl,Asharq Business اقتصاد الشرق,0,0,"إذا كنت تقود سيارة تستهوي اللصوص مثل ""رينج روفر"" أو ""هيونداي"" أو ""كيا""، فتوقع أن يصبح سعر التأمين على سيارتك أكثر تكلفة، لماذا؟ #الشرق_Quicktake #اقتصاد_الشرق",2023-11-12:13:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 0 7 9 4 1 7 _ 1 4 0 4 9 0 2 0 5 0 1 0 6 3 6 3 _ 6 2 6 8 8 8 6 4 7 0 6 7 2 9 7 1 0 2 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = i h D z W 3 Q J 9 u Q A X - A b _ D o & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D s I 6 Y q S Y X 3 z f Z U H o b a g C r m K 9 O 7 S _ P 2 N G K O B h 4 f _ f t e g w & o e = 6 5 5 5 B 2 A 1,https://www.facebook.com/AsharqBusiness/posts/pfbid0ZeQn4Jk2iqo3jdrurjyTEPbbm2ax1vnYK4b4iJeKYaZzK7RMkWF8NUZJbXuhMYqpl?__cft__[0]=AZU97G1WKWduXOpdfJsEVoS3cyqI7_sc-Cf8OOlElrkz_gZN64umKppXThWa-YMM6X8nfo14gse3ShwYBh-wKZAw3MB2kJ_qT5eK5n3LT3Kco5CvQBHa87uC5RlIISqxDNh-K3eV9GiY6tW3MInNtWikExwfLGlCvcb9Aor1_hQ9-KxP-2aZOy7SRBaRSqsQVqAE2xsYI_gBb7HsvAjfpkNB0njNnIuR6Z0A4ihVE7YZXKCnHTb0iFKzyf38OPrY4Ms&__tn__=%2CO%2CP-R,5 مع باستنا Y‏ لماذا بات سعر تر 0 ;_\77 مركبتك باهَظا؟ . الشرق
pfbid0QsAU3GQwjbTmnNRkZmJCHQGdvvXaNNA2agnrZHg5paZkq5S3TG2Fmsry5xhc7w4Ql,Asharq Business اقتصاد الشرق,13,16,"تدرس #مصر تنفيذ عمليات التبادل التجاري مع #روسيا و #تركيا وبعض الدول الأفريقية بنظام ""#المقايضة""، وذلك في محاولة منها لتقليل الضغط على العملة الأجنبية، بحسب مصادر لـ ""الشرق""شح #الدولار يدفع القاهرة إلى البحث عن بدائل من بينها المقايضة والتبادل التجاري بالعملات المحلية، إذ توصلت مصر مع تركيا إلى آلية تطبيق التبادل التجاري بين البلدين بالعملات المحلية، وذلك تزامناً مع انضمامها في أغسطس 2023 إلى مجموعة ""#بريكس""، وهو ما سيساعدها على تنفيذ عمليات التبادل التجاري بالعملة المحلية مع الدول الأعضاء الأخرىالتفاصيل: http://asharq.business/6180i6hSm#اقتصاد_الشرق",2023-11-12:12:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 5 3 7 3 4 9 _ 6 8 1 1 9 9 0 0 0 7 7 8 7 3 7 _ 7 0 7 8 9 7 1 3 3 7 6 2 4 2 2 4 9 2 7 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = V i l P d A s S 5 - 4 A X 9 9 5 x O 1 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C e l p l K O A f e h Y D 1 3 l O K 2 V Y V Z N 3 4 O 1 V P j H Z r F 3 8 Z n s d a H A & o e = 6 5 5 7 2 A 3 5,https://www.facebook.com/AsharqBusiness/posts/pfbid0QsAU3GQwjbTmnNRkZmJCHQGdvvXaNNA2agnrZHg5paZkq5S3TG2Fmsry5xhc7w4Ql?__cft__[0]=AZX3QYf2ndz0PEmOUSdUpvTVkpGCKHysRe_hdSB0X0f7hW15TH_U2Q_hVicylXlEqY8-fLk2tj144kqgqcylGQkpOmkKoKwRDH7cTyOAel8MYOCh8TZG7VCrzEFYFC2-e9ntKsDRsU4pkAtlpyunSrwrDjrLvyQaE0PwMeZ0XFiSH1l3N_C9MOGUXqP0My5ZvujFWQQpmEvusqihXM46WXDN&__tn__=%2CO%2CP-R,"نننا ل ا« مصر تدرس التجارة ب""المقايضة"" مع روسيا وتركيا ودول أفريقية ل 0 1 ا N‏ 2 ا gl v 1 U 0‏ )r'r""( 1 1 y‏ ¥ 0 A‏ اتا e A‏ X‏ اا ااا iR‏ اا ا g‏ للا سل ل ا 0 اي AP R‏ | بلا ليوا الا اسم WA/‏ ل ل -| الحم حبست"
pfbid021ZgrN2fmjKN3n3KUZbk8UtGKEmy2jSwpLaqq6LKp6aXHfVfm4HsAjiVNU8YTpV1Ql,Asharq Business اقتصاد الشرق,3,23,وقعت وزيرة المالية العراقية، طيف سامي، اتفاقية قرض لتمويل صيانة محطات كهرباء مع بنك جيه بي مورغان بقيمة 257 مليون دولار، بالشراكة مع شركة جنرال إليكتريك الأميركية ضمن مشروع الصيانات السنويةأشارت وزيرة المالية أن المشروع سيسهم بشكل فعال في زيادة كفاءة محطات توليد الطاقة الكهربائية في #العراق، وبالتالي تقليص الفجوة ما بين العرض والطلب في الطاقة#اقتصاد_الشرق,2023-11-12:12:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 5 8 7 1 1 9 _ 6 8 1 1 9 1 6 1 4 1 1 2 8 0 9 _ 3 5 6 9 3 6 9 3 3 8 6 9 6 0 0 0 5 7 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Z y W B H N t 5 i e M A X 9 N 6 a l f & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A g c G b H Y d B X O D R T 2 c 2 y L h S w 8 J M W E e G F p 6 C U U n z C v Z z 5 V g & o e = 6 5 5 6 6 4 3 C,https://www.facebook.com/AsharqBusiness/posts/pfbid021ZgrN2fmjKN3n3KUZbk8UtGKEmy2jSwpLaqq6LKp6aXHfVfm4HsAjiVNU8YTpV1Ql?__cft__[0]=AZUZRUYTXtPamS318K3jIG2_6L9s4etvsOVJIx4y4qIQlAZE5A4WYK8QDwFz8lzgmpv2qFf1n2SFA9lEz-BPjZQ4uV80y_CVu3rVlVdetsxlZq9AG2RKoARjhUa_p50y7Jze1tiuXaIv4fWYe44ktu2SKa1t6TQqCYBNY4Bfmz0YhJg9t5lxZHrxK_IaCmO71zGynA_Pi80LCbzgGOvJ5rS2&__tn__=%2CO%2CP-R,"Bloombeig [ ] العراق يقترض 257 مليون دولار‎ من ""جيه بي مورغان""لتمويل‎ i ilu;i*lﬁ;,?f;téi_ér‘*’gﬁ&%?‘% gy T PR A e, M ا ل‎ e T g حت + لوجتلا ايها‎ e, N e SRS T ايه‎"
