id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0KLxf6HAqbN8P1A9EdkkPEgJsqS7V3pNq8u7g4Vch89N8aypU7sDtwtsBuLuVz1dyl,Dubai TV تلفزيون دبي,1,1,17 يوماً على انطلاق COP28تمول جامعة الإمارات 104 مشروعات تخدم التنمية المستدامة ومنها بحوث من أجل المياه النظيفة والحفاظ على الحياة البرية#COP28,2023-11-12:19:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 0 6 7 6 3 5 _ 8 9 3 6 9 8 7 8 8 7 9 1 9 3 6 _ 6 2 4 2 1 0 2 4 2 9 8 4 0 7 8 3 5 8 4 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 6 9 R T x u x U - m Y A X 8 D R 0 Q U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A C t l _ x 4 B o q b 5 Z i 8 F p A U x N t X L O 4 1 I Z H Z _ j H u 7 y t k y J G n g & o e = 6 5 5 6 9 E 7 3,https://www.facebook.com/DubaiTV/posts/pfbid0KLxf6HAqbN8P1A9EdkkPEgJsqS7V3pNq8u7g4Vch89N8aypU7sDtwtsBuLuVz1dyl?__cft__[0]=AZUg6-15jkICbe-QwRrqwizhPu-GiVoL_qgcTSYhaMY4EOfXfXUbujgRH1yOYPt544ZcoXlRyOynNfbGWM3Bt8_qyPeaCigINzEH4I1SDjIzmc2on6erkCeiUupMTL13kdddwTK8XoRMiZZcy-3gyD2lHP-FeuPMyPwWjF386WRgpNW68fePolM31Zg5aDUhHKrNGgHxn1cCztDvoGgqckV1JDXs-SQi1Gq6yasYtcuXhA&__tn__=%2CO%2CP-R,DUBA I ®‏ i 71‏ را ا / يوماً على انطلاق N‏ اا 00828 د TR‏ ب الإ احج ايج و الزن ا 0 +[ 1 3 حقو e R TG‏ المستدامة ومنها بحوث من أجل المياه التظيفة والحفاظ على الحياة في البرية
pfbid05TD1Km6YFEcz8scQeoq8vgmk1iVvBJZLR1Bao3PjxJkBBvRbtQmu4ziQXTLMcAcml,Dubai TV تلفزيون دبي,0,41,"#دبي_للإعلام تدعوك للمشاركة في #مسابقة_التحدي  للفوز بجوائز نقدية عدة أجب على الاسئلة واجمع النقاط لتدخل بسحب جوائز قيمتها  190,000 درهم إماراتيللمشاركة أرسل ""انضم"" أو ""Join"" على هذه الأرقام#اتصالات 1111#دو 9199انضم اليوم.. وكن الرابح قريباً#the_challenge #مسابقة_التحدي",2023-11-12:07:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 4 8 2 4 6 4 _ 7 2 6 3 1 0 0 4 6 0 0 8 1 4 5 _ 1 6 0 1 5 2 1 3 1 4 9 2 4 5 1 5 9 5 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 6 p J X t q X 5 m 0 c A X 8 7 T f T t & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A k S I c 5 c p T 1 c P z X M d e M d J I I U R e s 7 8 b n m V Q r m W b z f U z e O g & o e = 6 5 5 6 2 F 4 B,https://www.facebook.com/DubaiTV/posts/pfbid05TD1Km6YFEcz8scQeoq8vgmk1iVvBJZLR1Bao3PjxJkBBvRbtQmu4ziQXTLMcAcml?__cft__[0]=AZWKTFKMD8WIxi_nuTZc573J-APHU_pGRHaHsQsgxdpwI29ggFqJlbgOFl3eSHCAjgJb7yyzDlHmDOvaiD_q6phuNHEwvmYRr1QAMlXxu42uTWsju_rIR4r9ZMnFrsDjeRsYnte5Nip3onT81JQPktOipHFbbRaSoTYiNNT5yrzo_O48RM2zsEAvdGc-GHruqD9QJ1DwY8WQ57mf6Fn9F6_b&__tn__=%2CO%2CP-R,NGE v انضم اليوم ...وكن‎ P ©
pfbid0Yu475r7WADhJMadWbo7oKtYvcyRrALbfLkYRS6o9AinKQP2YxzK766TFLg9ryUiVl,Dubai TV تلفزيون دبي,1,1,تمتص الغابات نحو بليوني طن من ثاني أكسيد الكربون سنوياً، مما يجعلها أداة متعددة الاستخدامات لمحاربة تلوث الهواء والتخفيف من تغير المناخ، بفضل إنتاجها للأكسجين الذي يساهم في الحد من ظاهرة الاحتباس الحراري#تلفزيون_دبي #COP28,2023-10-08:06:39,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 9 9 0 8 6 9 _ 8 9 0 0 7 9 4 4 2 4 8 7 2 0 4 _ 2 0 5 7 2 7 0 3 9 8 7 2 4 2 8 6 7 3 8 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = n 3 E q E t w 0 Q s c A X 9 k M 7 _ c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D _ t b c G e a K z 4 o h Z h b p f J H K - P 7 I E r A 8 n 1 L h n 2 a k Y q d L 0 H w & o e = 6 5 5 6 0 F 4 B,https://www.facebook.com/DubaiTV/posts/pfbid0Yu475r7WADhJMadWbo7oKtYvcyRrALbfLkYRS6o9AinKQP2YxzK766TFLg9ryUiVl?__cft__[0]=AZULMcjYsWX3cr9Lau7oT_uAXV4-U2eGTs-IBEUTCLwqj3v2Bqn5JGsn1N9_j71c_M7rb6VtHeuJCIJqcbWMQv_PEjEPbnHpGUUfwlHApAy1fYbd1j-s_JZmfaiKIpv7_BluRohU86ZMTlkReUf5ST-FjkEbyg4QBPVy1AUuNOJhAei8HSSILhUKFXv_lTgw32LlZ51mPmGN1D2qMdPjgjtR&__tn__=%2CO%2CP-R,"انرا د دو تنا v .‏ DUBA I v'\\‘‏ ديج 1 ' 3< o,‏ 1 d |‏ . s‏ يوماً على انطلاق COP 28 e S‏ جد لالح S S‏ T . e o‏ . ل 7 e O e‏ ماي S‏ “هرات 5 ا ا ل iar‏ 3 ابا فوج 2 T‏ وام قي شع s‏ مغلومة تمتص الغابات نحو بليوني طن من ثاني أكست3* الكربون سنويًاء مما يجعلها أداة متعددة الاستخدامات لمحاربة تلوث الهواء والتخفيف من تغير المناخ؛ بفضل إنتاجها للأكسجين الذي يساهم في الحد من ظاهرة الاحتباس الحراري"
pfbid0q6on7ocAn7vQYCbC2tGkUzPfpeqBQKguWxJ3PSTP4XTcEGLg5ixfZM3Nace8g4ybl,Dubai TV تلفزيون دبي,1,3,"زيارات تاريخية للشيخ راشد بن سعيد والملكة إليزابيث مدونه على صفحات مجلة ""أخبار دبي"" ومجلة ""هنا لندن""#تلفزيون_دبي #برنامج_الطابق_السابع #معا_في_دبي",2023-10-14:22:03,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 1 7 4 3 9 3 _ 1 1 0 1 4 7 5 9 7 1 2 5 9 3 5 1 _ 2 9 6 8 2 7 6 5 4 3 0 1 1 2 2 6 7 3 1 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = y t G A S W 5 H X f o A X 8 c I 2 R E & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A 9 Z M C 4 c n I p M M u t o f a s D F R 9 A w 1 J B C 1 I H X l f w l v b h 3 E I - g & o e = 6 5 5 5 A 2 D 7,https://www.facebook.com/DubaiTV/posts/pfbid0q6on7ocAn7vQYCbC2tGkUzPfpeqBQKguWxJ3PSTP4XTcEGLg5ixfZM3Nace8g4ybl?__cft__[0]=AZU9E2u7pm9pd1t_iyVnExuMx8ojMOq1VjbJ9hvsHa1MRqAu9xIOLHyqw6hUi5oTUFa3JjUBkgzTdevFPsIpZXK8AIeJ9VCcFtZdKG8czw3OsJ0_DRColaZ1XlDuaPuTW6KkhOaIb45PN683cPnFJZ_8QYWEjrs95DgwQAMtcqrotBE5Rjjq37tONQQDA3Tqi-lHSCnZJXkaOCu3c82ZlerH&__tn__=%2CO%2CP-R,0 2 - #أفحات من ذاكرة الإعلام تحتفي بالزيارات المتبادلة بين الإمارات وبريطانيا
pfbid0zVz4WktD3GtwC7Pauy9ATSxAQmtSZPZCXYjMS8v5z5qtvCYCKm5As4HC8BQcyWmkl,Dubai TV تلفزيون دبي,0,1,25 يوما على انطلاق COP28التنوع البيولوجي يعني وجود مجموعة متنوعة من الكائنات الحية والنباتات في البيئة وهو شبكة الحياة التي نعتمد عليها في الغذاء والماء والطب والمناخ المستقر.#COP28 #تلفزيون_دبي,2023-10-15:01:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 6 7 1 6 4 0 1 _ 8 8 9 6 3 3 2 5 5 8 6 5 1 5 6 _ 5 8 0 6 6 1 8 6 9 2 5 7 3 9 5 2 0 4 0 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = i 2 f U 6 5 4 8 d 3 A A X 8 0 J y 9 1 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C E 8 n D V N 3 a U n z 0 b U z J H E f U j - m b X j H U B 6 h l y 7 O 2 j m R J U J A & o e = 6 5 5 6 6 E C D,https://www.facebook.com/DubaiTV/posts/pfbid0zVz4WktD3GtwC7Pauy9ATSxAQmtSZPZCXYjMS8v5z5qtvCYCKm5As4HC8BQcyWmkl?__cft__[0]=AZWyocaCzhUteFT92gqKjdbl58kx7uQglb4xu1jSEwCH8VwECngfgD2I-0onsQaVhbUdu9ai31-cuCK9D3W05Vq4gJZ-vH_sFoxqwEdqMHlYusM4hqYzyz1Dv_ysfC6e2VKddSup6tJRoGGiU7KYb8YKeZ0ue-b7DsDusC4avfUczYEcLivKCmonHw5OWAHAI4BV2p2OLv15sPxf6CK0mmVk&__tn__=%2CO%2CP-R,"IR o5 701‏ UAE‏ &= دب يوماً على انطلاق 6068 2 وا لوي معتومة التنوع البيولوجي يعني وجود مجموعة متنوعة من الكائنات الحية والنباتات في البيئة, وهو شبكة الخياة التي نعتمد عليها في الغذاء والماء والطب والمناخ المستقر"
pfbid0XSCU5cKiey7M5q2arsDAMdvFqM3okF7jtWg7r9GimphGqYPRN6WMrcNWRsqUhqfsl,Dubai TV تلفزيون دبي,0,0,"#دبي_للإعلام تدعوك للمشاركة في #مسابقة_التحدي  للفوز بجوائز نقدية عدة أجب على الاسئلة واجمع النقاط لتدخل بسحب جوائز قيمتها  190,000 درهم إماراتيللمشاركة أرسل ""انضم"" أو ""Join"" على هذه الأرقام#اتصالات 1111#دو 9199… En voir plus",2023-10-15:10:39,h t t p s : / / s t a t i c . x x . f b c d n . n e t / r s r c . p h p / v 3 / y 9 / r / Z - d b C l Q D X L v . p n g,https://www.facebook.com/DubaiTV/posts/pfbid0XSCU5cKiey7M5q2arsDAMdvFqM3okF7jtWg7r9GimphGqYPRN6WMrcNWRsqUhqfsl?__cft__[0]=AZWMdJAjEPHdlkgzQt5NcAF5yBzb-c9HGGoBE7KIIC9YzPpJN0sG6R7xC200rCOBAjgdhllXW9Z2qRP_zc-tSOtmT78ApeOHHc4JTA5MUAuJOLgntj5vEzHGkmCYyjXPASKkp4ZKrAj_DQT72-CTEdKdAvjz5m_gAs47rRI1hZmp9pDrn5mfc3HtMN6E_VR9gePQ7a6GARwoNz9sTYmBZ8xs&__tn__=%2CO%2CP-R,1
pfbid025DECHqEKpeDBfRfx1NBP3BnaYvVbpWyaecLtUprZjPsCwaA9rZJUdnvBcTaXorWDl,Dubai TV تلفزيون دبي,0,0,"نيكولا لاب ، رئيس قطاع التطوير بشركة "" سانريف"":  وقع اختيارنا على دولة الإمارات لافتتاح فرع للشركة بسبب مركزها العالمي#تلفزيون_دبي #برنامج_عالم_واحد #معا_في_دبي #نوفر_رمول #COP28",2023-10-21:17:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 3 2 0 5 3 0 _ 3 5 1 2 6 4 8 8 4 1 0 7 1 6 2 _ 6 9 0 2 2 9 2 1 0 5 4 1 2 8 0 5 1 0 9 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = B Q R L H Y i - x t A A X 8 c f F 0 A & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A F U L w 6 o M X w F 8 B u M e Z i 1 I 4 C U J f X M R O a M q 3 4 l u a L _ k X h z g & o e = 6 5 5 7 3 D 1 8,https://www.facebook.com/DubaiTV/posts/pfbid025DECHqEKpeDBfRfx1NBP3BnaYvVbpWyaecLtUprZjPsCwaA9rZJUdnvBcTaXorWDl?__cft__[0]=AZXagyzFfexAWKTlX_-6ErPXhuVB9w5S7uqZX96XG5t4BzlzULBDsHGmI7ccDnlbAwCoR4BsIhHWm5qmP2iiZa3YdFjna-PBCHaJ2z_xAl83Ct-h6m9s2uipuboUvQKBB4usnhA31pLiNMqM_7csii2J52tslP2r0oY0AldeMtMjm5ryot5EDCUMx63KrJrQq0espzT96jd9Oyq-C-72SVbM&__tn__=%2CO%2CP-R,| } T e‏ \ i‏ || ) \ #لأركة «سانريف» تطلق يخوتاً بصمتها الكربونية تقترب من صفر
pfbid0kinTiQ6PPo1DRqgBS2uikFJfHj88j5B3tDDupGBPC6ZhU2tRj3FYuAKMJW762ZBvl,Dubai TV تلفزيون دبي,0,0,الناطق الرسمي باسم الحكومة الموريتانية وزير التجهيز والنقل  ، الناني ولد اشروقه: مـوريـتانيا لديها مـخـزون وإمـكـانيــات مــعــتـبـــرة من الهيدروجين الأخضر ما يجعلها قطباً لتنمية الطاقات المتجددة#تلفزيون_دبي #برنامج_عالم_واحد #معا_في_دبي #نوفر_رمول #COP28,2023-10-21:17:53,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 6 8 0 6 5 4 _ 1 0 4 4 2 5 0 9 0 6 7 2 8 3 8 0 _ 2 2 5 0 8 3 8 1 0 7 8 4 9 1 5 6 4 5 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = m o t q 1 s r z y O 8 A X 8 p 4 v z v & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D r O A L E y L Q v Y 5 H - V d H _ 9 W K O Q Y b x F D U X D O v o g n Z 6 6 A 7 9 w w & o e = 6 5 5 6 B 9 4 1,https://www.facebook.com/DubaiTV/posts/pfbid0kinTiQ6PPo1DRqgBS2uikFJfHj88j5B3tDDupGBPC6ZhU2tRj3FYuAKMJW762ZBvl?__cft__[0]=AZVFp0x_yVErGadYP60G6skKSDXj4RHX7B5c_Z1tJoc-eq9N-6qO5pi9PTX2MWbQ77xLLEAVw7l8LYznnnHzkTtE0VZ65Zsp392nvupwcV8ZqFuJ8Q7Qu4GYRdO2SUvcqvUAhjEunUlzD1RQJzbg7cW6d3007MaCf88m1X4ar7TfJay0DHbpSKijHPTWfoOOArwucEkiaPFecA9yZYnxyQoP&__tn__=%2CO%2CP-R,~- 114 7 : |\ ؤ ¥ ْ ##كانيات هائلة تمتلكها الهيدروجين الأخضر
pfbid02LFpKTuvVezW7VvWPRWqSmhnindTpMYtUGAx4uM9GqGC9FCy3T2TG2jq5GM7Dsds2l,Dubai TV تلفزيون دبي,0,1,عمر العلماء: سعيد بلقاء إيلون ماسك، يجب على قادة الذكاء الاصطناعي أن يعملوا جنباً إلى جنب لوضع سياسات مؤثرة#تلفزيون_دبي #منصات_رقمية #معاً_في_دبي #أدال_طعمه #عمر_العلماء #إيلون_ماسك,2023-10-21:21:23,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 9 6 3 1 9 0 3 _ 1 5 2 8 1 8 7 5 7 4 5 9 2 8 9 0 _ 7 5 3 5 9 4 8 8 0 6 7 3 6 7 6 9 5 6 7 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 0 q 0 3 3 W H r s 9 o A X - Z C W A X & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D N t E J n c s E X T 0 S o s c f X c y j d W _ M g N _ Z 8 q s j p 7 i g V W K b t q A & o e = 6 5 5 7 2 C 6 5,https://www.facebook.com/DubaiTV/posts/pfbid02LFpKTuvVezW7VvWPRWqSmhnindTpMYtUGAx4uM9GqGC9FCy3T2TG2jq5GM7Dsds2l?__cft__[0]=AZXjHbVxIJ21dgRKe4919Awnh5LR2l1PRaA9coaFG3C7Yo0ac6EKi8uuvp0WH70uhgAVaYmwc43ouWxh_7iI7_E8csbdIqmFNlsYKXNeO4fzh3LfeJFj6CtLqbMJqNg8EJwn5cWsgQ6lNG3S8VAsrzyrdCn6Asah0h_r3YE-IBj5HMmKBlGbr4WuuHVl5r6_tgNeHIUq2o4-oTn2lGOtb3Ny&__tn__=%2CO%2CP-R,v / '‏ ’ الي عمر العلماء يلتقي إيلون ماسك خلال مؤتمر سلامة الذكاء الاصطناعي
pfbid0RFLJkQdCC8Gkre4GSSt7q5R248o5m97f8QaSDc3wc3HfJM9Tqpktpe1QQ3CGwRdhl,Dubai TV تلفزيون دبي,0,4,بلستيا العقاد.. شابة فلسطينية تحولت إلى صحافية تشارك يومياتها تحت القصف عبر مواقع التواصل الاجتماعي#تلفزيون_دبي #منصات_رقمية #معاً_في_دبي #أدال_طعمه,2023-10-21:21:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 5 4 1 7 2 7 1 _ 3 0 3 7 5 4 2 2 2 5 1 2 6 1 6 _ 1 7 5 6 4 2 6 8 2 1 0 4 8 3 9 1 5 2 0 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = _ W V l Z e x 3 x Y 0 A X - _ y b v P & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A A l H K q u v W A H H s k 3 P E F c 9 x y Z U K k k w m L t L e X B S j 1 W 6 V T u A & o e = 6 5 5 5 D 8 B 8,https://www.facebook.com/DubaiTV/posts/pfbid0RFLJkQdCC8Gkre4GSSt7q5R248o5m97f8QaSDc3wc3HfJM9Tqpktpe1QQ3CGwRdhl?__cft__[0]=AZUHLLzjHNcXQB0w3UuIhSThM_XjHobShdLra8aOUzk0CrO6v03H0E5418z0o1bUdsW2hy3sjOfLpdekINeEblKmZxnOZqDqDA1EA2l9Yeol3V3PrDh52nXzFppQDExfGRlat65Cp86t-pvN61lYq9u_hL84WezaRrWBPPtI996nRIlPNHAya0XPxmHMFuDFjgRZlRAuJ0z_Ivxia7v_az9v&__tn__=%2CO%2CP-R,- ™~ > بوط‎ G نش وا‎ ل ال‎ Lo e متي العقاد.. مؤثرة‎ اجتماعية تتحول إلى‎ صحافية في غزة‎
