id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid089NsJLj9yNpmv9hnZXmWA7bHvqMtF4T7sCPvUipFsf4RQrEnTDWqTZ4K9NAAKERLl,فرانس 24 / FRANCE 24 Arabic,2,10,"لا تزال عمليات القصف والمعارك العنيفة في محيط مستشفيات قطاع غزة الأحد متواصلة بين الجيش الإسرائيلي الذي يحاول التقدّم داخل القطاع. الأمر الذي يهدّد حياة آلاف الفلسطينيين العالقين في مرافق صحية حذّرت منظمات دولية من أن وضعها ""كارثي"" ينذر بتحوّلها الى ""مشرحة"". فيما ينفي الجيش الإسرائيلي استهداف المستشفى بشكل متعمد، لكنه كرّر اتهام حماس باستخدام المرافق الطبية كمقرّات لها ولقيادييها وبنيتها العسكرية، وهو ما تنفيه بشدة الحركة الفلسطينية.",2023-11-12:17:59,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 1 0 3 2 1 0 2 7 0 5 5 3 0 4 5 4 7 1 1 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F 3 b f 1 c 9 c 7 7 e 0 9 8 8 0 4 9 6 6 e b 7 2 b d 2 f c 3 a d 5 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F U r P 1 x p c o 2 P s a 8 h Q V u 4 7 9 - 4 w U D u x D k D m u j 3 - A e 4 p 7 S T g & o e = 6 5 5 2 D B 1 B & _ n c _ s i d = c a 2 0 c 4,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid089NsJLj9yNpmv9hnZXmWA7bHvqMtF4T7sCPvUipFsf4RQrEnTDWqTZ4K9NAAKERLl?__cft__[0]=AZWvaGc_43wlxaX20Izf1cceHPy3m3t9JV1feMho9z_knk8zjqvKVGuJgqbxJywlx6ACiEZ21mvJnI18Wkn0Rp5SaCYTBEFOhGdKZpohOT7j7XepRI6tOKFK4x9nLH1L8eKuT_veEmulE_-wP1LkjllOEhvJSSmWcZ80SwKcPFhvcKsdAGkZ5WquPrrccyXfiX2TR4ssvLsxA4WypnERzcQb&__tn__=%2CO%2CP-R,i T 7™‏ ا الا 1 بن \| ل الا د ا V A‏
pfbid0En1tyNYVXk3Rq8cdtvJEcgZkCcAepDSVTEKbkUzmmoLzQ8pE3YSkG3WcFC6LhH3gl,فرانس 24 / FRANCE 24 Arabic,1,11,تروي تيتيانا كوشيفا، آنا لياشكو، وأوسكانا سوكولوفسكا، وهنّ أمهات أوكرانيات كن قد لجأن مع عائلاتهن إلى إسرائيل هربا من الغزو الروسي لبلادهن العام الماضي، لوكالة الأنباء الفرنسية، كيف دفعتهن الحرب الجديدة بين حماس والدولة العبرية إلى اتخاذ قرار العودة إلى أوكرانيا.,2023-11-12:16:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 6 3 8 6 6 5 0 1 4 0 3 0 9 8 4 2 7 3 1 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F e a b c 9 f 3 d 6 7 d 4 4 b e 7 9 0 3 7 c 4 6 3 d 8 0 b 6 7 5 7 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H G _ T L 9 U R E C 7 z N H u G S H 0 m D R j l y Q L 4 b p U 4 f 5 9 W r u 6 H s f f A & o e = 6 5 5 2 F A 1 C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid0En1tyNYVXk3Rq8cdtvJEcgZkCcAepDSVTEKbkUzmmoLzQ8pE3YSkG3WcFC6LhH3gl?__cft__[0]=AZXl24caS90KG-JCL6tvmzVh7aymboVm9YrSh4WWqzbEm_GXE4yTbATyIKDlH4bXAOAnsqNG6D-PxT7VoMleZCGo5PVU41TuQigSrgvU-5v2cH1IFaePqPdBHWJhQTTGAoVRtbY3JEoi1PV57MLnJWQN_drxEJCZ0Q6Re4sRovsAvRHK3iVjbFoGED_5QrNB_rw7aBkqNbjzO7QlCzqSZxCV&__tn__=%2CO%2CP-R,Lt .. ) y مو‎ R - b i : ل‎ e s 5 3 ارما‎ . R 1 B J 'l L » 077 - ٠ نا‎ 'ِ 4 ) ع‎ o Pl
pfbid02Jj8xdM5VpVWtdtRit9Maz54oBTY84EDr2xBj43LgyMgKCjz11YjRTeg8Si3TeBHMl,فرانس 24 / FRANCE 24 Arabic,5,3,أفادت بيانات إحصائية أن صناديق الأسهم الأمريكية التابعة للسعودية وعدد من دول الخليج وإسرائيل شهدت خروج تدفقات نقدية صافية قياسية بلغت أكثر من 200 مليون دولار في شهر أكتوبر/تشرين الأول الماضي، وذلك جراء الحرب التي تشنها إسرائيل على قطاع غزة الفلسطيني. وتشير هذه الأرقام إلى قلق المستثمرين من عدم الاستقرار في المنطقة التي تشهد أسوأ أعمال عنف منذ عقود. كما عانت أيضا صناديق الاستثمار في البورصة والمشتملة على أسهم قطرية وإماراتية وإسرائيلية من نزوح التدفقات بعد تزايد المخاطر في منطقة الشرق الأوسط.,2023-11-12:15:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 6 6 6 6 7 3 1 2 7 1 6 4 7 1 7 4 5 8 4 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F b b 1 a 7 5 6 1 f 2 3 3 c 6 b 2 d 3 6 1 f 1 2 6 9 f b e d 5 c 8 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E R c e 5 9 a 3 f T h j 5 A Q q 0 H T b p i H T i X Y F r - N _ S B 3 m 3 i J q 0 m Y g & o e = 6 5 5 2 C 2 5 F & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid02Jj8xdM5VpVWtdtRit9Maz54oBTY84EDr2xBj43LgyMgKCjz11YjRTeg8Si3TeBHMl?__cft__[0]=AZV-bjddGKvGOkIrlfuUxKqWGLIEQrL4qQ6bgKbeIZ8vTRMlBoI3DoENi9RjRZ8yNlCk0NvcE45noNAyNSsl_hqSipYB3pNm4WgNbd_RkjvT15goo080AAPSdMExs51vq2DMa2MTdgTSuvFG_U7XNCsWXx6dnbjOFOh7EfdqW9txT8Nwfz8Gx31hwypj8hHtfLPzjuB3IkRU0g9VzzGUOu9l&__tn__=%2CO%2CP-R,e e~ ف‎ o لج‎ % b % -- “تدك ع‎ ١١ج‎ ١
pfbid02TCUTs9dYZ4qvZfoMnfGFDWKP3ReebX5t1tsRyZbS5zkrumdqPaZu1H1Dz4Sf1ADWl,فرانس 24 / FRANCE 24 Arabic,4,21,"تعهد الأمين العام لحزب الله اللبناني حسن نصر الله السبت في ثاني خطاب له منذ بدء الحرب بين حماس وإسرائيل، مواصلة العمليات على الجبهة الجنوبية ضد العدو اللدود للجماعة الشيعية المدعومة من إيران. بعد ذلك بوقت قصير، قال وزير الدفاع الإسرائيلي يوآف غالانت إن الحزب يجر لبنان إلى الحرب محذرا من أن المدنيين اللبنانيين هم من ""سيدفع الثمن"". وقال غالانت: ""ما نفعله في غزة يمكن أن نفعله في بيروت"".",2023-11-12:13:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 8 5 5 5 5 9 5 6 0 3 1 7 2 2 8 5 1 6 0 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F f e 0 4 2 5 3 e 9 9 4 9 2 8 e 2 a 2 4 1 a 6 b c 9 f f 9 8 5 9 e . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E M F j C V Z M E x l j 1 l 4 B 0 5 m y u N m n 6 e 7 c 2 s n c m Y M i - v W e v W K g & o e = 6 5 5 2 F 5 1 E & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid02TCUTs9dYZ4qvZfoMnfGFDWKP3ReebX5t1tsRyZbS5zkrumdqPaZu1H1Dz4Sf1ADWl?__cft__[0]=AZXxJpLY8hjH0wixlHO5jmiV3zSax-43vIGRffxc0ohuT6Pb7jX-TxabOMpoDtwnOuee9zrMk5n1TWbFTp3kShGgm0X9TIHMnhTMJxZSiD8LayDXopUFLFoucqTAmIAzCIU07fp0v74oyzF1SjpQVFUFuBj3H0LAMvm3l6j29Cu3mZP8zjW5XgOc_DPO9ymAzqW5jc-q9SCdFaIQK8wZmMk6&__tn__=%2CO%2CP-R,7 ا َل e 0‏ اب الا ما لمجا لاا
pfbid033bCNnss7DyGJK96fVyPa9xJYia4bfofLo82Bw1XhscBHQbP3Kdk67FMi1M75QATLl,فرانس 24 / FRANCE 24 Arabic,2,2,اقترح الرئيس الجديد لمجلس النواب الأمريكي الجمهوري مايك جونسون السبت خطة موقتة وغير معتادة لتمويل المؤسسات الفدرالية الأمريكية المهددة باحتمال تعطل نشاطها أو الإغلاق الحكومي خلال أيام قليلة. لكن وفي ظل انتقاد بعض الجمهوريين للخطة ناهيك عن مجلس الشيوخ الذي يسيطر عليه الديمقراطيون، فليس مؤكدا أن يتمكن الحزب الذي يحظى بغالبية بسيطة في مجلس النواب من تبنيها. وتنتهي مفاعيل الميزانية الفدرالية مساء الجمعة 17 نوفمبر/تشرين الثاني عند منتصف الليل.,2023-11-12:12:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 2 9 7 9 8 5 8 8 2 3 4 0 6 9 1 1 4 1 3 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F c b a 3 d 8 4 e e f 0 b 9 f 0 5 d a 3 6 5 8 8 8 8 d a 9 d a 8 7 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E H c J s O O V h O - l x v K e S r d a W 4 q a V _ G m N D S S w j 6 6 c A h r M 8 J w & o e = 6 5 5 2 D 0 1 B & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid033bCNnss7DyGJK96fVyPa9xJYia4bfofLo82Bw1XhscBHQbP3Kdk67FMi1M75QATLl?__cft__[0]=AZWlQ99J-NopPSx8yh009zhjVzCB2VVqcAHO-9Fg_ZsAYtsvcbBocrwIQzVgLlVDUdJwgy2TbwaUP1xaHnNNe9hosr0FgTvJHklXT9i5S9IazWwzo5IDp-phEIPRksfW6xnVQhH7MpXrjHo3WQpaIGQoKG_3xfl41LH-hoKGrp1KS6TRrha0i1azxpoXj9JhEHugYHWGk3rhvr3CBDj8H1WM&__tn__=%2CO%2CP-R,الك 8
pfbid02At4P3bTXTrGL1yG7ZH4xKqRmxcABX151FiBuarfc5DHXjiVZtmwfw629pfkvJ4t2l,فرانس 24 / FRANCE 24 Arabic,3,5,"لماذا يعتبر الكاتب والأمين العام الدائم للأكاديمية الفرنسية أمين معلوف أننا ضائعون وفي متاهة؟ وهل يرى أن المواجهة حتمية بين الصين والولايات المتحدة؟ وكيف ينظر إلى الصراع في الشرق الأوسط؟ هذه الأسئلة وغيرها يطرحها وسيم الأحمر مع معلوف في هذه الحلقة من محاور. إذ يقدم الروائي الفرنسي -اللبناني كتابه الأخير ""متاهة الضائعين..الغرب وخصومه""، ويرى أن منافسي الغرب لا يقدمون نموذجاً مقنعاً، وأنه بدلاً من أن يحتدي الشرق الأوسط بالمثال الأوروبي باتت مشكلات الشرق الأوسط مشكلة يومية للمجتمعات الأوروبية.",2023-11-12:11:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 8 0 0 0 0 1 9 3 1 6 3 6 9 7 2 5 4 0 7 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F 7 e c f 5 4 4 7 d b d 8 4 8 6 9 b 1 3 b c e b a 8 c e 0 3 7 9 b . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E P n 0 6 p e 1 o g q 9 L 1 z t 6 _ l R 3 _ B I x R q 7 Q W l Y 2 E j y v c J h D w F Q & o e = 6 5 5 2 7 5 8 D & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid02At4P3bTXTrGL1yG7ZH4xKqRmxcABX151FiBuarfc5DHXjiVZtmwfw629pfkvJ4t2l?__cft__[0]=AZW4JvKWpsxdjEL59-OamWuXdiqW5DJ92r3TnEdHsgGgZMLHozCe7nTz66XnvFua3gjXybaNI4JEUUHqjF4H2W0aMsdF7a64GU-z-SVq3hFUnVkA0iV1pquNbrOfcZRjqrr1po90xChWVX4pHYOYsCpHa7QlHuX84Ek6_MlpxK8a5adrUoIt17vGwgAl65X3g9L4_iz4Fas6rXEa80XbuaRE&__tn__=%2CO%2CP-R,"حك كا T‏ َ e e o / 7 ْ 0 72 ع .+ 4 7 - 2 | = | اا e,‏ أمين = < اج ا محاور ‏"
pfbid02TbdK27dmNGsofM2RCSTKw7BdbWmzugMNXG4NopLFDmk5NzPE26UeXAYoX57iWtdsl,فرانس 24 / FRANCE 24 Arabic,5,37,"وجّه الرئيس الفرنسي إيمانويل ماكرون السبت رسالة إلى مواطنيه داعيا إلى ""الوحدة"" عشية تنظيم مسيرة في باريس ضد معاداة السامية، منددا بتنامي هذه الظاهرة ""بصورة لا تطاق"". ومنذ هجوم حماس على إسرائيل في 7 أكتوبر/تشرين الثاني، تصاعدت المظاهر المعادية لليهود في فرنسا مع تسجيل أكثر من 1200 حالة في شهر واحد.",2023-11-12:10:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 8 2 4 3 3 6 5 5 0 1 8 7 2 5 5 6 3 8 1 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F 5 0 6 a 0 8 2 0 9 3 f 4 9 d 4 5 9 b a f 6 0 7 1 3 9 f 6 6 4 7 7 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H u 7 2 b i - 2 o 6 N V T A H M y Y U 7 J N x X M u 0 0 a M x J K T K 5 s q L 9 b g y A & o e = 6 5 5 2 6 8 5 E & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid02TbdK27dmNGsofM2RCSTKw7BdbWmzugMNXG4NopLFDmk5NzPE26UeXAYoX57iWtdsl?__cft__[0]=AZWk7SVtGHMakxOTLz6brG8rDHC__ZCNKI8TkkETHyJi9up0SOxssXSV2mM-tXwLrErJYtVeCWY1tsU88enmlXJkEWlXCYK2gOGE2d9dfEqY9gB6vr_9NZEb0VmxDwtZrCbrxciEP2Obr3NYRzdnbsCr-r-qO47ZWBLxTsRdf2QSejcndRLY7nmT5Bq7KP1J9vK2ztooXP_fcyDMcXK5ZQRb&__tn__=%2CO%2CP-R,B .\‏ : سحن e - Lt e .‏ Gt N TR T‏ AN‏ . 5 7 ا ل ض 7 \ e‏ -
pfbid0JqFi6gbwQ7n9wP3RPPqBJUH8PGTfmfRMLH2WYj47Djg1dNcRQUw48cqohCNsq7YQl,فرانس 24 / FRANCE 24 Arabic,0,0,أعلن مصدر عسكري أردني الأحد عن تنفيذ عملية إنزال جوي لمساعدات طبية عاجلة في غزة بواسطة مظلات السبت مخصصة للمستشفى الميداني، وذلك للمرة الثانية منذ بدء الحرب بين حركة حماس وإسرائيل، وفق ما أعلن الجيش الأردني في بيان الأحد. وقالت منظمة غير حكومية إن الوضع في غزة يزداد مأساوية بالنسبة إلى المستشفيات في شمال القطاع فيما دارت بمكان قريب معارك عنيفة بين الجيش الإسرائيلي ومقاتلي حماس. تابعوا مباشرة على فرانس24 آخر التطورات على مدار الساعة.,2023-11-12:08:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 5 1 2 4 8 9 2 8 8 5 5 4 4 8 7 4 3 7 8 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F c 4 e b 3 d f 8 6 d 2 4 b 2 a 1 5 2 2 d 0 4 b 3 5 f f 8 3 5 0 c . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E A W J o y B x X g 1 g k 1 i H n A J 4 k Q 6 d i K W x Q S q G - N e W I A I U 9 T p A & o e = 6 5 5 2 8 0 8 B & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid0JqFi6gbwQ7n9wP3RPPqBJUH8PGTfmfRMLH2WYj47Djg1dNcRQUw48cqohCNsq7YQl?__cft__[0]=AZUp0LN3U_N5xhI_FuTpB1bw1bv9W34wycuf_oAQUbM7Gxd_L4b4C67KEVQIBC9R7lAg00ruyMx_Pao8FSWYurdxE91lZo_jJvj0Gm190OI9v46C09yMntEp9U3BlLG41MY5T-vV343zsn_KQmARvDIevjms8VkW4i0a6-aiHQ3lhiafsyU-BIUZ5FetvP5pWWL1ROwNOxyJvVixmH8v_O0e&__tn__=%2CO%2CP-R,= ا‎ Rz o Gt الوحت‎ | ١ =0 T - اا S الي ل‎ > i ا = ل ل‎ ا . ا ب‎ =5 RNt لكر‎ T عك‎ ل د‎ T R
pfbid036sSXdvcWSgJcVK7ADDPFpfPKdj7n9gPEXHhGR7zPZqqxxC6nNMxhEvZyXnPcCoHal,فرانس 24 / FRANCE 24 Arabic,0,0, عاجل - نتانياهو يستبعد أن يكون للسلطة الفلسطينية أي دور في غزة بعد الحرب,2023-11-11:22:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 7 6 7 0 6 3 8 6 2 8 9 5 9 9 6 5 0 8 5 ? u r l = h t t p s % 3 A % 2 F % 2 F s . f r a n c e 2 4 . c o m % 2 F m e d i a % 2 F d i s p l a y % 2 F c e 1 8 8 f f 2 - 7 b a 8 - 1 1 e e - 8 c f 6 - 0 0 5 0 5 6 a 9 7 e 3 6 % 2 F w % 3 A 1 2 8 0 % 2 F p % 3 A 1 6 x 9 % 2 F 5 0 8 b 5 9 c 6 1 8 5 9 f 2 9 3 9 7 e 1 f e 7 7 6 0 b 6 c 8 9 a 1 5 1 f b 1 e 0 . j p g & f b _ o b o = 1 & u t l d = f r a n c e 2 4 . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E a l f f 2 T Q T U W q 7 1 m t n Q Z m b R Q f d B o t 9 T h d U n f M b s z p o W u w & o e = 6 5 5 2 7 C 2 8 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid036sSXdvcWSgJcVK7ADDPFpfPKdj7n9gPEXHhGR7zPZqqxxC6nNMxhEvZyXnPcCoHal?__cft__[0]=AZVK1IwZqYsj42YGVqB0KFWFrKJ8MZYfOKxsnplR-B211qQgavkk9eCTFqvvjmmcqeN2oTqlHI2c3a8n9HcUxQ5iARSPf_dqowbgTcMdv5slEuuSfGzhXQXZecXDRhBUqJ3YcTazzoM0Aas5MlaRaXfOsqgBc8s_Wyk86WBJvtqCY2z3vc8Psf-ENluh4PBzI-uu2OwDEfCaNYPG5MU3xSlE&__tn__=%2CO%2CP-R,AN Xi ١ : &1‘ -
pfbid02HxucbGQmpuRFr62VFjDiLbSTuqDzqadtbLRfdQ6bx7sdmMuADyAQpYUbGfF29GG2l,فرانس 24 / FRANCE 24 Arabic,10,35,"فرنسا على موعد الأحد مع مسيرة دعا إلى تنظيمها رئيسة الجمعية الوطنية يائيل براون بيفيه ورئيس مجلس الشيوخ جيرار لارشيه من أجل ""الحفاظ على مبادئ الجمهورية الفرنسية والتنديد بالتصرفات المعادية للسامية"". وبينما يتوقع أن تشارك شخصيات سياسية فرنسية، بما في ذلك مسؤولين من اليمين المتطرف، أعلن حزب ""فرنسا الآبية"" عدم مشاركته وأضاف أنه سينظم تجمعا موازيا بباريس. نفس الشيء بالنسبة للمجلس الأعلى للديانة الإسلامية الذي سيغيب عن المسيرة. أما الرئيس إيمانويل ماكرون، فرغم مساندته للمسيرة إلا أنه لن يشارك فيها وفق الإليزيه.",2023-11-11:21:52,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 4 4 0 7 3 8 4 5 2 8 5 8 5 2 4 9 1 1 6 ? u r l = h t t p s % 3 A % 2 F % 2 F f o n t a n . i o % 2 F 1 2 0 0 x 6 2 8 % 2 F m e d i a % 2 F s . f r a n c e 2 4 . c o m % 2 F 5 7 1 c d 0 f 8 1 3 b f 2 e 6 f 1 e 9 0 3 e 6 1 2 c 6 4 1 5 c 6 . j p g & f b _ o b o = 1 & u t l d = f o n t a n . i o & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F m 3 8 o K y x a m j A c v X 5 a U S S o 6 T z l x a q S 5 V N t S o h E k 6 P D c X A & o e = 6 5 5 2 F 4 3 1 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/FRANCE24.Arabic/posts/pfbid02HxucbGQmpuRFr62VFjDiLbSTuqDzqadtbLRfdQ6bx7sdmMuADyAQpYUbGfF29GG2l?__cft__[0]=AZWgM0_rf957_kXlfE_iUrojTvQs3X7RHO_P06wEjuGcrOZXIfVsroBnfsZvFRjgaEXSQRYrRo7CQxI59dY4eDGO2W4UVTH5Gl8CK2htwOKTPwotHplBNkFXprJLjsCD07wB01hrOYhHpKMXnrh4DBmJMXSjI1uGJyx0KNNgZM_SYnFG8MzrdK2jeoRUjTkrxSDIrokvTT-rH2l9vrrJq0-g&__tn__=%2CO%2CP-R,z o~ ها‎ - ساد‎ = B\ - N
