id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0rtmwyykiRmf38oxLhEWnn5SrTmbyWjhMRUvr8XmHPgcJ2o11ziJ1WF1Y3xQ2yW8Ml,تشارك,3,19,"إن المبادئ لا تُجزأ بمرورِ الزمان، بل ترسخُ في الوجدان وتثبت وإنها ذات صدى يسمعه القلب ويُطبقه العمل.وتذكر أن المقاطعة ""أنك تستغني عن أحبّ الأشياء لديك، حتى وإن لم تجد لها بديل"".#تَشارُك",2023-11-12:19:13,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 1 6 8 1 9 5 _ 6 3 5 5 8 0 9 5 8 5 0 7 1 9 2 _ 3 6 7 9 4 1 4 3 7 9 5 9 6 7 1 4 9 4 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 7 H u x d T _ l K Q w A X 9 k O j F 6 & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D i T U O h 3 9 _ N l _ Y x X U u j I o c 3 H q n J K a s x O V o P o R S T V g V Q 0 w & o e = 6 5 5 7 A F 7 F,https://www.facebook.com/JUST.Tasharuk/posts/pfbid0rtmwyykiRmf38oxLhEWnn5SrTmbyWjhMRUvr8XmHPgcJ2o11ziJ1WF1Y3xQ2yW8Ml?__cft__[0]=AZUSQiwOtYoxPWDbaGXQpeRTgWovCghqPd-b0_TPYOqxuPZTU6tn94aftNGp5YB6_ckEMAJLCy5h9E5zDpYclwAOIbVJFXKx3C9yxsJEmfchSSVPuADHy472VZtocnnkYo-DHvqlf6CUPz8CUb_Yaft8eszCB47oekYmd_jJ7ygXz5v42Y6YKkPjufhz4evkZtcXfpZ4QZvuF7zO6m0gPtY0&__tn__=%2CO%2CP-R,"' -~ B 4 . هااا‎ VK O ol 27 ري‎ - # ب[ ا ب‎ 227 A سن‎ 2 o x B o 5 { ا‎ B~ o 7 o 7 سم‎ e ١ 9 ا‎ . T, رع‎ Zart . oy e Al s s ا لمر‎ 5 P R O 7 9 L ‘ o TN M ١ دا‎ . 2 #r رو‎ 2 >< 2 ا‎ st 26 د‎ 7 يم 0ر7 د ريا"" ل يود‎ 8 18 2 ل .2 يب ا‎ P . 5 2 ب 5 ل‎ ; 7 Fa - . ""4 و‎ y v ’ 0 ٍ i 7 % 0 o s R, و‎ | 2 3 2 بع 2 ا‎ 2725 - اا بي‎ ٠# e جد‎ 12"
pfbid02hLCsCNfttntk1MkVVyACiaLpo6Sb9npvBzn3nPpXr3KFm1RoGNTAXCqWdbS3nmrYl,تشارك,0,0,ضمن حملة المقاطعة، وفي الوقت الذي تُىىىتنزف فيه الخدمات الطبية في غـzة، هُنا بعض شركات الأدوية الداعمة والتي أعلن عنها نقابتي الأطباء والصيادلة.. المقاطعة ثغر وواجب الجميع..#تَشارُك,2023-11-12:17:13,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 8 0 5 1 9 _ 3 8 6 2 2 0 7 4 3 7 3 8 9 9 6 _ 6 7 1 5 8 1 5 2 3 5 3 7 1 2 0 1 7 7 4 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = o m 2 Z J r X d J L w A X 8 l J 1 d B & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f A a W c i r p u Z n O d s 0 M w 9 J S i N i V l b u P J N Z 8 0 u 5 I 8 L K M Z x 2 1 g & o e = 6 5 5 7 9 F 3 1,https://www.facebook.com/JUST.Tasharuk/posts/pfbid02hLCsCNfttntk1MkVVyACiaLpo6Sb9npvBzn3nPpXr3KFm1RoGNTAXCqWdbS3nmrYl?__cft__[0]=AZV4vbDZuea083dCFDGRvhh_XRa69jm_zLEFjiN505PebcnM88lzR0FpeVxOHIjgucxqTLimIlUS-f3OAAhjCqltr2Z81mcl5P0PNdqnkOw4TIi1nnTz92I_FtHYAJZ99rLE3ZlXuJnuPmqq9jQ64Xlu9PZ3r3HetAyyLiGaMn2Gt1dSdr0t8Yb18-xAb0HmXsjUsD6Zid7_irOTmn4sFPBI&__tn__=%2CO%2CP-R,شركات الأدوية الداعمة للاحقلال 1.Teva‏ 6.Boehringer Ingelheim‏ ج90 7.Johnson & Johnson‏ 3.Bayer‏ 8.Merck Group‏ Pfizer G‏ 4 Elililly‏ .9 5.MSD‏ نشاك dog‏
pfbid02WYYK7Ho4GRyCFraSJRR2qdA2XaDXkxazUvEmE29PvE97tQBdFnbFy86oVQKqUbW3l,تشارك,0,0,من توزيعات التجمع اليوم خلال جولات ميدانية للتوعية بأهمية المقاطعة..#تَشارُك,2023-11-12:14:13,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 1 4 5 9 0 9 _ 3 8 6 1 2 0 8 0 7 0 8 2 3 2 3 _ 5 6 1 1 6 8 1 7 8 9 1 9 2 1 5 2 2 3 9 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = V Y M d 2 _ B w M H s A X 9 N 5 s f l & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C 0 3 r b B 3 - m K 2 6 5 L L E o 7 A i U Y P v K A l u Q E w 7 X x R D J g p s i Y q A & o e = 6 5 5 7 1 2 D 4,https://www.facebook.com/JUST.Tasharuk/posts/pfbid02WYYK7Ho4GRyCFraSJRR2qdA2XaDXkxazUvEmE29PvE97tQBdFnbFy86oVQKqUbW3l?__cft__[0]=AZXM73W0v8oZ-SsHS9TjF9PxSXsQcJUTFDMucPrHIw_XrKJ2L2y-FE340XVlaPoP775u6Av9ZD2pXw9dFFZV8IrYTgxKAJU0Th0g9cL1j2V8w5C5bLAJytlVza9_f2tWY-EBiuq-roi6NNYgKUcYHM8knLguTU0A5qrGi5ACpJE8Yg3W4448UE_RAMuubf_w6EByc_YugyR8jHjOUNFpHRdO&__tn__=%2CO%2CP-R,5 2 45 ب v/ (A ¥ 3\‏ NS‏ O b‏ ا 2 5 ص (el‏ - L K — | |‏ 1 -
pfbid0uqacgxAEQ4RwtGKJCKWnZRuCtAY3vZeVtdg1pUSVmc1PaVQbrYavefjtbzRWvCjcl,تشارك,3,41,سينهض مِن صميمِ اليأس جيلٌمريدُ البأسِ جبـَّارٌ عنيد~ اسم دفعة الهندسة الكهربائية 2023#تَشارُك,2023-10-08:14:41,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 0 5 5 9 0 5 _ 3 8 2 6 9 8 2 2 4 0 9 1 2 4 8 _ 7 5 7 1 7 1 6 6 5 1 1 7 0 1 5 8 5 4 6 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = a r R h g c K - u C s A X _ s o _ a g & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D L K z W x R X e h 3 X q q T 2 H N i F 9 a h E w 3 l 9 4 w o N t _ N 5 r B d z D F U w & o e = 6 5 5 5 F 5 5 1,https://www.facebook.com/JUST.Tasharuk/posts/pfbid0uqacgxAEQ4RwtGKJCKWnZRuCtAY3vZeVtdg1pUSVmc1PaVQbrYavefjtbzRWvCjcl?__cft__[0]=AZVGLJ3J16QTtZJCltDw6n8WLCjB8djfw5mpPTv80Mx8UW3SWgn-iVeRSt41pseqq35s5I7uWe7oFvToelcnMsFHKU4p8qewRVtmdmHH8N408543Wszys3eLVbPsfJ5Bi7zib-DRGBwl7MxUvHr2MBwSko-M3LbT5WD_nwOxlR7TR6tA_p4UtSmEeeKVdck77u_Eut_xB1F2DrAxAARpSHZO&__tn__=%2CO%2CP-R,ل ® حا داس لبها ليا 1 ليا BATCH‏ 2023 OMMITTEE‏ ا
pfbid02eL1s4MWTz7hVKmJLFvBMj5EgDrmTZcDopa9TtqAukiRBFN19whCsCQYXJz9SgzDyl,تشارك,0,0,من إحدى قاعات M الطبية.#تَشارُك,2023-10-08:22:12,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 5 6 9 6 0 4 _ 3 8 2 5 7 2 9 1 0 7 7 0 4 4 6 _ 5 8 3 9 2 9 2 8 1 9 5 9 0 3 2 6 8 8 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = j q Z B 3 L k l y b 8 A X 8 V z l N A & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D Q j H v w 8 G N 7 R e B w j Z 5 A 0 N h f X a 3 X C _ T y s z Z d c R A d C K R - U g & o e = 6 5 5 6 3 6 1 6,https://www.facebook.com/JUST.Tasharuk/posts/pfbid02eL1s4MWTz7hVKmJLFvBMj5EgDrmTZcDopa9TtqAukiRBFN19whCsCQYXJz9SgzDyl?__cft__[0]=AZUAAaKI_UU86jjyyQniatrxDA69lQd4vPxVICsr0PLIU_GMvs9-lgYvWSmYCjQq5fFHRmbFULmiiTtQHrLA46c2VaQB9BCNwoTRt-fhBulQ2d4GWLafgKsonBu9IxTupbKHVjPBtqFvqGcEH5Eg5w1ILYJFSCcVBpEa_ZYjdXwfjTS3dxFVIY4Et6KBNbzNinyP014RObwsDWDfsbo4wfbe&__tn__=%2CO%2CP-R,"4/1 | 5-‘{; i "" ) P 0‏ ض S & r‏"
pfbid0oEMvzZ9xumZjAwWRWR3yiNmssMcXM5FGMPcyFPGig57BvUoV9MAmAG5BWfbtw3QSl,تشارك,8,12,الله أكبر والعزة للإسلام..#تَشارُك,2023-10-15:05:53,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 4 8 3 3 9 _ 3 8 2 2 5 3 7 7 0 8 0 2 3 6 0 _ 8 9 6 9 0 4 4 9 3 6 0 8 0 4 9 2 1 1 6 _ n . j p g ? s t p = c p 6 _ d s t - j p g _ p 8 4 3 x 4 0 3 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = G d E q B F 7 I l x Y A X 8 p X 5 M k & _ n c _ o c = A Q l R U j D t U 6 l o o N Q Q f G N P J F Z 4 8 s 1 G a N S G E b b 2 c b y 3 q x D W f w _ W w k L l 6 N J 2 b 7 0 U d p U - Y Z 8 & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C S G z S t q z F N P M h d O Y k 7 b p X c f W U I 5 m - o c Q g 4 7 o N _ 2 J _ K 8 A & o e = 6 5 5 6 4 B A 3,https://www.facebook.com/JUST.Tasharuk/posts/pfbid0oEMvzZ9xumZjAwWRWR3yiNmssMcXM5FGMPcyFPGig57BvUoV9MAmAG5BWfbtw3QSl?__cft__[0]=AZUiqylM1Z-vPKrMf2btrHb2soqIj7lfffA-iU67FAkhfbSEZ-y_YUbvQEhUPm_1C0-_7-9s2G4YMhAQjgBOHfCc3OknPGvlJaic1jHcC_w2xyBoR7hSOLBnaO9ZFKxrPyMyotAnio_QTE2p-_x-Xv03qcfbxxkBIsKy6pEQNYA8-KbV_DiF9d6-tc83ok-GnuxqqVibYCbC1CjbateGuFYj&__tn__=%2CO%2CP-R,"B =/ - 37 >< لل‎ T, | ا اس‎"
pfbid0426iSmP9bVgtJPSTfhCHz94XYMqxPJ53gn9RvSvYjFsHTKzSCNQDXjoWyNCDUY65l,تشارك,0,6,"""نَصْرٌ مِنَ اللَّهِ وَفَتْحٌ قَرِيبٌ""#تَشارُك",2023-10-15:07:11,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 4 2 7 0 3 _ 3 8 2 2 4 3 0 1 4 1 3 6 7 6 9 _ 4 8 2 4 4 6 9 9 8 1 4 9 9 3 7 9 2 3 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = y x L Z y z u T h g M A X _ n X G k Y & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D 0 V a 8 p u w E M c 1 L E P m B 7 h m U m M Z k V 7 n y J L n h h g O 0 4 7 S L - g A & o e = 6 5 5 5 C 6 C 1,https://www.facebook.com/JUST.Tasharuk/posts/pfbid0426iSmP9bVgtJPSTfhCHz94XYMqxPJ53gn9RvSvYjFsHTKzSCNQDXjoWyNCDUY65l?__cft__[0]=AZUKkWN56BP4R6gDRLES9J6bei7tYnOVcDUyIUveZxcrPnDDW6M79dxT7kyBLw1ETHHrpaA3JcuomxLFBXXsFzwla6b5Dah7ocGBuBlWUevRL8J2AouK53lpHF2cmW3sYrqKs7_MW8dYnOivsO5x3Qdrp04Fo-XUxvGK9qKs9phNtwsCg68Frl4YSPuVrEnbXND1B2OjnhgcEgUuxxkhpLx1&__tn__=%2CO%2CP-R,"L & L - اذه © - ا‎ - = 3 1 د ا ال ا ا‎ ""1,7 - KTy ته اا‎ 0 ¢ و الخد 1 با‎ 8 [ . 2 F - ! را‎ ا اج > نين‎ N - مدان & 2 راي ا الا‎ R - B, v = e - ا‎ T ,‘ 3 = ل‎ 1 ص ان ا ل‎ o S : Y Y, ٍ = - Z : """
pfbid028tWrueEAveqWNBymKALyyZLtQQpZUw7KBbhJgP7S5SZi8evRFCkKjAGGG2FegjaTl,تشارك,2,6,دِمـ|ءٌ ودِمـ|ء..أشـ،ـلاءٌ وجـ،ـثث!تشبّعنا من تلكَ الصّورِ حتّى كادَت تلك المشاهد أن تُصبحَ جُزءًا من يومنا..مجرْرةٌ تلوَ الأُخرى..يفعلها الاحـ،ـتلالُ القذر دون اكتراثٍ، ودونَ أن ترفَّ له عين..إباد|تٌ جماعيّة، ومحـ|رقُ لا تُصدّقها العيون، ولا تُدركها العقول!قـ،ـصفٌ للمستشفياتِ الّتي تضمّ الأبرياء، بعدما مُلِأت بمن اىىىـتشهد أو أُصـ،ـيب، أو حتّى بمن فقد بيتهِ جرّاء القـ،ـصف العشوائي العنيف، تحتَ حجَجٌ حمقاء لا يصدقها إلّا أحمقٌ أو فاقدٌ للعقل!مشاهدٌ عُلِّقت بالذاكرةِ ولن تُمحى مدى الدّهر، وأصواتٌ تتردّدُ صداها في آذاننا في كلُّ دقيقة!يا الله! ما أصعبَّ ما عشناه، فكيفَ هُم؟!يا الله! فكيف هُم؟! إنَّكَ يا اللهَ تشهد!أنّنا تعلّمنا من أطفالهم الصّبر، ومن نسائهم الثّبات، ومن شيوخهم الإيمان، ومن شبابهم التَّضـ،ـحية والفد|ء..وإنَّكَ يا اللهَ تشهد!أنَّنا نفديهم دمـ،ـًا ورُوحًا..نفديهم بكلِّ ما يُمكن أن نفتديه، وما يُمكن أن نُعطيه..وإنَّكَ يا اللهَ تشهد!أنّنا ما خسرنا اليقين يومًا بالنّـ،ـصر، ولا حتّى آل بنا المآل أن نحزنَ على حيٍّ عند اللهِ يُرزق وحسبناهُ قُتـ،ـل!بل إنَّنا غارقون بالحزنِ على ما آلت عليهِ أوضاعنا، وما آل الأخ بالأخِ من صنيع، وما آل به أن لا يصنع! ومن هوّلِ ما نُشاهد وما نَرى ..أصبحَ الفردُ منّا مُحمّلًا بشكلٍ كاملٍ بالمَقتِ والنّقمِ والاىْتقام تُجاه ألدّ أعد|ء الإسلام..يُريدُ الفردُ منّا لو يسيّرُ إليهِ أيّ سبيلٍ أو طريقٍ حتّى يُساند، ويمحو شعور الضّعف الّذي يعتريه..والحالُ أنَّنا نستطيعُ أن نُقدِّمَ للقـ،ـضيّةِ الكثير كلٌّ بمكانه؛ من بناءٍ للجيل، والوعي والتوعية والإدراك، ودُعاءٍ يصل إلى السّماء، وفضحٍ لجر|ئم الاحتـ،ـلال اللّعين الغاشم، ومقاطعةٍ لمنتجات الاحتـ،ـلال المليئة بدمـ|ء الشّهد|ء، وإعداد العُدّة للنّـ،ـصرِ المبين.فاللّهمَّ ىْصرًا قريبًا ملفوفًا بالعزّة والتمكين للإسلامِ والمسلمين، محفوفًا بآيات القرآن، والسّنة المُهداة..اللّهمّ إن هذا المُـ،ـحتلّ قد عاث في الأرض الفـىىىـاد، فألحق بهم هزيمةً لا يعودوا بعدها أبدًا، واشفِ صدورنا بدحرهم في العاجلِ القريبِ يا ربَّ العالمين.#تَشارُك,2023-10-15:09:04,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 4 2 3 0 8 7 _ 3 8 2 1 8 7 8 9 7 4 7 5 6 1 4 _ 7 7 9 4 7 0 0 5 9 1 2 6 5 9 1 5 0 5 1 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 - 9 L c f r - 3 U Y A X 9 L 6 K x A & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f B _ v q Z u s _ n E U 4 1 S W 9 E 0 G G X - L Y T f Z G 8 Z - m n R l 4 j q e w s g y g & o e = 6 5 5 6 D B 0 B,https://www.facebook.com/JUST.Tasharuk/posts/pfbid028tWrueEAveqWNBymKALyyZLtQQpZUw7KBbhJgP7S5SZi8evRFCkKjAGGG2FegjaTl?__cft__[0]=AZVuOQbWBUGhZ9IgwMilzAERHOH7ZfnZrNsZGQZsOs1QOIyd7s2izZWE6Cbu5zsMgsjUm6UTrwwBZs1sa1kNO-2pDP-Q_LJfVbdN36AjJTmXjgz5zYNVRO65kWkSn56vIRLKUaFf-tfbTmDgBf-gLH9Qs6lA0NHchrBXAJOwrnchv_2M3qxVnjACjDfkwOJXY-W8hGVaAQKyh-hM9hVen7TC&__tn__=%2CO%2CP-R,"e ; -‏ م Y.‏ ' رع 1 W 4 B "" | S‏ = ل 7 لالض و ا 1 - 't'_‏ 2 1 ٍْ ل ال W ,""' “;, e‏ - #5 7 I SRt > -.‏ [ عفد R e‏ . U RS 8 s 1‏ = - 7 07 - |( ا T gt il‏ أ ارال 8 i N‏ ال ل < S iR‏ فيس ا i‏ : ' “ مدر بع ٠‏ + 4 ديد TP LA‏ دبج مجو“ - : F‏ > . A AR‏ ا st RN‏ ال ع ا الوح الا ا ا تر s 8 R B e‏ حت الا ا 3 ححا g‏ هرا ا لال لجا الا أ لقن ا 7 ال g 7 « : ré o H i BN‏ 8 . ل الح X‏ & محا 4 - . ا ا يرجه مد زجع اال :."
pfbid02RE2EgkfjcypX2CX1xXsW6g85ZVqtzcBJNL22UgPghtKXNp7SE7cmLtwWRpKwg64hl,تشارك,0,1,"""قف مع الحق، حتى لو كان ذلك يعني أن تقف وحيدًا، إن خسارة مصدر رزقي لا شيء مقارنة بالجحـيـ.ـم الذي يتعرض له الأبرياء والضـ.ـعفاء في غـ.ـزة""ما كتبه اللاعب المغربي أنور الغازي بعد فسخ عقده مع نادي ماينز الألماني لتضامنه مع gـزة.#تَشارُك",2023-10-15:13:25,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 6 6 5 6 0 _ 3 8 2 1 1 6 2 1 4 1 4 9 4 4 9 _ 6 1 0 0 5 9 4 1 8 8 6 1 0 1 2 6 2 3 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = d V T A b n q 7 4 x U A X - D T f B L & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D c z s s F P z F S w F 3 Z 1 K O n L X N 2 0 Z B w _ 0 g j 8 e Z 9 Z p s 8 W - e N r A & o e = 6 5 5 6 F 7 5 B,https://www.facebook.com/JUST.Tasharuk/posts/pfbid02RE2EgkfjcypX2CX1xXsW6g85ZVqtzcBJNL22UgPghtKXNp7SE7cmLtwWRpKwg64hl?__cft__[0]=AZVQYJhPE03-yt-QNpHMibXpC01XTTwDjxZ00JCiG9E3M5HYkKphU9_-bHhx7-rfUGx5CSYgqMcUTP2Hii52Wx9GwV_51aQkBxCdZCNE7Ip_F4tpcXnje3GgydasZiuFZ1O6lYw95To2lRpAStV3g2vJDtX555KMr4PUKLgV5VYZtj15luTukKbABS9U-Xcp2RWPPOZu4uJLZNozKXUEq2_D&__tn__=%2CO%2CP-R,a7 = e | v‘l —= G gy e = N o= gl el g R ال ل‎ =t ا ال‎ 7 Ry AL A g‘ ) N اوح هس‎ << - 9 2 - 7 - — _ 1 E S ‘A
pfbid02tFBqNGkjZo4A3G1HosptLddb6bGvPcAk2SWzC1zt2uQ2nRKSCFU7i6A81P6VWjgbl,تشارك,684,208,"هذا الرجل كان يبيع الكنافة النابلسية للناس المحتاجة بدون مقابل.‏ويقول: ""معك ادفع ما معك خذ نصيبك وتوكل على الله.""‏اىىىـتشـهد بائع الكنافة..#تَشارُك",2023-10-15:18:43,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 6 9 3 7 5 _ 3 8 2 0 3 7 5 8 0 8 2 3 9 7 9 _ 4 9 2 2 3 0 7 7 5 9 3 9 2 9 1 3 7 4 8 _ n . j p g ? _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = h e 1 Y 6 t m A z 0 Q A X 8 f l 0 b C & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C v h 4 V V E 4 v 0 y 4 H O W 7 o j k p I s f b L i M 0 T Y h N 0 D G Y b I 5 S Y P l Q & o e = 6 5 5 7 9 B 3 7,https://www.facebook.com/JUST.Tasharuk/posts/pfbid02tFBqNGkjZo4A3G1HosptLddb6bGvPcAk2SWzC1zt2uQ2nRKSCFU7i6A81P6VWjgbl?__cft__[0]=AZWRBwbHpcOOMN_8jL9_DzG4kgEkVZq56qs3p6YktDqUA1xrIcrS7Yzp73709RUWJsBQJbjnKNhs60HAX4vodJjbAwsU6otNbESyHmIoKVkJ9FJnNVW4Vuvu5qoK8yQ57LqqKhx7uU3PpVugVQPHxkwEMHpxiLMKaoUk5vBXxspVK9qsn1bjZ6OUAo3osuaXF0xq3vCQQUzGBr5f7yO6sh21&__tn__=%2CO%2CP-R,"T 'S‏ لها د N I e‏ انم Vg .‏ = ا = ات 5 AT‏ 7 من L‏ 4 ا ا e‏ ا"" 3 AR S &% | &5‏ ا حدس N A‏ '~ ا اح يز ARV‏ عل وجا« | الوا أ 6 Sidn. S Y‏ | AYMAN A b -‏"
