id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0TnSUpdtiYm6wNHa1vLvuHgFtrrHY297h4rqEjnz5cXRwRvsEENHYra9Dbr7CrcKVl,MBC مصر,0,1,لو أول مرة تقابلي حماتك المستقبلية وعايزاها تحبك.. هتعملي ايهيعرض الآن مجاناً على شاهد بعد عرضه على الشاشة http://onshahid.net/6054uslyg#كامل_العدد#MBCMASR,2023-11-13:01:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 6 4 4 5 2 9 3 _ 3 6 3 0 6 2 9 6 6 3 8 7 1 4 8 8 _ 3 5 9 6 7 1 0 3 0 2 8 9 5 9 3 6 5 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = F r 8 o J x e J F W I A X - D Q N I p & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 6 Y q - v X s 8 d w Z p u Q F E E C e B 9 S J s k p q o g w h 7 k N L M Y t p q b Z Q & o e = 6 5 5 6 A 8 4 8,https://www.facebook.com/MBCMasr/posts/pfbid0TnSUpdtiYm6wNHa1vLvuHgFtrrHY297h4rqEjnz5cXRwRvsEENHYra9Dbr7CrcKVl?__cft__[0]=AZVtE9nP9UioJfgm_MtJDFKURDnDFWEtclWM5fT3xH3jm-IXeLnQ1z-PHlD8YNwINy5GbsoQdeDnyABXT6AMXbbyAzXqQxWIHJIxj12p67UoX_i5sBAyMtvDEd2S9hqQ-Z4diBAEu9KD0KwrVxLKSNrhDAoAYLcZPeNoywGI5FP9RhutfH68j7FE0usdZd-jowsDFD0ftJfkGyc43YVqQXpt&__tn__=%2CO%2CP-R,"أول مرة ""-' هاب ©"
pfbid026Nq2p3mieDNVJN445qQJF8MbK11XWwAsUDmSFXESC65eb6MhqShLBbv6HADtj1BMl,MBC مصر,11,18,تهجير الفلسـطينيين إلى سيناء.. مشروع لا يمكن أي مصري يوافق عليه يعرض الآن مجاناً على شاهدhttp://onshahid.net/6188Mz6LG #الحكاية#MBCMASR,2023-11-12:21:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 2 2 9 2 6 5 _ 7 3 9 8 1 8 1 4 1 2 9 9 3 2 0 _ 2 8 8 1 7 2 4 9 6 2 6 8 9 9 0 4 5 5 8 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = Y x 5 r g Q m q J M U A X 9 l O z y a & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A o 6 F n b z o F x p A r y g g X D C h e b w j Y q f v 6 X B w A 3 N F 9 B C 2 o Q k A & o e = 6 5 5 5 D 5 6 C,https://www.facebook.com/MBCMasr/posts/pfbid026Nq2p3mieDNVJN445qQJF8MbK11XWwAsUDmSFXESC65eb6MhqShLBbv6HADtj1BMl?__cft__[0]=AZU9znwaBHit42Yo3-awkpHXMyFrYgfSuacQk66ERCjl1sryy1tlcHaSK2U_kBeReVPdtndta9N7kceXnZqrqrxNbtQgPeEfaLW_fB69kR9KZ59kH_-fR252son4dm7zqbAn4x3MNfkqpn8ILcrBBE-juVhwTCyDHhiRl1ECuOWuSuDQ7w41o8erCQ_19V2rEJxM6rqgcPBrESSVmQC31LIh&__tn__=%2CO%2CP-R,". 2 / Yy 066 #‏ | ض ِ 1 Y‏ ا 1 \ . - اب ل + > اوه B AR‏ | e 7 i Ty e‏ 1 د ? 2 : r} ١‏ £ = ] ا P‏ تهجير الفلسطينيين إلى سيناء i‏ مشروع لا يمكن أي مصري يوافق عليه 1 . . ,.»:ozog_olvl'l‘‏"
pfbid0VRzsLjeR2p5j51wLNNbMZMDZjwppgn95ArkiyZ57aDKYJNVB1eyKqxPotU1vDJjCl,MBC مصر,0,2,هل تبكي الرجال.. د/ نهى الخولي توضح في اهلا بالستاتيعرض الآن مجاناً على شاهدhttp://onshahid.net/6185MyXYc#أهلا_بالستات #MBCMASR#MBCReels,2023-11-12:19:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 4 9 4 7 1 6 _ 2 9 9 6 0 7 7 8 9 2 0 5 3 1 4 _ 2 3 7 8 8 0 5 6 4 6 9 6 6 6 6 8 6 0 1 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = H - C W _ I P Y 6 n 8 A X - N l c d R & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C g g E 4 g 9 T Q 0 E 8 y L - q 2 v w 0 Z j K 3 i G M 2 N k g k f X M v d M D j 7 u F w & o e = 6 5 5 7 5 3 8 A,https://www.facebook.com/MBCMasr/posts/pfbid0VRzsLjeR2p5j51wLNNbMZMDZjwppgn95ArkiyZ57aDKYJNVB1eyKqxPotU1vDJjCl?__cft__[0]=AZXM6kVe2FrKqWNGYIYcBGxgt6STr41zdvsani43DXgvm6xdQIjDkLpbhxGxl7kEDNtzcO5JyRBYPm36iQeRmUj0mJw8bpnkHHVp20EHQb1srBeDfzOvmpiN1xCt-gkMuZ_UDi23saplY_1WyRMQDVHl29oc_hImzVjY2jZfWFttgDXQtJjYwjSMMhWhy84jtIlF8QJh9-3x8tkQDOP0xXgQ&__tn__=%2CO%2CP-R,1 ق8“8‎ =\ 0 ل‎ 22 . D L R اس‎
pfbid0usYc9N75Gc1fiwKvXkuJDrjA2sDsgqTctvZ41iUb8xy5MqyFr5PTx7dtpSyPQMecl,MBC مصر,0,2,بثينة تحرج الشيف حسن على الهواء.. ود/ نهى تؤكد أن الستات عارفة هي عايزة إيهيعرض الآن مجاناً على شاهدhttp://onshahid.net/6185MyXYc#أهلا_بالستات #MBCMASR#MBCReels,2023-11-12:19:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 4 6 9 0 6 6 7 _ 7 1 7 1 5 8 6 2 3 2 7 3 6 9 2 _ 8 8 5 5 6 2 4 3 1 2 8 6 3 3 7 5 8 5 4 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = v u K b g l i h a 5 w A X _ n s e m c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D w 3 _ h v r 1 r W 2 1 Z m N h l I M 8 v D f d V 1 d B x w 3 2 L o I t G x Y Y 7 v L g & o e = 6 5 5 6 3 D 0 8,https://www.facebook.com/MBCMasr/posts/pfbid0usYc9N75Gc1fiwKvXkuJDrjA2sDsgqTctvZ41iUb8xy5MqyFr5PTx7dtpSyPQMecl?__cft__[0]=AZUp5XBUMcO0Iy3neVR8flybpitk1iL6eJmJrldydhWBSft8vOyBFBZuJiV2ke89hVOzKG0esWjxjQ3yFlNqjgIsEJ1e-4iXglMb03jeDPAmMXUKcUhwD-C5CUsMbuaNjwbYORSDrcqm1Ak4omiulFVW7LADiX5_N2P2Qof8ewDOVlpoW2mC7CA7gQmqxjvNu3V3s493WDugCG8PjZv9Clr3&__tn__=%2CO%2CP-R,"] {‘].'.! e 3 B ا . e 01 بيت‎ e , بت‎ 9 7 1 - R T ا - جنا 1 إ 2 R‏ ؛ s‏ 1"
pfbid029n4bbJTo7jR5LAr3AxqjUu6uw6CBv3bjxDpF6kdcmbuTY2oypaR3bbDKZZDGWyCml,MBC مصر,0,0,إزاي نعالج أروحانا من الآلم وشعور الغضب والخوف.. بدعاء سيدنا النبي محمد عليه الصلاة والسلام د/ أحمد ممدوح امين الفتوى بدار الافتاء المصرية يوضحيعرض الآن مجاناً على شاهدhttp://onshahid.net/6188MiMkm#من_القلب_للقلب#MBCMASR2,2023-11-12:19:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 7 9 9 0 3 9 3 _ 3 1 0 0 7 3 6 5 8 4 6 1 7 3 1 _ 5 5 2 2 4 0 9 2 1 1 9 4 7 9 1 5 8 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 8 s b R r n - b u s s A X - U Q k U g & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 7 m t L B E W 3 8 1 j 3 D Q t 7 g f c j L e s - Q 9 Z F d a h n V e j s b a Q M d _ Q & o e = 6 5 5 6 0 2 7 6,https://www.facebook.com/MBCMasr/posts/pfbid029n4bbJTo7jR5LAr3AxqjUu6uw6CBv3bjxDpF6kdcmbuTY2oypaR3bbDKZZDGWyCml?__cft__[0]=AZXslILgaKt11FyAlfFuuBHi_wtfvhI-87rrvXOEFv_5LLwq1UXXjPjrr50gPqGQ1GHP8kNvdN8yaFAbhuPEni6ko1xwOP_OKojOszxC_oLJo9jNhD9pSnQS3q7sfZIQb82S7483CsVGqVHJaFqWxcYiPcX01Qfgb4moPegDiVkMIw681Lsc8bhC7khhSI4EVhC5QdrDzM1cJA8XnQvybNwya7vaX7EF4BYF5lcmx1GtY2mO8hf6jqyG6LSYN9GP5Gg&__tn__=%2CO%2CP-R,علافة . الدين ءًُ بالإطمئنان =
pfbid0DtaVfv4eGSonp51RKJt92MDRKUDLVtpVYYV91YZmiJ8irvBFwE5cPfAyJ4g1e8RFl,MBC مصر,0,0,صداع ووجع عام وضيق في التنفس واضطرابات دقات القلب.. أعراض يشعر بها (الشارع المصري) نتيجة التعب النفسييعرض الآن مجاناً على شاهدhttp://onshahid.net/6188MiMkm#… En voir plus,2023-11-12:19:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 5 9 7 7 3 2 0 _ 3 7 4 7 3 7 2 9 5 1 1 1 4 1 4 _ 6 6 1 9 0 0 1 9 2 1 6 7 4 4 9 8 9 5 1 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = Y z G Q e w E c 2 f k A X 9 b t x P E & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C Y M i 0 x P Y P F P F o E c P 1 h m b R v i H Q h _ f T A J I G - j d V j a Z f 3 X Q & o e = 6 5 5 7 2 E 3 2,https://www.facebook.com/MBCMasr/posts/pfbid0DtaVfv4eGSonp51RKJt92MDRKUDLVtpVYYV91YZmiJ8irvBFwE5cPfAyJ4g1e8RFl?__cft__[0]=AZUSk57srfxx_oXYh4vWRo-gh--gJKLda2TkgheDCTYKd5CQ-POnAaUWqCBQvFrnZ2JLJHCdh6kOZIHfD1AVUgIjcSwswVfq87fA6-FyVJvsJ6jEeFBefS83hktrL_iymQq1-cfzvCNYBXXlsdGUDhcqOwqa0Y8vyJydK0JMrSsRQyRSI5XZQ8EXr617yUpSx0C3SCKBDk2Ktpy_BkqdvJlwdYQAfEk7hDKxtQ5_49hmdqXp9Dwi6tOYl-Hbe7yng90&__tn__=%2CO%2CP-R,"أي ا "" المت e el ١‏ 35 م B‏ ا و 1 : mbc و7‎"
pfbid02eQGsZ2JaMNHRvmV1ChWmAd4XpeX4GtSa4Rfej14iJBFkkE2pJJHS4yLoQX2YdWmRl,MBC مصر,0,0,ليه الدموع مرتبطة بالنكد، وهل الرجال تبكي.. دكتور نهى الخولي توضح الأسباب وتكشف أهم مفاتيح شخصيات السيداتيعرض الآن مجاناً على شاهدhttp://onshahid.net/6185MyXYc#أهلا_بالستات … En voir plus,2023-11-12:15:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 7 1 4 7 0 0 8 _ 7 5 9 3 3 5 2 1 6 1 9 1 1 8 5 _ 8 0 2 6 2 8 3 2 3 5 4 5 9 0 3 7 6 9 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = V 5 H h K V H r q K Q A X 9 P t W n b & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A 1 k s z O y 9 v l l d X b q h 0 L y 1 D 6 F l 8 p u w 5 T K k z z N R B C M l T Z O w & o e = 6 5 5 6 6 5 0 6,https://www.facebook.com/MBCMasr/posts/pfbid02eQGsZ2JaMNHRvmV1ChWmAd4XpeX4GtSa4Rfej14iJBFkkE2pJJHS4yLoQX2YdWmRl?__cft__[0]=AZVbgSnzlm12KSMdNVhuS6GVmRAFG10rBko7rHM-Lh_PH7dz-Y2ytEJLhGAsO1jTfPIOrtVEW-pgVhFIrsPdIdBaTqx8HjlauKnIKdGQnq2hnVTXvv6kihyymQVxylej__a8ZFGJSLuhUj4eDTCVcyQf7SFJbcEITM8RC_BdnRy2qmIGTj3S5ap1CGIZaWqQjzJA2xCrctrez-6U0bKWVm5O&__tn__=%2CO%2CP-R,يداه 5 جمد
pfbid0MXyHrkHdT2kerG9BSJNnD6BfNXvwoaM2C5DYhB94diXSxTzWAb8Rdcb3He8PSVgVl,MBC مصر,0,0,ماللك .. ماليش!  أغرب 7 حاجات بتعملها الستات تجعلها من قائمة العجائب.. د/ نهى الخولي استشاري التحول النفسي توضحيعرض الآن مجاناً على شاهدhttp://onshahid.net/6185MyXYc#أهلا_بالستات #MBCMASR,2023-11-12:15:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 5 0 6 1 7 2 _ 1 3 9 8 9 5 6 0 0 4 0 4 0 5 9 0 _ 5 5 2 2 9 4 8 0 3 3 9 5 2 5 0 9 3 4 5 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = J P O c 4 G q R p u w A X 9 l 0 f N K & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C v m e m 3 N C c H X m U c F D 6 V x I q j Z j i y C q U r K 6 h I L O Y D G f 6 G P g & o e = 6 5 5 5 F 0 9 1,https://www.facebook.com/MBCMasr/posts/pfbid0MXyHrkHdT2kerG9BSJNnD6BfNXvwoaM2C5DYhB94diXSxTzWAb8Rdcb3He8PSVgVl?__cft__[0]=AZW8PeSSZXjEI2TuYJTgHNeQEgiS3weT4_HQ0VuPNCKFej0mL8YzAVKB9DX02rDujFcx9x_cqIbKH8hSlrtRH6yaPRe9isNXeGuXnJs50bdcI5WIStk8UJdxAmz6_RBH5kwEncKfZU47P855Ac2rq5hEeDUEGj8T7Z8OUks_ZSwmZeAfpQjEjHz0x2bth3iK72_FoWro6ALzk2u8sE8pIZTb&__tn__=%2CO%2CP-R,A 5 الستات ل‎ ا ب‎ Y | لسيع و‎ / “بالا فو
pfbid05XFNVG2CbRiGvWJXYcHTRssdenZ4Hmgwwd8xJ4Q4H8fr7NNb9qhNZrckdMLYC3eQl,MBC مصر,4,8,رأي جمهور أهلا بالستات في عجايب الستات السبعة #أهلا_بالستات#MBCMASRيعرض الآن مجاناً على شاهد#shahidhttp://onshahid.net/6186uvqfg,2023-11-12:14:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 3 9 7 9 5 8 _ 3 0 3 7 6 4 1 2 6 3 0 3 9 3 5 4 _ 4 5 0 7 4 5 3 1 4 6 3 1 1 0 3 8 9 4 2 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = t 4 W v C v J b 9 B M A X 8 S 3 a a b & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C h 1 G V e a 0 m Q 1 j T S j n 3 F A z 9 V x E J K p d J B V Z C t X A a A O B p j x Q & o e = 6 5 5 6 2 E D 1,https://www.facebook.com/MBCMasr/posts/pfbid05XFNVG2CbRiGvWJXYcHTRssdenZ4Hmgwwd8xJ4Q4H8fr7NNb9qhNZrckdMLYC3eQl?__cft__[0]=AZW9Lg5AIC-XkQGJih4Oje7yskxzWCX7ZgGExe0ZmznnWzcaAYmJB1wiXBUT5IzGvyrK3sOz4Vnp5Gh9VYyCqUP3KJNSOsyeSH6kn1PdMsNwNCVeEJPH9o5xNxVKnToCTb_d9udQlRtr058kevALisy-gRinSY2hm0HRRQ0w_nwMJaX-gYyCGvI7290y_8H4GToPSBOI0scQczUTCyGHw5oc&__tn__=%2CO%2CP-R,عجايب = e‏ الستات حايق؟! ! ا
pfbid0tY7fjfzs44aiwxmwNYi6Mfd2xDXuohbUTwZdYaTQ9gBfHGynwsKVjjGuT9VGHTE8l,MBC مصر,2,8,الستات ليها عجايب سبعة زي عجايب الدنيا السبعة بثينة بتوضح #أهلا_بالستات#MBCMASRيعرض الآن مجاناً على شاهد#shahidhttp://onshahid.net/6182uvqUI,2023-11-12:13:37,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 5 5 8 4 2 9 _ 6 7 8 3 8 1 3 0 4 4 0 6 4 9 3 _ 7 3 1 5 4 7 3 9 4 3 9 2 7 5 2 8 7 7 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = R a r r S w W G A w 4 A X 9 b p F g Y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B z 6 R _ x W 9 i P 9 0 0 l i 2 Z w c _ 4 - Y b G u I K 5 l N l m C W M W v T z D B y w & o e = 6 5 5 6 0 3 0 2,https://www.facebook.com/MBCMasr/posts/pfbid0tY7fjfzs44aiwxmwNYi6Mfd2xDXuohbUTwZdYaTQ9gBfHGynwsKVjjGuT9VGHTE8l?__cft__[0]=AZUj2_J5L39XbZtkKwuqAGtBTaqf_6jWXfFtNeKlTzU_3fe-fUUhBvB603hTeTIdZw9VNYPOWoQVJERl5SEhahqPVKxwKaQXtsaOvS-xeESoqhYny1fJEDUwlguQxfAsoIUx7pg9sJdFD3fJnT4NlKbpyphwWxZ7LqT0cNl6Kv5ubUTRdkEUGpyNj_hflZ0Mb-RPMQqYSdJxFD9bSMmjZ04Y&__tn__=%2CO%2CP-R,""": & - 1 ج ١‏ نت 1 عجايب 2 م 1 ُ: ا ا mbc 0 1 P s‏"
