id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0oCcasK5a4CHaJHeVbgaBjtiqHmbwaay5STriut9t2vmwmh5aEwVRQcPfE9g5R6g1l,نكت,0,29,متاح بامبرز سيتي بيبي وفاين بيبي بالكيلو ب25جنية https://t.me/+HyybJhzkNXg5ODc0الكيلو فيه من40ل44 قطعهالمقاسات من1ل5 مناديل الكيلو ب15ج اونلاين فقط قطاعي وجمله,2023-11-12:10:42,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 1 4 8 3 8 _ 7 1 5 8 6 3 1 1 0 5 7 1 1 5 0 _ 6 3 6 4 2 0 7 8 8 0 2 3 9 1 1 9 3 6 6 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = l 7 F E 5 x x H 6 D 8 A X 9 w n 9 s R & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D r i p a - l A D 4 S F H z N I 0 _ j e f h A Q N R 7 y g m j S w h Z P 4 I m 1 4 H 0 A & o e = 6 5 5 7 6 2 8 4,https://www.facebook.com/N0Okat/posts/pfbid0oCcasK5a4CHaJHeVbgaBjtiqHmbwaay5STriut9t2vmwmh5aEwVRQcPfE9g5R6g1l?__cft__[0]=AZXJQPCBqyAEna9wdTc2ieo69xJARHcBzBHPIwxKiico5v8WxSC0hcmFpo9Mr1FC_RbeWNr_4_OtdELApDbZ_ZvKS7q5G-NP1V8BsNiVn3M_1ncEqrl6E7vsZYHU1jt27PL47Car2AuPXByjJPAzZ-8GucFxcm_HhFslRtCEy_yyUKlgHaF-uW90FlKj7rGunfqOfnfd3k61cJubX6azVkQi&__tn__=%2CO%2CP-R,"ااا T b‏ 0 5 g 184 1‏ 2 8 ل لا 5 7 7 م '“1,':5‘ [y‏ ا لني it‏ و اي 22 g e‏ اا 7 i e‏ ا = 1 اخ مدا لا اا كس = : 1 ال لأا ات"
pfbid03Q4QgegRPnz3MdMGnktTKtnHsNUqDEZSQJ8JPyZzYQca9jTa5XPxrTHukRYcKFiml,نكت,75,14,,2023-11-13:02:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 9 7 3 1 3 4 _ 6 9 1 6 5 8 8 5 9 6 5 8 2 4 2 _ 4 7 6 8 2 6 5 8 3 9 1 0 5 8 7 2 6 2 0 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = w Z 7 d B D Z h b v g A X _ r H t G Y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D D F J o x P r s 1 a K V F y w U w D Z n w A h P N 0 R 6 n f z x 4 P H e n B f h 7 N w & o e = 6 5 5 7 5 8 1 F,https://www.facebook.com/N0Okat/posts/pfbid03Q4QgegRPnz3MdMGnktTKtnHsNUqDEZSQJ8JPyZzYQca9jTa5XPxrTHukRYcKFiml?__cft__[0]=AZVnnZiipBMmWnOFASrkn5WHHnBlyXl2tOFWP-Tm-hf2chYqFGYO-zuPELFSN2cm_kvT94fG1bD9_wK0f_xW-rCz1hsfEwU_akSj53sVLHb_eSvKb6p1gQ5be6z2H0Zktto5QGHDG7XXLzFNftt1yqhWQRG5zedDCs8XbGjH1Cn-GkFwJ21IpovD33qpYzTrdLbzn7mgJn_EWqLRgB2HP7Za&__tn__=%2CO%2CP-R,انك تعمليله محضر فى القسم © - 5 g B‏ زرا كا
pfbid0zyWFYbSK9iq7zekUW524Sv6AenkRS8ChtsKGUJMnz355L2xzhPxUc4CKz3o5CQGtl,نكت,81,5,,2023-11-13:02:18,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 8 3 7 3 8 6 6 _ 6 8 8 4 3 7 7 5 9 9 8 0 3 5 2 _ 6 5 8 5 3 0 7 0 4 7 1 1 7 9 0 3 4 1 4 _ n . j p g ? s t p = d s t - j p g _ p 8 4 3 x 4 0 3 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I k A m B S U M t P Q A X - x 3 y 8 W & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B Z J a v t K 3 2 g g T 4 b k W q b c w a f k 2 J X r G k S Y r 9 V W n t y - n 4 b V g & o e = 6 5 5 6 4 9 2 F,https://www.facebook.com/N0Okat/posts/pfbid0zyWFYbSK9iq7zekUW524Sv6AenkRS8ChtsKGUJMnz355L2xzhPxUc4CKz3o5CQGtl?__cft__[0]=AZWLgVs-DrzET9V5_e33UOWVVdmFUWmLeoifLRf1OS84HTjesptvI5bvrEjO07FNFBFFMy8a3eTZYBK_fr8KO6vubvfRfSsQqzSmivensj0nJ-PjCg3KRkrKT00R6kGnukFGd6liy6oQmY08avm2m3DiUoVoPZDyswZy42cy-sVvfhENMNFFjWCAT_KPLjXfrZAGCOhUKYmmXZsWxkSZRv1D&__tn__=%2CO%2CP-R,"السكر غلي ونحلي بايه ) 4 277 ب ا AN‏ ل 71 “0 ~ 7 L‏ % ,1 :8 7 7 ?\ - . 00 . ""0 0 0 0 “بود P‏ ل ل 0 . بم L / DY‏ 1 را 6 y 7 011 01 3‏ / ¢ 7 ل الاسم ا d‏ 2 حر 7 5 el‏ ل SN‏ N‏ لت ١ e e‏ يرال افر"
pfbid0mGnNsnEMQVWswHpozifZqAUq7Zo7f5nBGfoZQJLirNmd5aF6HysJhjt3hz64w1Hil,نكت,90,30,,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 3 4 2 9 7 6 8 _ 6 8 8 3 0 4 4 8 6 6 6 0 3 4 6 _ 4 7 3 5 0 3 5 3 5 7 9 8 5 9 0 3 9 5 4 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = E a y y - 2 h n I d Q A X 8 S - - L A & _ n c _ o c = A Q l S 8 S w O Y 8 S O X q R x 2 F S m 8 p r f T p c 0 U o x H C K _ H 4 k A a u 7 7 z l o n a p 9 1 i R D r x G X f g e f j K A j k & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B a 1 k V b c p c A 9 w U J S d 7 J w H c i V w 5 7 u I s m p B m x D q _ J M j R p D Q & o e = 6 5 5 7 4 5 D 5,https://www.facebook.com/N0Okat/posts/pfbid0mGnNsnEMQVWswHpozifZqAUq7Zo7f5nBGfoZQJLirNmd5aF6HysJhjt3hz64w1Hil?__cft__[0]=AZVEDu6I-hI9HFRZaHRZgneQTLzruqzL6J9D60lMcvBEkMG5nKocZjhX53SF6MRJmi269uh__bfsBPNPuisQEtN8ceGWkfHgv5wcrgyKt_iDNwX84VE4BPdYv4XQyV891AZzKMZRLxrk4LRS_D52TM0Ft984Ns9uckblk662qnnZRhPnHKJ8XhDzjCsixT_uZymoS8afEuYMJTicuGkuNOgf&__tn__=%2CO%2CP-R,لما المدير يسألك ويقولك ايه الحكمه اللي اتعلمتها من الشغل: “خا لا izl‏
pfbid02z7NoNM7bbbgzJfsxn9QT6m4vX475ofJhk6NajhCLBL138urrqLQimVqPcytF6dBql,نكت,0,0,,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 1 0 1 3 7 7 6 _ 6 8 8 2 9 3 4 4 6 6 6 1 4 5 0 _ 9 0 9 0 4 1 6 3 3 9 0 7 8 9 5 2 3 1 8 _ n . j p g ? _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Z a u n B 8 f D H 3 Q A X _ 9 3 s q D & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A S C v v i _ K r 2 t B W D F 0 u 4 H N z 5 N 4 B U b z _ v 5 4 3 n T 1 3 H w T S i X Q & o e = 6 5 5 5 A 5 1 3,https://www.facebook.com/N0Okat/posts/pfbid02z7NoNM7bbbgzJfsxn9QT6m4vX475ofJhk6NajhCLBL138urrqLQimVqPcytF6dBql?__cft__[0]=AZW_pnezbSQ4itcoONZtyfHrayOxaDCMHZNnQYLuAxFdVneq2IHsitQ2QRHSDQxlxBcyeUFTbOBzOcgKaQRH8Z76L4FZoCYKn5a_8LA4dI_j1T7eDLAqIizuSpjDr0kq9fLmO3C6hx3d2iV8KL7dPdXO09wyL9sYvrU40-nRG4agBImCEvY39-N_efh8mbRaIIvKYq28espFjWHc7Snc9nhM&__tn__=%2CO%2CP-R,اعمل كولدير انا روحت اجدد البطاقه لقيتني متوفي من سنه اعمل ايه
pfbid0i7rcgK3rPHd8YaaETFeGbB25ngGA8EAFMT7FcjNEBhaX98pmVTYdjPxD7hN245DKl,نكت,0,0,تصفيات بالسعر القديم اي شنطه بمناسبه دخول المدارس ب20ج بدل من 80ج للطلب والحجز ,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 9 6 1 7 4 2 3 _ 3 1 0 0 8 4 2 1 1 6 0 6 0 6 4 _ 4 0 5 2 6 1 9 6 3 6 9 7 9 6 2 7 5 3 5 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = x _ e e F n 3 d x 8 w A X _ N 7 v c X & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D z - L q m a 9 y l D l H G w m 6 d Z S m q 4 U E _ 9 B y 1 _ - Q 8 v L B h M a t G 9 Q & o e = 6 5 5 6 0 9 C 8,https://www.facebook.com/N0Okat/posts/pfbid0i7rcgK3rPHd8YaaETFeGbB25ngGA8EAFMT7FcjNEBhaX98pmVTYdjPxD7hN245DKl?__cft__[0]=AZVVhMhxUnMxMUAsIebZkUvdUPJUqhe3Gc-ajBWYpYtsHA6R1aXM6AVhjoBKMsaF3PwD-1qWK18lL4vHD9TM9xeYZvuKKDL8U0ZJyQFnr66goRayEMjYSGzVHDhVWkvsMdm97YRps189ZMf8n4AK9rfdxPwys86oB5YIJpIUnrWfuUjmcPHDYanBhXLxO36dlDv1BxUUYogwcyH-kIEqDIl7xgNps9t82Iixqj4S_ivg_XdkQfBLfliIK1MT0bdMeSU&__tn__=%2CO%2CP-R,. بر‎ -١ 3 ا‎ - ‘/ 4 ١ | g N e
pfbid026PGPn6RvCM7oMkgQEPCxohu3ixG5KPLChGsZHoy4xMwAX7QoFryEWFbcTogFdXi4l,نكت,0,0,,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 7 9 3 8 3 6 _ 6 8 8 2 5 6 1 4 6 6 6 5 1 8 0 _ 4 7 0 2 8 4 6 9 9 2 1 3 4 7 2 7 5 8 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = y a J j d B h j A F Y A X _ v q d v T & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A e i u E P c 2 W h k f 5 8 Q r q G 4 a S e P a p 6 a Y R R C U 6 T R k r w l U a i N A & o e = 6 5 5 5 7 E 0 0,https://www.facebook.com/N0Okat/posts/pfbid026PGPn6RvCM7oMkgQEPCxohu3ixG5KPLChGsZHoy4xMwAX7QoFryEWFbcTogFdXi4l?__cft__[0]=AZUXuOQ9VJ62XcVEsB8rsXC5YgrRu5e0xH3i2B3kNzvYDCKd1lJSVUZvzqYJsfk2tV52inpRJsklAYE2mD8DyCzwF7sUPNu339oOccKksUT4jnxmqwTQDfGXffNldYten9fjM_KIXFSbO58YpNWuRZrpzyojKhCeJtEcCbpZDQYpIInd8RFDwy8Q7Bbr8d8OxTy-s3y5WjOZycKPBtkSMYCF&__tn__=%2CO%2CP-R,"ض \-.,,.,.»,;l5‏ - | اذا اردت الزراج لالج تا + آ 8 v‏ 7 النسا #بلأبحث عن رالرقال L‏ ا الا ك0 ب 1 &I =~‏ ا اي Y T‏"
pfbid0SiQfPXCjEQEq8VPifttatcApy3HK5oJDgBKjqN8oSPdpY9Tnv6CizB4D9V93gzyUl,نكت,714,125,,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 8 3 9 3 7 6 1 _ 6 8 8 2 3 0 5 4 3 3 3 4 4 0 7 _ 3 4 7 2 3 7 1 6 2 5 5 8 7 8 6 1 0 4 4 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = U n I F 6 x 7 5 r V g A X 9 U q 1 9 S & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B I W u Z N q A A X 3 6 y W 4 W w n l P c o Q c C b E n t B R P X 9 Q m X F J e B Y e A & o e = 6 5 5 5 A 4 2 2,https://www.facebook.com/N0Okat/posts/pfbid0SiQfPXCjEQEq8VPifttatcApy3HK5oJDgBKjqN8oSPdpY9Tnv6CizB4D9V93gzyUl?__cft__[0]=AZV6Ek0FecIMLtMKoQSoMA5D4rVyRLoEfieCl7TRyBMncr12DVKQRsmXfXWhDy2BKMINwiWLsMPTdCmfHeacRvhkdwoiyIAkPr8JGG8IUx7un5OhTfEv8AfN1tD2mFhmvKfklXmH06KYo_aEHyNpNuFAQunfelAaGMSwHSXN3k-K2MLKOYIdhrVui3af8EVIoJbfaiVW94rVf-R5Au6PeCfh&__tn__=%2CO%2CP-R,لا بيت بيبان عليه نضافة و ¥ عيال بيبان عليها تربية & i Nl‏ د 28 { او + .. ١ 8 L/‏ 00 : 1 ا هو فيه ايه
pfbid0WVvMPeadRCaQ5jmJzxzh7g3J8tvTjuaUEmv8hdQjHDacaDVLyB32v94Abo8Kq8RTl,نكت,11,43,مش اي حد هيفهم عميقة ,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 7 3 8 9 7 9 _ 6 8 8 0 5 8 1 7 3 3 5 1 6 4 4 _ 2 9 6 2 0 0 1 3 1 1 3 0 9 9 3 3 5 9 6 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = G Y V E C h X J R b E A X 9 8 M n t I & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B F q a z U 8 U f 8 I x W c Q B 3 H M R X R 2 E O x 4 X R 4 c X s 4 7 u c p G t 4 n 8 w & o e = 6 5 5 5 A 4 F 2,https://www.facebook.com/N0Okat/posts/pfbid0WVvMPeadRCaQ5jmJzxzh7g3J8tvTjuaUEmv8hdQjHDacaDVLyB32v94Abo8Kq8RTl?__cft__[0]=AZWpGVnftu4k73br50KKfP0XAWddeRdvpFNzcWFxu7fatd__OO5OeT5XDSx474FY17LW7j30DElTf-91xmrgYBJd4mJWZ7o50qyx4T4gEIG6rNyTiqcFbt_Z6Ohs8drIS7WxpdzC2JSrwR3O12OyXKgydTtCBExLUIqeY1R5SKQP67UY_a8zyigImUPlXsN_GbpDXQEfMC-wNH8gh6E96037&__tn__=%2CO%2CP-R,MW تسلم يرجوله لسه شارب‎
pfbid0386kkcGTLfir1guVG2b6CQ4Mc3z6dPsd5hkw7BnUEdC59gZ1jDXbdkts8WkeZuE78l,نكت,40,102,,2023-11-13:02:19,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 0 8 8 6 3 5 2 _ 6 8 8 0 3 9 2 2 0 0 2 0 2 0 6 _ 1 1 3 0 8 3 0 9 4 7 4 4 3 6 0 8 3 1 1 _ n . j p g ? _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = m e U M Q y Z K 4 4 Y A X _ a a X A d & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A K K P 3 5 k q 6 s I 3 M w h _ Q p 9 U j J u 1 4 v O - Q K z E R s 3 J 9 0 m 0 f E r Q & o e = 6 5 5 5 9 2 9 4,https://www.facebook.com/N0Okat/posts/pfbid0386kkcGTLfir1guVG2b6CQ4Mc3z6dPsd5hkw7BnUEdC59gZ1jDXbdkts8WkeZuE78l?__cft__[0]=AZX_6vgzX9rqMBQ53XbTtjpaxFCpLlu-VuerginOEr4kv2OMcIjN0t8WxQ2kGyYzx_Zi_V-JUCUKDLUf46Muwjb5yPCn_JCaAMReNMeTheCdvEqZvEbJ-ANWkxotBMhZxsEhJ2Tr9wHizNtC_-NKI5xmiLUENSCEuHHcp6A9PeNgkebl-TzJQ_CYWXFJwfCLhG3uUrHwbygfPl3QKBb1PFny&__tn__=%2CO%2CP-R,المحامي لما يجيله علي الفيس بوك أقترحات صداقة أشخاص قد تعرفهم © || بت اا 9 __ِ b % 4 )نا 3 | & ’5 &
