id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0XmrbYrY3vRWTRE2Q1bGbjukrw3D9hTonaZeV4wSXR4saRfphpcwD2GJvzQL6dx8Jl,National Geographic العربية Magazine,0,1,"في التعامل مع الخيول متعة وسكينةيعد نادي فروسية #المدينة_المستدامة الوحيد من نوعه في دبي حيث يقع ضمن منطقة سكنية. يقول مؤسس النادي فرهانج صادقي ""لطالما عاشت البشر والخيل جنبًا إلى جنب""، فمن هذا المكان تصبح الخيول جزءًا من المشهد الحضري للمدينة، كما يستمتع منتسبو ""قرية سند"" بقضاء الوقت مع الخيول وإطعامها وتعلم أساسيات الفروسيةلقراءة موضوع غلاف عدد #نوفمبر 2023 قم بزيارة الرابط | https://ngarabia.com/Icup",2023-11-12:19:31,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 1 6 7 0 6 8 _ 7 3 3 5 3 6 3 1 2 1 5 2 6 7 5 _ 6 1 2 0 0 4 2 5 1 3 5 3 8 0 7 1 8 3 1 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = D P O 5 k Z L y t y A A X - j d q 2 s & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A y H G 0 4 j o b b z A c z m e 3 n w n A J w L 0 B q o k s 3 y P I 6 b b u e b z R o Q & o e = 6 5 5 5 A 5 B A,https://www.facebook.com/NatGeoMagArab/posts/pfbid0XmrbYrY3vRWTRE2Q1bGbjukrw3D9hTonaZeV4wSXR4saRfphpcwD2GJvzQL6dx8Jl?__cft__[0]=AZVFoo-Fo69q2YtpUMwDzW6cB6TjE6tGy8zeIpbEEaSaD-oYRviWJCrB2_coP-fxa0ZaoeHf4dvpnMLdDwsnMWUutZKUHCE2dWeQi3qTbB-ID7hWd1o1C9TTbImlHF0HLjjHK9mAKrKlNrqIBJffRC1WxT6wA9ZHfwJh4ktZ0IliRWTNRaXNUNS0-_P0OUenr5CsQqAjvjThCjK8OlzYrlQU&__tn__=%2CO%2CP-R,": : i = o = 2 3 E‘ { f 0 3 : 1 A o 0"" م ا ¥ يبد‎ 7 I, وك‎ ] - iy} e 7 N P el 5 م أل لي‎ 27"
pfbid02BdCQgtDc1PLrzvvyiAimp7ZByvaRqr8Yf8KhHYzwnFjHtXYytJMN9t5GntouheCzl,National Geographic العربية Magazine,4,9,من يطلق الأسماء على الفيروسات الجديدة؟مجلتك العالمية.. بلغتك العربيةngalarabiya.com/video,2023-11-12:17:53,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 0 2 9 0 4 1 1 _ 2 7 3 3 2 4 5 2 1 6 8 2 9 0 4 8 _ 6 3 3 9 8 1 4 7 6 7 0 5 4 4 0 5 2 7 1 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = j V D Y c H J 6 R R I A X _ Z O I b B & _ n c _ o c = A Q l q d Z O 7 p t u i j B w I 6 1 w K 9 p o j P k 5 p k X B r p k x f C t y u i r K 0 D R M n 0 v W w z e 2 6 T 9 J r u 6 Y U - c 4 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C g 5 A - 7 s w q Q o G g u V o V Q w U 1 b D _ A C o s O t b C p k r F 6 y N Q 4 3 G A & o e = 6 5 5 6 6 E F 6,https://www.facebook.com/NatGeoMagArab/posts/pfbid02BdCQgtDc1PLrzvvyiAimp7ZByvaRqr8Yf8KhHYzwnFjHtXYytJMN9t5GntouheCzl?__cft__[0]=AZXE3bAdyZbwMAU_SVr5xfcVMzU_U7HeQ8Siyss694r3PxnXbhzVtFsZUM5SdPnhLeJX-cxMwj8qJt-FBr6MfTSnsEH8M1iKZG5NtRj_IEreIIa57s1ZhkY17hXjQbVjWVTNOdEy6TI-R0pOwXhgtmeGnyxQb9h91GWTSsxmdAmy0drhVd1gB2xVrX46a4_tWR9JZrk_soMk2z14ZBLhO1L9&__tn__=%2CO%2CP-R,"S, % l'.’.“.f o أل‎ % ; Y- iR e - < P oy © iy P A a ;} ' 3 '~' و لبي‎ 00 . 3 B د‎ g G L P | L5 ? it B م‎ + 1 o i"" R MR لام‎ . e من‎ NS, B O] |) ""0 لت ا‎ © 0 ا إُ ا‎ 2 ® e 5 & N 0 | ¥ Yl o ايض‎ B e ا‎ i~ e {'. 2 1# Lo , 7 G"
pfbid03Mz4QoLhkort2nE1u4M6BmQcAV6FXKc8DJ637jZkA3pxjPa6tV2WpYRpkD2bQtoBl,National Geographic العربية Magazine,3,33,هل يمكنك معرفة الطائر صاحب هذا الريش؟تعد #غينيا_الجديدة موطن هذا الطائر الجميل، ويمتلك ذكر هذا النوع شريطين طويلين للذيل يستخدمهما خلال رقصات التزاوج حيث يتدلى رأسًا على عقب مع تقويس الشريطين إلى أعلىاقرأ التفاصيل الكاملة في عدد #نوفمبر 2023 من #مجلة_ناشيونال_جيوغرافيك_العربية عبر الرابط | https://ngarabia.com/IcuM,2023-11-12:13:53,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 6 6 0 4 4 2 _ 7 3 3 3 4 3 1 9 5 5 0 5 3 2 0 _ 1 1 7 5 4 3 6 8 3 6 8 1 9 5 5 2 0 2 0 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = H 5 1 W P I t w h a U A X - 9 t N b R & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D l v J m l V I H e v h 5 Y - O v 3 t E h 6 Y z t L b e J I F m 2 d F t h 4 q l G 1 t w & o e = 6 5 5 6 4 7 3 3,https://www.facebook.com/NatGeoMagArab/posts/pfbid03Mz4QoLhkort2nE1u4M6BmQcAV6FXKc8DJ637jZkA3pxjPa6tV2WpYRpkD2bQtoBl?__cft__[0]=AZXZRwEdjzMfLicrgN2eKtRkxt9xgvoxhe3T4m9D-nSoljaWTAhY7vZuKUbMrHucfzWNiH-trCKBr2pwCc0xlELX3PUv3w5Rak_-7AxTOB_jxexPLQi7IX-3A-_fjN0ZvogFGM6r7rM3uSBY01dz3oPTrQPmJisrCr1bIXE_X6B2C4hgcEEMvEQGWB6c7U0KiUqpxj5uTxhx61UwYPmsVxkv&__tn__=%2CO%2CP-R,2 IER TN اا ار ص حب‎ N ا لد‎ 8 ل ال‎ R اا‎ ا ال اا ا‎ ل ا‎ | ا ل‎ 1 A 1 \ \ | \ \ 1 ١ ١١ A
pfbid0gU5WXLWQNBMU8p33F2nm5sm7gGaa6ntVo2TSw4pK4EmdfhnRzxa8LacBwcaiwVDel,National Geographic العربية Magazine,40,96,".يبدو وكأنه يتباهى بجماله أمام الكاميرا!يُعد ببغاء ""الرائد ميتشل""، والمعروف باسم ""كوكاتو الزهري""، من أكثر أنواع الطيور جمالًا وجاذبية، ويتميز بعُرفه المزين باللونين الأحمر والأصفر.. أما انتشاره فيقتصر على المناطق الجافة وشبه الجافة من #أسترالياالصورة: Adam Dzunkoمجلتك العالمية.. بلغتك العربية⁣⁣⁣⁣⁣⁣⁣www.ngalarabiya.com",2023-11-12:08:53,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 6 4 1 5 3 8 _ 7 3 3 2 0 7 8 7 2 1 8 5 5 1 9 _ 1 7 2 3 1 5 9 9 7 8 0 5 1 9 8 2 2 7 8 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = x e M g k F T J z J M A X _ 8 8 _ E H & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C _ T W B h c w K V X I s W z b s 2 J P t 9 6 t w 7 3 9 R n m A 1 X 3 v 4 F v y p x u w & o e = 6 5 5 5 6 1 6 E,https://www.facebook.com/NatGeoMagArab/posts/pfbid0gU5WXLWQNBMU8p33F2nm5sm7gGaa6ntVo2TSw4pK4EmdfhnRzxa8LacBwcaiwVDel?__cft__[0]=AZV0BoXWkVIUg7e1rU5Ny6YgkaWlMESmrYV22-xswt3HAF-Q7Sd1sB4dg4osuuNRgJFS46yeKWqHTPIrmV1FuaB_eC_PVy2_l-EH_-5u3iilHuQAzHfosxC_yTF-RVC3ISJgaxiDHzAAVjZLuk-nU4R3qosWkuQcvuQjWm6z9QpTepeaipD-yeBYM0s_i_eSRyxqShyIKzGlAv7SI4AkBfnm&__tn__=%2CO%2CP-R,i
pfbid0yuFnnJsspR81qHHCZXzd5MFM7smZ1ezBosR3whMwF2FGbvrhNMjPNzWERxTJPfnEl,National Geographic العربية Magazine,6,11,"من مآسي الماضييمثل هذا النصب التذكاري لدى ""المتحف الدولي لأميركيين من أصل إفريقي"" أحد مستودعات ""رصيف غادسدن"" الذي استُخدم لاستيعاب زهاء 700 شخص إفريقي مستعبد خلال فصل شتاء رهيب. كان الهدف من احتجازهم رفع أسعارهم وجذب المشترين، لكن جميع من احتجزوا قضوا قبل حلول الربيعاقرأ التفاصيل الكاملة في عدد #نوفمبر 2023 من #مجلة_ناشيونال_جيوغرافيك_العربية عبر الرابط | https://ngarabia.com/Icun",2023-10-07:18:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 4 8 9 7 0 0 _ 7 2 9 5 9 6 6 0 9 2 1 3 3 1 2 _ 4 4 0 1 5 1 7 6 9 4 0 8 0 6 1 6 3 4 2 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = F M q 9 d w G C Y z A A X _ 5 G h e f & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D J F 1 J n I M - v J C N i y C T O q s P z o k Q c Y q 1 y t D m O O 8 K T _ N _ c b g & o e = 6 5 5 6 A 7 3 8,https://www.facebook.com/NatGeoMagArab/posts/pfbid0yuFnnJsspR81qHHCZXzd5MFM7smZ1ezBosR3whMwF2FGbvrhNMjPNzWERxTJPfnEl?__cft__[0]=AZVDU_xQdRi2dkkEecso4skvkhWhFpGp49JhHHQEdE5x5MS9mju42_so_ndc2GY0YoLyW4Bd7vg7qZTtgz49gbLGcGFC9TXxoxTrSvO2_KvtJ0uZpUAWl2uAcZY1LeLc-fBLpRcCTlbAbsOSFiqtDSvWdaEa4V6pF5lNTQA2jmfR79qMgrgWYoBP11bcNAWWvmvMH1ZKoVnMbAPF3ICtyom9&__tn__=%2CO%2CP-R,"I o | | i | e 5 وج 5 حا‎ = ' = L S e - A E=="""" i ) ———— ) N, — = ب"" نص — لتحي‎ ١ e ——"
pfbid02WvGpHczD1eczYtoTdwsrSeZkdx2ztdcpeazgift6KC68zV2SKCmNPrvB8Trw1xSXl,National Geographic العربية Magazine,0,1,أشجار تتحدى الزمنتشتهر أشجار السرو الأجرد بمرونتها وقدرتها الهائلة على تحمل أسوأ الظروف الطبيعية، لكنها اليوم باتت في مهب خطر عاصف، قد يعصف بمستقبل منظومة بيئية بأكملهااقرأ التفاصيل الكاملة في عدد #نوفمبر 2023 من #مجلة_ناشيونال_جيوغرافيك_العربية,2023-10-08:04:39,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 8 7 1 1 2 9 4 3 4 1 9 9 4 2 1 0 3 1 ? u r l = h t t p s % 3 A % 2 F % 2 F m e d i a . n g a l a r a b i y a . c o m % 2 F s t o r e % 2 F a r c h i v e % 2 F i m a g e % 2 F 2 0 2 3 % 2 F 1 0 % 2 F 3 1 % 2 F e 4 3 5 4 0 4 9 - 4 e 4 8 - 4 1 6 c - 9 4 a 5 - 2 f 4 e 0 c 1 f e f 3 6 . j p g % 3 F w i d t h % 3 D 6 0 0 & f b _ o b o = 1 & u t l d = n g a l a r a b i y a . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E B o J U s A p O Y 1 T - A _ o l z _ o e J 4 q M D o I D I c V 2 a Z a W b B 0 5 E C Q & o e = 6 5 5 2 B 1 7 F & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/NatGeoMagArab/posts/pfbid02WvGpHczD1eczYtoTdwsrSeZkdx2ztdcpeazgift6KC68zV2SKCmNPrvB8Trw1xSXl?__cft__[0]=AZU-IavHWfPHzCV6ZPVchcJGB8URZQJEZ8su8YCyaZOt-Cai4H3WHq9nQIDNLus-TtnpQPj0lnGK7L1kqw73tQLyS4pAJWxFvLD1ykPlF7CwK31C5khKZq7WkylNID1N5xbpHPX2wLB0NFGCIoI6Qbn0cbZtr7ta5XcD81DCPqpxigkJ-oDLskL1y3qEhUj7QlMw-O-_EKul9j-n3fu9D1S0&__tn__=%2CO%2CP-R,"e 'y #0 ل‎ 00 / الا‎ i o i e - AR اي‎ W b 'h\ الست‎ ("" % 717 زرا ددم وال‎ 2 ١ 0000 007 حح‎ ل ل“‎ 4 5"
pfbid02zhzjibN9tb9zyeqgyc1jAUtXkgohD1j9q4JmvdXQKjPiPJuhcuDwYWPQULZ4wuk1l,National Geographic العربية Magazine,2,1,ينتشر البلاستيك في محيطات وبحار العالم واليابسة أيضًا منذ خمسينيات القرن الماضي؛ وللمرة الأولى يعثر على جزيئات من البلاستيك الدقيق في أنسجة قلوب البشر؛ فكيف وصلت هذه الجزيئات الدقيقة إلى القلب؟شاهد القصة الكاملة عبر قناتنا على يوتيوب,2023-10-14:14:59,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 3 4 1 2 0 5 9 7 0 8 0 9 0 7 1 7 1 6 6 ? u r l = h t t p s % 3 A % 2 F % 2 F i . y t i m g . c o m % 2 F v i % 2 F 4 t A D B 2 E o L J M % 2 F h q 2 . j p g % 3 F s q p % 3 D - o a y m w E o C O A D E O g C 8 q u K q Q M c G A D w A Q H 4 A b Y I g A K A D 4 o C D A g A E A E Y L y B l K G M w D w % 3 D % 3 D % 2 6 r s % 3 D A O n 4 C L C E w s t 2 S n P 1 a X P G h _ Y _ h x b a K y 4 3 X w & f b _ o b o = 1 & u t l d = y t i m g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 4 8 0 x 2 5 0 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H P C E Z n Q d r B v O 1 v e e W b L A N 2 I s Q 3 3 H Q g U U K b S D V Q Q w _ u _ Q & o e = 6 5 5 2 9 C E E & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/NatGeoMagArab/posts/pfbid02zhzjibN9tb9zyeqgyc1jAUtXkgohD1j9q4JmvdXQKjPiPJuhcuDwYWPQULZ4wuk1l?__cft__[0]=AZXwwScS6I8PY4_6ojOV1wWwYPFn0aXXDQHRY_Cw9fpuIlqZvT4NC7-Ib4UQhoWauzvi7SDG9ELSDRpwtnKEZQ40OoSeYyb7BChVuUZik-i73MPzG7fWhtDYkMVxBbyV_nGvq0IR6AQ339At5Dx3cJAUojLd2IsodmlrCsrFK7FZr6sIqTCc9uN17WlbCZ8yFrzht1FpiVyVR1q2yOcPGj2P&__tn__=%2CO%2CP-R,i kool FhE iy
pfbid037fdtZesB9Ksn4hmJcTiWzKnRF7UXn3ZfeRV7TQK9F8cqQShNHzf46G4qXcE9AVY8l,National Geographic العربية Magazine,3,16,تخيل أن هذه السن القديمة كانت تزين عنق إنسان عاش قبل آلاف السنيناستُخرج الحمض النووي للبشر الأوائل من حلية مصنوعة من سن أيل كانوا يرتدونها أو يستخدمونها، ويحتمل أن الحمض النووي قد انتقل إليها من خلال التلامس مع بشرة مرتديهااقرأ التفاصيل الكاملة في عدد #نوفمبر 2023 من #مجلة_ناشيونال_جيوغرافيك_العربية عبر الرابط | https://ngarabia.com/IcuX,2023-10-14:17:04,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 5 1 5 9 3 2 _ 7 2 9 0 0 8 5 7 9 2 7 2 1 1 5 _ 1 0 1 8 8 3 6 6 5 9 9 7 3 0 1 5 3 8 7 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = D l g E Z M g b A u k A X _ b k b E t & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C y I q Y t B 1 T I t J 4 u F e e 7 7 P k j v l P s 0 V 8 a s D Z Q i G w l o l 6 v g g & o e = 6 5 5 6 0 9 6 3,https://www.facebook.com/NatGeoMagArab/posts/pfbid037fdtZesB9Ksn4hmJcTiWzKnRF7UXn3ZfeRV7TQK9F8cqQShNHzf46G4qXcE9AVY8l?__cft__[0]=AZVSTESQFJH0-sGG6xwiPYqixFqIqwdeVuEO09JaVDwVcqJ3ZrLl3WFTXASyLwjXnIJ5nUqZseHIk5nB-7viLU_C_5Yhd_H5SYqh1pahF7zrg_omJg2Xi1wtQ6fvbjePy4b46LFr0ym8vNlpw5MhZawx-3JUE_5VmvfeSWcJfe86jkBkFk5JGcAkiPbBElxC-CvO_1y8PrquobdMUKa_DCa_&__tn__=%2CO%2CP-R,اتوي ا العربية o 6‏
pfbid02AdeHx5UNkspw3CQVWSS5WubnzoAuLCR6mfGveUqaYJGpToHfdjD4fKxeQgsBc3cnl,National Geographic العربية Magazine,17,97,هل يمكنك أن تخمن مكان التقاط هذه الصورةيقف المتسابقون في صف حاملين غنائمهم بانتظار وزنها لتحديد الفائز.. جائزة أثقل قط بري هي واحدة من الجوائز المقدمة ضمن مهرجان الصيد المقام في ولاية #تكساس الأميركية حيث لا تتمتع الأسود الجبلية والقطط البرية أو القيوط بالحماية القانونية كغيرها من الأنواع البريةالصورة: Karine Aignerمجلتك العالمية.. بلغتك العربية⁣www.ngalarabiya.com,2023-10-14:20:54,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 9 6 9 3 0 6 _ 7 2 8 9 4 4 0 4 9 2 7 8 5 6 8 _ 4 5 3 2 5 6 8 5 9 7 3 1 1 9 4 5 7 1 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c E e Y k y 5 _ A b g A X 9 n T h z 4 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B s S O i M l K E E I 7 w 4 h Z e 0 6 1 9 o 0 i q 7 Y e F c 5 d D T d V P Q O 8 4 t e Q & o e = 6 5 5 6 D F 4 4,https://www.facebook.com/NatGeoMagArab/posts/pfbid02AdeHx5UNkspw3CQVWSS5WubnzoAuLCR6mfGveUqaYJGpToHfdjD4fKxeQgsBc3cnl?__cft__[0]=AZXfdgYiH310r1b4_QgwrCJKFqSS4zj2AIXDMv1MvvXB8tUxDK2MfiT3ryQmuFZEbyYFPFFuTTUvcVE90h6TL1H7-wHrVOj7S4N4LeXsC4R7r42y0WAva586v1oZ-zMtSXpLo6QLUNDn76ZxIkuWzEcJI7Ug-JmwKPuEomTa0K8AIxoqDUBmtv0ZIlHk0tubNh-PC9AXS4yIS0ZXf7dk2kGc&__tn__=%2CO%2CP-R,| ETREY A gl My كينا او‎ ) e | ¥ واد‎ \ A حل‎ 4 3 A 1 % B -’ N N A : ; ا مسا‎ > ٍ SRR~ - - e
pfbid0VbwHBBKuWm92dimahegcfoLSv44zkhY32AudsmokJZtSRQ3jw4YFu9pwpeS3SbYjl,National Geographic العربية Magazine,0,0,حِمم تحت الجليدرحلة علمية محفوفة بالمخاطر إلى جنوب المحيط الأطلسي لكشف أسرار بحيرة حمم بركانية خفية. فهل سينجح هؤلاء العلماء في مجابهة جبروت الطبيعة وتحقيق هدفهم؟اقرأ التفاصيل الكاملة في عدد #نوفمبر 2023 من #مجلة_ناشيونال_جيوغرافيك_العربية,2023-10-15:03:19,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 8 2 1 7 6 4 5 4 3 2 0 7 2 3 2 0 7 8 6 ? u r l = h t t p s % 3 A % 2 F % 2 F m e d i a . n g a l a r a b i y a . c o m % 2 F s t o r e % 2 F a r c h i v e % 2 F i m a g e % 2 F 2 0 2 3 % 2 F 1 0 % 2 F 3 1 % 2 F a f 7 e c c 9 c - 2 6 2 0 - 4 4 d 9 - b 7 2 d - 0 2 1 d 1 a b 8 3 5 b 8 . j p g % 3 F w i d t h % 3 D 6 0 0 & f b _ o b o = 1 & u t l d = n g a l a r a b i y a . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H w T F O d I v b S y a 0 6 t i P w K S r U B s 8 9 _ S P i H 8 m y G S N v F i E _ 8 w & o e = 6 5 5 2 F F E C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/NatGeoMagArab/posts/pfbid0VbwHBBKuWm92dimahegcfoLSv44zkhY32AudsmokJZtSRQ3jw4YFu9pwpeS3SbYjl?__cft__[0]=AZV_UfgMsN2Ctbp42L6hbfVteAj9VEODpGZdSFMJL39ne5RnjgIYcMVkXN8LhjMVA_NAxq-mK9IpqX6JEfpnxchqpNmPXIMjiSWmGe4KRXltZQbhvoO5ZfqMK5ycLmQ4u_9HF5MOskmMqUSEwsb0cVuGS48te_OewSaVPjHwABIGZ6W5VC4ALMvEKuVMUZfG4Cyhnm6nU7uhAn3Ly-7TwMyn&__tn__=%2CO%2CP-R,AL~
