id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid025eEg5mnWjkBEkfhSqu178HUbKyGGdErJwQBTtqVxwXMUcGctprZ5xjkdAf4zDB6Bl,Qatar Living,2,1,"With dedicated leadership, Sheikha Moza addresses the Gaza humanitarian crisis, strategizing relief efforts in a crucial roundtable discussion.#Qatar #QatarLiving #PalestinianCrisis",2023-11-12:18:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 7 0 6 4 2 _ 7 5 3 3 1 4 6 3 0 1 6 9 9 2 1 _ 7 6 6 1 8 2 7 4 7 9 1 2 4 7 0 1 7 3 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 3 f B y c k n s Z T I A X _ y a 9 R b & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C b r 7 W s E 3 V g e D Q F U 4 G t R l N g y R t a 1 T E D a 6 K 8 Q m 5 z E 5 n 1 5 w & o e = 6 5 5 5 3 F 5 A,https://www.facebook.com/QatarLiving/posts/pfbid025eEg5mnWjkBEkfhSqu178HUbKyGGdErJwQBTtqVxwXMUcGctprZ5xjkdAf4zDB6Bl?__cft__[0]=AZW0U3HVr6EqBFWqlZGCXEtH3JOmd0gAAH9t1AwMGSTiD3OQ5G64teR07OZJJtgxihUiKsz7rrlOHlX9MF3xsADzPZb0es2pgtvM4ND4HaoagojLTZEYUnPnHckkajU9_eW8yQSUlFWl0yOmzWWFWr43_kZiPHE3lazrFq-6NwIDkJHPg_q3go2GMFhTEBowN9ReXRcXaOrB-FIglELEFVF5&__tn__=%2CO%2CP-R,| I - NEWS | = | = ىول 1 د‎ ا‎ 7 | ] i ١ يه 1 وق‎ ©» د الله بذ‎ - ب‎ - 1 ety o Sl ل‎ بج ا‎ P ب ضر‎ ل‎ SHEIKHA MOZA CHAIRS ROUNDTABLE ON GAZA HUMANITARIAN CRISIS
pfbid0TyUBcdqkdf6QdPYXYcqGzpDNsZUypWwG3QZbaoUkjwuGeEsr9w5nDbfovMucotHKl,Qatar Living,20,3,@drmadsgilbert sends a message to the UN and urges to drop aid in Gaza.Check out the full message here.#Doha #Qatar #QatarLiving,2023-11-12:16:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 6 1 7 0 3 0 5 _ 1 0 3 4 5 0 7 4 9 7 8 8 1 0 5 3 _ 7 8 5 0 9 4 5 1 9 6 1 3 8 7 5 8 6 0 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = U n M 9 Q L _ P K s g A X - W 4 p h m & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A Q a A I N 6 c i E a n m L 5 w C H v _ m 2 i o t X j M E w 2 M e e M h r 3 q K b D C w & o e = 6 5 5 6 7 0 D 8,https://www.facebook.com/QatarLiving/posts/pfbid0TyUBcdqkdf6QdPYXYcqGzpDNsZUypWwG3QZbaoUkjwuGeEsr9w5nDbfovMucotHKl?__cft__[0]=AZXJJrklORDSSyt2yMpbBZFGFWBzggZZe1b7_ie1dmhRl3ouXFLbI5z4PcvYaJUhMWDTQKcZzdeKpAzOk6XscU409VYJaRLbIteDxd2nMwkK68f3mpnq3PqI3PHaq7D9SJviVKOMSFBtvaPtEiAoCPY3_QfkTNFZuw0nlLNOs9uiRY-UHUHf-a6uayRmFiKW_W1LxwX2AyUcSaLUPfoqXIrq&__tn__=%2CO%2CP-R,"DR. MADS GILBERT @DrMadsGilbert 6 & 1 ] 9 م‎ please do : ething now. 7 7 - i - ‘J i L \., i"
pfbid0nMFZGwaYGbaZ5Heqfzqroocnqfdg3rX1aPukz2YBZCEyCh7VCBputEbgWuB8yANWl,Qatar Living,1,1,"With dedicated leadership, Sheikha Moza addresses the Gaza humanitarian crisis, strategizing relief efforts in a crucial roundtable discussion.#Qatar #QatarLiving #PalestinianCrisis",2023-11-12:15:13,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 9 8 1 5 8 4 8 2 0 8 6 8 8 7 6 6 6 4 5 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . q a t a r l i v i n g . c o m % 2 F s 3 % 2 F f i l e s % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 2 % 2 F m o z a . j p g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G b 5 6 h 2 x O T 8 M Y 0 6 g 2 W U f 1 6 p 1 b P s w b b b r T v Q X g D k q S j X p A & o e = 6 5 5 2 F F E 0 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid0nMFZGwaYGbaZ5Heqfzqroocnqfdg3rX1aPukz2YBZCEyCh7VCBputEbgWuB8yANWl?__cft__[0]=AZVq-Rm_2zKsjTSEkqNzsEW8u6wgJKFIXydbhjdaTG6S4o_boq2vGbZnksNKLQFIyqOkHUE6RylVIjat0pgS9dwizuzojIkrKbuTCWNWk1aMPoi_KqqjB3zyhsMAFG2EEE-FxYFRD_dlxn-bJQhJ4Fr25UKKfhIoqdzes_NHxHvDp5q-8vW3u9vT8-pP4Ok500IbKfdWzcTEuHvCJfbThJpW&__tn__=%2CO%2CP-R,i &M“]
pfbid02X15X8YCHrimuaGTKDG12EoZEuTNxDG8oGCXnfQTrXqKErmSr1deWhfXGYSZRuAuLl,Qatar Living,0,1,"Qatar collaborates with Jordan and UAE in delivering crucial medical aid to Gaza, reinforcing support during challenging times.#Qatar #QatarLiving #palestiniancrisis",2023-11-12:13:13,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 0 0 9 1 0 5 8 6 6 0 1 4 1 8 1 3 6 9 7 ? u r l = h t t p s % 3 A % 2 F % 2 F f i l e s . q a t a r l i v i n g . c o m % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 2 % 2 F Q A T A R - I N C R E A S E - H O S P I T A L - C A P A C I T Y - Q A T A R - L I V I N G . j p g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G 7 9 O c x F Q X w 6 g m 6 T D l C L U 6 q f F m v E b m 6 v 3 u e 8 _ d m 5 3 V _ J Q & o e = 6 5 5 3 1 2 8 C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid02X15X8YCHrimuaGTKDG12EoZEuTNxDG8oGCXnfQTrXqKErmSr1deWhfXGYSZRuAuLl?__cft__[0]=AZXPEwc-IbC2fcNRzOO_Jz58TRhnlbwpkOW9EN5im-qVy_nHD7OLB_gGnvYMoeBR5BEtwjhQSQJ-oaE0l5HLNaDl2OK0-tw0N-C4BDlH35gpeiBVfkKw0s4QFFJLM9q19dC7jwrA0iKNG0cgMcFA720MGrD2OFy0zjU1C2-RGVsilNkCIWHWm4vF0myw57KERgHsUXy3XLDWy6RdLfEIW8Ru&__tn__=%2CO%2CP-R,[ © 09 يد
pfbid037iNF8ijYMU5k4MNFGHfpeBG82mVobXu826RzZsHbu77VyyCqjWfnSfiDDWLucEfPl,Qatar Living,0,1,"talabat wraps up Qatar Sustainability Week with strong commitment: from collaborations to eco-friendly deliveries, paving the way for a greener future. #Qatar #QatarLiving #SustainableFuture ",2023-11-12:12:14,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 5 0 4 9 9 5 3 1 5 4 2 7 5 1 8 9 0 0 2 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . q a t a r l i v i n g . c o m % 2 F s 3 % 2 F f i l e s % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 2 % 2 F T A L A B A T - S U S T A I N A B I L I T Y - W E E K - Q A T A R - L I V I N G . j p g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E 7 V 9 5 O v R W l U l r l F G k k Y b H 2 t O R v w e C T v J 6 H - a k Z 8 j S 2 9 w & o e = 6 5 5 2 D 9 0 9 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid037iNF8ijYMU5k4MNFGHfpeBG82mVobXu826RzZsHbu77VyyCqjWfnSfiDDWLucEfPl?__cft__[0]=AZWuMSqQpvkKI44AQc_SQBokr1MWZuW0NBCpqbsKFM6TE2Kecle0qX-oirzfsOvbUyAvN8gj48nCKvs2Pq9A963S3gQkwQy_hyv-5Ot1pP8HJHP5qas98YcmijTO4DxRMaMv5ihq4dtG6VuIfbQCSF-ymicLfDsxLY_nnEVVEegvZloyTFasIyD4_7GBML7gmxsBcx9LDZpFEPSGX5jtCREu&__tn__=%2CO%2CP-R,< A ) g B
pfbid0ea71UV8TLR7R95ExSoS7hHHJ29y7dvebJeEXmw5KkZ16qgapwTZ95nUUoygegFFDl,Qatar Living,2,3,"UN Under-Secretary-General for Humanitarian Affairs Martin Griffiths condemns Israeli attack on Gaza's largest medical complex, Al-Shifa Hospital.#Qatar #QatarLiving #QatarNews",2023-11-12:09:14,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 4 0 9 6 6 6 8 3 5 4 5 8 5 4 2 3 1 0 0 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . q a t a r l i v i n g . c o m % 2 F s 3 % 2 F f i l e s % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 2 % 2 F U N _ U N D E R S E C R E T A R Y _ M A R T I N _ Q A T A R _ L I V I N G . j p g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E 3 z Y 0 e b 3 l I c S 2 g a f B h b U f v C 6 Z p M F O N - 9 J G o Z C U K z w r d Q & o e = 6 5 5 2 D A 8 B & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid0ea71UV8TLR7R95ExSoS7hHHJ29y7dvebJeEXmw5KkZ16qgapwTZ95nUUoygegFFDl?__cft__[0]=AZWZ9nxwj1jPFVSBGKl0Bvsu6Vb0e0b-9aBYcykyZQHzwPRTewjbfyGvbb7f9QREQSY7_rzSagmLqpbQ_h9zkrRv6ChunpVjIY3Ky3bd8S_9H53SU-0fMmT6-0E9bV8x2mvR5s8ZgefrFuORB5S-9TCNNI2dAOdTUQry-rvsig9HodmfOJXGtSCypVFX42jTVtSgOBu47jaagnbE7ikD218o&__tn__=%2CO%2CP-R,0ط
pfbid0VZrxLZdHiFryfcAoHGYvDNGWrJ4ASozFQFFhmCoiDGMC8qkW25SmT9A2K23a9oXDl,Qatar Living,6,2,"Have you explored the new Caravan Bay at Al-Maha Island? Indulge in a delightful dining experience with takeaway options or savor your favorite meal or coffee while soaking in the captivating atmosphere and views of Al-Maha Island.#Qatar #Qatarliving هل قمتم بزيارة ""كرفان باي"" في جزيرة المها؟  بإمكانكم تجربة تناول طعام ممتعة، حيثُ تستمتع بالأجواء الساحرة وإطلالات جزيرة المها المميزة",2023-11-13:13:39,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 9 3 8 3 3 4 _ 6 5 7 8 0 2 2 1 9 8 3 5 5 6 7 _ 7 2 3 5 7 1 1 0 6 3 6 7 1 0 6 4 2 0 1 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = y J J q G H n G P E 4 A X _ G J 2 X v & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D J v 0 P K T f P P 5 w Z Y l h c 7 8 0 y m p Z S i - 4 z - r B v Q B Z B _ j Q h Y A A & o e = 6 5 5 7 D 6 7 C,https://www.facebook.com/QatarLiving/posts/pfbid0VZrxLZdHiFryfcAoHGYvDNGWrJ4ASozFQFFhmCoiDGMC8qkW25SmT9A2K23a9oXDl?__cft__[0]=AZVa107S7fd8xOZdbRAPxXtKPXgGlL0jfOv_9J5fc6zlNFPyu5rsR2q_lT9yzYc8L4yqlovfIMS1EGukkfq511sBcsVSKrtrBehSEQSM5-AdqSqSHQraBGhgleUw0FEWh882D6-t-5eH-I6HvpWxiSA-AMsU6w43Ja6rAdspEmK_kQ-FUiSrIBAWJ2TyPNizVNQuDiW0ItF3AsKBqaOat5Zp&__tn__=%2CO%2CP-R,v W Y ’ 0 1 70 ; 0 مجيد‎ A e & Coffee 7 6062 2 1 ﬂ جرجييس) ها‎ 9 0 د رحن احا‎ = ححا‎
pfbid035fL1K3iJGV7ZC99nU1KgMJYdYuBjV68cAxP8YVPrPjDP9ndAx3t3UsynERdCPe2hl,Qatar Living,0,2,"The Lusail International Circuit is getting ready to welcome a new era of MotoGP races by hosting its first-ever Tissot Sprint Race, an exciting new competition format.The fast and furious sprint battle will see competitors go head-to-head in a race that runs half the Grand Prix's distance. The top nine finishers will get awarded world championship points.  Lusail International Circuit MotoGP",2023-11-13:10:40,h t t p s : / / e x t e r n a l . f t u n 1 6 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 6 5 7 7 6 5 9 5 9 9 8 2 7 1 1 9 0 6 7 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . q a t a r l i v i n g . c o m % 2 F s 3 % 2 F f i l e s % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 3 % 2 F M O T O G P _ L E A D _ Q A T A R _ L I V I N G . j p e g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F x V v O 9 y N a K Z p b c y r G e M J a B R 0 6 z 5 N r d o M B j D G v b I _ D O 6 w & o e = 6 5 5 3 F E B 2 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid035fL1K3iJGV7ZC99nU1KgMJYdYuBjV68cAxP8YVPrPjDP9ndAx3t3UsynERdCPe2hl?__cft__[0]=AZXYgiswRH0gFUEeegGPibErHkrHs_b50ggaJp0v7Q314IR_qChDc1hwNfLrbpUz8edYRVaMboJ2xc3iWW1Ujkf2A2SmlkCsCFgfeouWlzuB47UJiMXfuLKWRAYYyAByHAMEO35R4YSTp2pF4bsiSQ5uaBJLSq_ZIxsbAqjZnnRXaZ60NJVbBfCyzAiejz4Zu1UImMYQWOhSHOB5qqTPbtsb&__tn__=%2CO%2CP-R,R e f’f’ A b7
pfbid0g5oPJTpaf1dxp7FtE2GXryVNTvEdS83sdWeq78yX6H5xpNGJZaGfz7xXnTHayG9ol,Qatar Living,1,4,"HH The Amir Sheikh Tamim bin Hamad Al Thani held a telephonic conversation with US President Joe Biden on Sunday about the Palestinian issue and ways to end the bloodshed.The two leaders discussed the necessity for an immediate ceasefire, protection of civilians in Gaza and the permanent opening of the Rafah crossing to ensure the flow of relief and humanitarian aid convoys to Palestine.",2023-11-13:10:40,h t t p s : / / e x t e r n a l . f t u n 1 6 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 4 8 2 3 8 6 3 3 8 8 1 9 2 8 7 0 8 1 1 ? u r l = h t t p s % 3 A % 2 F % 2 F f i l e s . q a t a r l i v i n g . c o m % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 3 % 2 F A M I R _ L E A D _ Q A T A R _ L I V I N G . j p e g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E K l j q _ 1 9 I f a U F s j - p k 8 A 2 7 s C U J e Q d a K F C 6 U x g I w r N v T A & o e = 6 5 5 3 F 3 7 5 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid0g5oPJTpaf1dxp7FtE2GXryVNTvEdS83sdWeq78yX6H5xpNGJZaGfz7xXnTHayG9ol?__cft__[0]=AZVWq0nXzjdIkJPm54cW_QJvXJ5G8Drn7VS7E_rF3sTPSNavenaN1Hqo-ei-pl0pEjVwsDSoFzl0c0Grf8_-in1bIHvuV9NQndrXKtsnPbse6rRgQr9pYhNjoZLHKtT2n4fycbC4xABU_96fSnQ78y_E4CAys_f2HWL6AxpIPIPAO7YNGbv2hKhrbTn-fGJktvDii2QupGYlIs0OQ2HSw9ia&__tn__=%2CO%2CP-R,"! 9 1 - -._,’f;"
pfbid02Dq5mPSeny4mcnj2niguys85qgTQ6iWnLCwnNRvz4vsPkkVYf762eaFaMVX6fZ9zal,Qatar Living,0,0,"In a collaborative effort, students from ten Qatar Foundation schools united to plant 50 olive trees, a symbolic gesture of their unwavering support for Palestine. #Qatar #qatarliving #QatarNews #Palestine",2023-11-13:09:40,h t t p s : / / e x t e r n a l . f t u n 1 6 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 9 7 9 6 1 4 3 8 2 3 8 5 4 5 3 1 3 6 8 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . q a t a r l i v i n g . c o m % 2 F s 3 % 2 F f i l e s % 2 F s t y l e s % 2 F h o r i z o n t a l _ l a r g e % 2 F s 3 % 2 F p o s t % 2 F 2 0 2 3 % 2 F 1 1 % 2 F 1 3 % 2 F Q F _ O L I V E _ P L A N T I N G _ P A L E S T I N E _ Q A T A R _ L I V I N G . j p g & f b _ o b o = 1 & u t l d = q a t a r l i v i n g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 1 3 9 x 1 3 9 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G y C F 1 m o s u D 8 1 j T - 3 5 y o l 5 M 6 D h Q v s S a g w J x M - I 8 K b D d T A & o e = 6 5 5 4 1 9 2 2 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/QatarLiving/posts/pfbid02Dq5mPSeny4mcnj2niguys85qgTQ6iWnLCwnNRvz4vsPkkVYf762eaFaMVX6fZ9zal?__cft__[0]=AZVa-z0qYmTq4mpl9yi3xWDm6rBpV88VVM2QSWCEXEPJdOaugZnwyXhnBE5E_OC-HBgsUsTzsyteaoFyZ-ZAVAwM1b3HxxtH740vgxUph8p8FlegRJjS4GZoxjXVNL9vpQRSalV4t3XfSzA52UMMbmsXkSJBWN_t9Or4dmGMwMDu7I7Pl6PlnJXSkU0mcfExYHMRn87i-sqSjH5Zw8eKUTEl&__tn__=%2CO%2CP-R,ا
