id,name,shares,comments,content,posted_on,image,post_url,image_content
323948600379018,Radio infm,0,0,"زعمة انتهى زمن الإعلام الهادف ؟#الحلقة السادسة والأخيرة من الموسم الثاني لبرنامج #زعمة :#زعمة_انتهى_زمن_الإعلام_الهادف؟ بحضور المتناظرين الرئيسيين: ️عدنان المولهي، وفريقه المساند للأطروحة المتكون من إحسان مغزاوي وأحلام البري، مع ضيفهم الصحفي والدكتور في علوم الإعلام والاتصال خليل الجلاصي.️ أريج السوسي وفريقها المعارض للأطروحة المتكون من أحمد ساسي وأمل الكناني، مع ضيفتهم الصحفية وعضو المكتب التنفيذي الحالي بنقابة الصحفيين التونسيين، أميرة محمد.وتتفرجوا في شباب ""الجيل الجاي""، مباشرة قبل وبعد حلقة ""زعمة"" على صفحة مبادرة مناظرة: الجزء الأول 20:45 والجزء الثاني 22.00.#صنّاع_الرأي #الجيل_الجاي #زعمة #مناظرة #تونس",2023-11-12:21:14,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 4 0 0 0 5 4 2 4 0 _ 9 6 8 7 3 0 6 9 4 6 7 4 0 1 7 _ 1 4 2 2 1 7 1 9 5 4 9 4 1 9 0 7 2 2 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = I k J g 6 k z d J q I A X - H g w i D & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f B K k C R s H z C Z X t C W 4 O p N F 2 2 G L m v p x h _ 9 t l F 2 r i H C g Q c T d Q & o e = 6 5 5 6 E 4 1 6,https://www.facebook.com/Radio.infm/videos/323948600379018/?__cft__[0]=AZVIrHN3UeesdY6wKFUK8i3WyzAHXw9urcGMPaE-S-UEbr8wOzPsNHsXr1Doe6K4_EBn08DxQT2himfGrADQzNuJ2b7RGwb9wiRGXRj0FiphelSBfKu61ou14rYPMQOSVSJvSnOm_8DcAs-i9Y0wlFlSDtoZsqHkdGX3O-yQYp7PUa0mckBouA5jATZrXMYsnn17PMz5cu-sK5fMqeG6k9ZT&__tn__=%2CO%2CP-R,iy ا‎ N St b 4 s . & - الى بصع‎
334763835929112,Radio infm,0,0,الحلقة الخامسة من برنامج #زعمة - الموسم الثاني #زعمة_يلزمنا_منظومة_حقوق_إنسان_جديدة؟أطروحة يناقشوها المتناظرين الرئيسين:لنور صديق، والفريق المساند للأطروحة المتكون من أميمة عاشوري وأمين سلايمي، مع ضيفتهم ، الناشطة السياسية والمدافعة عن حقوق الإنسان نورس الدوزي. أميمة فرشيشي، والفريق المعارض للأطروحة المتكون من اسين محمدي وأميرة جلالي، مع ضيفهم المحامي والناشط الحقوقي أيوب الغدامسي.وتتفرجوا في شبيبة #الجيل_الجاي مباشرة قبل وبعد حلقة #زعمة على صفحة مبادرة مناظرة: الجزء الأول 20:45 والجزء الثاني 22:00.#صنّاع_الرأي #الجيل_الجاي #زعمة #مناظرة #تونس,2023-10-08:05:49,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 6 7 5 3 6 6 _ 1 0 7 8 3 5 7 6 4 6 5 0 9 9 0 0 _ 7 9 4 4 5 1 7 9 8 7 0 3 0 8 9 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = y D 7 O a N s s A w I A X 9 9 J U P V & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D a u d 4 X G d P H - f F V W 5 J I h R W z s r j X m i c W K N v p v 7 8 c 1 _ c C 3 w & o e = 6 5 5 7 7 A D C,https://www.facebook.com/Radio.infm/videos/334763835929112/?__cft__[0]=AZXy7eJ2khtbFEzD0cHkEJVOo0Rfxc_2x1_pwZk0xdTneMH_kdpP1CshbOiPy7ean2THXE_loBRGtPZdnNHhU1gEY97ZnP9uwTkhTbJk723BaEu_A-4ha6M0RGfgTP43hPneBQo_fjs_fKxPoaQ5njXdYhOOENMG2oAlUhWJTLyAaOMmCHAppKk9ai0o5AZicNONbM1LfTHz2u8KLzAMIApc&__tn__=%2CO%2CP-R,"B ] | L ] , 1 | 1 1 . - i الجيل ! 8"
pfbid0o37Xzv4H8M5ybooTJEDSh7bPxxc3AZWS2HxC94gC5etW2SrpGA3LepZ2DRc73Q8dl,Radio infm,6,1,,2023-10-08:21:34,h t t p s : / / s c o n t e n t . c d n i n s t a g r a m . c o m / v / t 5 1 . 2 9 3 5 0 - 1 5 / 3 9 9 0 3 2 2 7 4 _ 6 8 2 1 1 3 9 3 7 2 1 4 6 1 5 _ 5 4 9 2 3 0 5 8 4 1 2 0 1 3 6 8 9 3 _ n . j p g ? _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = c 4 d d 8 6 & _ n c _ o h c = K t A p f h y m 3 R k A X 8 y w P Q c & _ n c _ h t = s c o n t e n t . c d n i n s t a g r a m . c o m & o h = 0 0 _ A f A d 6 4 f y t v f x H E I 4 2 b b t 1 R 4 i a S N n H T 2 7 2 O q r 3 t u X z b w N I Q & o e = 6 5 5 6 E B 4 7,https://www.facebook.com/Radio.infm/posts/pfbid0o37Xzv4H8M5ybooTJEDSh7bPxxc3AZWS2HxC94gC5etW2SrpGA3LepZ2DRc73Q8dl?__cft__[0]=AZXFVSbF7VVJtNWUYuyj8jlBuvqZsw4CdxWlkLdCutXeejjOrHPmfChbfQ4K60RGtBsgH_L50dnT0mIINJKRLbmD57as10Lf1V4L3zWSxIFIlSE4AYJr4R5H8rRPfgwKyMf6rPWXSZdmvil3_UNt4ED4tUclQhxdK9MNuhYxf2nLXfbHrZcJrFtonLjBZmgC3m44uhYmyUDGN4KGOXCOz95O_gHfneHjQH0g_8F_0YNsjw&__tn__=%2CO%2CP-R,"e nte, Achat ethm‘?s“ Gt~ 00100 .هنا‎ - | SN رسيا‎ ١ T y _ نك‎ | - -4 e بوم يحبر‎ & , 7م21 اها‎ T م‎ 1 : .َ (١ - بحثا'*‎ مأ 4. تاولا‎ =~ A A ليزن‎ i 1 ض‎ > . D 46 1 > صو ها‎ | 1 01 8 . OO0"
pfbid02rLSwmXpAMky5muVZjbu6SG5y5TpENE1gMtjj52LqyMD1whEBspSxFnvYQJLvdS4Cl,Radio infm,0,0,قاطع المنتوجات الداعمة للكيان ,2023-11-04:23:34,h t t p s : / / s c o n t e n t . c d n i n s t a g r a m . c o m / v / t 5 1 . 2 9 3 5 0 - 1 5 / 3 9 7 5 6 1 5 6 5 _ 2 2 8 5 1 1 4 8 2 5 0 1 9 9 5 1 _ 2 7 9 6 5 7 1 6 9 2 4 3 9 1 2 7 5 3 5 _ n . j p g ? _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = c 4 d d 8 6 & _ n c _ o h c = u t W I q U G r D 9 k A X 9 H 9 9 c y & _ n c _ h t = s c o n t e n t . c d n i n s t a g r a m . c o m & o h = 0 0 _ A f D _ p B N k q D G T 7 c 0 5 S R 1 F 0 J A R N r l 6 C 3 v B o b J b F Q N I N J S F X w & o e = 6 5 5 6 1 8 9 A,https://www.facebook.com/Radio.infm/posts/pfbid02rLSwmXpAMky5muVZjbu6SG5y5TpENE1gMtjj52LqyMD1whEBspSxFnvYQJLvdS4Cl?__cft__[0]=AZXV4ZbQXOv0f_ok8m1MUIagMRpAD6n03ftbcVVJ9gLhNW51aXgLON5RRE0Tt4Z4Skc25nDWnot6oK_kjtrBAljS_pIYmjp0cne1p-yihPLnCRQl8tdimH3Xr7YL3-JVAAjjQLhwDTJNve-Mw8ZyHodt8OiThv4XlxUm-fM1uWQVuB9nOys-MpWfqzPqL-XOJU45dsNeErdFaMbO5efPmyO7GE7WauAEt3vT-GQiF0xeHA&__tn__=%2CO%2CP-R,R =‏ '/J\ii;i?; ]‏ Ny =‏ 7 اح ديا المحتوى ها \ 2 8 1 عاب N‏
347314577686056,Radio infm,0,0,"حلقة الجيل الجاي - 1 نوفمبر 2023في حلقة اليوم من #الجيل_الجاي، شباب.ات صناع الرأي: أحلام البري، أمين سلايمي وأميمة عاشوري يناقشوا شفما جديد في الشأن العام مع لؤي الشارني، ويسلطوا الضوء على موضوع ""المقاطعة"" Boycott مع ضيفتهم رجاء جمني. شاركونا تفاعلاتكم مع موضوع الحلقة في التعليقات#صنّاع_الرأي #الجيل_الجاي #زعمة #مناظرة #تونس",2023-11-05:04:31,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 5 9 1 4 0 9 3 _ 3 6 1 1 0 0 3 1 3 0 2 2 3 9 8 _ 7 2 1 4 4 0 4 5 6 5 4 6 6 1 7 4 1 2 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = r l b A - Y A b O 3 Q A X 9 l L c I n & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C D J D b 6 2 T n 5 m 9 f O l a X z D 1 a 6 A d c e Y S T F w r f Q c 3 X j v U Z 3 t A & o e = 6 5 5 6 B 0 2 0,https://www.facebook.com/Radio.infm/videos/347314577686056/?__cft__[0]=AZWoVvDkOV7E_QkkaHy2HOPV8z_vkl3ySfp9g_tEbilpWWEQAjhYuaya0qrqSpshucXrVnAh92xD856b-UdAk4o_KK_xD302KVt_RyUFI7vmGX_JmapOzmXsbbUxZNBrdmSE_97mN8334vFVBUvX4PO5l0mbRdWZrZYutE2TGfTvOHHlDlCWBICf02M2KQbETGZ7a4k0skPXBomkMbHB9Iuk&__tn__=%2CO%2CP-R,
1355130015357027,Radio infm,0,0,"حلقة الجيل الجاي -29  سبتمبر 2023حلقة جديدة من لمة #الجيل_الجاي تجمع شباب.ات مشروع #صناع_الرأي : إحسان مغزاوي، مروى الفهري ولنور صديق، مع جيهان الرحال ولؤي الشارني باش يحكيولنا شفما جديد في الشأن العام ويناقشوا موضوع ""الجهويات في تونس"".شاركونا آرائكم في موضوع حلقتنا لليوم في التعليقات#صناع_الرأي #زعمة #الجيل_الجاي #مناظرة #تونس",2023-11-13:08:46,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 0 2 6 0 5 9 2 _ 2 6 1 7 3 3 3 4 3 5 0 2 8 2 3 _ 5 1 1 0 8 7 9 3 1 2 6 9 0 4 3 7 6 3 0 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = F B Z U w M I l 8 6 0 A X 8 C x k i c & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D E E U 2 j 8 g - v F q Q j Y 1 S k N w 5 9 u A m a Q 7 9 L _ u t L m G r _ i i C I p w & o e = 6 5 5 7 0 C 8 6,https://www.facebook.com/Radio.infm/videos/1355130015357027/?__cft__[0]=AZUFusMiP_7-4U1kcpSlgKXK3Xpamg7lYUHggz1YWmXYnZlXHUFn_eJxD6zJYsE52dm4mR6za-kIpL6CQZqeJ-WXQCVRzv4o2G-kb_GNEI791EZEslFsUXQza_ewX500_16pGUc4pFvW3nRt-y02RME7DhBzjB9NgtVRVaOc3gdpQ1LddXNFst0NlDU7srDPHrtSA9pImCVw9DcSGXz3TzlR&__tn__=%2CO%2CP-R,
843250747130456,Radio infm,2,1,"حلقة الجيل الجاي -22 سبتمبر 2023في هذه الحلقة من ""الجيل الجاي""، شباب مشروع صنّاع الرأي: سارة أبو مراد، رشا الحاج شحادة، ملك عز الدين، بلال الحلبي، و شربل عرب، يتحدّثون عن تجاربهم الشخصيّة في المشروع، مبادراتهم و نشاطاتهم الفرديّة، و شتّى مواضيع السّاعة #صنّاع_الرأي #شو_قولك #الجيل_حلقة جديدة من #الجيل_الجاي تجمع شباب.ات مشروع #صناع_الرأي شهرزاد عوني، معز بن عمر ورناء عمارة، باش يناقشوا مع وجدان همامي وملاك بن يحيى موضوع ""تأثير صناع المحتوى على الشباب"" ونكتشفوا معاهم مبادرة شبابية تونسية جديدة#صنّاع_الرأي #الجيل_الجاي #زعمة #مناظرة #تونسالجاي #مناظرة #لبنان",2023-11-13:08:53,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 8 2 0 6 7 9 8 _ 6 8 4 0 0 4 8 4 3 6 3 9 2 6 4 _ 3 0 8 4 1 1 0 9 9 7 9 0 8 4 0 8 3 7 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 0 J o y P 3 h 1 l C 8 A X _ M i W P x & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f A j e f r L k - b H P f 5 3 o v Q C P 3 4 i y C 6 w 8 3 G B y F 7 G m q 7 F g I R E C Q & o e = 6 5 5 6 C 5 E 0,https://www.facebook.com/Radio.infm/videos/843250747130456/?__cft__[0]=AZW8YY4W__o78PKlNWo5gj5xZksdjSm_BGtYLdBqmKk4M50tKwaZxTyBdeNnlcD-LFZj634qlYuY5LGush3kM7XqDz3SZ6mSf_gTQYiRMoyZAzF_z3liz_ACKU6NPCdwE_en6DGqF0yxqTMbfbDwYR4VxG0yws9U4a0L5ITA6QtgWa2SBYoMORcdHIHYc5T9c-2pijHMDf_tU4-DUVpgbpgq&__tn__=%2CO%2CP-R,L “I لذ‎ =l B —= i ل ب‎
pfbid0ZK5ejfo2ErXdssfKdXHEiGgvJ9S9c4DSMQ1kLr3y2FevKnbbwyKwkJaHafESkN5yl,Radio infm,0,0,الدويرات تطاوين ,2023-11-13:08:47,h t t p s : / / s c o n t e n t . c d n i n s t a g r a m . c o m / v / t 5 1 . 3 6 3 2 9 - 1 5 / 3 6 3 5 0 1 4 7 6 _ 5 8 8 2 0 0 7 5 0 1 7 2 7 1 6 _ 4 5 4 0 9 2 8 9 6 8 4 7 9 7 5 8 5 2 6 _ n . j p g ? _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = c 4 d d 8 6 & _ n c _ o h c = g X Z q b L 2 0 k L A A X 8 Z 9 k g k & _ n c _ h t = s c o n t e n t . c d n i n s t a g r a m . c o m & o h = 0 0 _ A f D y 3 U O U 2 a T i h h n i o O T m i z D B U o y 2 E - G l d v - g F T G G f x B n m Q & o e = 6 5 5 5 D 6 B B,https://www.facebook.com/Radio.infm/posts/pfbid0ZK5ejfo2ErXdssfKdXHEiGgvJ9S9c4DSMQ1kLr3y2FevKnbbwyKwkJaHafESkN5yl?__cft__[0]=AZVvTXIehnYXPJjc68SGjImHxGhxoE2_8F-DJ3-8-MkWiIggX_FbraFQ9QxhcUSA_RsOOwZEBAV9ys2hErCcoOtvhZc3Imx8-YndbXTZ6xJr7xqJ2FGCR2T4FlDnCQ5uoKng5R4HkGeFQbeacMfgeZHcKJO7ebCbIqDa7F0gusOPH_OskTrbLdUSuOazT71_OwJ0x7tMHaEdrwcEO1JHRPM_AB6qs5A5I-ousXkqKbFpGA&__tn__=%2CO%2CP-R,"i Y \‏ 1’ N‏ الحم © - ت7ج_ 4 . \ ث b‏ 7 ده قٍ اللا داسو وا Y 0 > 7 جا‎ a ~ 1) e X ) بحر‎ \ , e o) AN مم 1 ب‎ 7 v d [ ‘ م i‏ ره ب“ Y‏ دن 3 - Y, Ax}‘lin.slcimi‏ حلفا 1 دص -"
pfbid0cDUy2BbVnXKtp4UmDurdkMpgyH7r2HFPPF26sK6v3Zry9GKXg8m6tpUq9Dk2xu57l,Radio infm,0,0,ورثناها ما اخترناها الحمد لله على العز و على الألوان   حلينا عنينا عليها و الغرام بدا مالصغرة ..من احتفالات اليوم فاللوكال,2023-11-13:08:48,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 4 9 5 7 0 0 0 9 _ 5 9 9 7 9 3 1 0 6 6 9 7 2 4 9 1 _ 6 4 5 0 1 9 7 3 2 3 3 8 9 6 4 1 7 4 3 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = Q K 3 S q Y p D U l 8 A X - s k 7 9 a & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f C L 9 S I z h Q E G k t n g 8 j f 7 o F a X V Z t 6 l v - f Z W X v a _ T 1 p W 6 X p Q & o e = 6 5 5 5 E E B 2,https://www.facebook.com/Radio.infm/posts/pfbid0cDUy2BbVnXKtp4UmDurdkMpgyH7r2HFPPF26sK6v3Zry9GKXg8m6tpUq9Dk2xu57l?__cft__[0]=AZX0BPDKfuBWc_rGrtbC79agfMu-g8yQKlSXieoVpRGBVvtpyzTtv9GZJVWW9yYBiF9L1g31Mj37R7WgCy2pX_Bugg429P7an6jlHPAtFiWE6tMN--bhfrPX3VImRNMXKMbIbxoNZG-i-e5sHmSDLDHGcIyJbobSuO4Jj4Pl4W9i6mgjnaUklGWmVweVXVeIBQuNytDogBlquRUtOM1dVRey5atzZE1WD9oe60C6Jl4Ola45SBI7nY_iYhI3OAsFW08&__tn__=%2CO%2CP-R,"L] T\ ادق‎ A 1 84 بل‎ 3 @ A ""5 r-—""-& 3 ٍ"
pfbid036NHJRp6gZzKgkc9i6n8oc27tpCjbDsXypEgQ8mvhUZ6ocFKPUjECgKqYW9y3SKBPl,Radio infm,0,0,,2023-11-13:08:55,h t t p s : / / s c o n t e n t . f t u n 1 6 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 3 9 9 7 8 4 6 5 _ 9 7 1 3 0 6 5 5 0 8 5 1 1 5 3 _ 1 3 6 9 7 5 8 0 5 2 0 5 7 0 3 5 0 6 0 _ n . j p g ? s t p = d s t - j p g _ p 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = D 1 d X p C X T K o I A X - _ E P t X & _ n c _ h t = s c o n t e n t . f t u n 1 6 - 1 . f n a & o h = 0 0 _ A f D b F X o r P 2 i 1 Q i u L h _ V h k G l 9 j C l M Q K A a y I x B u 0 u 2 K v K P _ A & o e = 6 5 5 7 2 D 4 8,https://www.facebook.com/Radio.infm/posts/pfbid036NHJRp6gZzKgkc9i6n8oc27tpCjbDsXypEgQ8mvhUZ6ocFKPUjECgKqYW9y3SKBPl?__cft__[0]=AZXtXvNQqDj_d0p3-f69oUlQ7HGSVg4ao93MKWYCBWSKLS6L3F4-MKhYo4H8XVlRlgjVQUSZB1YcIbl7JuQIMGdj4HUp4bwg5DaZb5dJjgtqLZCzsbkGGlVYqt8GQxA-y6yzQczADwzCQqGl2OLbI77XySEEKLenSu9rLhAmNQgU8Rk6NhNgRWtqDoD29y0lCiuptO2F7FsrKlMPYFBhipH306daSeqZcg37em0NIn9HF5732GkvOv8jschYTFN0ay4&__tn__=%2CO%2CP-R,"0 2 اق ا | © - ١ | ;‏ جع يج L , ١‏ - ١‏ ا 89 1 - 7"" / >"" بم"
