id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0XqEKojmNxGWDjFTz3hhd5NiD1JfyXMyD7GZrx73Hdo5yE3GDFntxVe3jE6BtzV6l,Screen Mix,17,195,واااااااااااااو ، أحد أهداف الموسم بدون شك ..دي ماركو يسجل هدف مذهل مذهل مذهلانتر يتقدم في المباراة بـهدف رائع للـغاية من منتصف الملعب ، تاااااااااااااااااااااااريخييبدو أن هناك منافس قوي على هدف بوشكاش الآن.#ScreenMix,2023-11-12:21:49,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 3 3 0 3 7 _ 7 5 3 8 4 4 1 1 0 1 1 7 4 5 5 _ 3 3 1 7 4 4 9 3 4 1 9 0 9 9 5 5 4 7 1 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = A j H C B q K A l d A A X 9 j y S G S & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 1 Z B T Y g 6 L h Z S Q H g C F L f w o w R a N H L E K c U E F K J K x v O V W x 3 A & o e = 6 5 5 5 5 8 5 F,https://www.facebook.com/ScreenMixx/posts/pfbid0XqEKojmNxGWDjFTz3hhd5NiD1JfyXMyD7GZrx73Hdo5yE3GDFntxVe3jE6BtzV6l?__cft__[0]=AZWRLZ7qxJdw8qLOh959_3BjOooEoTEf-XOV9jJKk9ufGHTO1h6D_BYr8LDNiitktKnaP5onA1rcptIepODA49tZlY-hFspw6tJJf7BLXHaz6eRFdj5CxCy-gGLzuE6qjCMKkNrIF9L03i-YzvLgId17f8bBtzXJAdwyPuvBxgKovHRqOOfBIDUcNQzrpzV3hB42nLRip_Gi6FzaAIFHESMo&__tn__=%2CO%2CP-R,”@“*_;r 5‏ ; 3 - — هم v‏ - : اليا o‏ جه أ - ة REENMIX.NET‏
pfbid02MqShdx9QZE3wRLYR86tVsRGMW6ZxwcYb7gMps1b9Vakzbwmb4QZU1GB6j5cCoBuTl,Screen Mix,0,0,إيسكو عاد من جديد يا رفاق ، الساحر عادأصبح منظر معتاد في كل مباراة ، في كل جولة ، في كل أسبوع ، إيسكو رجل المباراة. — إيسكو مع ريال بيتيس حتى الآن : 13 مباراة مع الفريق 9 مرات رجل المباراةعاد للحياة ، إيسكو عاد إليكم من جديد!#ScreenMix,2023-11-12:21:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 2 4 8 8 5 _ 7 5 3 8 3 2 9 3 3 4 5 1 9 0 6 _ 4 8 9 3 2 2 6 1 8 8 3 9 3 9 0 2 6 4 8 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = S O 5 7 d W k s _ n Y A X 9 X k a E Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B B n f k p O z 8 p 8 V 4 B E h L 4 E z n H n N 8 h s G P 4 Y E d B r 7 3 9 3 X k j o g & o e = 6 5 5 5 6 4 F 3,https://www.facebook.com/ScreenMixx/posts/pfbid02MqShdx9QZE3wRLYR86tVsRGMW6ZxwcYb7gMps1b9Vakzbwmb4QZU1GB6j5cCoBuTl?__cft__[0]=AZWnqf6rRI28rRG8YujZtk5vqQwQhh5Ihp7K-ZbK54cLmVDhGZ6OwWItFOsCwY0Q7LDViePhP7kOcw6ESNKwozjdp-kaVl-UX9OwbjOXY5ovjGW_QUyBRRVKXu01xHQL3PVmVLU80reVWFPKI-Y_Z-y2slvCv1yLoXwZfzjkMHFqbZkVBAkKKz-VJ-2mXJIHEo8t0WSUUZWu94vwqWV6ZS-z&__tn__=%2CO%2CP-R,"1 s 0, 0"" ال‎ ب‎ هه : 2 ح‎ g ره‎ 0 7 1 «6 finetwo"
pfbid0u3VZiC2EnRRFgwLpDrzBfDgWwQbrs6YEziCx8F49BzWaYFRHdkELuDCwQXarfZnjl,Screen Mix,0,0,تعاقب فصول السنة الأربعة على جزيرة في فنلندا ! Jani Ylinampa#ScreenMix,2023-11-12:21:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 6 7 6 3 6 8 _ 7 5 3 8 1 8 9 9 6 7 8 6 6 3 3 _ 4 5 4 3 0 8 2 9 1 4 1 5 2 7 9 3 0 9 0 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I A - R Z F H 2 l 2 s A X _ S r c S c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B H q Q p c v i G l j l 4 q A v 9 j n 8 9 3 1 U J G - o l a O F O 7 p 5 O G G V E g d A & o e = 6 5 5 5 C 2 4 9,https://www.facebook.com/ScreenMixx/posts/pfbid0u3VZiC2EnRRFgwLpDrzBfDgWwQbrs6YEziCx8F49BzWaYFRHdkELuDCwQXarfZnjl?__cft__[0]=AZWW4dJv1cE06E0qMnnsNQCJb3EeKUulndzmKUVKzWm-OlZmDiDC3rWxaxt1qnz9f2lYcsOHG1q7Qe74lZpbul0CdP2BugfndFDFNnfCE_nQhh5TNrnTYAD4I4AWjMYuqLcanYu2JXaqIX_EvGlX5EUSYmdEZekvZu3MIlNnLs4c9PdeQ1MHs4m9M7u_gcCEA0q8u2BnE5EyRlSW6BbjCUZj&__tn__=%2CO%2CP-R,Y il Mo ~ \K ل‎ 7
pfbid0o37WZgRBHfJr8AyY3mxCjRqFEE99VnvRvjHB46As5ySwau3bzC5tQYaQthq3ATDql,Screen Mix,147,413,• د25 | تشيلسي 0-1 السيتي• د29 | تشيلسي 1-1 السيتي• د37 | تشيلسي 2-1 السيتي• د45| تشيلسي 2-2 السيتي• د47| تشيلسي 2-3 السيتي• د67 | تشيلسي 3-3 السيتي• د85 | تشيلسي 3-4 السيتي• د90| تشيلسي 4-4 السيتيمباراة أقل ما يقال عليها أسطوريةمانشستر سيتي يستمر وحيدًا في صدارة البريمرليغ#ScreenMix,2023-11-12:20:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 3 4 1 9 7 _ 7 5 3 7 9 6 7 4 6 7 8 8 8 5 8 _ 9 0 0 8 2 2 4 5 3 4 9 6 0 0 3 1 5 1 5 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Q k q J J W D M J 9 g A X _ L 0 E 4 W & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B F c R c P p z m U b u 6 Q s Z H 4 5 8 B C d v Y Z 9 q T 9 D e 5 R Q Y w 8 u d 2 8 t Q & o e = 6 5 5 5 8 D 9 4,https://www.facebook.com/ScreenMixx/posts/pfbid0o37WZgRBHfJr8AyY3mxCjRqFEE99VnvRvjHB46As5ySwau3bzC5tQYaQthq3ATDql?__cft__[0]=AZWpEyo6YZYjt293doz6WZHAu6c5dbt6FJT9htC23Ej8G_gLkRrJ3T70wJ4GIzS1Wpkz9YH-TFfpdmbzUo8YiMNT4UiI10_aa3pjs_3FA0kLMBNw97epfbG6BwLk93M8IamiHhIlfozpflZNblGYvSQT8RvlAhB5TLZX0IqDeDqDJySfeABcrbEWH5kK17yO2S5mYgdQutIPY1RNm965zqQ3&__tn__=%2CO%2CP-R,"= 3 > - © ء و5 لز J 0 ) ) L2‏ ١""‏ ل ببسيس ا N‏ N 3‏ اك & 4 إن 1 ب [- BNy‏ g =T .‏ 1 i 4 6 )‏ & ا P, -‏ 2 جح { e‏ = ا ا 1 o‏ e‏ ا 10 به وإ 5 7 o‏ = 2 | ,;,: ‘ 1 3ج ١‏"
pfbid0SRGArU51dzvhjkuTinfUSPDMWujH3MwDT4nLsCPXnHJ2xJ4JEeUbzm3XjjK5Hvqyl,Screen Mix,22,242,تاااااااااااااااريخي :ليفاندوفسكي ينقذ برشلونة من متذيل الدوري ألافيس ، ويعود بريمونتادا رائعةفيسكا بارسا فيسكا كتالونيا .. عاد برشلونة الذي نعرفه#ScreenMix,2023-11-12:18:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 6 2 2 4 7 _ 7 5 3 7 6 0 0 4 0 1 2 5 8 6 2 _ 8 3 0 3 7 4 4 0 5 8 3 6 3 5 2 4 6 5 0 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = b 9 p D u V m g z L g A X _ U m N 9 W & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D N V i A 2 L E A 7 l e v O w S U g 4 L Q z - Z z U E 9 D D Y c m d N E d n 8 z P v i A & o e = 6 5 5 6 2 2 D D,https://www.facebook.com/ScreenMixx/posts/pfbid0SRGArU51dzvhjkuTinfUSPDMWujH3MwDT4nLsCPXnHJ2xJ4JEeUbzm3XjjK5Hvqyl?__cft__[0]=AZVfAoifV6zRa1sIMl6SIjlvSM9YeuCV8NPXz-IunrVMTX0-ZjEa4bJqmJqFF-ADGBKV8kDxNoUREcfCGB3qyGI9UutCwxyTbnFBUVFI1h9I2VtSfvWtyEfNQHRtHxxqzmCcDbW7NXX6OIVlyuMuFjjQm3zxcmPS3UbMT072fNvw_u4vfr18o2y0LxI8C5iMu7iYmKpBQPCNAqr33ZQnuxAQ&__tn__=%2CO%2CP-R,"5 N ¥ 1 1:7 P - 7 ""١ 2 > 1 دمج - ب‎ - 18 ! . » f 01 8 5 A \.:; 9 ."
pfbid0wBZCaRQDQtRzCXcj62mBMzE1qtxY3e83wgF7VeBJ7EUCXzGBqvHpUxRqjKGid5zyl,Screen Mix,48,297,أسرع هدفين في الليغا هذا الموسم :ثارغوثا — في الثانية 17 ضد برشلونة سامو — في الثانية 18 ضد برشلونة جميعها سجلت على برشلونة!#ScreenMix,2023-11-12:18:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 4 6 6 3 4 _ 7 5 3 7 5 0 8 4 0 1 2 6 7 8 2 _ 7 9 2 1 7 3 0 4 6 9 3 5 1 3 5 2 4 3 9 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = I 2 c m 9 r T P r t k A X 8 p 9 W U r & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B g n G E Y 2 3 x J o M C k y 4 F q Y z k O o P N 9 S o j T b f 6 0 t 1 Z s f X p m y Q & o e = 6 5 5 6 D C C D,https://www.facebook.com/ScreenMixx/posts/pfbid0wBZCaRQDQtRzCXcj62mBMzE1qtxY3e83wgF7VeBJ7EUCXzGBqvHpUxRqjKGid5zyl?__cft__[0]=AZUmaTtMYevHorGeOYJd6G7ljOWD1oKG00QH3tZ1Jvqe2feMQBynmui5Wj0GQfjTT9nJnhUCc_KKLeqUNqmBwUhvNQwqLT8Cx9sYk40RxcnwtBwDwC6NG2sHuJI0IJ7KPISaRJac7WJsZfs6EZAVn6d76XzUH5UyWoBbFDINMSOpst404dtbTG7yGqc8CeJYXyCfijQbKW-oLWmvxV4E80CJ&__tn__=%2CO%2CP-R,( s ' ري‎ Te o 2 Y وان‎ -
pfbid08WTPch2kzNW7RcGR9kK6Jr1iALn2XcRHzpiGcEMTDP1SrQxLj1W3UM1kweyniGpDl,Screen Mix,155,256,لاعبو كرة القدم كشخصيات GTA 6 أذهلوا عقولنا  Via: AI#ScreenMix,2023-11-12:17:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 9 6 9 9 8 _ 7 5 3 7 1 3 9 4 6 7 9 7 1 3 8 _ 1 2 4 5 2 8 2 5 5 3 4 9 5 9 6 6 2 6 2 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = X y 9 h D J w M a 8 w A X - V H O P M & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D l T v 6 g b J L a 1 3 H G A f x _ t 9 3 X - G d 7 H O p M x 3 G i 5 T r b 7 4 Z z I A & o e = 6 5 5 7 1 2 8 3,https://www.facebook.com/ScreenMixx/posts/pfbid08WTPch2kzNW7RcGR9kK6Jr1iALn2XcRHzpiGcEMTDP1SrQxLj1W3UM1kweyniGpDl?__cft__[0]=AZXSKLxahOWqzgvQeuyxB9BuuzxMXwLkJ51C43yn1ulx3hucA80fkj4YfOo2G1TWMsdwq0t1BRUqsWR80pSJPaLc1-_IKgFnX9-9Obv4wCNzKlmAq2CuxLdeZZSkg_1t6uAyxQ-axOpVaKaInfpZTDkYCXYlXKLfIzNQ2wcJgyYGVjGWAoDTtd0JzRl16EKWWBcvN_STaBJb4GH_qgYPiZEl&__tn__=%2CO%2CP-R,"B 7 A > l || - 7 8 7 i 3 بي‎ ) S o حا‎ 3, ا‎ N < 0 Bt : 17م | ا‎ ‘ LI 1 ُ 0 7 b = L O\ ! 2 - - اح‎ gl ب‎ _ — 7 0 اي‎"
pfbid02KCzBF2Y2Z49WDAR5jKxMEHEHxTSbGW3wCanqeme13utq2pAzrDDyDwFkW1QTw28ul,Screen Mix,0,0,"من الذاكرة .. عرس بلا عريسأب يقيم لإبنته ""من متلازمة داون"" حفل زفاف بدون عريس من أجل أن يسعدها ويعوضها فقط #ScreenMix",2023-11-12:16:25,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 4 6 4 7 2 _ 7 5 3 6 6 0 6 9 0 1 3 5 7 9 7 _ 5 8 9 2 7 9 2 9 8 1 3 2 4 0 9 9 2 4 3 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = y V I m g 2 L b 1 2 k A X - A r n O h & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A X V A 3 o N g t 1 Q _ m d v p r P x q s b U H H F 0 U Y R o _ m C s 8 k 6 _ P l 8 K A & o e = 6 5 5 6 3 6 F 0,https://www.facebook.com/ScreenMixx/posts/pfbid02KCzBF2Y2Z49WDAR5jKxMEHEHxTSbGW3wCanqeme13utq2pAzrDDyDwFkW1QTw28ul?__cft__[0]=AZVEL-pOfgkv8Sk_W8w5bVSfO-Ohzso2zGOw9ZF-c1jAMgnzwGaWvaKy2nO9hKnlIKZUyJYDncm9BKwP4dl9NC_OJH4w879Pl5uSGq8UI1I-dJPWtHpTx0SFjEJH4bB9PfSBjsMUuFCUmut8hfYuIi3YK4E7IfhqDIU02Bjwa2_PEzXHzqrW7-0t3G4gWmiNGyVsZJ4X0tiEVOHX61KEO4KO&__tn__=%2CO%2CP-R,0 اد‎ Y ْ ١ /
pfbid031eP8vHapNv3GzxLGgZBMter94Xux22sjyvjhCPPW3SL647m7WHaqv93RKEsZK7AUl,Screen Mix,0,0,| ميسي: كان لدي 6 أهداف في حياتي ، الأول هو الفوز بكأس العالم| الصحفي: والخمسة أهداف الأخرى ؟ | ميسي: سجلناهم في ريال مدريد عام 2010#ScreenMix,2023-11-12:15:25,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 8 6 8 7 8 _ 7 5 3 6 3 3 8 5 3 4 7 1 8 1 4 _ 2 9 4 3 8 7 9 6 7 0 6 4 4 4 4 1 5 1 2 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Z w H C 2 o 6 p W I c A X _ j 3 R F 8 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 2 D E A h 9 q x p w - T D k B G 4 U w c Q U f 3 5 x W 7 q f 7 q k m q O 6 W v S S 6 g & o e = 6 5 5 6 E B 2 3,https://www.facebook.com/ScreenMixx/posts/pfbid031eP8vHapNv3GzxLGgZBMter94Xux22sjyvjhCPPW3SL647m7WHaqv93RKEsZK7AUl?__cft__[0]=AZVs0KHDlG05nYXy2w3quyLjd_qEnltfI7797lnVn2ibyfFVOjNScV8r8u3ePPq3RjthZctxEwwoXOiY3HjpkYgo-EeBRnNCvKxcIGk3LD5zDKd3sGXqnH3xOIDiDqwomDRT9f08rzjwyiGqLIRTK7ujLPH03VBq2vv1wXiGrZqpCbaPqwJHs8MqeQcyB0MXIrjPbnb2aR-o61AcHproOohB&__tn__=%2CO%2CP-R,"| ساخر ّم مي \ ' RN 7 N >‏ اوم 7١‏ “5 . ) B AN‏ للا R‏ — A1 i‏ .""01"" mﬁég':l""l:- =‏ L‏ - بلا Tece‏ @ أ . R v‏ 1"
pfbid027Vosadqd2Cg5wnpxtpNNbEjNv9GW32ojuxWSaNhwTwiuteUFGYymEgimLnDR5WRTl,Screen Mix,296,160,الله يجيب على أدعيه العبد بثلاثة أشكال .. من أجمل المسلسلات التركية #ScreenMix,2023-11-12:14:25,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 7 5 8 9 3 0 1 _ 7 5 3 6 0 4 8 1 3 4 7 4 7 1 8 _ 4 1 0 1 8 8 0 4 0 4 1 2 6 1 9 0 2 4 5 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = r _ Z u G X _ C w b Y A X 8 q r i 3 8 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 6 U _ B e K 6 z S 1 R b a j 8 - J q S g r g N K 8 z 6 l g t U Q 8 E q 4 T n P i Y O w & o e = 6 5 5 6 0 3 0 7,https://www.facebook.com/ScreenMixx/posts/pfbid027Vosadqd2Cg5wnpxtpNNbEjNv9GW32ojuxWSaNhwTwiuteUFGYymEgimLnDR5WRTl?__cft__[0]=AZW_44AFALLV37qRJRAtAVuiMRYvdQp2wjzLcvbIsMWblV8MlGMKFSxmExX92_PLhtZZ5Q1ailDXHHK8UFbaQu-hJ9UmB0gAds-DwVu26ikUzeGcQ2lfJIdgyueYQ4H4H0A5zFOTwdHweYlsiPns3U7qfuJ473Fnf0xVWnyrh1wbEuq9-hKQfo8p7iqI_QyF_4D8bgpf1fBO6qYL2H8rLcz-&__tn__=%2CO%2CP-R,"N 0 1 7 - 'Juﬁ;i&inﬁ_ الله يجيب على ادعية العبد‎ علا‎ لا ل‎ يقول نعم, يعطيك ما تريبدينه‎ ١ 7 ' يقول لا يعطيك الأفضل‎ 2 "" 5 [ٍ 4 هو أفضل من الأفضل]‎ Lo يقول انتظر, يعطيك‎"
