id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02LkeZxep6ahHNGUo87aduvCXu1JYdrUEArWRc3HCbssMuu9nvhxGGe8fQ2oW5m5ial,سيادة العراق - Sovereignty of Iraq,2,8,رئيس الوزراء خلال استقباله وزير الخارجية الأمريكي يجدد موقف العراق الواضح والمبدئي برفض العدوان الصهيوني على غزّة، وضرورة الوقف الفوري لإطلاق النار، وفتح المعابر لتفادي الكارثة الإنسانية المتفاقمة، التي راح ضحيتها المدنيون والنساء والأطفال.,2023-10-08:00:32,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 2 2 4 1 3 2 _ 7 2 7 3 4 3 1 7 2 7 4 5 3 7 6 _ 8 3 6 2 6 6 3 0 0 8 9 2 8 4 7 7 9 2 0 _ n . j p g ? s t p = d s t - j p g _ p 8 4 3 x 4 0 3 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = H q p 8 Y N 9 u K _ I A X 8 o L l R S & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A w r R 5 K b w p R P _ Y D k 8 M i Q 1 X v e V k 2 J F d M G - v V L a c x 0 I i k H Q & o e = 6 5 5 5 9 3 5 D,https://www.facebook.com/SovereigntyofIraq/posts/pfbid02LkeZxep6ahHNGUo87aduvCXu1JYdrUEArWRc3HCbssMuu9nvhxGGe8fQ2oW5m5ial?__cft__[0]=AZVBASJmBsbuf7CMednZ1PBnNBCecN2HqUdDRqvKPqYnjUxCdr6Z2FcNJY3kqTBGLRIjUQ6fYifgQujemcIAUyuDRuZaoNfVy33AP4Rzkc_JC0yOdCJAEbfA7cNXmdRM7vhTOg6DCb0FMxezwET2Qm6nDCPc-iJpDSF6mVL-kA2joLiUo5ip1qMeIno4bYx6g1x6FgyL85OXSBXsOk2B3hb6&__tn__=%2CO%2CP-R,". 7%. SA ;‏ سد e 4 ‘ ~‏ 5 1 ىا ل : A 1‏ 0 9 . | مس1 رابك"" د لح . ٠‏ l“‏ _— أرا- ذه - مت “ | 0 ١ق‏ راي المي واكك )"
pfbid02Jo51qstV5b9vev4hzriPm6YAcConu1jKGWP4eUr7YksC9YX13y7xkEGoUZYMqJ7kl,سيادة العراق - Sovereignty of Iraq,1,1,رئيس الوزراء خلال زيارته وزارة التجارة: أهمية تحسين نوعية مفردات البطاقة التموينيةضرورة إنهاء الإجراءات المعقدة التي يواجهها المواطن أثناء مراجعته بشأن تسجيل البطاقة التموينية وإجراءات الحذف والنقل يؤكد مضيّ الحكومة في إجراءات القضاء على التجارة المشبوهة واستمرار المعركة ضد المضاربين بالعُملةالإجراءات الأخيرة في القطّاع المالي قد أسهمت في ترسيخ ثقة المؤسسات العالمية المالية بالتجارة العراقية,2023-10-08:14:02,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 9 3 4 9 0 _ 7 2 7 1 4 2 3 9 6 0 9 8 7 8 7 _ 2 8 8 5 8 6 3 2 8 6 0 1 7 4 7 9 2 2 4 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 3 J Y p C g G v b U k A X _ l H R T x & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B t e W G a N M k K E E Q 0 _ t b m 1 p 9 H Q s f I _ 3 W x w a - v 6 J b U v n _ I 9 w & o e = 6 5 5 6 C B 4 2,https://www.facebook.com/SovereigntyofIraq/posts/pfbid02Jo51qstV5b9vev4hzriPm6YAcConu1jKGWP4eUr7YksC9YX13y7xkEGoUZYMqJ7kl?__cft__[0]=AZVrWjjL9fUmgzhGc1lbDxWK3FcfTBL1Wdos-t2CTBHy2hPxWnecoCX6kvghDpzVtTtEIbwu2m6DoaKAt_NKk7p26oH4Jw574TWhMolxLa8gonehxD8F4Z9uSnOZnAcN_ZYFBi3x7ak-k9BgVqPEYrGCLfTA0Ag9b1LRzgi59w06-2BZ9GwoJD4Q_0alz0pNqWR4ENIxCT75wOVBoSOhJ55M&__tn__=%2CO%2CP-R,ض 7 ; 7‘* ض الأب QW‏
pfbid02HpptGGZT8RfHLhvpjqT8AJz3gZc1E16epuws5hgACBbtzU8ovwADBXqBvWAxipHZl,سيادة العراق - Sovereignty of Iraq,0,0,رئيس الوزراء يجري جولة في دائرة تسجيل الشركات في وزارة التجارة ويطلع، ميدانيًّا، على المعوقات والآليات المتبعة في تسجيل الشركات,2023-10-08:15:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 1 8 1 0 3 3 _ 7 2 7 1 1 6 8 4 2 7 6 8 0 0 9 _ 4 1 7 9 8 6 4 4 9 7 1 9 2 8 2 1 3 8 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 3 9 5 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = M F s m s 1 l - 9 p s A X _ B F 2 f E & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B r h u c g h I 4 3 _ M - G N q u Z 1 E m U r E D L J K C T D 1 C N Q 3 z E i l 3 i 3 Q & o e = 6 5 5 6 C D 9 1,https://www.facebook.com/SovereigntyofIraq/posts/pfbid02HpptGGZT8RfHLhvpjqT8AJz3gZc1E16epuws5hgACBbtzU8ovwADBXqBvWAxipHZl?__cft__[0]=AZVMLH6xj3vO_7mCnY59XYWzB1qhvFR9Rf15FG_CvQkk1PSRVfrJ3vC2OWRM5tTYPhpUZeE9DGXXSny9qx9UIYqYklHb3OJxPIFwU-f49eojBAlsRkweqk767LgSm1t3TIRg8WB0ROtYuMrEBkv0MLbr_JMM8q2Fy4xfGax7WjrvggRYQNBRibMlKnuXuCqxlswCHqfs-aeZ1cdNtSj3vbXm&__tn__=%2CO%2CP-R,تي -: تج 1 دم * ¥ - ) p P ) Y =8 ١ كا 97{ 7 ال | e‏ ب £ -\ e b
pfbid032Ztuvq3V7nRYt1ob2TxDjrb9mtbLTxLEzqELLMgzs1jsYdQ8AWr3X1e9kgkSp7Wvl,سيادة العراق - Sovereignty of Iraq,0,0,رئيس الوزراء  يبدأ غدا جولة إقليمية حول تطورات الأحداث في غزة بدءاً من طهران ويتبعها عواصم خليجية,2023-10-14:18:17,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 1 8 6 6 2 5 _ 7 2 6 8 8 3 2 0 6 1 2 4 7 0 6 _ 7 7 7 9 4 6 0 0 0 1 7 0 5 1 0 5 0 0 7 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 G 0 c w U 4 u O Z g A X 8 r t 3 8 J & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B D x K K 2 o c a U B 0 P B 9 L l v i E 0 O V u 6 J n h e 2 w 8 F m R M S l A _ r 2 g g & o e = 6 5 5 7 3 5 2 B,https://www.facebook.com/SovereigntyofIraq/posts/pfbid032Ztuvq3V7nRYt1ob2TxDjrb9mtbLTxLEzqELLMgzs1jsYdQ8AWr3X1e9kgkSp7Wvl?__cft__[0]=AZVuacT_74vAjR6yPoI33Ibtpe7RyW2Y3X39Kk-ixzLQrrR2o7Rd0FcK5BZZ4VM7Artx3ukU6bn42ujI8HhWvWMWC4xVCooTMkxrS1ZrDVys7oh6ryz0i-mt_RZzNvMGB-DgRYzQZBnBQYGztl7JGZ7yuwSKx_saxdJh0ClcRKrEv7KpAQxb3NbBYhYz-bVgTiUr7lbkx_mOkuxkKsbxbY4R&__tn__=%2CO%2CP-R,لا و \ يا ١١‏ 8
pfbid0xWf8qWF6qoqFT2WmuUrGrrr8ihzku17gSi3ByZNu5VMWsvX8Cms35rNtEgzRAn5El,سيادة العراق - Sovereignty of Iraq,0,0,ابرز ما جاء في مقال رئيس الوزراء محمد شياع السوداني الذي نشر اليوم في صحيفة الغارديان : الأحداث المأساوية في غزة تعيد ذكريات مؤلمة للشعب العراقي هناك حاجة ملحة للمساعدات الإنسانية الحرجة لدينا تضامن ووقفة قوية مع الشعب الفلسطيني … En voir plus,2023-10-14:20:32,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 1 5 1 4 5 0 _ 7 2 6 8 5 4 5 3 6 1 2 7 5 7 3 _ 8 0 8 1 6 9 7 4 4 3 6 8 4 3 3 4 5 0 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = l z C Q D _ 6 d B f 4 A X - S Z F v g & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D r r P v e c 9 e Y f 8 S G 2 6 d _ 8 v H 8 9 q I J o F z m s C v o T E 1 N b q Y q Y A & o e = 6 5 5 5 B F E F,https://www.facebook.com/SovereigntyofIraq/posts/pfbid0xWf8qWF6qoqFT2WmuUrGrrr8ihzku17gSi3ByZNu5VMWsvX8Cms35rNtEgzRAn5El?__cft__[0]=AZVH666aAjAlR1LdNeNJozBiE1ziuEZcJ7Tgkn1a4NFu06P_MW6A7LGfweIxQV5Iz-tQOtGyxT-z3XVrEx4zV8Cl86yjN4s3gwJRNlx5CIVUsr7zwOBjBFSAVtHl2bGEPmgi3hzj_5o4GDQ5wcBoLWQ4jTt3jH1t1CIxS1kBEHnqHKjRe45tVsvcktHNjBkcuxF0Cvw0oNKWHGI7c8Gby0MA&__tn__=%2CO%2CP-R,"- 4 ﬂil” ل""‎ سن‎"
pfbid02ZfikckYGGdspJAH946Podbe7ekSSUHbmy5MnGqpe1YFgh8nAvU4MWH3bug4373fbl,سيادة العراق - Sovereignty of Iraq,0,0,رئيس الجمهورية في مؤتمر السفراء :حقق العراق تطورات دبلوماسية مهمةنجحنا في تجاوز تراجع العلاقات الدبلوماسية والسياسية والاقتصادية مع كثير من الدول الذي وقع بسبب الدكتاتوريةالبرنامج الحكومي يشدد على الاهتمام بعلاقاتنا مع دول العالمرئاسة الجمهورية والحكومة عملتا بدقة وحرص من أجل إبعاد البلد عن سياسات المحاورالعراق اليوم لم يعد مصدراً لتهديد أي طرف كما كان عليه في الحقبة الدكتاتوريةسياسة العراق الخارجية قائمة على أسس التعاون لتجاوز الأزمات بالحوار البنّاء وبتغليب المصالح المشتركةما يساعد على الارتقاء بالعلاقات الآن هو النجاح الكبير المتحقق في الوضع الأمني والحرص الذي تبديه الحكومة من أجل تحقيق بيئة جاذبة للاستثمار,2023-10-15:16:30,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 7 9 7 1 7 1 7 _ 7 2 6 5 6 7 3 1 2 8 2 2 9 6 2 _ 5 4 6 3 9 4 6 8 3 5 5 9 6 5 6 1 5 6 7 _ n . j p g ? _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = S Y t k Y c z 2 e 6 M A X _ J - l O z & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B d x n 7 a I N z Q - 7 f j s j R h e V o k t E S 0 z f c f k J K 7 X H v K 0 r L M C w & o e = 6 5 5 5 F 0 E 1,https://www.facebook.com/SovereigntyofIraq/posts/pfbid02ZfikckYGGdspJAH946Podbe7ekSSUHbmy5MnGqpe1YFgh8nAvU4MWH3bug4373fbl?__cft__[0]=AZWFfLmJS0nQks95F1epnMKXVz5tW6ms8kYBLLv79bJuMPhezgjlSLYNzUbaKwL1odq4QweZHaWhYPMyYLQsrvYUnDO5LXKFttQjvVaK7oPU5Vpo1bThjnT3CrZVMPkMilocOlVk4LCKiJOg9WVaOhLFBTHwY3CdDqOI6Vu7-EsEy96oJjgB7tf74xKXO43r-J2Wi0ebtDHZ0vJuZaGtD8mN&__tn__=%2CO%2CP-R,"/ ,r_- ‘_‘ "" e & 4.’ ل 4 1 - 0 لحم - p S 15 > ' ٍِ جل[ - أ‎ P 0 > م‎"
pfbid029c8AKd9Co5b8uqM6JVzTTbPvdpNjkJw8osmXJi6zvHaYKets1mdY3asJsegpuWUXl,سيادة العراق - Sovereignty of Iraq,1,10,رئيس الوزراء  يتلقّى اتصالاً هاتفياً من المستشار الألماني السوداني جدد موقف العراق الواضح والمبدئي من القضية الفلسطينيةالسوداني دعا  الاتحاد الأوروبي الى موقف واضح لإدانة الانتهاكات، والجرائم ضد الإنسانية التي تطال الشعب الفلسطيني  المستشار الالماني أكد أن بلاده تعمل من أجل وقف إطلاق النار، واستعدادها للإسهام في إيصال المساعدات الإنسانية الى غزة,2023-10-21:21:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 0 8 0 3 5 8 _ 7 2 6 3 2 3 7 0 2 8 4 7 3 2 3 _ 9 1 6 1 8 6 0 6 6 5 5 5 4 6 5 9 1 0 9 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Y 2 o J T i f U F X E A X - i h 1 p X & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 2 Z w W - o K O p f W 5 o g C l r z o T Q l A Q F k Z S T D t 5 i 0 Z J 1 U L h S A g & o e = 6 5 5 5 D 8 D E,https://www.facebook.com/SovereigntyofIraq/posts/pfbid029c8AKd9Co5b8uqM6JVzTTbPvdpNjkJw8osmXJi6zvHaYKets1mdY3asJsegpuWUXl?__cft__[0]=AZWg3wYCcBAPu-A4d658XP8H5p0HGSUpsDeQBkFT7JwoNj_jgqJekZQn7-Xr4sERAFtLrhvUxoT-3ZsJPE6gJi0KE1v0w3rY7rv6eslsp7xo8FQR9t18SwK8h69qDVcFy01Ns5j1I3g0I5f11KGsG2qmSYacU6esps17Str6-NRAhZQuIQaqmI2ssww0QKtFfCrsqwFU70Yo4tcpRgLqGNwV&__tn__=%2CO%2CP-R,1 ان قر ا‎ L L Eahs _J e £ = ١ o : IR لها‎ 5 2 : : ‘ -
pfbid02aHDLbPBv9nkPRXCFJXRFokiraxRqnLqL8JFHCctKD8PwDEfQy99XCRkRZydiz1yJl,سيادة العراق - Sovereignty of Iraq,35,99,مديرية المرور العامة تعلن المباشرة بالتشغيل التجريبي للاشارة الضوئية الذكية لتنظيم حركة السير ورصد المخالفات المرورية الكترونياً في عدد من تقاطعات العاصمة بغداد .,2023-10-29:02:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 9 5 9 0 5 8 2 _ 2 1 1 2 2 6 4 1 1 9 9 4 6 4 9 _ 3 4 9 0 1 6 8 8 3 4 2 0 0 4 3 4 5 2 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = v p V J S r j j j v k A X 8 V G X v y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B D a I 5 Q L t o R 9 w C - k 1 G n O m z p 3 - L r h P f Z 1 Q b 2 s o f e o 1 3 p 8 A & o e = 6 5 5 6 9 C 3 D,https://www.facebook.com/SovereigntyofIraq/posts/pfbid02aHDLbPBv9nkPRXCFJXRFokiraxRqnLqL8JFHCctKD8PwDEfQy99XCRkRZydiz1yJl?__cft__[0]=AZUYs_lNxoLYSAQDm13F5Rw5xQxAusU_IuyyiiDZvPxYBD2rPw0P0YSPQqVuK2HNZ4y3gfvZdIHuFl5UtnGqPwluXNz7uwAmOjZ81pw_c3jy1NbF1aLhw829sgkdtMtK7SwMWZ7O85WgiVvOB_0wCfRriFiLCp07cac4yNLS2Z77Gng6L4sPaMJJry2QyNutEncwRHC6zrd5dTblGUJJB6nR&__tn__=%2CO%2CP-R,"G I 3 8 0 ما ل دح توا‎ Ay لاا ا لي بال الس‎ و5 ااا تسو اج د ار اليل لطي رن ""بيبا‎ et |‏ لوا ده ما راح اك R‏ ال e‏ دا فق اا 7 3 بح الا R‏ اج ال B —, o T‏ |( مسا الا ا امه e‏ ١‏ ساس مالساو — لاط مج 01 بي حا كالز = B L] 7 1 7y‏ - ال ل ا ب‎ 8 ١ 5١‏ ] 0 رحا لتم يق و SIE‏ ا ور 0o g &) M=‏ ® s |‏ 5 22*"
pfbid031uEcR5sGUSveGsE1n2oVaa3wXnD6U64ohAu28cMMXKnTUXCnbJfYLhjr5CczMJkyl,سيادة العراق - Sovereignty of Iraq,3,67,من هو رئيس جهاز مكافحة الإرهاب الجديد الفريق الركن كريم عبود التميمي؟ قائد عسكري تدرج في الخدمة وهو من مواليد 1963.آخر منصب شغله قبل أن يكون رئيسا للجهاز: قائد قوات مكافحة الإرهـاب من الفترة  2019-2023 (كان الرجل الثاني في جهار مكافحة الارهاب)المناصب التي تولاها سابقا:‎- مدير قسم في الحركات العسكرية (العمليات حاليا) 2004 - 2006 .- معاون قائد العمليات في وزارة الدفاع، 2006 - 2007. - مدير قسم العمليات في قيادة قوات مكافحة الإرهاب، 2007 - 2009. - قائد العمليات الخاصة الثانية لجهاز مكافحة الارهاب، 2009 – 2014 .- مستشار جهاز مكافحة الارهاب، من 2014 إلى 2016. - تولى منصب مسؤول أمن المنطقة الخضراء منتصف عام 2016 بامر من رئيس مجلس الوزراء السابق حيدر العبادي. *هو القائد الوحيد الذي لم ينحسب من الموصل (قاتل قتال تراجعي) رفقة الشهيد اللواء فيصل الزاملي*لم يعطي اي رصاصة واحد للعدو حيث تمكن من سحب جميع المعدات والاسلحة من ارض الموصل*  *استقر في مصفاة بيجي بعد سقوط الموصل بيد داعش وبقى يدافع عنها حتى وصلت له الامدادات,2023-11-05:00:40,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 6 6 3 7 9 0 _ 7 2 5 0 5 9 1 4 9 6 4 0 4 4 5 _ 9 0 7 9 8 5 9 2 7 1 3 1 5 8 4 1 9 5 4 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = w 1 1 T l L o G O 9 M A X - _ 4 h L 5 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A 0 c M Q m 7 N D 8 Q B n 1 i d M F g N e l M J O 9 f H 7 M D f B j n f A A 0 f j p e A & o e = 6 5 5 6 A 1 7 F,https://www.facebook.com/SovereigntyofIraq/posts/pfbid031uEcR5sGUSveGsE1n2oVaa3wXnD6U64ohAu28cMMXKnTUXCnbJfYLhjr5CczMJkyl?__cft__[0]=AZVngtdN_wVWAP-y4tQkiQUhIcP_NWNePdV2aCiLeMJyhyAoNZJ2IFO2Ty-k6xpv0SAzPWekP1jZHltAUTD2Mi8UZ4GxO03Un8KJRLACbwIMxb9idw5uNrJtCqhiLj5DkJw6RqAp98rN6QtXwBj-AWFjPMzka7dxvRocMIZfFmv3UQRSkDooGt66u73TWomNBsjQuxqCZM2o0VFNyLHT2eA7&__tn__=%2CO%2CP-R,2 & ' أن 8 ا o [‏ يو و 3 Pt \( TN‏ 2 7 اده ا 7 i - N‏ - قنخ
pfbid09LHmHTc3ccQ5tKQZWoNkAgY7NCfnSeyKENrvPbrcXCKshsBm2orit4MGuTLZ4oWrl,سيادة العراق - Sovereignty of Iraq,0,18,القائد العام للقوات المسلحة محمد شياع السوداني يجري تغييرات لعدد من القادة في مواقع عسكرية عليا. تعيين الفريق الركن كريم عبود محمد رئيساً لجهاز مكافحة الإرهاب، بدلاً عن الفريق الأول ركن عبد الوهاب عبد الزهرة زبون الساعدي. نقل الفريق الركن أحمد سليم بهجت من منصبه كقائد عمليات بغداد إلى إمرة وزارة الدفاع، وتعيين اللواء الركن وليد خليفة مجيد بدلاً عنه. تأتي هذه الخطوة، من قبل سيادته، لمقتضيات العمل العسكري للمرحلة الحالية، وإعطاء فرصة للاستفادة من الطاقات العسكرية؛ لكي تأخذ فرصتها لخدمة وطننا العزيز.,2023-11-05:02:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 0 6 7 8 4 2 _ 7 2 5 0 2 7 3 9 9 6 4 3 6 2 0 _ 9 3 6 5 8 2 6 0 4 3 4 6 3 4 6 7 3 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = - L 7 6 c B d 8 J S A A X - N m x d V & _ n c _ o c = A Q k H A 8 Z l 3 N B w K N h M T N U i Z A R 9 0 H I 7 o r 4 T z 1 k n S Y t y j K y a J f 6 7 e m m 8 6 6 v c - h R K V J u R D h U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C f W 0 d J v - _ c H l h C 6 y F J W Y Y C N r g S h 5 X 7 H U 6 J l h x B W H r G F g & o e = 6 5 5 5 9 8 5 A,https://www.facebook.com/SovereigntyofIraq/posts/pfbid09LHmHTc3ccQ5tKQZWoNkAgY7NCfnSeyKENrvPbrcXCKshsBm2orit4MGuTLZ4oWrl?__cft__[0]=AZWYCmDe98HrDXS-RcyjUIQ22uKNOsTJHdKrtMIo7lQgnBEQ2j6T52eQFvWRd1DchW3V-RDE0P4Rjl7AXPt12GjLs56AGYo3uRvw0Ax319jAU47B3Q_i3jeIDg0jVqps-LeJGdg-LzcDfQktd9vcPeEx_HxAzG0G6v3l9BUIyPASZpkUdbMXAFd19ixbCy7LI1EYjRlecUE40NT1wgduTjs1&__tn__=%2CO%2CP-R,| & 7 | ض A‏ 8 1 ل
