id,name,shares,comments,content,posted_on,image,post_url,image_content
863095601853820,منظمة الصحة العالمية اليمن World Health Organization Yemen,2,3,في يوم القلب العالمي، دعونا نتخلص من عادة استهلاك الملح ونتبنى نمط حياة صحي للقلب. من خلال تقليل كمية الملح المتناولة، يمكننا تقليل بشكل كبير خطر ارتفاع ضغط الدم وأمراض القلب. حان الوقت لنظهر لقلوبنا بعض الحب! دعونا نتحد ونولي أهمية لصحة القلب والأوعية الدموية. معًا، يمكننا أن نحقق تأثيرًا إيجابيًا على صحتنا ورفاهية قلوبنا. انضموا إلينا في الاحتفال بيوم القلب العالمي!  #يوم_القلب_العالمي,2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 8 3 9 1 3 4 5 _ 8 6 2 9 7 0 8 3 1 8 6 6 2 9 7 _ 4 7 8 5 7 8 4 7 4 0 5 6 8 8 4 0 9 5 2 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = B N w d m b 6 S H 4 4 A X 9 o 0 V j d & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D Q I S 4 G _ v l V H M u h H X K 0 d z 9 K D b x i 9 Q j z v Q j N z X J 1 v k W 0 C w & o e = 6 5 5 7 3 5 4 8,https://www.facebook.com/WHOYemen/posts/863095601853820?__cft__[0]=AZX714vXC7gcm0B0eKmTjpSPbofS1oLfwXpM888-x9y5EN93wxVRSJsqCoJ9cbM0w4bKzZpxqoE8U80XeA2EXQqJrBByiPRAe1djE41Ty8upLcecyqfnK9sI0G7GqG-RuuEH-GYBL6OpmF5gh4Sh2PlGe96kqRryhLr-2hrQJituiVWgNxTAc1LERbCEy4mWormZtZ30GsNVNZCJDe3etIX3&__tn__=%2CO%2CP-R,<> كلا إهتم بصحةقلبك | «ف تناول كميات أقل من الملح لصحة G‏ القلب. Gse]. S paiial‏ #يوم_القلب_العالمي
863095085187205,منظمة الصحة العالمية اليمن World Health Organization Yemen,2,1," This World Heart Day, let's break the salt habit and embrace a heart-healthy lifestyle. By reducing salt intake, we can significantly lower the risk of high blood pressure and heart disease. It's time to show our hearts some love! Let's unite and make a pledge to prioritize our cardiovascular health. Together, we can make a positive impact on our well-being. Join us in celebrating World Heart Day!  #WorldHeartDay  #UseHeartKnowHeart",2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 9 3 6 6 6 1 _ 8 6 2 9 6 9 2 9 8 5 3 3 1 1 7 _ 3 9 4 5 7 6 4 1 3 0 4 8 9 7 9 1 6 8 8 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = i r 0 w S u a Z 0 z Y A X _ 0 - H R C & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B l w m P M m w o v T T w j R 6 s F Y q g P C E _ d V M b t c Y 4 H t T X y G B M l a w & o e = 6 5 5 6 0 0 A A,https://www.facebook.com/WHOYemen/posts/863095085187205?__cft__[0]=AZW_C8jD6Qhezrfln8gryMYBzIJ92P_jll54w4NZXG4_xgwPixi4v5PkcvFjtn777koabCOrRySVFIQjGr70ZvhazkTZeNaJwDiIrCcCV4Xk07MAPt-5FCR3B7BOmnyJ38Igu5ABPv3IxWPpK0rpg0WjpsXC_i_QAoDY_bqE1bNYCt-rYTQlCPv6MOKHG7c8V3eEDv7YRwED7Mdo_WUrjwmZ&__tn__=%2CO%2CP-R,Careforyourheart!‏ | الا Consume less salt‏ - for a healthy‏ » g heart.‏ @ ‘
863053775191336,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,1,لبك يستحق الأفضل من الدخان والمواد الكيميائية الضارة. اتخاذ الخطوة الشجاعة للإقلاع عن التدخين يؤدي إلى قلب أكثر صحة ومستقبل أكثر إشراقًا. دعونا ندعم بعضنا البعض في هذه المغامرة نحو حياة خالية من الدخان. معًا، يمكننا الانتصار على التبغ وحماية قلوبنا الثمينة.  #يوم_القلب_العالمي,2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 4 1 9 6 3 2 4 _ 8 6 2 9 6 7 4 1 1 8 6 6 6 3 9 _ 8 7 8 3 5 0 3 4 7 4 8 7 0 9 9 2 9 1 4 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c g w U i f J K x M A A X 8 C q G J A & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D B a p i s 2 u N N 6 R _ R M j d c 0 u f _ y A d s Z z P X o s a 9 7 g 2 y q f X V a Q & o e = 6 5 5 5 D 6 A 3,https://www.facebook.com/WHOYemen/posts/863053775191336?__cft__[0]=AZXHF0fgQMNwrqOYLmL96zIqvdsPMZFOt2DWEZxZFk79LE8Dseruk2Wzw1a7SSkyOa8CK0PEjPDnUgBgujEZP8vV-0wCwg2h0kZ3KJW8DO-H-li4IiMUC_qGbiFT_LA9eM0thINH9KrTOhNEy6tbzo6F6UJup5zUqttZOl3tqfkw4AsBxHZlDVMeWpU10symF7u6ufQY_ww5wj0OnBp2T6Cl&__tn__=%2CO%2CP-R,=N
863053428524704,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,3," Your heart deserves better than smoke and harmful chemicals. Taking the brave step to quit smoking leads to a healthier heart and a brighter future.  Let's support each other on this adventure towards a smoke-free life. Together, we can triumph over tobacco and protect our precious hearts.  #WorldHeartDay  #UseHeartKnowHeart",2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 3 9 9 6 1 3 4 _ 8 6 2 9 6 2 4 9 1 8 6 7 1 3 1 _ 4 2 8 8 7 5 8 2 9 9 7 3 7 0 5 2 0 1 8 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = A S y U r 3 - a p z 8 A X 8 J W n D w & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A h 0 w I h J L B C r c T N o A c n T D P M J R A a H R C 6 _ L Y w e V c y 8 S H D 9 g & o e = 6 5 5 6 9 6 1 9,https://www.facebook.com/WHOYemen/posts/863053428524704?__cft__[0]=AZUx-YZB0vZW6Hjm7KJxzdtVeb4O8_UAXWl3Cp0rS4l0LbK-4qPFtFFEAVrvQ_H4qrRRa7EnylPTh1KUqLRS36UFbJAzLH7osEoYLYkYNtbeWvBIMi-A84hQkkvMayl70DpgxIWEpTfuFfmn-cs2euOmY_IluMyEaDVmFk6tWKcblpnlj9QK1XrD6APHbH1xlta_t-6ScFGYY4w4S5m5ArYo&__tn__=%2CO%2CP-R,S
863003498529697,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,3,تذكر، التغييرات الصغيرة تؤدي إلى قلب صحي. لنحث أنفسنا وأحبائنا على إعطاء الأولوية للمشي بشكل يومي. إنها طريقة ممتعة لتقوية قلوبنا وصحتنا بشكل عام. معًا، يمكننا العمل نحو تحسين صحة قلوبنا.  #يوم_القلب_العالمي,2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 7 8 3 8 1 0 9 7 _ 8 6 2 9 6 2 0 3 1 8 6 7 1 7 7 _ 4 5 7 2 3 2 6 0 6 6 9 3 1 6 2 1 4 0 4 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = P D R z f 0 c h O w Q A X - H t H T X & _ n c _ o c = A Q n 3 m E q o a D H K e R c w l L g w e v F M B t z X - K U V o P o l z m V i u 2 T W G l Q a A G M f 2 q e t H c s h 1 0 U S k n Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 7 T 4 i R - A l E U T j L 7 D w 5 w w 6 e T c 6 j F G l 2 4 b C V N J P h Q 9 b 8 P Q & o e = 6 5 5 6 2 9 7 7,https://www.facebook.com/WHOYemen/posts/863003498529697?__cft__[0]=AZVCYSGLk8GeyRTCUG4cPMYvdUv4PgQubhyQU3M3af_6Gmfxb1eHyU6WlcyK1emmQTClcI7pCDzfo0yOAUYPm_e6Jeipc72BLAAZD_aAzLMwNzpnOzDbyTVCPBVi4_yDTd_JI7DjbE9tIdkfWM5wP8rhr54ozBQaGnprT_9ZlM9op1jh8qEYKshz4XkjHF8ojtxEIud5jGZ0np-CEDZ9pwls&__tn__=%2CO%2CP-R,Y v v
863003021863078,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,0," Remember, small changes lead to a healthy heart. Let's encourage ourselves and our loved ones to prioritize daily walks. It's a delightful way to strengthen our hearts and enhance overall well-being. Together, we can work towards improving our heart health.  #WorldHeartDay  #UseHeartKnowHeart",2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 7 2 4 4 9 3 _ 8 6 2 9 5 5 1 4 8 5 3 4 5 3 2 _ 4 7 6 1 3 7 6 2 7 1 7 1 6 8 2 6 4 9 4 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = l L 9 m 5 t Z - l E M A X 9 O - E w e & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B P _ 3 Y 4 y t E R 9 B F w Y T Z Y 2 0 k x N L F l d x 9 q l x t U 8 L 1 U t b s N J Q & o e = 6 5 5 6 E 8 A 9,https://www.facebook.com/WHOYemen/posts/863003021863078?__cft__[0]=AZU8J86VyqvWSOlNt6CTdFvGOPmk9zCTQD5Y9ZdurqbAHhmjznWsNHky93JVUGj3Pmu_ksbFh1ih0kzEg-SKTviOivPtVuSKnkk_-vDqmFiz5Tm-zFvY0iSavbCj4CXivFGeeAVMPsnWVyhXGnv_wV2CZTbJ9nvaqgbUygZzIuI6KGbZj7VJeqAHQbRIOY1niqXwRxYu6u7xlFFuD7mJfw51&__tn__=%2CO%2CP-R,د ض v‏
862981828531864,منظمة الصحة العالمية اليمن World Health Organization Yemen,5,16," في #يوم_القلب_العالمي، لننشر الوعي حول صحة القلب والأوعية الدموية في #اليمن.شاهد لتعرف المزيد حول ما يمكنك فعله للحفاظ على صحة قلبك! On World Heart Day, let's raise awareness about cardiovascular health in #Yemen!  #WorldHeartDay #UseHeartKnowHeart Watch to learn more about what YOU can do to keep your heart healthy!",2023-11-12:23:28,h t t p s : / / w w w . f a c e b o o k . c o m /,https://www.facebook.com/WHOYemen/posts/862981828531864?__cft__[0]=AZVwfcFMUYmp3sDuLbZZbRFrDZfB7J3tLmpMUPmldjzOsjF6oTXYiAkZqCZ1Z3FqNciV2qjJOg3k9ejFUJs8yFw2OCcbpmDRNjMCjOMPh231enrB5HpYv0HcS_UJicnxvN6KNU4H2ANO-LugvCSVpciYhUCU3laONfF6vrQBFyKeHRIJK8YM1ZOzY3x2tgHh4t31f1kPzUNeNfPYcNRoVjed&__tn__=%2CO%2CP-R,1
862949908535056,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,0," في #يوم_القلب_العالمي، لننشر الوعي حول صحة القلب والأوعية الدموية في #اليمن.اضغط هنا لمعرفة المزيد حول ما يمكنك القيام به للحفاظ على صحة قلبك: https://youtu.be/I80RgMyuuf8   On World Heart Day, let's raise awareness about cardiovascular health in #Yemen!  #WorldHeartDay #UseHeartKnowHeart Click… En voir plus",2023-11-12:23:28,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 5 6 2 5 3 8 7 3 9 9 4 4 7 7 4 6 0 6 1 ? u r l = h t t p s % 3 A % 2 F % 2 F i . y t i m g . c o m % 2 F v i % 2 F I 8 0 R g M y u u f 8 % 2 F m a x r e s d e f a u l t . j p g % 3 F s q p % 3 D - o a y m w E m C I A K E N A F 8 q u K q Q M a 8 A E B - A H - C Y A C 0 A W K A g w I A B A B G F o g Z C h l M A 8 % 3 D % 2 6 r s % 3 D A O n 4 C L C h a t O r B 2 v 1 L V q L d R a 0 b y l I D 0 r p K A & f b _ o b o = 1 & u t l d = y t i m g . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F F g 7 _ F j m T s 0 9 J t B q a s l z S D A j k 3 7 9 g u U a E Q 6 a X g B G l G 2 g & o e = 6 5 5 3 0 7 0 9 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/WHOYemen/posts/862949908535056?__cft__[0]=AZUQgkMnvdMLw1pfzza6mbEP0HwQUFeT8jlGIKpgyNf4id8DGWbi7eG1mVGvr8SCN4BByJ24RoDgDBiDbZf0UXwPhPKBCE51o1FjgE9qgmZXjLwu5AgQGVOUFOMcy3zntfCkr2iFvEztNtJEjcRSAsNPrLJxzBoo5eEz_oKheP6tEVgh-e3V2xTPEF1fJUdCKpYz4tzfwaWM5iVIaWCWPrxP&__tn__=%2CO%2CP-R,| 3 ١ 1 .~ ] | 2 | b 4 | i 00 8 ا‎ 3 R/ . 1 |
862892768540770,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,0, في #يوم_القلب_العالمي، لننشر الوعي حول صحة القلب والأوعية الدموية في #اليمن.يمكنك تحسين صحة قلبك؛ بتناول كل ما هو صحي من الأطعمة اليمنية، وممارسة الرياضة، والتوقف عن  التدخين.يداً بيد، يمكننا حماية قلوبنا وصنع الفرق. معاً نحو #يمن أكثر صحة!#WorldHeartDay #UseHeartKnowHeart,2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 9 7 7 6 3 5 _ 8 6 2 8 9 2 6 9 5 2 0 7 4 4 4 _ 7 0 8 7 4 5 9 5 2 2 6 5 7 4 1 0 0 4 4 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = J q Q _ 7 7 s a X i k A X 9 N Q 2 W 2 & _ n c _ o c = A Q m v u 6 a N e j Q d - n 6 b J 8 u 2 9 T z A z 3 w p G 2 B Y S c l z j N u G P x F v D R e N L t 7 4 a 2 6 O 2 V f V D m 3 Y 7 a I & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C t Q 3 C i p u c c c i q O k i N O I x W g 3 R 3 6 w X q 7 3 O 7 8 P v X 6 V 0 b v H Q & o e = 6 5 5 6 D C C 2,https://www.facebook.com/WHOYemen/posts/862892768540770?__cft__[0]=AZXzc_v5z9iTCMmr5NC0rE-7SUcRzoXa_QbAFPWFM8t5qTGiRo3xodDM3rD9nZ2Gw1whC0ku8RvC9JI2ITPlysNHdEAwfsmGD1OWisML41zLB5GhOzlviV6NJO1yWSclbhEMZeB2yutXr9w9qrHiHoueFCwFdIwdcameO6CSPtzXg1Jo-ylZrUB7Q4kX-ANwZEsaRyvOR8oOKWhYNx0OZy_P&__tn__=%2CO%2CP-R,\ . و know 0١‏ 5163ل تت
862890918540955,منظمة الصحة العالمية اليمن World Health Organization Yemen,0,0," On World Heart Day, let's raise awareness about cardiovascular health in #Yemen! Take charge of your heart health by adopting a healthy lifestyle. Embrace the goodness of Yemeni foods, engage in regular exercise, and say no to smoking. Together, we can protect our hearts and make a difference. Join the movement for a healthier Yemen!  #WorldHeartDay  #UseHeartKnowHeart",2023-11-12:23:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 9 6 6 6 4 0 _ 8 6 2 8 8 9 8 4 8 5 4 1 0 6 2 _ 1 7 2 7 5 3 5 0 1 8 1 0 9 3 8 8 2 2 7 _ n . j p g ? s t p = d s t - j p g _ s 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 X t 6 h p t T L 7 Q A X - P T P p f & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C n n b B 0 1 5 X j V 5 y P S _ d e q k I J 4 1 S W _ J N 8 7 z M M - d x m 4 H 8 5 V g & o e = 6 5 5 5 A 1 5 B,https://www.facebook.com/WHOYemen/posts/862890918540955?__cft__[0]=AZU75yjgoVy0e9Q2rb52aCsXfMGJMUeAllzcctPOUle6eMSsvyUG1sXfisjSfHDrwSRyoakBKhzMg3K-wKo-oeoLfopbQuMQjjXsqwSYGTUz-KjdMXZZy7pheVvbFpyMMEli8pPAc5eYezQ9AoNEIuj2lqLVBHdQcE0M2P03HhzKo_B49RiPGDNHt1sQDAZmQpipk43Th61Sa0ZUPkXXy1bh&__tn__=%2CO%2CP-R,2 ١ 1 ١‏ ل لد ا
