id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0iL627mwWXQaG2NCBbzjG76FAfiRC9KrzKQuTnhkwwGheEXJzPXvHLHEHa2387eXDl,أخبار الآن - Akhbar Al Aan,0,0,إقتحم المنزل وسط النيران.. شاب سعودي ينقذ عائلة من الاحتراقمقطع فيديو يوثق لحظة إنقاذ شاب سعودي لعائلة من حريق في منزلهمللتفاصيل:https://akhb.ar/Aew1D,2023-11-12:18:06,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 9 9 1 0 5 4 5 _ 3 6 0 1 6 0 6 8 0 6 7 6 9 7 4 0 _ 4 8 6 6 5 1 2 2 4 8 2 6 0 8 4 7 3 4 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = I _ 4 B G _ p K J K 0 A X - u S u G F & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D N v C W 3 9 D P z W C p a E Y b u s a i 2 K L V o B u l d M 7 U M 0 P t Y Y c 6 e a g & o e = 6 5 5 5 5 0 1 A,https://www.facebook.com/akhbaralaan/posts/pfbid0iL627mwWXQaG2NCBbzjG76FAfiRC9KrzKQuTnhkwwGheEXJzPXvHLHEHa2387eXDl?__cft__[0]=AZX_WjOh09h3yEv-NHTsvpdRLmejdYjyOTxmA9MLcHkGSOTNgnJGqw-PEDVBAshhrU9YnTVlO2-Pnl8lBj7l4XGlgODAETHv3oOBkkuYxYnZVIuwhn4AKlznH6_kyAQ1ot29VPg1641o8Iayjt8jusKtb8mmpy31QemcdQ0ZX7xVfgBztydYcsMPEjrVgRqYGMzSN7vLDBSrCKRmZz7JjdR_&__tn__=%2CO%2CP-R,1 | |
pfbid027TxAdxNMQAKpmGqbPoai2pLLgV3Ge23F3mMpnWFZR9aiD14SVv2yF7MBqaF3t4QCl,أخبار الآن - Akhbar Al Aan,1,19,الرئيس السوري يطالب بحقوق الفلسطينين ويتجاهل ما يرتكبه بحق السوريين.. إدلب تباد#حرب_غزة #سوريا #إدلب #أخبار_الآن,2023-11-12:17:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 8 0 5 3 1 2 _ 2 0 9 4 5 9 0 0 7 4 2 0 7 4 2 1 _ 8 5 5 6 2 3 7 2 0 1 1 6 3 0 0 4 9 6 _ n . j p g ? s t p = d s t - j p g _ p 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = V g 3 C Y U n 3 R Z Y A X 9 0 q z f W & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A Q F t M r O E l G g 6 g Q j Q 2 v X t F L i A i m P Z 3 M Y R x n q s Y R R 8 n _ r g & o e = 6 5 5 6 A 4 5 2,https://www.facebook.com/akhbaralaan/posts/pfbid027TxAdxNMQAKpmGqbPoai2pLLgV3Ge23F3mMpnWFZR9aiD14SVv2yF7MBqaF3t4QCl?__cft__[0]=AZWx_CtyP12nREnJT-Z3uAy3_oz1WHCwK2q5JG7xmUsUZH-Fsjd1RCO6hzN8dZQfxiEMOj5xO0fjFiscPzoscJYfjoKn91sjKs7nASlWJxHCyoD0lQOmwY71PFghjghD-mwEWp5a4FHwK4YK68uQ2wjiQZ6lWpyoo3Ug2PbgbTMzqUe2tyeH0F2XmDCODUeGfjVcgPZVInvqknKcl73-AI-S&__tn__=%2CO%2CP-R,ََ بر d >‏ 7 N~ A 2‏ . : 7 أ - P‏ v‏ اماد زامن مع
pfbid0mnhwmK2bmyFMgY19Uu7xuL6DQz4bGQAVuczLyNZbDoMTRCsjCb8Z6TVTiZWEvbPUl,أخبار الآن - Akhbar Al Aan,12,111," أخر تطورات #حرب_غزة:  غارة إسرائيلية تدمر قسم القلب في #مستشفى_الشفاء في #غزة منظمة الصحة العالمية: ""فقدنا الاتصال بمستشفى الشفاء في غزة"" نازحون من غزة يصلون إلى مصر بعد إعادة فتح #معبر_رفح",2023-11-12:16:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 4 0 6 4 1 6 _ 7 8 9 1 2 5 2 4 3 2 5 2 8 3 0 _ 8 2 3 8 0 2 2 7 6 6 2 6 5 5 4 0 4 4 8 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = x 1 Z i s 3 4 f y y A A X _ A l h r 5 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B B C s w 3 M j r G T _ E d C 3 e S x A K 4 k X S u z C m w m - 5 4 a 6 D n G r P P 2 w & o e = 6 5 5 6 B 2 4 0,https://www.facebook.com/akhbaralaan/posts/pfbid0mnhwmK2bmyFMgY19Uu7xuL6DQz4bGQAVuczLyNZbDoMTRCsjCb8Z6TVTiZWEvbPUl?__cft__[0]=AZV6JOdqNfrZJCsOvES3BpKeTONDbjjxd1eXXSHzVvGGBLAFv67oDbFllqS0HULArBJBlWj9zhcCEhK-xYd01psWfj5ag4LzXkMe6UYsp3DCGqwv8k0cjY_055qSQshrEXh84GJAG-mOHxfKsyheM1f5V9wNIS3phhmBwWT1GN8MTAsAZ-XmLcdJa96bvIVFyk68_wWAUp08SgizhV_1k9GX&__tn__=%2CO%2CP-R,e‏ ل جد ا احم
pfbid07r86FZ7s8ZttFjyFr32XSv7851chaUXm87RLDziFRsfCgGmsoDaDszh2TnLpqrYKl,أخبار الآن - Akhbar Al Aan,16,33,فلسطينيون يسيرون لساعات نازحين من شمال غزة إلى جنوبها#غزة #فلسطين #أخبار_الآن,2023-11-12:15:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 8 3 1 3 3 6 5 _ 1 4 8 4 7 6 0 5 1 2 0 9 6 4 5 0 _ 8 8 2 3 8 7 7 9 9 3 6 4 0 8 3 6 4 0 4 _ n . j p g ? s t p = d s t - j p g _ p 7 2 0 x 7 2 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = b 0 t P _ p u 5 Q X A A X - 2 q P I v & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B L I 6 G t Q Y c C E X w P H 4 H T a M m F d B W 1 m u i r 4 5 y p y s M q 7 f E G D w & o e = 6 5 5 6 0 6 D F,https://www.facebook.com/akhbaralaan/posts/pfbid07r86FZ7s8ZttFjyFr32XSv7851chaUXm87RLDziFRsfCgGmsoDaDszh2TnLpqrYKl?__cft__[0]=AZUDygfrTzlRM0BGXc0i7hkeQ1kBlQnsYDNz7DD-3Ri7V6fUAhkrg041x3-9X6wbkXESRseAk_cXMPwONnrANIa_2MrxYaBP0p3Kc6ZQd81GW6hR-t01YsjSqo8sUAznyY_ijc-XWZUx4E9XbCbHhOlcj3kbcqeqrfV963stHUc9odI9i6sDyumD2C57OI0oWg3HeNTzwxDhQTC_sx2bCJZD&__tn__=%2CO%2CP-R,"53 PERS. © e و""‎ | ع ا أخبار‎ : B N ¢ SR ""1 5 .‘1__' f’ i 2 ب‎ ’ 0 x o 0 2 . د‎ 0 2 | 4 2 € D 4 € I ال‎ s, Y 2 =~k (i . O e L s . 1 R -4 - o LY N . o il by AN حب‎ - v - e \ ¢ / Kl - 1 اذاه‎ W P : - [1 AN لصولا ا 01 أ‎ ° | ن‎ 0 T e ' ) 2 N . . ; 2 7 9 - - 7% 3 *‘ - ~% o & - - G 1 o 7, et ١ - : 7 ' v - N, 6. 7 ا 1 - كتقانا 1 م حو‎ L \‘ ; = 2 اال تي ام اط 1 7 \ و‎ ل‎ o Vi < N Vg R [ eutersnewsagency = © . .t QR AN LAl EULErSREWSagEncy ا‎ et 2 1 وا ع‎ 3 2SI ل‎ D SRR ا مين | لحني ل‎ N TR OSREN RS"
pfbid02Mp8h3X67R9MjCa795Vps9E7DkTSW8GoWixP6N5AVn3doGVcMRZ8nKaYVTMaQSjb3l,أخبار الآن - Akhbar Al Aan,0,0, الجيش الإسرائيلي: 361 قتيلًا منذ بدء الحرب البرية على غزة حتى الآن.. وتدمير 164 آلية عسكرية#أخبار_الآن,2023-11-12:15:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 1 6 1 8 0 _ 7 8 9 0 7 8 4 8 9 9 2 4 1 7 2 _ 6 8 9 2 9 4 0 7 9 2 6 6 6 7 1 5 1 1 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 3 9 5 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = i k 9 m K Q 9 m 5 7 A A X - Z - x L W & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B i n 6 T q S g E 3 v V u R X R m 2 a l y D x t 1 I e W P M C t h c l x x 9 R s Q q T A & o e = 6 5 5 5 A 8 3 B,https://www.facebook.com/akhbaralaan/posts/pfbid02Mp8h3X67R9MjCa795Vps9E7DkTSW8GoWixP6N5AVn3doGVcMRZ8nKaYVTMaQSjb3l?__cft__[0]=AZVjlMb-3FBKwgvmBGICmCL95DH35xWB9EqyaqRFJ4FXP1Ov61CBHhZ0j5qQ14kIEylKl9J7b33VxFgnJeMYWxDt2r1RTGhbHy8y6s-mDuEsbKdK0QrdeQe3MYQAuC_p9Nv5HsS6YX8KZNWgiLqJPgeyuC77Hf4gt0BPin_NrUUdDp8NzLQt6rCWsA09OgTM_zI2axxKVyuqwxr5uY8t0CS0&__tn__=%2CO%2CP-R,S g‏ ل علا ا ل ! }¢ I‏ دا 3 . 31 2 o4 i e & .
pfbid0botkuAw5RLoa4uQzh73mjJF5gLLdKXXkisy9vUBKrvoEUiXHJcEyDHeR3y24eLRxl,أخبار الآن - Akhbar Al Aan,0,0,لأول مرة زراعة عين كاملة لإنسان.. تعرف على تفاصيل الإنجاز الطبي غير المسبوق#أخبار_الآن,2023-11-12:14:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 5 7 5 8 8 5 8 _ 1 4 9 3 9 6 1 7 1 5 9 6 4 9 8 _ 4 9 7 8 3 1 8 8 4 7 6 8 5 2 8 7 6 0 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 2 s l 2 V M 2 8 Y H M A X _ K L Y G g & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C _ Z W i J 8 t k 0 g g S D T Q M F C k S 0 S H t b 2 U K 0 M A b X H q 3 B b n w L C w & o e = 6 5 5 6 8 E A 7,https://www.facebook.com/akhbaralaan/posts/pfbid0botkuAw5RLoa4uQzh73mjJF5gLLdKXXkisy9vUBKrvoEUiXHJcEyDHeR3y24eLRxl?__cft__[0]=AZXWXhV3StXbCnw64jow3N6QKv2chQ_V6mZCPrQ3baDps4whxNLuPfMlwgXpd3WtRMcqRIaF27eTuEEJSIuXeWa9dF-xXX1IwaF8g_rAYfKYD6cLI37fPaY8lZZ4suRfYmaiFj003eP2-98NCOiiPJ99pmJgMNojMV7wJ4OZ3meFDP6clqddakd8vHD6YW7z6qj4gn6bLcgB_sBAHdZvCjCC&__tn__=%2CO%2CP-R,€9 r > \‏ إدوارد رودريجيز بال ) AR ١ ب‎ s Nl «الله‎
pfbid0oFzvJMqUzgBGpB81HHbADttUQDqJ1JthpCZ64BC99JHR5EjoKv1a1m8R9nGhbjwRl,أخبار الآن - Akhbar Al Aan,0,0," ""بطريقة جنونية"".. حكيمي وزملاؤه يهنئون زائير إيمري بعد تلقيه أول استدعاء للمنتخب الفرنسي حكيمي وزملاؤه يهنئون زائير إيمري بعد تلقيه أول استدعاء لمنتخب فرنسا#أخبار_الآن",2023-11-12:14:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 3 9 9 1 3 9 _ 7 8 9 0 5 4 0 4 9 9 2 6 6 1 6 _ 7 0 1 6 7 4 7 7 2 0 5 9 9 2 2 3 3 3 5 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = A U 0 P L q Z K r N 4 A X 9 a L l G q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D p M Y k L q N N V y j l x Z L x U 6 L m B b J - t 3 y j 5 X u p T L y p J T 0 J 1 0 A & o e = 6 5 5 5 4 A 9 8,https://www.facebook.com/akhbaralaan/posts/pfbid0oFzvJMqUzgBGpB81HHbADttUQDqJ1JthpCZ64BC99JHR5EjoKv1a1m8R9nGhbjwRl?__cft__[0]=AZVawg_9jYT_GIA9e6uAL8dT5zoWfwAIcOUpZ8gshq-H2HjoOyQcrX8L_zNqv0TQOrsSrgx0WxbRSWTPk0q-heqknyri5cEicTIOlaJOJhoHXxKNVrEkOMTBRgApYsJTLVMgWAu7ZqvPwHVYYY6T3dH9qY76FdsEm9VTJ-xWm1Hc3kI0Ur5DwBVAsFHQKEcYAzXu9qfBG_0pQmKzVIxjW1O5&__tn__=%2CO%2CP-R,07
354576853787716,أخبار الآن - Akhbar Al Aan,0,0,مباشر | قصف مستشفى الشفاء.. آخر التطورات حول الحرب في غزةقتلى وجرحى بعد قصف إسرائيلي على مقر للأمم المتحدةمصدر الصور: أ ف ب#أخبار_الآن #حرب_غزة,2023-11-12:14:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 6 4 3 7 6 9 6 _ 6 3 7 9 8 3 4 2 1 7 4 3 6 1 8 _ 2 4 2 9 9 4 8 3 2 4 5 1 9 0 9 3 5 2 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = K R I s Z t g k S 6 8 A X - Q J D g h & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D a F V w U W 1 0 X y K l j 1 Z - t g t m m G n f f 7 h J B 2 j H W O W 2 s B r P a J Q & o e = 6 5 5 6 C 5 9 A,https://www.facebook.com/akhbaralaan/videos/354576853787716/?__cft__[0]=AZUfxyV9isNwrWA7UVqPi6pdriyCM-hzKIQvv4z_lWJJHOch_cX9niFo2qpfS70Jkadzr6fDLwygxBdZYdrOofwFE29BmxIrmuX2-GQJ83Zkhpt_1Kn7x-wcjst2qDLdPAEbxNln0uob31AWjsHmuIg3vM9q9IGHLGkcpDsGgEa8Wtn0Alv8SzYUrAs5MszvtwxIA6HrdiX95MwSUIKPupi4&__tn__=%2CO%2CP-R,"8 ال هري S‏ = لان e A‏ لب أ ل الوا 3 لأ لا L‏ ماحد اهنع g I‏ وح ل اع - شك تا ل ال رس صا اح 2 لد . SE M R TP g e‏ ا ل I~ A‏ ا S Al AN e L S‏ s G 4 :‏ ل ا e T f‏ R gt e Uy‏ ل ا SR‏ p VT s G s =‏ 0 )| الجيش الأردني يعلن عن إنزال مساعدات طبية لغزة = ا ب اج التوارسيق:. داكو اد e -‏ لج N, i ""‘7'\:\ BN\‏ ' 0 ل"
pfbid0Lys3KAPtWXpNuANBH33co2wJ9W2JAXh2ShUS9NbpDFuTK8zXhKoShynq4ectuKM1l,أخبار الآن - Akhbar Al Aan,0,0,الفنانة المصرية #ريهام_حجاج تؤدي مناسك #العمرة رفقة زوجها وتشارك جمهورها الصور عبر حسابها على إنستغرام #أخبار_الآن,2023-11-12:13:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 0 6 6 4 1 _ 7 8 9 0 0 8 2 6 3 2 6 4 5 2 8 _ 9 4 0 0 9 6 9 8 3 8 0 0 4 1 8 2 1 6 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = w M Z h C M i 4 e C c A X 8 0 5 E y D & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B K y H 5 l P u P 4 n T V f q w X B 1 T r m Y u S k q 8 d 8 Y 6 r F F y d t O N 2 j 1 w & o e = 6 5 5 6 9 5 8 6,https://www.facebook.com/akhbaralaan/posts/pfbid0Lys3KAPtWXpNuANBH33co2wJ9W2JAXh2ShUS9NbpDFuTK8zXhKoShynq4ectuKM1l?__cft__[0]=AZXIv0LBuHYKSo_aXvX6iWCNTPVdovm0u80_hwqHsf8h3Eoe8RBn__LsorNfeknQ8gtBadTfROme84NoonjYRUhH_Ygka2l3hP81s8O4IrEAiz8qFatBUGoNOl9v60acHl_oIWZBE1X6VxJYhBuN08qgn9gBdMcH8hoWmbB9FCus3YQbXnAZl-9OFPCv1s2Q2pbos0r-aJFOhK7kWQ5ZwCaM&__tn__=%2CO%2CP-R,e LA كا‎ e (R S i 7 7 ل‎ A4S 0“ | ا‎
pfbid0xSHmXQ47i5McfM6zeoEV1reSZM3vMzo8iGKZc4yjwVSHXVw7s2h2LL6DWAtA7Cu8l,أخبار الآن - Akhbar Al Aan,10,114, أسد يهرب من السيرك ويثير الرعب وسط سكان مدينة تسبب هروب أسد من سيرك في مدينة لاديسبولي الإيطالية القريبة من العاصمة روما، في حالة من الذعر بين السكان المحليين، ودعا عمدة المدينة المواطنين إلى التزام منازلهم حتى إلقاء القبض على الأسد. ووفقًا لصحيفة “ديلي ستار” البريطانية، طلب عمدة روما، أليساندرو غراندو، من السكان عدم مغادرة منازلهم حتى يتم الإعلان عن القبض على الأسد، الذي من غير المتوقع مدى سوء حالته المزاجية ولا مستوى تدريبه. ووفقًا لوسائل الإعلام فأن الأسد كان يتجول بحرّية وهدوء كبير في الشوارع، مما أثار الرعب بين السكان المحليين، قبل أن يتم إلقاء القبض عليه وإعادته للسيرك. وتمكنت السلطات الإيطالية من إلقاء القبض على الأسد بعد ساعات من هروبه، وتم إرجاعه إلى السيرك.,2023-11-12:12:11,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 7 5 6 6 2 _ 7 8 8 9 8 5 6 0 6 6 0 0 1 2 7 _ 6 6 0 1 7 9 1 0 2 9 3 2 2 0 1 7 9 3 2 _ n . j p g ? s t p = d s t - j p g _ s 6 0 0 x 6 0 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = H 5 T y Z y l d x W o A X - g f s 6 m & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D Z u L P m x g R 9 c s f X Q T 4 G y 0 O 3 i 7 w W S B F g I 7 B Z 0 W 1 a V J p Q v A & o e = 6 5 5 5 3 6 5 0,https://www.facebook.com/akhbaralaan/posts/pfbid0xSHmXQ47i5McfM6zeoEV1reSZM3vMzo8iGKZc4yjwVSHXVw7s2h2LL6DWAtA7Cu8l?__cft__[0]=AZWNWkWWYEcFwjd3L_Lx9VAObd1MWeiqzQwOAnGt-JRZHtM0hEsW1prSLsyWqZPO_V3xr7UilFxG9LCzW7PeS92YKENbhSQkDlZnSDMPUWj7UzxsBAFj9408Y6rMT8Dy9lzGVRc2CJsK8GuWzJ96pb1DHy6KvNbT4fUfRlQ-R1nVvBTxNFSfCRh_ndRWOxAxJpsnRnPwi5XLiQL0Nj7q8BRK&__tn__=%2CO%2CP-R,o | T ) - » y i
