id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0mRJSjb6mpSxXBsuYJ3BwtNpYXe7uFuAFVfVaobntLSif5WYXt5JEWP8ywUC2UQNZl,ALGERIE PRESSE SERVICE,0,0,#Attaf reçoit le premier ambassadeur de la République du #Nicaragua en #Algérie https://www.aps.dz/.../162583-attaf-recoit-le-premier...,2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 2 6 9 2 5 3 _ 7 5 2 0 2 7 1 6 6 9 6 3 6 6 0 _ 1 0 4 5 0 8 5 6 8 1 3 0 6 6 6 9 1 8 4 _ n . j p g ? _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = h - 7 G 0 p m K 8 _ U A X 9 g P Q c G & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C m i V V R i j r L j 8 2 g g n t T N c d v H - H v L j i m w 5 h k S I 1 6 w 4 P A E w & o e = 6 5 5 6 D D 0 C,https://www.facebook.com/algeriepresseservice/posts/pfbid0mRJSjb6mpSxXBsuYJ3BwtNpYXe7uFuAFVfVaobntLSif5WYXt5JEWP8ywUC2UQNZl?__cft__[0]=AZXA8ajxloFng9GdGwBRTXa4mwGc_yiFPDBHSM3SAAfoYdV2LDIDdzJ2QJEM7abJF0dID90EwuJpwBHw0EH1oVY8hlmwlSKiyhLAre_Jmy4ROOWBSJ6sBzcyDYooYRsRkuoD1ohlUsjIoobUbz-eUqf9wt5Xpz3q1m_CJPvG2G27wfK8-p4ZzSYqzU0im0F-Tjfd0bTmpIJsCbVP3JqYc6ts&__tn__=%2CO%2CP-R,= اا | 1 1 فط & v & O‏ 7 للق RS VLIS‏ : ب <l‏ ا ا د لبس | ل دقام
pfbid0bGzD13yxXiKaRCVT2dPTng1nahKS3Ug5jgLNF5G8KqwQ9QAgftXqbqTwYTb9HJA1l,ALGERIE PRESSE SERVICE,0,0,#Energie: Djamal Cherdoud installé en qualité de nouveau PDG de #Naftalhttps://www.aps.dz/.../162581-energie-djamal-cherdoud...,2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 1 7 2 0 5 2 _ 7 5 2 0 2 1 2 1 0 2 9 7 5 8 9 _ 5 7 1 4 0 7 2 9 9 1 3 1 7 5 6 4 7 9 6 _ n . j p g ? _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = g _ B J 6 x y M 8 A U A X - M 3 r Y a & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B A M X n 0 T p A x 9 I A 7 S M a X O a a n H v o g 6 5 J 4 y X b 1 V w y 0 f p j e B A & o e = 6 5 5 6 A 0 3 C,https://www.facebook.com/algeriepresseservice/posts/pfbid0bGzD13yxXiKaRCVT2dPTng1nahKS3Ug5jgLNF5G8KqwQ9QAgftXqbqTwYTb9HJA1l?__cft__[0]=AZXewtAnf7u8NLB3bde0-C60Ys_qCQ-cfP3hWwmkqRO4iJPi5M7WN3BaI3haQGT7_tqJey7HvA6Pe731d2L4fxsuUq2pRtdZwkQDA2H8Zy6VYff9QpmkE9GNx8G-BtcYe9D6Q69S5bUJVcKK_9Qo_sTrU0rdJL6WGXw4iDUvv_CUqjRDExIhv00ZGXxLGMpVq_iOyEFl1n1LNUDKkuw6Y_XZ&__tn__=%2CO%2CP-R,gl R 7 ~
pfbid02oDhsE7j9uT7tmKNgb89ZKbmn1YZsyD66wrVmyCDBeXSLYnr8yheHJGCoit6mjddGl,ALGERIE PRESSE SERVICE,0,0,#Algérie -#Soudan : installation du groupe parlementaire de fraternité et d'amitiéhttps://www.aps.dz/.../162580-algerie-soudan-installation...,2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 2 0 6 4 5 _ 7 5 2 0 1 6 9 1 3 6 3 1 3 5 2 _ 3 0 2 9 9 0 1 9 5 9 2 7 5 5 8 1 8 6 3 _ n . j p g ? _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Y p x K T u c c V Y 4 A X 8 i 1 i N 2 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C T t 9 m H l 0 - g 2 b A z e o 3 q o u I c f 7 u S 4 j t c p P 2 e d w O - n 6 A K M A & o e = 6 5 5 6 A 4 5 6,https://www.facebook.com/algeriepresseservice/posts/pfbid02oDhsE7j9uT7tmKNgb89ZKbmn1YZsyD66wrVmyCDBeXSLYnr8yheHJGCoit6mjddGl?__cft__[0]=AZWQKwns8uBY17EQHXmu0Xv_sbpdtp9Fl-WvzzkbJgzogyQCu-tz8poQ_rhRK-wohOwJj3D53i9WWj2-rabM5nsKyzXOjFTS3ZLgIpHSfT6mNQ3u-dSiaNKNjXIsF67iRNlXbWf56IPzajE6hAGa-mT0eWCw2JlPp1XVuk1qo2UBwbFIqcVFfx_jpWJqn3sfDTh6iIao6G_D2iZ9ZWbbn62I&__tn__=%2CO%2CP-R,"v - - i 4 3 t [| | 81 ٍِ L A WS الى‎ F il ey, PN 9 ٍّ و "" ا‎ s 1 2 - PR ا‎ ا 1 — م‎ BN اذ اذا‎ N | | ٠."
pfbid0A5kme7zM74BPKkDLqgPTBbZJG7nLPmYv4mmdB7rVxuWWNrjqZn1rV3NMr43bPuypl,ALGERIE PRESSE SERVICE,0,0,SARPA: signature d'un contrat avec une société chinoise pour renforcer les échanges commerciaux https://www.aps.dz/.../162578-sarpa-signature-d-un...,2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 4 7 1 3 1 8 _ 7 5 2 0 0 6 9 8 3 6 3 2 3 4 5 _ 4 0 5 4 2 0 2 3 5 5 1 4 4 9 5 3 0 6 2 _ n . j p g ? _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = F X B o 4 m T D k 7 4 A X _ 3 I Y G r & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C n 7 O t p W D s 2 C r d 5 R L c _ - R D s o m _ o H Y s q W j e n - h Y 2 P H X U m A & o e = 6 5 5 5 D 3 0 9,https://www.facebook.com/algeriepresseservice/posts/pfbid0A5kme7zM74BPKkDLqgPTBbZJG7nLPmYv4mmdB7rVxuWWNrjqZn1rV3NMr43bPuypl?__cft__[0]=AZX2CeEK_idOCEnizJjwvCaXu985zAqMig_YExrheO5JzoUmMb5o1cKuj_RlxB2sJx8cc89zLcvef0rR24i18UF7NzDIJI6gca-q-S4Nm4XqAUgB0cxfwE97awLnbydyczMdlAnY7OJk_p6PNmXMKAkzvZ3y0fHRZhb1s49f3BRUBx1fQkcU79yHXO1qY791vM3i0eTH4VGYnHE_oHKkAqot&__tn__=%2CO%2CP-R,St 425 78 مخز تقل‎ SIS 225 Y R
pfbid0PjJxD4JqvqFcepDiZNrRFtqXQRgqeTBgN88wbsQkGUKiAoeFaZR3A5BLAuZGrFBHl,ALGERIE PRESSE SERVICE,0,0,#Goudjil reçoit le président du Conseil national sahraoui https://www.aps.dz/.../162576-goudjil-recoit-le-president...,2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 9 6 7 9 0 _ 7 5 2 0 0 6 6 2 6 9 6 5 7 1 4 _ 8 6 6 7 3 0 6 7 5 3 3 6 3 6 0 3 8 1 6 _ n . j p g ? _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = R w p A W V B k 7 D Y A X - _ 2 k M U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C g H 4 u L C m 0 x q N C j n j i X t L y c Z H Y s 1 U O D a n H r d C k S n s Q Q v A & o e = 6 5 5 6 4 C 1 C,https://www.facebook.com/algeriepresseservice/posts/pfbid0PjJxD4JqvqFcepDiZNrRFtqXQRgqeTBgN88wbsQkGUKiAoeFaZR3A5BLAuZGrFBHl?__cft__[0]=AZWG8gBGwTLypZdnmU2EXAykL4-e6UTiPrb6NAd5FOpfoPztAvLT2zp0E5cdKEl3CxVayroM0w17LRKT66Hoeg_Az9UWyvEAbestuZeI579NhEDh9waINE7087urkAjlPUr4ClgWz9_qoC8olKRwsuu0AAXzZjbDM-V-ypH9jlbHLGuiAo5L4i34k4KiVvvZHkjs1DCmrpsQjDYQvOwIsiea&__tn__=%2CO%2CP-R,"T‏ ل N 7‏ َه ب ار | "" 7 ل ا A T bl‏"
pfbid037ihFHKzs8yBpVos9gkLcKLJqVzuokoURfkHetj9UAes95dF99MPBQZ7Y6giKpjEDl,ALGERIE PRESSE SERVICE,0,1,"Le ministère des #Moudjahidine met en garde contre des vidéos traitant de sujets historiques ""basés sur des contre-vérités ""https://www.aps.dz/.../162575-le-ministere-des...",2023-11-12:20:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 3 4 8 5 9 _ 7 5 2 0 0 5 0 2 6 9 6 5 8 7 4 _ 7 3 8 9 5 7 8 7 4 4 5 0 7 7 6 6 6 8 2 _ n . j p g ? _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Z a - _ T _ X E S M 8 A X _ w O L H q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B k r O y s D D e 3 m I S a 8 S x W A 2 y k M W 8 d S F Y j y O j b J p 7 T T O 5 a t A & o e = 6 5 5 6 2 A 4 5,https://www.facebook.com/algeriepresseservice/posts/pfbid037ihFHKzs8yBpVos9gkLcKLJqVzuokoURfkHetj9UAes95dF99MPBQZ7Y6giKpjEDl?__cft__[0]=AZVCIbj5NOb3S0TAOBXQVBT7UNWPvqVxZIbaZFdQr9KQ6NrgWS6mbLCCMbTmONybdE3YNvewcROV2SR5afXzb5IxCWBTnHzNj9wIYuYO_jTTfDh0fwcz4RFUtjauM86cHJ3CNRMyLyqqKJLlTxFa2F6emUXyaLtJM-qCwdC6abZwdjiv61_K5TcdUXStNwi-PkRcJK1orich6bMU3B3WhmZ0&__tn__=%2CO%2CP-R,95 زلا ءا بذ ا qe‏ 5 مسمسلا L ;‘‏ ا 1 ٠‏ “لل » 8 الا شكال ORI .‏ هد الى = 0 - ا (R‏ 00
pfbid0PEv67biYPm4EejqiJxrpNHQzCjkNEksqB7wModxymqbTyRQPFZqtc37k9BvU9f6gl,ALGERIE PRESSE SERVICE,0,0,"#Foot / Mondial-2026 (Qualifications) #Algérie  : ""#Brahimi victime de concurrence"", estime #Belmadihttps://www.aps.dz/.../162566-foot-mondial-2026...",2023-11-12:18:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 4 3 7 4 7 _ 7 5 1 9 6 7 3 8 6 9 6 9 6 3 8 _ 1 8 5 3 7 7 7 4 4 6 4 1 3 7 4 2 4 5 8 _ n . j p g ? _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Y M S y m u T 8 F f k A X _ 9 r Z A u & _ n c _ o c = A Q m t j I O f S G z n s A W j J O 3 t O 5 d V q A C 5 L l R q e N r L 0 Y L L N c g 7 P o j 6 T e k j o M Y P y y s 8 w u C T 1 - Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D W x z V 4 o 1 Z s z e 6 - t t 8 d I N E r A n E q b c V I W 2 o u c 2 h j I 7 K J s A & o e = 6 5 5 5 F 6 2 E,https://www.facebook.com/algeriepresseservice/posts/pfbid0PEv67biYPm4EejqiJxrpNHQzCjkNEksqB7wModxymqbTyRQPFZqtc37k9BvU9f6gl?__cft__[0]=AZXgmIZMATkugi5jfsDbcGPWlfshS4SmKXxblkpfi2vwizIMKrXbm0RiXYjZIoffk29GJcoWVoc2NORv3KTFuaJezJQ3Ioeg3gCWW3mUEt1-TRk_nfNEYK2QXXfY-RfLvTkbIcvZxyqJWMCel8pPOepbVnlJ-TrxR78O4Xjr2aPpa6dH_2ip-1F-VNNS1_KE7WyzX0WPApQIz4EyA6z_NUWv&__tn__=%2CO%2CP-R,"=8 s 5 5 اد‎ mc ¥ mobiis af dz =l وام‎ ل 0 2 ’"""
pfbid0Q9LUReMGAi2ZjMNhTT8X5ZtewfUe6CjXdxGpfLdozt2uqfmYacuLWSJXLkbLYWPUl,ALGERIE PRESSE SERVICE,0,0,"#Foot / Mondial-2026 (Qualifications) #Algérie  : ""Il va falloir être constants et ne pas faire d’erreurs""https://www.aps.dz/.../162564-foot-mondial-2026...",2023-11-12:18:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 2 4 4 9 5 5 _ 7 5 1 9 6 6 5 7 3 6 3 6 3 8 6 _ 9 4 1 8 4 8 1 4 8 7 4 0 4 2 0 9 4 4 _ n . j p g ? _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = d R h Y L X y m V M M A X - 1 G 9 y e & _ n c _ o c = A Q n v d B l v r M Y w x 1 x H F X u b t x 5 K X n Z w d 2 y a - Z U k J a 0 v M u f F t h f h 3 E 3 w h w k T V C i v 5 2 A H Y w 8 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A a J 8 y l B Y Z t L s 8 a 1 _ 6 L L y 9 t c u p g e e J l i 9 1 y H Z T V c R T y K g & o e = 6 5 5 6 D 6 D C,https://www.facebook.com/algeriepresseservice/posts/pfbid0Q9LUReMGAi2ZjMNhTT8X5ZtewfUe6CjXdxGpfLdozt2uqfmYacuLWSJXLkbLYWPUl?__cft__[0]=AZU6tRf_oD1i6xHfB25XyKc-NBl7URe9mVUsg_NtSZU23KCODb3gS01BK73cbtwA0mByjsu696mOoSSnnn-K3PvJUCo_KGZ_xSqdkCoZX7nqoGdt1M79A5r3wByJuYfTbBxZs4h_kaeq5T7Kv_kjjYbxOTi_T3frzM6IDjDbPEzonIIx2nBeefY9MQ05HbhWRHLQWJWEi6Z2DYHriyTWV0DV&__tn__=%2CO%2CP-R,"— ب ووم 69016 كاوه MOLIIS‏ 65 mobiis mobiis m‏ 09505 ذا ا mobiis c‏ وت0)© م 2 [ 255 ب ا o B o £ -‏ 723 = عد اعد M.,‏ أت يت ال تلد ان 5 5 ومحري 0 وام S T‏ 5 2 5 ون الخاو 7 B >... (Al LR |‏ / 4 حي e‏ ا لا 8 _ f"";'_’vl_;;,,, — . =‏ و جب o A i‏"
pfbid02PtvJRfprCCqaeSn32w4fx5YVUN2DXowWGuYrhesyLraHwoRh5kJvRbSHZaBhrrR9l,ALGERIE PRESSE SERVICE,0,0,Le Chef d'Etat-Major de l'#ANP rencontre des responsables de sociétés chinoises spécialisées dans l'industrie militaire https://www.aps.dz/.../162570-le-chef-d-etat-major-de-l...,2023-11-12:18:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 2 8 4 4 0 _ 7 5 1 9 4 8 3 3 6 9 7 1 5 4 3 _ 2 7 4 2 0 2 5 8 7 0 2 2 4 3 3 2 7 5 9 _ n . j p g ? _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = K r b - E k x N X D 8 A X 9 g c C G C & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B q x 0 u O d v I r c t C 3 4 4 K m 8 0 8 E D b s G s L E 6 F 4 _ y r H p t Y m Z 9 w A & o e = 6 5 5 5 6 2 3 4,https://www.facebook.com/algeriepresseservice/posts/pfbid02PtvJRfprCCqaeSn32w4fx5YVUN2DXowWGuYrhesyLraHwoRh5kJvRbSHZaBhrrR9l?__cft__[0]=AZWeySaZdnraHz-RrsuXOWdvfb-3Rwg15BZc9zBoEK-Mj9zcr_c0MzinCF_N8TNAvsya706ZdB4IwnEiWoPqAbJb7tD5wJHsKFMgVM2RkNR_FCZb37kHh3J5L11LmMN6K0FEyIrps50mVHmM2D3dS9J_mLmYkNyWFl6cvTHIMnMFS7LRZgxL43vKoO_KGBpy-lugvXb6aDFwrczESyXDw6JQ&__tn__=%2CO%2CP-R,"- 5 | ا‎ - :.\,#_.L;/. vy 2 TP T I"
pfbid02BtpAzdWGvexbHnaPKB9c9maK2MbH2tT9c4R4VjrEReXGzgfeqFY6316q9m8sAHNal,ALGERIE PRESSE SERVICE,0,0,المؤسسة الجزائرية لضبط المنتجات الفلاحية: التوقيع على عقد مع شركة صينية لتعزيز التبادلات التجاريةhttps://www.aps.dz/ar/economie/151687-2023-11-12-16-16-04,2023-11-12:18:13,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 7 2 2 7 6 4 _ 7 5 1 9 3 1 4 8 6 9 7 3 2 2 8 _ 7 2 4 3 8 3 4 2 6 1 5 6 2 6 2 3 8 9 2 _ n . j p g ? _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 6 0 3 B C _ _ 1 Y d g A X _ R m _ y g & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D e H g u i v n n N t 3 d V T b b a y M 3 Z r m m a e 7 a Z p b K q r q 7 C B l E k Q g & o e = 6 5 5 6 3 0 4 4,https://www.facebook.com/algeriepresseservice/posts/pfbid02BtpAzdWGvexbHnaPKB9c9maK2MbH2tT9c4R4VjrEReXGzgfeqFY6316q9m8sAHNal?__cft__[0]=AZVOTdwZh0MVkJCXRyZCtZNa_L29wt1w9cVzFMK7-DX_pKbn7EDimEvJ95bznw1iVuWovuhdQ-W7UQCJjLw9ltbLIsEsPKtoIHCxh9X4ZaVN_IfvyflHPL0MGYEpF68V5lSPLxTPhBksgVvgN7Zj5mwxuvOG8oPBPfEeGJthtJz77WmRIyg4Kpd0D8RdNa5HDicGXJQ6htfxyRUUjH1tyupC&__tn__=%2CO%2CP-R,St R 2578 PR B AT 5 B2 ¥ R
