id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0sAcP48YwCa9vuqANyTf4ehefKu47T5tHRDrmUfkWjETywb8ohqWZAuouytDb31gsl,مجلة الصحافة Al Jazeera Journalism Review,0,1,"#مجلة_الصحافة | ""الجـ ـيش الإسرائيلي يتجهز لإنقاذ الأطفال الخدّج المحاصرين في مستشفى بغزة""، هكذا عنونت التلغراف خبرا يتعلق بوضع الأطفال الخدج المهددين بالوفاة في مستشفى الشفاء في غـ. ـزة بسبب انقطاع الكهرباء عن المستشفى.. متابعة للتغطيات الصحفية المخالفة للمعايير المهنية في الحرب الحالية على غـ.زة.مرفق الرابط في التعليق الأول",2023-11-12:18:21,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 8 1 2 8 7 _ 6 6 4 0 1 9 9 3 9 2 1 5 5 1 4 _ 5 7 1 5 0 6 1 8 5 1 6 7 8 9 0 8 8 0 5 _ n . j p g ? _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = N e S n w F h a i R I A X 8 4 J d L a & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D N Z 4 P U b T A H 3 P L K 2 P - V N H k d I k u m e Z R o 6 7 2 n 4 w A 0 - m M n i w & o e = 6 5 5 6 D 3 C 8,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid0sAcP48YwCa9vuqANyTf4ehefKu47T5tHRDrmUfkWjETywb8ohqWZAuouytDb31gsl?__cft__[0]=AZV1YLjFDHq1cccXdTwlr1asEUJ6j47E6bTyBeUUd2DeH8hFFPTBT63NWV-4VPxC6fmhzEk9d7ag177NhDofqqtwRB2-dswLwJ_TT9zfr87IDLqQmrmU6UybijEXdXQoyfXqmPoKtsJ-CPUFgHm6oJdaU2CQHP2_c8G3vfznaYcf3ALKKozUVR9QegkdrjrO0-8ubvOrfFbE7adcJNtQJtYm&__tn__=%2CO%2CP-R,LY‏ كد 7 لحي ل اال فيد 1 A S‏ ٍ ا 3 >2 YN e‏ Vi S =t‏ >
pfbid0wMiFk2x9usy4ThsgH8UCsdQTZjUnGsqFnZ6SmkbTDqdSKMXSBkWLvz6R4xjvJv5Nl,مجلة الصحافة Al Jazeera Journalism Review,13,3,"في اليوم الموالي لقـ ـتل زوجته وأبنائه عاد وائل الدحدوح Wael Al Dahdouh إلى الشاشة لينقل جـ.ـرائم الحـ ـرب التي يقترفها الاحـ ـتلال في غـ.زة إلى العالم..  هذه رسالته عبر #مجلة_الصحافة: ""سوف نستمر ونتعالى على كل هذا الوجع وهذه الجراح، نقوم بواجبنا ونستمر في أداء هذه الرسالة الإنسانية النبيلة الموضوعية والمهنية"".",2023-11-12:14:31,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 2 9 4 9 4 9 _ 7 2 4 4 9 7 0 3 3 0 5 1 8 5 7 _ 1 7 8 6 8 2 8 2 9 0 6 6 2 1 4 0 2 4 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = - V v L W A k l S U s A X _ 0 6 X I 5 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A 6 d n o o z v z R y C 6 R Y U z 4 I n I m M d D j P 2 X y y A o j j 3 F j m R U u g Q & o e = 6 5 5 5 9 2 B 8,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid0wMiFk2x9usy4ThsgH8UCsdQTZjUnGsqFnZ6SmkbTDqdSKMXSBkWLvz6R4xjvJv5Nl?__cft__[0]=AZVUdwdUFdLdDSrPOlhuVklTfNEmrx2iRe0ZiotcxrYDTvOB3SqHLxM3jOmYdjHX6CAX6My4U7GXWSCpTdVV21wzmC9JiG34an5XFsJzD4ryWsUzZ5XsGYI8Ae6PfPt_RShF15R0PFZZK8GteERX_vB_pbGRa-p7ORbxjqOOxRQs62jnxGxBYKaBCkcxgAqH9Gd53Q4sUAoqymhAtl0Z_4da&__tn__=%2CO%2CP-R,AT e ٠ L 4 لسار‎ e 0 7 ١ A
pfbid033Wpz3Y32FJUidp6m6wJfLEpGgpp8j1pmWFVMoLbDuKN4v5xv8X5yHhPt5bH9eTu4l,مجلة الصحافة Al Jazeera Journalism Review,2,2,"#مجلة_الصحافة | نشرت صحيفة واشنطن بوست في صفحة الرأي في عددها المطبوع ليوم الثلاثاء ٧ نوفمبر/ تشرين الثاني، رسم كاريكاتير يُظهر ما يبدو أنه أحد قيادات حـ ـماس يربط عددا من الأطفال بجسده من الأمام وسيدة فلسطينية من الخلف، ويقول: ""كيف تجرؤ إسرائـ ـيل على مهاجـ.مة المدنيين؟""متابعة للتغطيات الصحفية المخالفة للمعايير المهنية في الحرب الحالية على غـ. زة.مرفق الرابط في التعليق الأول",2023-11-12:07:31,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 0 7 1 7 6 0 _ 6 6 3 7 5 8 4 5 9 2 4 1 6 6 2 _ 5 9 9 3 8 2 9 2 8 6 2 8 8 3 0 5 1 1 8 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 4 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Z - x J a 3 Y K f s 8 A X - 1 R V K C & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A m z Q I 7 m P n B d 5 M 6 0 P p - 8 k W o Q h q 6 d t V X m D j M k f p A d M I H D g & o e = 6 5 5 6 1 6 F 5,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid033Wpz3Y32FJUidp6m6wJfLEpGgpp8j1pmWFVMoLbDuKN4v5xv8X5yHhPt5bH9eTu4l?__cft__[0]=AZUuJe4ti10dUobQTtqk4B-GhR2e9MZRIxJ4kfuKFYw52nIzQWTrwmSb9caQTJD6U1S98lbD1I6WjAF-KubDlQxitJsHKTp2WBemTxfvGZAyg0XvkwG8mcC7J_6R0db2ThQ0F3wnuDLSTjeHqcUuPOPYDt1WQhjPaIA1WVbCr0qqKjFNRV-NC7H3Lw7lKv6ZGUHGZwlnOTdXWuFXCA5Ht3bq&__tn__=%2CO%2CP-R,- حجر 1 اي > > ت#جه_ ل ا
pfbid02fHiGrUnRcYMMjPVx3Y5LHSZvzSyXQhDyyaWZRPG3njENm1gHu68vFewY6BzFa1QAl,مجلة الصحافة Al Jazeera Journalism Review,5,4,"تعتمد رواية الاحتـ،لال الموجهة بالأساس إلى الرأي العام الغربي على ركائز تجد تفسيرها في الذاكرة التاريخية، محاولة تصوير الإسرائيليين كضحايا للاضطهاد والظلم مؤتمنين على تحقيق ""الوعد الإلهي"" في أرض فلسـ.طين. ماهي بنية هذه الرواية؟ وكيف ساهمت وسائل التواصل الاجتماعي في تفتيتها؟مقال: حياة الحريري لـ #مجلة_الصحافة مرفق المقال في التعليق الأول",2023-10-08:01:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 8 4 0 3 9 2 _ 6 6 0 3 9 2 8 1 2 9 1 1 5 6 0 _ 8 8 9 4 8 2 1 8 3 4 7 2 6 0 9 1 0 8 6 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = l k Y A S u K 4 N I A A X 9 _ B 4 L h & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B 7 k 9 _ M t e B d c O _ G L 6 B B p x 9 _ l M e _ D w 9 t w R E O j L Z X c y d E z w & o e = 6 5 5 5 7 2 8 1,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid02fHiGrUnRcYMMjPVx3Y5LHSZvzSyXQhDyyaWZRPG3njENm1gHu68vFewY6BzFa1QAl?__cft__[0]=AZX_WA9Hii1omV98yFjBpL5MGSCVFQHjOb7IUkuFXYMU2cPnncUEuf4XTup-_Macxc83VvCoHUdyWUBRL6_uWilXAujWIwJiKcou-sPwbNjrTyIFZyuT2jLVYsYbSlKaMZvAMtnGyP1OX0Ct6oRZaP718J7FC4HICQLrWHz7VSi-WVLkrxnseANrzuxuNvIncWcEfPAKg9i9gBijFFmGJvUW&__tn__=%2CO%2CP-R,"3 S i #د‎ L : - T R جا ا‎ 5 ا ا باحق‎ م 0 ّ"" نس وش ا‎ 3 . ‘ Al TR J اا‎ A . 0 s -y T \"" e B n, 11 8ه‎ \w'h, ا‎ الاي‎ oy 1 0 بسي‎ it R ] .ص‎ 7 0 د الل ا اا‎ (e g اا‎ PR R e را‎ T ردي وامط اللا اب اله‎ % e 8 ع الل ل موا ل أ اا‎ o AR IR e - ا‎ تنه مدا ل تفن من اذا‎ e ااا‎ R e وال‎ AR : <4 ا الا‎ i RS ¢ ks o T el ا‎ R RN % G G S AR . 7 A O S 0 . - - e "" o vl s 3"
pfbid02ccJj85o8YVGQUzY4ZoNfftvTQsiS1iRDgJrXNzHuuSrxzTLfo59v3nVmaMqcaxGzl,مجلة الصحافة Al Jazeera Journalism Review,0,13,كيف تتأثر السردية الفلسطينية بممارسات الإعلام الغربي في تغطية العـ.دوان الإسـ.رائيلي؟ #مجلة_الصحافة,2023-10-15:06:36,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 2 9 3 6 9 4 _ 6 5 9 8 0 9 6 2 6 3 0 3 2 1 2 _ 7 5 7 3 7 3 9 8 6 0 1 5 3 9 8 3 2 3 0 _ n . j p g ? s t p = d s t - j p g _ p 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = b H P W 8 7 E A C D w A X 9 Q N b s y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B Q j l r 8 Y - h K 1 v h p D 0 Z M e I 0 j T f 0 B c V f 1 j T u q v y g T 9 w a N E Q & o e = 6 5 5 5 A 8 B 1,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid02ccJj85o8YVGQUzY4ZoNfftvTQsiS1iRDgJrXNzHuuSrxzTLfo59v3nVmaMqcaxGzl?__cft__[0]=AZWXewxyyOjuJ_aHmS4kt9lDlnPAyGaPvftC66eNoyilB-KeqkyXsopO2tTRNdOZOtIWOROJMG6vFwjalZeaFssiRAdKWHkW6a10xlK7XGXmmtlcH8e1OoCBmjv1TOttJCUTFfZOUaVQxz1V9jNopycdZKYEnsxIgLJkjjgsFIuVjSf97VkWc5xZ0OVNcfj37DNckKKuwFDZf6k1akqmakiA&__tn__=%2CO%2CP-R,¢ 5 الصحفي جهله‎ الجزيرة ليم‎ الغريى يمارسن الدواجية‎ M=y لغَزة‎ 0 101 A ايير‎ WESTERN MEDIA IS SHOWING DANGEROUS DOUBLE STANDARDS OVER GAZA BY: ABEER AYYOUB مقال: عبير أيوب‎ I | | y ) ١ 2 حب‎ | S ا ص‎ / SRR S Y 1 ا اتن‎ | » - \ } ا‎ a & 1 3 |
pfbid0Ynq2q4TFQEjVBJLQfLwT1zAQYfHqoaxWp1dx4gU5WP2PLcAEVvgW5cFvqQb2f5Zel,مجلة الصحافة Al Jazeera Journalism Review,0,0,يتزامن اليوم الدولي لإنهاء الإفلات من العقاب على الجـ.ـرائم المرتكبة ضد الصحفيين، مع مقـ.تل العشرات من الصحفيين الفلسطنيين واستهـ.داف عائلاتهم بينما تستمر الضغوط السياسية لحماية الاحتـ.لال الإسرائيلي في مواجهة القانون الدولي.,2023-10-28:16:51,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 7 1 4 7 3 3 1 7 7 0 7 6 2 4 3 5 7 8 8 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . u n . o r g % 2 F s i t e s % 2 F u n 2 . u n . o r g % 2 F f i l e s % 2 F 2 0 2 0 % 2 F 1 0 % 2 F j o u r n a l i s t s - m u r a l - s m . j p g & f b _ o b o = 1 & u t l d = u n . o r g & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H A - i 7 R Z f h 8 R b Y n 2 v R - P 3 Q b Y Q 6 q k T s _ L b f m n k c H - a _ 2 N A & o e = 6 5 5 2 A 2 1 6 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid0Ynq2q4TFQEjVBJLQfLwT1zAQYfHqoaxWp1dx4gU5WP2PLcAEVvgW5cFvqQb2f5Zel?__cft__[0]=AZVQuwapTeXhW3EPL5hBvEu3d90uRTRqbIWm1gjEeaJNpD1rj7Rf49Lwpy2JSvQlgIxFXowCdFKU_QNGQXKDwl4v8Bq8zfIkTgSZ-REt6GiWudGnE-IDZOLm3nFBXNI74JHXj0HNHovNgwaKRKFJpoGT_h9oomk2EaZ455vw6MK3ouOXdS2aCI-7DFVBzB_xErqEfxO4R6xaXaxj1BV_7hTX&__tn__=%2CO%2CP-R,اج 1 رو 7 : : G‏ R‏ ال ف
pfbid016PN8atH52iw6PeRtHZVe6WjgP2QTpRUeyXRE3AWbyCVw5iHWSXnHbdxp2mHDupml,مجلة الصحافة Al Jazeera Journalism Review,0,0,"أصبحت وسائل الإعلام الأوروبية، متقدمةً على نظيرتها الأنغلوساكسونية بأشواط في الانحياز للسردية الإسرائيلية خلال تغطيتها للصراع. وهذا الحكم، ليس صادراً عن متعاطف مع القضية الفلسـ.ـطينية، بل إن جيروم بوردون، مؤرخ الإعلام وأستاذ علم الاجتماع في جامعة تل أبيب، ومؤلف كتاب ""القصة المستحيلة: الصراع الإسرائيلي الفلسـ.ـطيني ووسائل الإعلام""، وصف التغطية الجارية بــ"" الشيء الغريب"".مقال أحمد نظيف لـ #مجلة_الصحافة مرفق المقال في التعليق الأول",2023-10-29:01:01,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 6 6 0 4 7 7 _ 6 5 8 7 7 5 6 7 3 0 7 3 2 7 4 _ 2 0 2 8 9 3 3 4 3 9 4 0 9 3 0 6 0 4 4 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = n V X K C R 8 L 9 O s A X 8 N A C P X & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A Z Z x b M g V p a y t I w v 9 J 9 5 w D y T 3 e V K M Q P j Q j 3 5 2 Z z 6 W D H c g & o e = 6 5 5 6 A 3 F 4,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid016PN8atH52iw6PeRtHZVe6WjgP2QTpRUeyXRE3AWbyCVw5iHWSXnHbdxp2mHDupml?__cft__[0]=AZU2fZes2QKmu_-Kb7MlYTtXrzD6ppwwdDVmiA5QFr51xhKphv4pEu2MDgoQP-G4V0J4iO2_5Z2SNy2uiBB1h4UFcR1RZBdLxAgvfe6ygPeBQFlAkWYLJ8hs7I1Vol5rusNx1QpAavsW335Y_LjzjIk4n0nHV8TsZ7OqW5-Avo8Ai1E4jrZy969ZhUdzfkYlugwOA5xpfb4UMDXJUPqo3EIt&__tn__=%2CO%2CP-R,"3 . || 3 1 = &‘*3 i et » 3 ١ By < . r N 1 p 4| ""َ /4 ol ‘\ (0 Wl - | - «.’"
1303075680341638,مجلة الصحافة Al Jazeera Journalism Review,0,0,"انطلاق الورشة التدريبية حول ""الصحافة في التشريعات والقوانين الدولية""رابط المشاركة في الورشة عبر تطبيق زوم: https://us02web.zoom.us/j/86926435241ملاحظة!! حضور الورشة إجباري عبر ""تطبيق زوم"" للحصول على شهادة المشاركة.",2023-10-29:04:30,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 1 2 1 4 2 0 _ 6 6 4 2 8 8 6 3 2 2 4 9 8 8 3 3 _ 5 9 4 1 5 7 1 6 3 6 9 3 9 1 8 0 3 1 _ n . j p g ? s t p = d s t - j p g _ p 1 8 0 x 5 4 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = q B t C n r E Y v b A A X 9 m X b P 5 & _ n c _ o c = A Q n b M x c r m Q u B - b P s R 4 t T 7 P M J R z m Q Z - C 8 i e n h n K F r O w y Z q L V - H k A w g Q b S 1 d Z t q B T 7 9 I 4 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C z e Y a j N v V u E v p 7 z 6 4 f E i h e r N g j M p J O U o n R 7 k O 9 j v 3 1 G Q & o e = 6 5 5 5 0 1 0 E,https://www.facebook.com/aljazeerajournalismreview/videos/1303075680341638/?__cft__[0]=AZV_McxqFqVgO7Vd17m6efeFroGh1w1sUCuf3DHMySigyXyAZCWkD-Ovn_5sgu7i0yYqsb6JLp734gGUWvjU4iX2nq-DdZ3zewYEL1R6754azBod-GvXOrq-6vKdospgAKPAttSpXpTe4t9p3y4XQY99atSqrdUxiPRX26zUYMefluoQEuPhohUI99jomMYbgxg7dn9ZZ26upvtW8U4i6H2A&__tn__=%2CO%2CP-R,". 7 ج»- : : EE‏ 5 @ - ايد الا ال .6 مال ا Ahdad Moha,‏ موسا ا AN‏ . سا ا سح 9 تت d‏ د 3 3 ¥ نصائح للصحفيين في التوثيق م . احم ٠‏ جمع أكبر قدر ممكن من البيانات الوصفية (التاريخ والوقت والموقع (o‏ 1 ٠‏ التقاط الصور ذات العلامات في الخلفية. مثل الساعات أو لافتات الشوازع N‏ لح هم ٠‏ الشهادات المكتوبة والموقعة؛ والتي توفر المزيد من السياق والتفاصيل حول المعلومات التي تم جمعها.. - === ٠‏ اجراء المقبلات والتحقيقات: إجراء القابلات والتحقيقات مع المسؤولين عن الجرائمالحربية. أو مع الضحايا والشهود للتأكد من العمليات الحربية وفهم السباق الذي جرت فيه D‏ "" ٠‏ عند إجراء المقابلات مع الضحايا والشهود: الحصول على ""الموافقة الواعية'"". ويُفضل أن يتم ذلك من خلال الإستمارات دح الموقعة أو تسجيلات الصوت أو الفيديو. ال ""الموافقة الواعية"": ""أن الشخص يفهم من تكون 23 المقابلة ومن سيراها وأي مخاطر محتملة تركبط 3 بهذهالمقايلة"" — R‏ - — 5 ( . سس 14"
pfbid02v2Awv9q7BLtgjHQL3SYv8ksGqmCvchqcpUcmiGZE3hYEgMCnmpHmLhX2P6cD7mQal,مجلة الصحافة Al Jazeera Journalism Review,6,3,"#مجلة_الصحافة |  افتتاحية العدد 31:  تكريماً لـ ""شهـ.داء الحقيقة"" في فـ.لسطينلماذا هذه الافتتاحية؟بينما كنا في اللحظات الأخيرة لإغلاق العدد الجديد من مجلة الصحافة (المخصص لتدريس الصحافة في العالم العربي)، كان الاحتـ لال الإسرائيلي يسوّي غـ.زة بالأرض، يهاجم المدنيين والأهداف المدنية، ويستهدف الصحفيين وعائلاتهم في محاولة ""يائسة"" لقتـ ـل ""الشهود"" وملاحقتهم.أكثر من 20 صحفيا، ""اغتالهم"" الاحتلال منذ بدء الحرب على غـ.زة، كانوا يوثقون ""جـ..رائم الحـ.رب"" بلغة القانون الدولي، وينقلون للعالم رواية ""الشعب المحتل"" وصراعه المرير مع الحصار منذ عقود. وأمام استمرار الحـ.رب، فإن اللائحة مرشحة للارتفاع، ولا يمكن أبدا استبعاد شبهة الاستهداف ""الممنهج"" لأن سوابق الاحتــ.لال في اغتيـ..ال الصحفيين الفلسطينيين ثابتة، وصلت ذروتها مع صحفية الجزيرة الراحلة شيرين أبو عاقلة. هؤلاء الشهود الذين قتلوا في الميدان، كانوا يواجهون وسائل إعلام عالمية انحازت - ضد كل أعراف المهنة - للرواية الإسرائيلية، ولا نعرف باسم أي قاعدة صحفية أو مواثيق مهنية دولية تنقلب المفاهيم في التغطية الإعلامية العالمية، فيصبح المحتـ.ل هو صاحب الحق المالك لشرعية قطع الغذاء والدواء والماء عن المدنيين العزل وقصفهم بالصـ..واريخ والقنـ..،ابل، والشعب المحتل هو المتهم بإثارة العنـ..،ف.انخرطت وسائل إعلام غربية في حملة تكاد أن تكون ""منظمة"" باستخدام لغة منحازة، ونقل التصريحات الإسرائيلية التي تنزع الصفة الإنسانية عن الفلسطينيين، بل ومارست التضليل  بادعاء قطع رؤوس المدنيين قبل أن تعتذر عن ذلك، كما اعتذرت الغارديان سابقا عن دفاعها الشرس عن وعد بلفور عندما كتبت: ""هذا خطأ مدمر.. بصرف النظر عما حدث، فإن إسـ..رائيل اليوم ليست الدولة التي توقعتها الغارديان أو كانت تريدها"".أما منصات التواصل الاجتماعي، فلم تعد تخفي انتصارها للسردية الإسرائيلية، ومحاصرة المحتوى الفلسطيني، وممارسة الرقابة الشديدة عليه، مقابل التغاضي عن خطاب الكراهية والعنصرية الصادر من جهات رسمية للاحتلال.مشهد الزميل وائل الدحدوح، مراسل الجزيرة في غـ..زة، وهو يؤبن زوجته وأبناءه وعائلته التي قتلها الاحتلال بدم بارد، كان كافيا جدا ليغير محتوى هذه الافتتاحية تكريما لـ ""شهـ..ـداء الحقيقة"" في فلس،ـطين.",2023-11-04:16:20,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 6 5 3 9 3 0 _ 6 5 8 3 8 0 0 4 6 4 4 6 1 7 0 _ 3 9 5 3 9 1 0 8 1 0 8 7 9 2 6 6 5 0 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = C p Q n l Q Z g R 4 Y A X 8 j w H c Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A A p V k q e r e X J I 0 K _ _ M _ O a w N S k o 0 z N G s C d N 0 T W S K L v j i E Q & o e = 6 5 5 6 0 2 2 5,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid02v2Awv9q7BLtgjHQL3SYv8ksGqmCvchqcpUcmiGZE3hYEgMCnmpHmLhX2P6cD7mQal?__cft__[0]=AZVT08N9Smz8AkzJ7qzc6ULVHOlL5xkTGvcIPyz9e7DbhxAeEaO63i8ZJxXoeZUuryoknwPcSduO-b0g9F7RuTJjVItBYLdW91tngC1gQhGO2OSdraHLmvYc6siWh0ZWlCq0OE_2gRfZn8mVr-smcpgVHKyq200wAcjxbE2PduNiKjFooEfY3NZBo8zBNPf82HR1hbeX8wyzNlqzsyPeIYQ3&__tn__=%2CO%2CP-R,"v/ شظايا العحرب g_{h-‘-“f-“@l‘j»J L‏ % A [ 7‏ A"" 7 o’‏ حا =222, M N 2 4 ص‎ B"
pfbid035q3iwrF94BJufVkrdcuN2ZosYxZ1qs3X8WdNDPWGwz88suFHQvgsWgvSNCaNKU6vl,مجلة الصحافة Al Jazeera Journalism Review,33,35,"صدر العدد 31 من #مجلة_الصحافة بعنوان ""هل أصابت شظايا الحـ، رب على فلـ سـ طين قيم الصحافة""؟ وتفرد المجلة في هذا العدد ملفاً خاصاً عن #منتدى_كليات_الصحافة في العالم العربي.إليكم العناوين: - جامعة بيرزيت.. تجربة فلسطينية ناجحة في تطوير مناهج تدريس الصحافة | صالح مشارقة- الخلفية المعرفية في العلوم الإنسانية والاجتماعية وعلاقتها بزوايا المعالجة الصحفية | سعيد الحاجي - كليات الصحافة في الصومال.. معركة الأنفاس الأخيرة | الشافعي أبتدون - أيّة مقاربة لتطوير برامج الإعلام الأكاديميّة في العالم العربي في عصر الذّكاء الاصطناعي؟ | المعز بن مسعود - العلوم الاجتماعيّة في كليّات الصحافة العربيّة.. هل يستفيد منها الطلبة؟  | وفاء أبو شقرا - أفكار حول المناهج الدراسية لكليات الصحافة في الشرق الأوسط وحول العالم | كريغ لاماي (ترجمه يوسف عوض).- تدريس طلبة الصحافة.. الحرية قبل التقنية | أفنان عوينات - كيف تستفيد الصحافة من أدوات العلوم الاجتماعية؟ | رحاب ظاهري- هذه تجربتي في تعلم الصحافة في الجامعة الجزائرية | فاطمة الزهراء زايدي - نحو تقييم فاعل لبرامج التدريب الإعلامي...أنموذج ""كيرك باتريك"" في التطبيق | أبو بكر قرط - توصيات المنتدى- التحول"" الصعب من العطلة إلى بؤرة الزلزال | عمر الحاج- أميركا اللاتينية.. صحفيون بحُرّاس شخصيّين | نوا زافاليتاحملوا العدد الآن:  https://bit.ly/3FIRoby",2023-11-04:22:56,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 6 7 6 2 1 6 _ 6 5 8 2 5 5 0 9 6 4 5 8 6 6 5 _ 5 6 3 2 0 2 4 4 4 2 5 0 8 1 8 9 4 0 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = U N R S h j N _ m P M A X 8 F 2 6 v O & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A I 2 I 6 R y K O 2 c F R w 4 5 B w S f e 8 8 N a I 3 0 F D B I g r u j 2 9 - Q t H P A & o e = 6 5 5 5 D D F A,https://www.facebook.com/aljazeerajournalismreview/posts/pfbid035q3iwrF94BJufVkrdcuN2ZosYxZ1qs3X8WdNDPWGwz88suFHQvgsWgvSNCaNKU6vl?__cft__[0]=AZUeqze_ZFpFKKtz3s6DeeQSUz6K52Uc3JJkLMDCiiZArqzeWtttM4aW_67VkiMUKIwHW81BUPce548w-vlcVGabVGiou23QabYJYSO0g1zzEWrnKRHxwjPfsvfQ0fUaejQwBk2wFk3zThsqo5gcUQp-PhpTVUaBCOlhyWH7oBU8fi5nv8Yf803UAo6xUePH3yurzMu31gojooizErgG4KoG&__tn__=%2CO%2CP-R,مجلة الصحافة 2 طرفي 0 له - ل تس ١ ١‏ اله ب ا T‏
