id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid04AHkijM9PC9KRzjL7VXeUFsRXRu6NcHxa7ehKUmfCaMjNePh2eTdhgTRgxjFaEWMl,الأسبوع الصحفي Alousboue Assahafi,0,1,"""يعتبر استهداف مدينة #السمارة من قبل جبهة #البوليساريو، مرتين متتاليتين، بمثابة بداية مرحلة ونهاية أخرى، ولا شك أن الحدث سيكون له ما بعده، ومن ضمن ذلك ضرورة التنسيق العسكري بين المملكة المغربية والجمهورية الموريتانية، من أجل حماية الحدود الجنوبية الشرقية للمغرب، والتي تحدها #موريتانيا، من تسلل ميليشيات الجبهة الانفصالية، ويتعرض هذا الملف لكيف سيكون التنسيق العسكري بين البلدين، مع استعراض تجارب سابقة بينهما..""#تفاصيل أكثر تجدونها في الأكشاك",2023-11-12:22:01,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 6 5 5 4 1 3 _ 7 5 2 7 0 9 2 1 3 5 4 9 6 1 5 _ 4 2 0 2 7 8 7 8 0 6 5 1 5 1 1 6 6 2 4 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 2 _ L E W d i x g 1 A A X 9 l W L 0 R & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C S E J X R m B n 7 3 j U t 4 8 8 2 l O A m x Q h T v 6 j j T 1 H 8 9 q s o n _ r f p w & o e = 6 5 5 7 0 9 B 7,https://www.facebook.com/alosboue/posts/pfbid04AHkijM9PC9KRzjL7VXeUFsRXRu6NcHxa7ehKUmfCaMjNePh2eTdhgTRgxjFaEWMl?__cft__[0]=AZUU0NkVfHkCfGcKtmHs3Ve8eSykX6rFiJq2gLZfKM9qrNKkwlVCOH7qfk0G2-BG098fDmy_VwUMHFedZOL6CSqyIqBfUMkH65sykEKgq26cPcQJOdJfhcAbqC2Pl20rj2drtNHlT0_r2Bd5pjEKFYND8--feSZoK4kP3AZDnKhevaDc9VQLmqlnVq-ihFV-4GZ4MataM80rjsoB82q5x6cc&__tn__=%2CO%2CP-R,"| 840 2 إيتصا ءا نا oy Y‏ 7 % . ال م o‏ i s LA S‏ اللا g‏ بأ ,‘ PR i‏ i 5 1 3 2‏ 1 خم = 5 2 B - B )‏ تداعيات ما بعد ضربة البوليساريو I‏ استهداف السمارة يفرض التنسيق العسكري بين المغرب وموريتانيا الأسيوة aLousBoUEMA © ALOUSBOUE 3) @ALOUSBOUE‏ © تفاصيل أكثر تجدونها في الأكشاك"
pfbid0xZ4WhCVF76Qb5Q3yr15AEi6KafRw8EbrZQZKyzbnWUzQL72cwZjGePyC4jjTsVCFl,الأسبوع الصحفي Alousboue Assahafi,0,0,"حاليا في كل أكشاك المغرب.""ارتفعت حرارة الهواتف وحدة الضغط داخل مختلف الأحزاب السياسية التي يطمح أعضاؤها للاستوزار، في إطار حرب المواقع والتعديل الحكومي الجديد، وبالإضافة إلى البحث عن #عزيز_أخنوش الذي تشير جل المعطيات إلى تحمله مسؤولية التعديل شخصيا، بات البحث عن ""بصمة"" كبير المستشارين، #الهمة، في هذا التعديل، مطلوبا في هذه المرحلة بعدما أثبتت التعيينات السابقة تعيين وزراء ""دون كفاءة"" في حكومة الكفاءات(..)، وهو الدور الذي كان يلعبه في وقت سابق، وقد شهد بذلك رئيس الحكومة السابق عبد الإله #بن_كيران.""رابط العناوين: https://alousboue.ma/n",2023-11-12:21:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 8 6 1 7 9 2 _ 7 5 0 9 6 0 9 2 7 0 5 7 7 7 7 _ 4 6 1 5 0 3 8 5 8 1 5 5 7 8 3 1 4 9 5 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = Q 3 E g 4 R m o b f c A X _ E 2 H 8 7 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D h B X - Q T u P k f O d d Q f w V K G M p k l I E 0 e N X a R x 3 M p 0 e X O m y a Q & o e = 6 5 5 6 E 2 D B,https://www.facebook.com/alosboue/posts/pfbid0xZ4WhCVF76Qb5Q3yr15AEi6KafRw8EbrZQZKyzbnWUzQL72cwZjGePyC4jjTsVCFl?__cft__[0]=AZXzSc7XpkxMwR4efpbB6jzqvd-Fivn0OHAzuWAPZpCOrbfv7MhAFvQSXMlPSM314z9BKTduaGwzGeZBTeQd9fmU-odF6yW64ysn6cuhP6uniCQpJ6q5TPy3s3idJ0HDqyMkRjSC2aDcJ5QtlhYf1bz4gSa51_QnIgkde0Zlnc5QQtzr51o4ipX51x-wnlFQT0diGdAIEE98h3Q4yDDMXA5ogr4oz0mASwJuV0yxkrx7lg&__tn__=%2CO%2CP-R,"e N N ©» =‏ 5 العقيدا تولك P,‏ شؤلجس تأخر التعديل الحكومي حب 1 V.‏ ين يدري , هواجس تأخر التعديل الحكومي 2 إحكم الجزائر ا 1 بعث أيام المستشار الهمة. احا 2 1 الح يي ٌ 6 ا لست ا اا ا خخ S . 2‏ =2z e L =‏ مخ d‏ @ = . 0 / 1 0 1 g‏ 7 يا اا e ®‏ لايد =( - 5 e Q % g‏ r.v \ \ ~e ’@ u@ . ‘‏ ١ ""o { 3‏ . k.‏ م ررد عن © ١ S‏ الجا جنا ' H‏ - 0 با ارين Al 3‏ 2 i‏ = ~- > Nl R B |‏ i‏ لد حث 6 A‏ . 5 . البحت g Jge‏ : © هده مساك ا .. ا B‏ ار ف لات i‏ حرب المواقع والتعديل الحكومي Al‏ وبالإشافة إلى البح عن عزيز أخنوش الذي نشي جل المعطيات إلى iy e R |‏ الهم في هذا اقل R‏ | أ et‏ بحدما أنبتت اتعيينات St‏ لقلا i 999y‏ في il oo i by‏ | في وقت s S il Bl‏ 5 . با بف حم جع =Y - it‏ 1 ةيرض il‏ هل يتسبيا بيع المكوقة Gl‏ ا به الدونة فيا إشعا سيادة الوطنية ؟"
pfbid031KbgWfQgYE3DkpJwaZZudTokvg511vb3LMi52FRJ3EZcQWjUtMJSv75UdcjzMijDl,الأسبوع الصحفي Alousboue Assahafi,0,0,في سابقة لمندوبية السجون..,2023-11-12:20:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 8 9 9 7 8 6 4 3 5 9 2 3 7 8 0 9 4 4 1 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F t a m e k 1 . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H f _ s O r 0 l y Z L 6 M D I f P q h 2 o N 4 w H v L W e p _ W J e l 0 X a 2 0 0 U u g & o e = 6 5 5 2 D 9 F A & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid031KbgWfQgYE3DkpJwaZZudTokvg511vb3LMi52FRJ3EZcQWjUtMJSv75UdcjzMijDl?__cft__[0]=AZW0UERA3J9NasQCFV_VlxcNYoRuA-RxRWa6iMFiEiBIe-8FklHy_m7jFcFyVJquPHh_ychYyhy-hAmQYVhhq0fRbP0wqWp2-c4AfJkotV75-A-tYrq8SxDBrfWOLC8zu67nWIGIIoZaNmYsoSizG49lZMzK1U_iTb3z6kKW78GCMh3h8GXtZu1A0EsoE5VPhHLXBfs7Hr70IdRHgUVLMIbP&__tn__=%2CO%2CP-R,WA
pfbid0D286pHNmN1Bdw5KPXCi5WVXy8E8fFQfH6jodQf51GyyzN3o9crRsKk5QeTLbc8N6l,الأسبوع الصحفي Alousboue Assahafi,0,0,دعوات فرنسية لإعادة الدفء إلى العلاقات مع #المغرب,2023-11-12:19:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 8 2 2 5 1 3 3 5 5 2 7 2 4 6 9 3 7 2 3 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F b e r t r a n d - m a c r o n . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G h W _ x g r 6 1 I u A y 9 p Q q - l 0 y J t L 1 W Z - 9 s _ m T N J 0 I L C 4 g m P w & o e = 6 5 5 2 B C 6 0 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid0D286pHNmN1Bdw5KPXCi5WVXy8E8fFQfH6jodQf51GyyzN3o9crRsKk5QeTLbc8N6l?__cft__[0]=AZUIBsrizgw91Tu8RchEnwJllT9WgbJS-d3w67u-iEr4OF8FxN5iH5_zBM4giub90f-Tc8gURrT3JiWhVZ9QsL35NOjstN4jZ5XoqLeMgkYiNu4mzVLCRvI5qCqE6MJNCCEGsXBhoaTzbiatDC-_boqzax3EgS5geeetr8KQ4qkqZp0IKMmODG7UObhsRbKgZ6QJhVqR0Ek4q5jIrGtngw0N&__tn__=%2CO%2CP-R,"e ب"" ا‎ Ve‏ الها S e ‘2‏ 2 e N‏ ا ٠‏"
pfbid0jXYcT9ENeHCCpLrgkynWDVPqBCp1UxLuM6iPKkiJd8SUxSGd7LNnT3bp3pH72TC8l,الأسبوع الصحفي Alousboue Assahafi,0,5,#أخنوش أمام امتحان اختيار وزراء جددإعداد: سعيد الريحاني,2023-11-12:19:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 5 0 1 9 2 6 7 5 8 2 9 7 5 5 7 5 6 1 5 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F g o u v e r n e m e n t . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E q Z b f G 9 5 B K 7 a x u g B a l 2 L F j D F H x 2 K 7 i u i y O s g 2 U 4 i j 7 n Q & o e = 6 5 5 2 F 0 5 D & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid0jXYcT9ENeHCCpLrgkynWDVPqBCp1UxLuM6iPKkiJd8SUxSGd7LNnT3bp3pH72TC8l?__cft__[0]=AZXsYUJV3fwRUNQ1msbPbgMu4YAGeWTmRlAWp6zIFnXLLLu1dOjxozXtC9ZFPS2wz1vId0HUBNWgGSrzY5PgF2XKBX8G5as8IkC4pVUTSl_jYzms7LQP4DGHQ98jEKVTK4TBBcwCmsLxgOgjmzy2MvIDXibIiMQDI5v0gQizjbSkncxH4xPikbsvG0X6CHZKVVVG4k1RgO_lCo_f9LdvXQdv&__tn__=%2CO%2CP-R,b A | o A 772 22 A ال‎ 1 رس رلا نا حا ذا‎ : * 4 I 8 دكي‎ ل أ ا ا وا‎ | ! B امال نا‎ g8
pfbid022yhprEUWwCUGoGwnJwoQe2ou2KG15Ys7Vdrd4NwM2XC61tSGjv8R4o2XBKfuC66Gl,الأسبوع الصحفي Alousboue Assahafi,0,1,#مختصرات_رياضية أخرى تجدونها في #الأكشاك..,2023-11-12:18:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 6 4 6 0 6 0 _ 7 5 2 5 6 7 6 5 0 2 3 0 4 3 8 _ 4 4 1 4 3 4 8 5 1 0 4 1 3 0 6 8 0 9 4 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = z 0 P q I d N C N B E A X _ q 8 O u M & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B k k m k h 8 T J v w w 9 D 9 s M h R S n Z T O N W - I u W D A 8 4 6 n l Y d U 6 N 4 w & o e = 6 5 5 5 F E 2 3,https://www.facebook.com/alosboue/posts/pfbid022yhprEUWwCUGoGwnJwoQe2ou2KG15Ys7Vdrd4NwM2XC61tSGjv8R4o2XBKfuC66Gl?__cft__[0]=AZWcXgwDX1-TI4IaVddi02QuKmu0XwXzZxOJM0n3kFB70-CDZySzrow3aqiDyOja3ig8yT9xjENmJ0HEj27Sa_cBgrHWOywuMHCvS7DDxAqun01zO3p25Lh3w8d0NzdmMlg5NWDaVirr0VhsB65oSE_lYgNRMmAjOHL11XMtMUAoo-mIlfcGNVZbjR920AFb2LpVKDBYRR26M0dxuyhCMxyq&__tn__=%2CO%2CP-R,"ختصرات ع Ll e - s E‘_‘‏ اجحب كيم نا ل الحو Sa v X‏ ايد 1 .0 سمج B /|‏ ¥ = . &4 — 2 A‏ = : ن أصبح المغرب واجهة عالمية لتنظيم التظاهرات الرياضية. بعدما 223 في كسب الرهان ونيل ثقة المجتمع الرياضي الدولي بعد تنظيمه لتظاهرات رياضية سابقة. ويستعد المغرب لتنظيم كأس العالم للسيدات نسخة 2031, أي بعد عام واحد على مونديال 2030, كما يرتقب دخوله السباق مع الهند إيران ‏ غواتيمالا . أمريكا ثم المكسيك, لتنظيم مونديال كرة القدم داخل القاعة,. كما أن المغرب مرشح وبإيعاز من «الفيفا» ليحاكي قطر مرة أخرى مثلما فعل على صعيد المونديال, باحتضان كأس العرب للمنتخبات, مما يجعل من بلدنا قبلة للعالم وليس الأفارقة فحسب في القترة المقبلةء مما سيمنح الفرصة للمغاربة جميعا لإثبات قدراتهم التنظيمية والحضارية. وتحويل هذه البطولات الرياضية الكبرى إلى رافعة للتنمية التي يعرقها المغرب بقيادة الملك محمد السادس. ني تسسات اس"
pfbid02tTxuikRGLsiFSiLiLVjKs7rQeLJj7wKAFkUztApaK4BgTu5M8dqweEqgGQa6UL5tl,الأسبوع الصحفي Alousboue Assahafi,0,0,ما يجري ويدور في المدن,2023-11-12:16:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 3 5 2 8 3 3 9 5 6 8 8 2 3 3 8 8 5 4 3 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F a n s a r i 1 . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H 7 p G e Q t d _ 7 f _ O U r o i - k F G J _ Y s s q T h 2 H l 8 O E A 9 V J Z l E Q A & o e = 6 5 5 2 D 4 C 5 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid02tTxuikRGLsiFSiLiLVjKs7rQeLJj7wKAFkUztApaK4BgTu5M8dqweEqgGQa6UL5tl?__cft__[0]=AZUcikGUxLIXiBeM9oFWRUE84I_MgJc-2LrbeMqnzD0qR2b4_2_xXUT8X9BPS4a3cjbO3B-0FcUbNEkXxfuLTymHQrK8sJ_F0cvFmjafiwMRU6uaMq4CNL3BXbSKDwYm0g3xV3Mp98_74yjiDTo_tY7k_ucKXBOlcQwIMCVRp_4Ec7Vj3fwkLGdWdnHAZFedpC0-gHhtm8KyUPj990s3Mt7G&__tn__=%2CO%2CP-R,Q 3 ااا‎ N <~~~ rr =) 4 بكر ااا‎ 3 0_ اح‎ R | YN
pfbid023AJEytgezCGzhJ7yhFxX2BkrwhrcebArStAgc5BG8yjv48vPPyteHdLKTTy99XbVl,الأسبوع الصحفي Alousboue Assahafi,1,8,"""اللجوء إلى #الخوصصة يعني التنازل عن السيادة الوطنية الاقتصادية، ورهن قطاعات حيوية في أيدي شركات ولوبيات أجنبية لها أبعاد دولية، ستتحكم في الشأن الداخلي، سواء من الجانب الاقتصادي أو السياسي، ثم الثقافي والتعليمي، إذ أن الانسحاب التدريجي والكلي للدولة من بعض القطاعات الحيوية، سيفقدها في النهاية القدرة على التدخل في المجال الاقتصادي، خاصة وأن المؤسسات المقترحة للخصخصة تعمل في مجالات حيوية، وهو ما يعتبره المحللون رغبة #الحكومة في الاستجابة لتطلعات رؤوس الأموال الأجنبية التي تبحث عن قطاعات منتجة وغير محفوفة بالمخاطر للاستثمار فيها..""#تفاصيل أكثر تجدونها في الأكشاك",2023-11-12:15:55,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 7 8 4 4 4 2 _ 7 5 2 4 5 4 7 7 3 5 7 5 0 5 9 _ 7 6 4 5 5 9 8 7 4 6 9 2 6 5 2 7 9 2 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = g J K v a 0 3 d G _ 8 A X _ P M o B 4 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B L I n I v f O R Z 3 8 4 D w N T s E c G _ m f K j T p f - D s - u _ 4 I s s F I y O w & o e = 6 5 5 6 C 4 7 4,https://www.facebook.com/alosboue/posts/pfbid023AJEytgezCGzhJ7yhFxX2BkrwhrcebArStAgc5BG8yjv48vPPyteHdLKTTy99XbVl?__cft__[0]=AZVYFRUOzibQJr3-bZ6kn4oqEbSE2wvPHR9QsdmQq61eJi0tkq-9dmoMK7-HQZAxgFJiqRd5g6y-imq-BP1sqYmEx9KxX3x2UJODyHPgHyBoJjdI0TlOK6whODe7YwdYHNAdTc50_aivZjw25dJ_kvuCw_JhLZHJBvqiE7a-gT0LwZTSxHv6AnkaYm9NoeroHpDaRmPM7o04ICAG__GjQYNF&__tn__=%2CO%2CP-R,e 1 N = o) ™ B\ 5 5 o= 1 فى‎ 8888| Z STERE D2 LECONMIE أ‎ DES FIRANGES o /9 algall هل يتسبب بيع الحكومة لممتلكات‎ § @ibgll في إصعاف لنسيادة‎ © مسعلامةكلاميم‎ © ALOUSBOUE 3) @ALOUSBOUE تفاصيل أكثر تجدونها في الأكشاك‎
pfbid04NdWyddgHfdzGhb1MxA664wzVvf8rzu1Vq9anwjwgXbo4JytxgFw8X64tZ9opdDql,الأسبوع الصحفي Alousboue Assahafi,0,1,ظاهرة الاستغلال العشوائي للمناجم..,2023-11-12:14:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 3 8 9 4 9 0 4 8 2 0 3 9 9 1 6 0 8 0 7 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F l a i l a - b e n a l i . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E A r o P A o H y d m d u f s G H E A 5 h r h i G u v y O 4 y X Z s e k _ K r f 8 z S A & o e = 6 5 5 2 E D 7 F & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid04NdWyddgHfdzGhb1MxA664wzVvf8rzu1Vq9anwjwgXbo4JytxgFw8X64tZ9opdDql?__cft__[0]=AZWoZoUaT-RzjSCJPhXSXjIkk_3nnQoFZm8veQtkxk3N4QBIvIyp8mU9SbA0vHp8eHLduF5XUcOY3Gz9YrJvx8w7id2FYw8JXhLXa0XKmOvuD6jpiqutyhiVfgqXhbY9eASTPo-BpQUHQJDBAg5n1QYRh7bMNty6B326BXXIJhuovtsh6lXSuIp5VOx3-rtvGwR6TXGwOC8LJAHePVXp4gW5&__tn__=%2CO%2CP-R,اهب e‏ 1 1 ا
pfbid0oLayp7B7ppC54nhWuZ8GVBBV3kP3vvQZR9uUmsW1yJDmBs2Fg3SGhqpBxgbGi56Ll,الأسبوع الصحفي Alousboue Assahafi,0,1,#العيون | انفتاح السجناء على الوسط الأكاديمي,2023-11-12:12:55,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 3 8 4 4 4 7 2 8 5 5 6 0 0 9 4 5 0 4 2 ? u r l = h t t p s % 3 A % 2 F % 2 F w w w . a l o u s b o u e . m a % 2 F w p - c o n t e n t % 2 F u p l o a d s % 2 F 2 0 2 3 % 2 F 1 1 % 2 F p r i s o n - l a a y o u n e . j p g & f b _ o b o = 1 & u t l d = a l o u s b o u e . m a & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H 6 2 i 7 q z 5 A b U h a U C c 2 O 0 K s E K j 2 0 3 t U 8 a k R C m 0 4 p h K r T Z A & o e = 6 5 5 2 F 1 4 2 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/alosboue/posts/pfbid0oLayp7B7ppC54nhWuZ8GVBBV3kP3vvQZR9uUmsW1yJDmBs2Fg3SGhqpBxgbGi56Ll?__cft__[0]=AZUew5_qM4yWQLLF_oYmB5F9uWi-Bv0CZX6R0xefcuqblyaXnpwfDIf5aSLwp2LJ8fGK-joZbC-W3bpG7wNf1dZqYnHKRHzHjdo_Zr-lQfF7UTc_kovIzlCbG0f2l2R5QRvmiwtRRribleWnhnTINs5t5Z8N0PygkZqVcoMyf5n8-AY-Adyefxip0CXHiVGQSLRkzTToc5sVQUCW_n1Aj_86&__tn__=%2CO%2CP-R,=g
