id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0xrXxWPc5onD5e5PT9HwSHPjdnc2KaKaDMqWX5Jrv2DiRSsv7P7ir9pdysycPYHcRl,اخبار العراق اليوم,0,121,#عــــــــــــاجـــــــــــــــل_الأن راصد جوي يُطالب رئيس الوزراء محمد شياع السوداني بتعطيل الدوام الرسمي ليومي الاربعاء والخميس بسبب توقعات بتساقط امطار غزيرة جدًا ورياح عاتية، ومن اجل الحفاظ على حياة طلابنا الاعزاء.,2023-11-12:22:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 3 8 5 5 4 6 _ 7 2 1 8 7 6 8 9 3 3 0 9 9 8 5 _ 4 8 7 5 4 8 2 5 3 3 7 6 2 0 5 9 6 0 4 _ n . j p g ? _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = c W c - c 9 X 4 V 5 A A X 8 l Q n X E & _ n c _ o c = A Q k R 6 C g R c s 2 X k c N Y x 3 2 x r l K D S r p v f L c 4 W 9 b O y e n r C l V Z b a 8 X T s x R t 2 2 p 5 s 9 M X Y z 8 i u U & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A H - f F W 2 w p N U 2 V _ K q Y z q v 2 w e Q Q e l C 0 - e f w 8 Z s a C i e j 4 A A & o e = 6 5 5 6 C 0 2 2,https://www.facebook.com/lovefraa/posts/pfbid0xrXxWPc5onD5e5PT9HwSHPjdnc2KaKaDMqWX5Jrv2DiRSsv7P7ir9pdysycPYHcRl?__cft__[0]=AZWZ4V1u0WyK1a9XCz_JdyqU4wD0Yu0zcVFO7zMHy5CNLYnIk6HIXGc4du6NFUP9eqlrpNzNE8sUJJ3BtDtXwS9tNKcaM3hyKere6uoYNubeQQteqA9XXPoEi1aPjBfUPSf4BYshFuDOHLg1bFuSwKKkTkS7UaUOYmJLGAYb9tDrVRUAaBSLcmuJdKyq2-Ar11we4_B07zTXgB5ToKh7__Nt&__tn__=%2CO%2CP-R,
pfbid02KjTR3a79ZqmtZ6AqUyiscyJiPmY62DwZbtKF5YCaiVd2ibRTXDLEssicCALoUvzcl,اخبار العراق اليوم,18,341,شاهد بالفيديو .. شاب #عراقي على ابواب زواج ، يشكوا لجدته وضعه المادي وانه بحاجه للمال ليتمم زواجه ، فلم تتردد جدته لـ لحضة بأن تعطيه نقود الحج الذي قضت سنين لجمعها ، استمع ماذا قالت له ..,2023-11-12:20:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 5 6 5 9 7 8 9 _ 7 1 4 0 8 6 0 1 6 9 2 8 2 0 2 _ 2 6 3 3 7 0 0 7 6 6 3 2 5 9 1 0 1 9 0 _ n . j p g ? _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = t l z z Q C 2 W g F Y A X _ j a q 5 C & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D X S X g c d K Z g v o a z C M E j 0 M i 9 - g F q U Y s K u B p W P X a B 2 I Z d Z w & o e = 6 5 5 6 9 A E 0,https://www.facebook.com/lovefraa/posts/pfbid02KjTR3a79ZqmtZ6AqUyiscyJiPmY62DwZbtKF5YCaiVd2ibRTXDLEssicCALoUvzcl?__cft__[0]=AZUx5T1i39IchAKOG632fl43ipmD_vjaAMCYVYd_MmTJcizCtfw4RuVKQpUhtrDZjjRljjju-IJxU7FTj1ZWAkZ9kRlDNI3-taIx05LqypzWgmEJzB954vH5vNnaTwFujGUMvS2jEdVxHFJ2uA0VkGPiKAnXj8QB2wtYOac5WLMJDsDNLqXChqkWh-638Zfgqr9c-XWK7KC_CyvAELK4iA4x&__tn__=%2CO%2CP-R,ض © مصطفى الدريعي 6 ‘.ﬂ .J‏
pfbid0iyDh99q5rBBv3TW4BzqbHBxuUmp16aPbmkMxczBm9UbULATC3hgKF8GtnmbJUHY1l,اخبار العراق اليوم,1,526,بنت الفنان الراحل رضا طارش محتفظه عندها اخر كانولة لوالدها عندما كان راقد في المستشفى قبل رحيله...وتعلق رحمك الله ياابي,2023-11-12:17:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 6 1 1 3 3 6 _ 7 2 1 7 1 2 0 5 9 9 9 3 1 3 5 _ 9 0 5 6 5 4 2 9 5 4 0 3 5 0 6 3 9 5 0 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = l r 9 K 5 a v x 2 g c A X _ S l a 3 O & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A d V P s H s 0 e _ s 5 U M y 5 r a 4 8 e g 4 e 5 1 z u j s 2 j k G A a n m m g 7 i S g & o e = 6 5 5 6 4 9 1 0,https://www.facebook.com/lovefraa/posts/pfbid0iyDh99q5rBBv3TW4BzqbHBxuUmp16aPbmkMxczBm9UbULATC3hgKF8GtnmbJUHY1l?__cft__[0]=AZUXhzIK6E0olwfHRNUHv9XmYz87mwlWw8hToDPU7ng82vtYiu88JteuOOTKbPskoc9E7tAf-pKRNopyUG0vnHTluvqsMUtOZIzlxQIrllBIBaybLJlBx8Nyl5EAFpdC3933C0VRbtuiubrzA92wXn9YvOvz8YLekmpeFVIkowsVONg8Ytek8ygTfEy1zMJ6tMxEVTCTQTqiW1jj1MHcF1Fq&__tn__=%2CO%2CP-R,A > ا‎ 0 B AR 5 P ل‎ 8 “2 1 1 v : = < نج ال‎ : NN 009 بقت بس كانونتك يمي‎ / Kt ﬁ‘ م صر \ الخ‎ الا‎ e نا‎ N هو 1 | أ( اد ا‎
pfbid03146E9tEgi4LM2EhKVqLV8NYewJ2VBbXSntWRyybodNFwJwmxPMwfYQgt7YuCMejsl,اخبار العراق اليوم,0,0,"رحيل الشاب ""غزوان محمود القرغولي"" أحد أبناء منطقة القادسية في الكرخ أثر حادث مؤسف.أنا لله و انا اليه راجعون.",2023-11-12:16:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 5 6 1 7 3 2 _ 7 2 1 6 9 2 0 9 3 3 2 8 4 6 5 _ 2 4 0 8 2 1 3 4 5 9 5 5 0 5 6 0 9 4 5 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = T q j v q C l X x L A A X 9 B V Z Z n & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B a y I R b 6 w Q K M e c 8 u V y v r W W g T k n h Y Y e D 2 n q T Y O R 2 s 4 R 4 _ A & o e = 6 5 5 6 1 D 7 0,https://www.facebook.com/lovefraa/posts/pfbid03146E9tEgi4LM2EhKVqLV8NYewJ2VBbXSntWRyybodNFwJwmxPMwfYQgt7YuCMejsl?__cft__[0]=AZWv7okerpW-5d0A5uTs7Pw8NU2pKzzgRbLSa6upaPmV9CMKStZZfKQnAeCZ8aiOeJgBGVPkFXo3HTdXY5B4vmTB9Gu2SDrIXiQ5ndlwmeOb3UYgznNet0UP8G4A46QWwDtRYzzBtCEUloe0vBz0TTWtMSs5hw8ou9XR_-7XTdXoF8OLs63naHHlMaU9Cy1uude0D4NgWXiaEOyiwJIhYiAH&__tn__=%2CO%2CP-R,"it —O-—aea رن‎ = 4 ,,'v\ \;J‘ 4 ل‎ ' 1 b 12 , W, QT"" و‎ S I مرب ]م‎ = & لا‎ : = b ا‎ | الست‎ | ححية‎ A ا لبي‎"
pfbid0y7PQZxFS4i4uiber39UiXGy5UP3xGejoy9QGT4uBioo7ePfg3Q558dpUSWoNbSVBl,اخبار العراق اليوم,0,0,لا يمتلك سوى هذه الستوتة التي يعتاش عليها في كسب الرزق الحلال لكنه يمتلك من الراحة والقناعة التي لا تقدر بثمن ، الانسان يكدر يكون سعيد بابسط الأشياء.,2023-11-12:11:33,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 6 8 4 6 4 0 1 _ 3 5 2 1 0 5 6 2 7 3 4 8 3 3 8 _ 4 9 1 8 9 1 0 5 4 2 1 6 9 0 9 6 5 0 0 _ n . j p g ? _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = X n 2 w 7 P C _ D L U A X 9 5 N - - y & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C 1 3 i U 1 Y l p f e 6 R k q U I x 3 U b 1 F K P E D l 7 G _ r z 8 8 A 0 9 y W U 9 Y Q & o e = 6 5 5 6 9 D 7 D,https://www.facebook.com/lovefraa/posts/pfbid0y7PQZxFS4i4uiber39UiXGy5UP3xGejoy9QGT4uBioo7ePfg3Q558dpUSWoNbSVBl?__cft__[0]=AZUDmCua-MTvaKNPGAcDI-mGILTCPRBIFf62s_tzMMLS84rP8MLVxd2h-Clhw4tZFU0c0C90xKUiN_-Enjih6NuV9EREnfOHhSTeogRtPdPxKNiEpya5-ONUNqyK76qupeeKsfjB8h8wLBtC86HeMh0Q3bkbl3tMd9RdtatODD0PKMkstf58TGkCJ7KAh3VOF7BErXcZCR1B48lDABn2SMS2&__tn__=%2CO%2CP-R,"و e -‏ - 3 = “ "" نجي عن s‏ S »‏ ل P,‏ 4 ٍ £ لل ٠‏ جنا ا ا . - -"
pfbid09DxQWwUDcGSbdEkd9Me2rPavAiG29iYbWwVXBU66eg4UuHDPttnD8ddZdJ35rtrnl,اخبار العراق اليوم,0,19,#عــــــــــــاجـــــــــــــــل_الأن عضو اللجنة القانونية عارف الحمامي الحكومة أكملت الإجراءات وشكّلت لجنة عليا لدراسة مشروع سُلّم الرواتب...,2023-11-12:11:33,h t t p s : / / s t a t i c . x x . f b c d n . n e t / r s r c . p h p / v 3 / y w / r / 8 i u T X 4 L l G Z O . p n g,https://www.facebook.com/lovefraa/posts/pfbid09DxQWwUDcGSbdEkd9Me2rPavAiG29iYbWwVXBU66eg4UuHDPttnD8ddZdJ35rtrnl?__cft__[0]=AZXkj-dL-tJGyvqEasDyEkrQFguN4mNvdm5-haER7mjxfoVcawjpv6EL3TZ16qiJtAGA5_mFnzqKFFqSOx4CLGXdwfgSMkpJnGWn6FbfNX4BByaFvMCFyjehqN0GsSYCkciqkuOIivmGbJ4OxI3v2N1GqOmQunHD5bkFxjTNMBvuBKW-KUDSLYX-E0mp6Cso_tONDPSpeePzaNF5AKStmi4q&__tn__=%2CO%2CP-R,1
pfbid06UWUBovAM8QhhHNKKTFMf1NBGgXRFfgt3sCwzCoLyDnUg2q388NQTYGNkpbbxKFNl,اخبار العراق اليوم,3,53,#عــــــــــــاجـــــــــــــــل_الأن وزير الخارجية الأمريكي أنتوني بلينكن يغادر #بغداد بعد انتهاء اجتماعه مع رئيس الوزراء #محمد_شياع_السودانيبلينكن: مستمرون بالتعاون الأمني والسياسي مع #العراق,2023-10-07:23:51,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 9 9 3 2 2 4 5 _ 7 1 8 0 2 1 8 9 0 3 6 2 1 5 2 _ 3 7 2 2 9 5 0 5 8 2 2 9 0 6 6 7 3 8 1 _ n . j p g ? s t p = d s t - j p g _ p 5 5 2 x 4 1 4 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = k o A M Q 2 A M L c k A X - E 0 q - - & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A l g j l j J A z R w O B 8 m 6 C t n 9 p - E 1 X 8 N 7 2 W z w Q V B x P H q Q v R - g & o e = 6 5 5 7 3 E 9 5,https://www.facebook.com/lovefraa/posts/pfbid06UWUBovAM8QhhHNKKTFMf1NBGgXRFfgt3sCwzCoLyDnUg2q388NQTYGNkpbbxKFNl?__cft__[0]=AZXCIydtdDYJfTggCsS21FrPAvLOxJy1zvMwaEwWcAO17IHWLM6RDvT9K8cQQIObc3RUPi70p3BRznOi4poKaxvE60LGhorDQW8nm0_jn7fuPYz3lcMHcY9hlrJvF0doWWTEcx2DvqNtMf0LaITJ-iisDdvh2P_GM3WF2rbmKc9aOPHTqM17W-I9vfkNETJZhbnY_cTzVdS5L9Nz4iWDqsKY&__tn__=%2CO%2CP-R,/ 4 - | ١ A‏ ا تلظ 1 بلينكن: مستمرون بالتعاون الأمني والسياسي @halips‏ ل عاجل
pfbid02y89gn9dh8SetbJ4FxG9MSMwwnvnQXLc7mJbf6LQseE1C4LEERGSzHRhzPYP5TDyVl,اخبار العراق اليوم,0,656,الفنان الراحل محمد ناجي #هليل اذا يوما ما زرع الابتسامة ع وجوهكم ...#ترحموووووا_له,2023-10-08:04:00,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 2 9 2 5 1 0 _ 7 1 7 9 5 8 8 0 3 7 0 1 7 9 4 _ 4 3 1 6 6 0 8 3 0 7 3 8 5 4 1 7 3 7 0 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 2 E q t c Z K Q 5 o Q A X 9 L W K V w & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D M X m e z w Z o u N U Q F W c y w a C w c U a V m e F e 4 2 k i j l M 9 4 E V L U h g & o e = 6 5 5 6 0 7 0 4,https://www.facebook.com/lovefraa/posts/pfbid02y89gn9dh8SetbJ4FxG9MSMwwnvnQXLc7mJbf6LQseE1C4LEERGSzHRhzPYP5TDyVl?__cft__[0]=AZUIqtQH73vkA-rcXlF8P3VB8qK1D1vmIF_sVUk0KQ9SIvIVKhBBCsRMCcSMA9veDttMOunRgmoDFZTdfV6aOwfsl5fDwtly5wW2G57SFmQ2m8Pol4ejSsHrlweBsgbO1DVbSN3LblVVja07pnISw4nvDvNAi7DVfco0svy5zlh5Fge3T-gjbyLUbSxbw7CpkH-Mc4P3H0Qp_VuJfYZfgJcL&__tn__=%2CO%2CP-R,= ا ال حك ١‏ و- J‏ 8 سنس ا ااوفل << o‏ : عا جلي - ا «١|‏ الهرد كح ا Rt‏ 174 o8‏ ا بلي ١‏ ين AN R 3‏ 2 دو QAN‏ 7 1 ] ب c‏ oY 2e B‏ - ل ا = e‏ ل ل 7 يي 7 =( : LAy‏ يم . & & & ل n a)'-cﬂ\\v‏ 3 ١ . 5 2‏ لمي ]
pfbid0p8EfppeutAz2Sf5ve5BASxX8QeBrXz9391MgBeLrHtXLz3pRPouvxT6vZQ73UCyXl,اخبار العراق اليوم,0,813,انتقل الى رحمة الله تعالى المرحوم #قاسم_الشمري (ابو كيان)احد موظفي بلدية الزبيرأثر حادث سير مؤسف مع عدد من افراد عائلته زوجته وبناته واخوه واخته... نسأل الله تعالى لهم الرحمة والمغفرة ونتمنى لذويهم الصبر والسلوان. (انا لله وانا اليه راجعون),2023-10-08:04:26,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 2 8 0 6 2 7 _ 7 1 7 9 4 0 5 4 0 3 7 0 2 8 7 _ 8 6 8 2 9 6 4 8 8 6 9 3 9 0 4 2 9 9 7 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 4 s k 4 m 5 C I 2 g M A X 9 J a 6 j s & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B R S w R Q T A j - n 6 I 3 - t d v a D - z - l M 9 9 x I V o y D f D A O Q C 8 3 Y F Q & o e = 6 5 5 6 6 3 5 F,https://www.facebook.com/lovefraa/posts/pfbid0p8EfppeutAz2Sf5ve5BASxX8QeBrXz9391MgBeLrHtXLz3pRPouvxT6vZQ73UCyXl?__cft__[0]=AZX6ciuzLqFXzGI0ZC5S62PCexIHlNRz4CoZK2IUEW1054mixSXHsL9BNcsQu1xJJqWz8VjhlCJy1CZPAKeAxixy0BaeIIL2fmdXMslk-VlD-kdIsQONJ7JZWZJWvHGVpG5mypuMuIXR4U99CKKwIyFVMZLarQd1aze-Q4JXSOsdNKRJ48NULtSN2gg0GNxtQlViiKVSDKrhgG-IrT9K-RoN&__tn__=%2CO%2CP-R,"/== - N/ i A g , المع الله از > جا يا اح ال أ ا لصا الت ,= ا 0 i‏ 1 مات v o‏ الل ذا L ) q;ﬁ‏ 1 سي د ان اانا الاك و 0 ا ا ااا B‏ الب ا 1 ال 8 ا ا WG‏ N 0 o‏ © 7 TR ”—figﬁw ki £‏ بيبح SR I ) o‏ RS‏ ا اد : ان ""0 ل / م 7 ل ا '! أ i‏ اا 57 SR \ o /NN‏ e gL 0‏ ص R‏ اا"
pfbid0wbuiwchxSaT4hpTRyyxspq58pb7anVhyfMKjCrn1cbTDxbHcKW7TLwCL75rxofYxl,اخبار العراق اليوم,0,0,وفاة كوكبة من المنتسبين الأبطال في قيادة قوات الحدود اثر حادث مؤسف...كل من :1- المرحوم رفعت حاتم آل عمران الظالمي  2- المرحوم علي جبار راهي الحساني 3- المرحوم علاء صاحب عبد الكاظم الظالمي 4-المرحوم حسين علوان الظالمي5_ المرحوم شاكر عبدالحسين الخزعليانا الله وأنا إليه راجعون,2023-10-08:13:01,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 8 3 8 7 1 6 _ 7 1 7 7 7 6 2 3 0 3 8 6 7 1 8 _ 5 5 7 7 6 4 8 5 3 1 0 3 0 3 6 0 8 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = N X b G V 4 D 6 Y r s A X 9 d T H i K & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B h 5 k B e X 5 F D 5 C c I - z r Q s a - C 6 u L X g z V S w 8 Z k N L L z f - p p z g & o e = 6 5 5 6 5 0 C 0,https://www.facebook.com/lovefraa/posts/pfbid0wbuiwchxSaT4hpTRyyxspq58pb7anVhyfMKjCrn1cbTDxbHcKW7TLwCL75rxofYxl?__cft__[0]=AZUuhdFsgiDRvRjk6pqxxpKFHB5hy_jw2Nq59vC0MCC96YfzdabPSHwjuV3kjadeSFuv4h4wyD5C0ZwZteqx1c8eMiycz4ieqfQ-MiFt6Q_OASTMpqqDY7FBAj1EPnFAva54blb4Me1JjlBukam5W2WK5iiRe_B-uTEdpsw2QB83QwpVimi2wm5KtcRHWmvPeBQh_aHcqz9IT9ilvJlK7_qK&__tn__=%2CO%2CP-R,"e‏ الي ا ورا h‏ L‏ 2 ساي ا 9 , ° : 2 د : , من واج g 2‏ انا لله وانا اليه راجعون 6 6 اذا ا ) ا ا"
