id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0S9D3ag89Ai5KYpy3WMkoBZaoANjP2Mf2Vz7WAmJRhGhocUb1pCLV62FnE6FbQ6kZl,Qatar Foundation,3,13,"Qatar Foundation, Volkswagen ME  and Volkswagen Qatar are collaborating with the common goal to support a more inclusive environment for sports in Qatar. We’re excited to see what impact this partnership will have on the community. ",2023-10-08:06:24,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 9 5 9 6 1 7 9 8 _ 1 0 0 4 7 1 3 4 3 0 6 4 1 1 2 3 _ 6 0 7 1 2 2 0 3 5 8 7 5 4 3 5 0 3 1 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 6 0 _ U f s y G 8 O c A X 9 0 o u q i & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 4 D L E 3 C W B - i - f b I y P m N 2 E k S w B 3 T l 3 d i 9 C b w S i B x g o y y w & o e = 6 5 5 5 A 5 2 7,https://www.facebook.com/qatarfoundation/posts/pfbid0S9D3ag89Ai5KYpy3WMkoBZaoANjP2Mf2Vz7WAmJRhGhocUb1pCLV62FnE6FbQ6kZl?__cft__[0]=AZWtqToLoSp8kTzZz0IvMGn-1YWZG_ahh3LthIM-oD2Plcl_VbCKar-c-F69OPpMmYMV01pY7ytxONhmtQyRHFo9bajtCqIxN2lVxeDH5Q1zU1FWnKQ2vD6TSbiC3EzfaLeOp2UMmh1g9IIuj5Ow4oo40BSklKMlj5c7_uqLIra05uP2-xUqIp2aqD6WCWmKG9b4ypW3qURrvXpBiJnEmRf5&__tn__=%2CO%2CP-R,"ol GG الاين‎ PR R 13 ارال‎ T ٠. تم‎ T o ا 0 ا ار 1 اليا‎ o ب‎ ا ااال لل‎ it ىماما مج اليا‎ 7 ki الإلائف الم ا .ا ل‎ 0 سنا سسا كم الم دلت لنت لد‎ | | i | Tl اح سا‎ مسمس اسح ا ا‎ S ' 2 ) 3 > D ) ; اص‎ با‎ 3 1 : . = ¥ =i - - : o 2 Sports for All : مل المي ال اذا‎ : R A ا‎ R » 8 1 ا‎ : BTN s > اش‎ J ) R LN BT T e N P Gl 8 ""١ s الا ا‎ L ووو‎ 0١ وجا‎ gl ا‎ BB ل ا ا‎ SR"
pfbid02SkNbNiFQg5NhhfrxC1EQwB4ZS1CYu7Tg4X1W6yPob1LoRxWjmUM8wLz2amMMNHGml,Qatar Foundation,1,3,مؤسسة قطر، وفولكس واجن الشرق الأوسط، وفولكس واجن قطر يتعاونون لتحقيق هدفهم المُشترك لتعزيز الشمولية في الرياضة في قطر. نتطلّع لرؤية التأثير الذي ستصنعه هذه الشراكة على المجتمع. ,2023-10-08:06:28,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 5 4 8 3 9 1 6 _ 8 4 9 8 5 3 9 2 6 6 0 7 6 1 2 _ 3 2 8 2 2 9 2 9 2 2 6 7 9 9 8 4 3 1 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = O j T x m s z z F V Q A X 9 W - x c f & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A v 0 2 p I M Q O _ C 9 m b a b k f e J r v 3 q Y k a _ M Z t U 4 1 w a 3 V v 3 q 3 o g & o e = 6 5 5 5 3 3 7 F,https://www.facebook.com/qatarfoundation/posts/pfbid02SkNbNiFQg5NhhfrxC1EQwB4ZS1CYu7Tg4X1W6yPob1LoRxWjmUM8wLz2amMMNHGml?__cft__[0]=AZWMkqIxniyWUkhH1j1qhf4FD46djUNDSlVEma33xUKFSdqof5G2WNc_cGV4BuAzRfdMgd09tRHV2mv3iGijxIb3kdKtH4I1hHx7XKizF7VR2hf-BZQ5lAuIUlo3Ly0HcR67licE9vsNaaskodVDrCYO7QZVTtfMbGJRemDio2-pVu8uuk8TNao0Qc4xJs-d7UlxgFNOCSihHP2KOo-Tql4U&__tn__=%2CO%2CP-R,"ol GG الاين‎ PR R 13 ارال‎ T ٠. تم‎ T o ا 0 ا ار 1 اليا‎ o ب‎ ا ااال لل‎ it ىماما مج اليا‎ 7 ki الإلائف الم ا .ا ل‎ 0 سنا سسا كم الم دلت لنت لد‎ | | i | Tl اح سا‎ مسمس اسح ا ا‎ S ' 2 ) 3 > D ) ; اص‎ با‎ 3 1 : . = ¥ =i - - : o 2 Sports for All : مل المي ال اذا‎ : R A ا‎ R » 8 1 ا‎ : BTN s > اش‎ J ) R LN BT T e N P Gl 8 ""١ s الا ا‎ L ووو‎ 0١ وجا‎ gl ا‎ BB ل ا ا‎ SR"
pfbid0sdobNbUpN2kpkb1MMrG4Yd85ZEc8HwrvcZB6hn9vHTvm4RmdxLJEsr1XzNBqMR1rl,Qatar Foundation,2,1,"‏What does the icon """" mean to you? A delicious summer fruit? or a way to counter all sorts of bans?",2023-10-28:21:38,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 3 1 3 6 9 2 _ 9 0 7 3 5 4 2 9 0 7 5 8 7 5 4 _ 3 0 3 5 3 7 4 2 4 5 1 0 7 3 3 2 7 9 3 _ n . j p g ? s t p = d s t - j p g _ p 6 0 0 x 6 0 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 1 4 C z S I K 4 U Z M A X _ 7 w e t 1 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C l 3 e i S z E 5 I c W 0 y 4 G n M 9 y 3 l 2 x 2 M b X i 1 b Z a I n 6 S v 1 2 J X H g & o e = 6 5 5 5 B 4 0 7,https://www.facebook.com/qatarfoundation/posts/pfbid0sdobNbUpN2kpkb1MMrG4Yd85ZEc8HwrvcZB6hn9vHTvm4RmdxLJEsr1XzNBqMR1rl?__cft__[0]=AZX5b0enoYxNcgDcI2r7aQfsaSEMGVCvDmYa2wL6Z2oKrIwWEr7AKgmud8aJUJtQNAO-sZiGWx038dQCc6aEQ7fqtw1lo0tVaN-QiP_Xhg3yMO4qkIC6fq1IagMJ-pEWrJJH0kE9zzbdrpFo0ZcvFLGg7OtDTKeP9UrZCo5JLJ8AKFkjxGrpvrf8hhW6L73UBwi1-aI0xFT8GIcM9FXAabvY&__tn__=%2CO%2CP-R,"| الفلسطيني:‎ ) ; 33""‘Palesti'n Aian . 1 0١ له‎ LN ?‘ & الور‎ : فى‎ VR الأ‎ ٠ 0 5 له ا‎ ¥ 3 LN . : / o B h . N ل / / رجا 0 2 j‏ ١ ! 2‏ ا"
pfbid025nRmED2iCsVB9tfLYHXiCnRtp8wEYdw8aYjv2MjrTeDBq3oDpoLvJTNct4zZCLzel,Qatar Foundation,0,0,"ما الذي يعنيه لك هذا الرمز """"؟ أهي فاكهة الصيف اللذيذة؟ أم حيلة في مواجهة أنواع الحظر العديدة؟",2023-10-28:21:39,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 9 8 2 8 9 0 3 1 _ 9 0 7 3 5 2 2 9 7 4 2 5 6 2 0 _ 5 4 3 2 6 6 0 3 0 4 4 5 6 0 4 2 3 7 1 _ n . j p g ? s t p = d s t - j p g _ p 6 0 0 x 6 0 0 & _ n c _ c a t = 1 1 0 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = N - R d j a 6 P A E g A X _ w 4 F Z 7 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B H b b f h J f 9 m f e 1 T P F q d 3 G s s J G I A O v I f r h A W E u x w f m _ 6 t Q & o e = 6 5 5 7 1 2 A E,https://www.facebook.com/qatarfoundation/posts/pfbid025nRmED2iCsVB9tfLYHXiCnRtp8wEYdw8aYjv2MjrTeDBq3oDpoLvJTNct4zZCLzel?__cft__[0]=AZVD3-8FRq_ZHkDpjOmiA2lpqlXYGDeIFcmYtk_zVFfl7WpD4AHpDa9kBEqU5P0NcC4c_PYK3v8e66tOsWknQ90qUA2IrqUBXK_k43Lx0FFDGQtIX1evhZbW2vSfzrkvQp9yioxX8sZuA7lR5zGArSXjD4u_-LRA7auxqqWG5UIVRsC5mSNjxxIucXHi9sncEGxwLZ4tJdYE6UcrqREJDrjS&__tn__=%2CO%2CP-R,"| الفلسطيني:‎ ) ; 33""‘Palesti'n Aian . 1 0١ له‎ LN ?‘ & الور‎ : فى‎ VR الأ‎ ٠ 0 5 له ا‎ ¥ 3 LN . : / o B h . N ل / / رجا 0 2 j‏ ١ ! 2‏ ا"
pfbid0VfyeLgFZruiLdQoFz53EYccpE4XtuoRn3fNo8aiTyN1XY8BdxwAokNWmUPmrvETcl,Qatar Foundation,5,41,"Have you ever seen “explosion art”?Chinese artist Cai Guo-Qiang, illuminates the relationship between China and the Arab world through gunpowder drawings in his art piece, “Fragile.” He uses porcelain tiles that remind him of his hometown, Quanzhou, a historical sea trading link to the Arab world.",2023-11-12:20:06,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 4 9 6 2 8 3 _ 3 3 0 6 4 7 5 3 9 4 9 9 2 8 8 _ 3 4 6 2 0 7 5 7 2 9 8 1 1 4 9 9 1 2 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = f z l r Z C A c u F s A X - S C a r 4 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D u M e 5 o 8 v C H Y b R U Q E n 4 8 l A - C C 0 S U 7 Q R 2 8 j 8 3 u a W q C R M B g & o e = 6 5 5 6 9 F B 7,https://www.facebook.com/qatarfoundation/posts/pfbid0VfyeLgFZruiLdQoFz53EYccpE4XtuoRn3fNo8aiTyN1XY8BdxwAokNWmUPmrvETcl?__cft__[0]=AZWLvxQUa9x4TeuO6YcrOLO269Bs32Wx_xY2vqOpe1fJt6r3vcOpbb-qJ6mRO5ooPRg3Q_pNgshf5BLwnqFCvSYvwLSdXCn9KKTfqBPVe8vK0PePs46fiKrpAy5dcWh53WqHj658l9yo_ktC4lVWpNKN_LQNWsp3zi82pvI39O1mv4CMTBW7qnZ2a0JInscIcCRXiybaYIw3982DkO1wSMJn&__tn__=%2CO%2CP-R,"e N‏ د | e‏ و كع ايو كير ا ا ا ا مات يد ا ل ري O S‏ لين اها e‏ ا الا ا لور ل ال Bl ol‏ ل ا T‏ لان لسن el T R‏ الل ارال 2 o NI o U P B oy 7‏ ال ا ا @)‘,;_\_4 5 JAJ) ZCYNGEA g ok‏ ; ا 0 ا تق g‏ 0 2 هكد ل اب وت لقا بقارم أ 3 درا م ليجل شاد الاو e‏ ا ان 7 ليم ا g‏ ا ,3,< SRR 8 W‏ ل لع الايد الت T o‏ ا 0 ا v e ©‏ ال am | ,l.’;‘ PR‏ ا ا 8 ا ا ا ال i‏ اس ساق مولز عت رحن الح e‏ ا الي ب يي ناد لا لال ا e S Rl e %‏ ا ا ايض ا 1 ل < ل سي | & Gl S AN‏ ; رهف الل تقر اام الحا oo e‏ ; . اك e‏ زيف ضار الود ادك ا لاد م ار , Lo =t o‏ | الا ا"" جاه الب و S‏ ااا N‏ الس اش لوم لم ا ام د فح لمحاو ا تتح ا ال ا 0 ا S e R‏ الي عاذي BT S‏ الا :gma‘%‘ et‏ it T T‏ = 7 A A i‏ ابي ISl ot L e,‏ 1 ] 0 اش اق ا = < اط AR‏ وار e s 9 o5‏ كان SRS‏ . يجا ال"
pfbid0QunVE8XY1rPNhEUkKjZUhH6dnjiea7tuoevqSxZWrWfjpVWPDEkMY5NdBKKhSDHgl,Qatar Foundation,8,13,هل سبق وأن صادفت فنًا يُعرف بـ”فن الانفجار”؟الفنان ساي جوو تشانغ، وهو فنان صيني مقيم في نيويورك، اشتهر بهذا الفن، ووظفّه لتسليط الضوء على العلاقة التاريخية بين الصين والعالم العربي. ففي لوحته الفنية “هش”، والتي رسمها باستخدام البارود، استخدم الفنان بلاط البورسلين الذي يُصنع بالقرب من مسقط رأسه في مدينة تشوانتشو، أو مدينة الزيتون كما سماها العرب، وميناؤها الذي كان تاريخيًا نقطة للتجارة البحرية مع العالم العربي.,2023-11-12:20:06,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 4 4 7 9 7 4 8 _ 1 4 6 9 9 2 2 1 2 0 2 4 1 2 4 3 _ 2 8 7 9 2 8 7 1 5 7 6 3 1 9 1 2 2 4 4 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = f B r L W E a R 6 W 8 A X _ 6 H I k 7 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A p y v M B h 1 Y C M t P Y 6 F H j U T K j r Y B 9 m X 0 o G 1 m Q T W 2 e J e C 1 R A & o e = 6 5 5 6 8 1 4 A,https://www.facebook.com/qatarfoundation/posts/pfbid0QunVE8XY1rPNhEUkKjZUhH6dnjiea7tuoevqSxZWrWfjpVWPDEkMY5NdBKKhSDHgl?__cft__[0]=AZVYJzFVRQlfVtp-tXAVGzwjri5SWw219SG4Eym0vmghtYacFqWjzRiLdBPZABCDVhARfJuBcYBmbLqaEQIMtr8bZuDiip8Krrpkc1tVWZ9BpYdGPodK6V3IR_UYGstgntB0hLcb9-8Ay9TKv09lpD8YiwpIRNKuIQFciZv1vJUQT4VJ9zcbphkju9FvvmcuEii4rTiUzbIsOWRZFqUtBTQS&__tn__=%2CO%2CP-R,"e N‏ د | e‏ و كع ايو كير ا ا ا ا مات يد ا ل ري O S‏ لين اها e‏ ا الا ا لور ل ال Bl ol‏ ل ا T‏ لان لسن el T R‏ الل ارال 2 o NI o U P B oy 7‏ ال ا ا @)‘,;_\_4 5 JAJ) ZCYNGEA g ok‏ ; ا 0 ا تق g‏ 0 2 هكد ل اب وت لقا بقارم أ 3 درا م ليجل شاد الاو e‏ ا ان 7 ليم ا g‏ ا ,3,< SRR 8 W‏ ل لع الايد الت T o‏ ا 0 ا v e ©‏ ال am | ,l.’;‘ PR‏ ا ا 8 ا ا ا ال i‏ اس ساق مولز عت رحن الح e‏ ا الي ب يي ناد لا لال ا e S Rl e %‏ ا ا ايض ا 1 ل < ل سي | & Gl S AN‏ ; رهف الل تقر اام الحا oo e‏ ; . اك e‏ زيف ضار الود ادك ا لاد م ار , Lo =t o‏ | الا ا"" جاه الب و S‏ ااا N‏ الس اش لوم لم ا ام د فح لمحاو ا تتح ا ال ا 0 ا S e R‏ الي عاذي BT S‏ الا :gma‘%‘ et‏ it T T‏ = 7 A A i‏ ابي ISl ot L e,‏ 1 ] 0 اش اق ا = < اط AR‏ وار e s 9 o5‏ كان SRS‏ . يجا ال"
pfbid0NzwHgRUHioYJiVV6w8kT9zCetNSQ3o9ZfsZPdmv3YxN9HLWVi43ZCArcRmebwe9hl,Qatar Foundation,37,15,للنون والتنوين صوتٌ واحد، فكيف يُمكن أن نفرّق بينهما عند الكتابة؟لنلتقي بأبطال حلقتنا لهذا اليوم من #دقيقة_عربية في مدرسة طارق بن زياد لنكتشف ذلك. لا تنسَ مشاركة هذا الفيديو مع من يواجه هذه الإشكالية.,2023-11-12:20:06,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 1 6 7 5 4 4 0 _ 1 0 2 7 2 9 0 8 5 8 4 2 4 0 0 0 _ 5 2 9 9 1 4 9 4 6 6 1 4 5 8 8 3 4 6 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 1 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = u o Y w 4 8 J w I m M A X - q - n f v & _ n c _ o c = A Q k 3 j R T _ s J j h P Y A e G F K - x d J i j 8 i 9 E c 4 1 K 4 m A m A A Z u 5 m 1 g U V 2 L i N C z P x L W Z m K 5 b S B W I I & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D n O G z 0 d y J Z 7 h h 5 u H U i E f l i p H M p L y j T 9 p W 3 R r z 5 V x d E 0 g & o e = 6 5 5 5 E 2 F 1,https://www.facebook.com/qatarfoundation/posts/pfbid0NzwHgRUHioYJiVV6w8kT9zCetNSQ3o9ZfsZPdmv3YxN9HLWVi43ZCArcRmebwe9hl?__cft__[0]=AZWOgPtNMVCn_PL3xSiKe7xliBDmcaBz-VAByBUizp1ATw3I4HaAhv3U0hXD4QF28a8P8XHnOMp2NGDxsY4ClX-Y7nsbqLzTV8IFqoHRQKNM9tR-dPKbRkwfaeYx74dMhNrm8myQxvpx2DDSABX90PSin3ucIRhs5jfK9uwDCjY7f2OSWhjbtpgm73EyHsbYuSEndl5kIfGe_FhSkkgKWK6N&__tn__=%2CO%2CP-R,T4 ١ - N 't “. دقيقة عربية:‎ النون والتنوير‎
pfbid0Nhnpabyfxzo3NMug581CBxTD5AvojfVQpNKd3ALbJ1jtaDv3ZPsefU63DRMb41yWl,Qatar Foundation,0,0,Take your talent to the next step and register to #Dreesha Performing Arts Festival! https://www.educationcity.qa/en/dreesha/call-for-artists,2023-11-12:20:09,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 7 4 8 0 2 7 _ 8 8 6 0 4 7 4 5 9 5 5 6 1 0 4 _ 8 2 3 7 7 4 3 1 1 0 7 8 1 6 0 9 4 5 3 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = i W a s Q k S X J n 0 A X 9 A m F _ s & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A c 0 t U V 5 s 8 9 v X 1 h I O O X r 1 P _ t 0 x M b F r a A s s a 0 Q W x y e _ V y Q & o e = 6 5 5 6 4 1 A 4,https://www.facebook.com/qatarfoundation/posts/pfbid0Nhnpabyfxzo3NMug581CBxTD5AvojfVQpNKd3ALbJ1jtaDv3ZPsefU63DRMb41yWl?__cft__[0]=AZX1kR4lGjcIIQGQL5trfatG0oeOTnT2RxVO6RXEE4cpq78nf64NC6rXdHboI5VVsNBIl2nO396gpkiziLEVmmEyVg1NtvDHntYyOV1LYUzMsLw70Ax8tLMnydYBIMFimMaNmfeUWkiRGpqe1GqGNa1qBT0hZHCncT4KIwHwIhXV--1u1yU3s_P1Mrqmmp8ghIckxYTfrhfnQ0Q4DgiEk-bE&__tn__=%2CO%2CP-R,"دريشة @ هل أنت فنان يبحث ge T‏ ل fabje‏ Are You an Artist — @,‏ Looking for a Stage?‏ ب 9 ٍ 3 11 85 | ليل | بادر بالتسجيل) —— | 7 الموعد النهائي للتقديم: 15 أكتوبر 2023 REGISTER NOW! — رآ‎ Deadline to Apply: 15 October 2023 , d |"
pfbid0y4DiU5My93KZatyjLPimk2YhLFZSd6JsSL5gqomBW7NjdA2u6c6mFWZAsAc84SuJl,Qatar Foundation,15,13,انهض بموهبتك وشارك بفنونك على خشبة المسرح.سجّل الآن في مهرجان دريشة للفنون الأدائية https://www.educationcity.qa/ar/dreesha/call-for-artists,2023-11-12:20:09,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 3 8 2 7 2 0 3 4 2 _ 8 8 6 0 4 6 7 3 6 2 2 2 8 4 3 _ 7 9 6 2 6 0 2 0 9 4 9 1 6 8 7 6 9 7 7 _ n . j p g ? s t p = d s t - j p g _ s 6 4 0 x 6 4 0 & _ n c _ c a t = 1 0 7 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = W 9 T c j b 7 p Y J 0 A X - f K E K a & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B l l k s P _ K T j O x w Z v Z S x L 0 u U r m E 5 h w f j M v n v 7 0 M J 3 J W r A A & o e = 6 5 5 5 8 E 0 B,https://www.facebook.com/qatarfoundation/posts/pfbid0y4DiU5My93KZatyjLPimk2YhLFZSd6JsSL5gqomBW7NjdA2u6c6mFWZAsAc84SuJl?__cft__[0]=AZXzKZjw5G16Xq3H6DJGfxbJcxlgXGVpAKFQCHHISyU1iilOgVQQCBKz7_gB5uv9uKk92ghRSNhVeko1PcfBbRG3zFBze4GcoTXSm4_Qct3cBNEQ5eXBvmhSd1TiMZ4kkY_XdsaZ7y320r0Rcp9ZrMjVjq4B_nVEh4nT4nbPv36q0DWau9g2KSEpkmXuXYAI3Y5ip0CZ9fBxg9qd5WeW8bOi&__tn__=%2CO%2CP-R,"دريشة @ هل أنت فنان يبحث ge T‏ ل fabje‏ Are You an Artist — @,‏ Looking for a Stage?‏ ب 9 ٍ 3 11 85 | ليل | بادر بالتسجيل) —— | 7 الموعد النهائي للتقديم: 15 أكتوبر 2023 REGISTER NOW! — رآ‎ Deadline to Apply: 15 October 2023 , d |"
pfbid02JHh6S8E1WU3WhTVxPKrrj3pb1eGHzKqryxv32MccYMTB23H8GicEj3ThaL9ogeERl,Qatar Foundation,21,31,How is Precision Health reshaping the world of healthcare? Join us as we find out in our new series: Decoding Health.,2023-11-12:20:16,h t t p s : / / w w w . f a c e b o o k . c o m /,https://www.facebook.com/qatarfoundation/posts/pfbid02JHh6S8E1WU3WhTVxPKrrj3pb1eGHzKqryxv32MccYMTB23H8GicEj3ThaL9ogeERl?__cft__[0]=AZVLxE5VRjV_biTZJ4t97MEHa7-nzVzuZD9DPqIBRI9MTNt3Nujkt5IAY7iIktY3Fx1kvg1TyEtgiZp5MPe0YxmsvDZLhhRK1Uw6X0-NuhMpGRUBk3hT3U_N3xuSqeQBsMgGHqb1Q-Z7Yvw5CGwjln1FhvmSECtdKVmKz3PWhinqtmiiv5tpbyghAg-HNYo6ROsIvTV5YgSrRAaoMa5Isobi&__tn__=%2CO%2CP-R,1
