id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid0CthNnW46EZhUBzAdAENkncYUaUUvRsUVVXsk7kE9fSqgEHBg3JyV5YmMSxuNtE1Ul,Sky News,1,18,"Millions of people in India have celebrated Diwali, with residents in Uttar Pradesh setting a Guinness World Record for the mass lighting of oil lamps - despite concerns over air pollution",2023-11-12:19:00,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 4 1 5 8 5 5 0 7 9 7 3 2 1 7 2 8 5 3 9 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - d i w a l i - s a r y u - i n d i a _ 6 3 5 7 1 7 1 . j p g % 3 F 2 0 2 3 1 1 1 2 0 9 5 0 4 9 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H C g z S e x x v l E 4 N T - 4 B _ 6 J 7 C y 2 r c C 0 B b N 7 6 X E K M z L 3 0 z T g & o e = 6 5 5 2 7 4 A 1 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid0CthNnW46EZhUBzAdAENkncYUaUUvRsUVVXsk7kE9fSqgEHBg3JyV5YmMSxuNtE1Ul?__cft__[0]=AZVlh6J27xm7CoYGUCaA_7nAVpuBs-hHolp3WPurUBjt7et-xEm5sWhmfa7_5FBOdWFIAToMTJMDqEPBDngKyoB7ond_u_TuDeZnV_RhVplC97IRA2RwY6Dysu5ClXZoQqFwuGtYGbxVyq6SH3NuiELJ_8OLciz_hYB2_XkDKSBCA9DMegr4EhpNb996l6KsjE1xhPkYDW89oKT5uG6nESkZ&__tn__=%2CO%2CP-R,L N
pfbid0i15vNytvffwhzhag2C4AMGR7WuS3t6bt9eyRitYRiA6unNXsBgUSxSTDRuZijTHsl,Sky News,18,60,"Iceland has been forged by the heat of the Earth's core.The molten rock that now sits 800 metres below the fishing village of Grindavik is expected to reach the surface within days, the latest in a long history of eruptions.",2023-11-12:18:42,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 7 4 4 1 9 7 0 8 4 3 3 5 5 3 7 6 1 3 5 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - v o l c a n o - i c e l a n d - r o a d _ 6 3 5 7 2 5 2 . j p g % 3 F 2 0 2 3 1 1 1 2 1 1 4 6 3 1 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F C e J N a 4 1 4 E p m s A K 6 E l f b t i X 1 7 K 6 Y H a j o N F g I B d 9 x 2 E K g & o e = 6 5 5 2 D C 1 F & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid0i15vNytvffwhzhag2C4AMGR7WuS3t6bt9eyRitYRiA6unNXsBgUSxSTDRuZijTHsl?__cft__[0]=AZU42gebw98KseptGlgw6z6p4j-q_Kz8GPbBshklh12qC68aqLhY_wVr-bYR-C-hgwKyZAvdiOHbynoBeXoeb3hKssxVok45EHW-TFHFf5QmoIZGKisQBpHFKgTogbyPMWtBDUkchcVG1ErDD2beWG7CvROwgwDbvRZrIn3vY6F3HyAn6mF63d5hWBk-S5ll5eOgIfkzkcVusjTmaU2ra3wZ&__tn__=%2CO%2CP-R,حا اع وج ال ات 0ه ل s e‏ . LR 2 TR ل‎ e i e 1 ممه سحو T‏ = o ا‎ T = o P ا‎ e B @ = BN e 1 0 e e R . X % T i RN
pfbid0CxX3kMq6tFNDQTArfSwf3i4UiNr2LkTWcK6XHE1KDcvo5oboF1YxpsvKqM7iKGTil,Sky News,8,576,BREAKING: Suella Braverman doubles down on calls for crackdown on pro-Palestine protestsRead more  ,2023-11-12:18:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 2 0 7 4 9 7 5 3 2 4 4 0 2 3 7 8 7 8 7 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - s u e l l a - b r a v e r m a n _ 6 3 5 7 6 2 9 . j p g % 3 F 2 0 2 3 1 1 1 2 1 5 5 2 4 8 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b E N 0 d 3 6 o l C x i 7 0 L S _ p g o 4 t y k S 6 o n T Z H O Z - 5 a O E q e 6 K 4 8 Q & o e = 6 5 5 2 8 8 F 5 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid0CxX3kMq6tFNDQTArfSwf3i4UiNr2LkTWcK6XHE1KDcvo5oboF1YxpsvKqM7iKGTil?__cft__[0]=AZW1378jHnbUKutKhVZ4NJN1RuuDNFBi02k47rsDYjmfG8AnhvBYXJmAiEU_S4NQ_YOKoA0av7DOS_VkfjiJkKcx7OnAci6-v_LTFVi96YfjrIjcoLGiwpa9vfRZSthHfJa_xItzwKk5LGghWBXoxsQTv4R2phkmovI0PS3zlEhRrGzBOBHk9rdQh2E4dGIrYp5SDJqczGdmqIDXW5fbZ_P3&__tn__=%2CO%2CP-R,"gt د‎ , 8 ! 1 & -"
pfbid02CA6z2EopjmXR94t1cFZrZKP8T1W2b1Jf6fbHDQzAzPYkQmrT2kYogkiTHWzb371cl,Sky News,31,161,NASA astronauts accidentally dropped their toolbox during a walk around the International Space Station - and the floating kit could be visible from Earth,2023-11-12:18:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 9 5 4 9 9 6 8 6 1 5 7 9 5 9 0 7 3 3 6 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - s p a c e - t o o l b o x _ 6 3 5 7 2 9 7 . j p g % 3 F 2 0 2 3 1 1 1 2 1 2 4 2 3 8 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F _ V y j 5 C z f p U G _ 5 S 1 9 f J t o X W N E b Q 8 X Q N Z a V w - h r u g S l X w & o e = 6 5 5 2 F 9 4 5 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid02CA6z2EopjmXR94t1cFZrZKP8T1W2b1Jf6fbHDQzAzPYkQmrT2kYogkiTHWzb371cl?__cft__[0]=AZU3uQ_JUSa86vD9yNMnkHgahBims056H5TbTuo4N8hDUlir6WWmDSjbswD4TiRb9VL883NHNpx3MFDodbl_mtT0AJz4dWHAEASuyzYVmD7a50QpjEM-aFmMX-tjYMzZt7HFhb9CwiRlLihruK1wnYt20IB_GzgpftfU8WpdbCfkf9Sj43Le4yBTKXC8foa-ozD6mnswXNKv4BJR6mcbmO4A&__tn__=%2CO%2CP-R,"T Ty, PN y- o ع‎ : راد‎ g g b o b v ) + : > َ,” ""0 ل"
pfbid037jgFj9nqVc3nf7Smtfim6CMNw3LU85LdVRjECgjyGS1RXTXpgUcYgY3Z3pESDnXKl,Sky News,0,0,BREAKING: Seven charged with variety of offences following Saturday's London demonstrations,2023-11-12:17:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 4 3 4 1 3 1 1 7 3 1 0 6 5 2 7 8 1 2 2 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 0 8 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - b r e a k i n g - b r e a k i n g - n e w s _ 6 2 6 4 8 7 2 . j p g % 3 F 2 0 2 3 1 0 2 4 1 6 3 8 4 7 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F h - j n t 0 Q L l o Z P M N p 9 - w E J Q N 9 F 1 E t D a 4 K n O p Z J E h h 6 F Z w & o e = 6 5 5 2 C 6 6 C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid037jgFj9nqVc3nf7Smtfim6CMNw3LU85LdVRjECgjyGS1RXTXpgUcYgY3Z3pESDnXKl?__cft__[0]=AZUDKsO1iuT_u6p25Rm9Z_Fq5P8OnC7evpwBRgqNlL0F7GIX8g9xYNHbGUQ1N9BE0GkWXMiWijz_tfZibiFLWyvjKu8LpttG9jSsIGXzXQuLNE_Aaky2lSfMjzJmQ3So2w7zP5GgAtQBbhLg-56Ombv4N3h5GRkhp4a7GcJ1AUw2N5DJpzvZ30iHWZVYys3ldTP12J8YPAd07yB__mtFPtrX&__tn__=%2CO%2CP-R,SREAKING NEWS
pfbid02GSmvfiLedetynGLMVuZn2W6X855yU3B2KKKACngzYEaLfFF5bGovoP3axPMm46tVl,Sky News,0,16,Recognise these men? Four sought by police after racially aggravated altercation at train station,2023-11-12:16:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 2 5 9 3 2 1 0 3 3 5 6 5 4 3 8 7 4 7 2 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - b r i t i s h - t r a n s p o r t - p o l i c e _ 6 3 5 7 4 3 5 . j p g % 3 F 2 0 2 3 1 1 1 2 1 4 4 2 0 9 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H q 4 c W U D L i 3 M u k B 8 a 1 g d I 1 a F z T L o M K v Q 2 O 3 Q y - y G o D 1 x w & o e = 6 5 5 2 B 6 B 6 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid02GSmvfiLedetynGLMVuZn2W6X855yU3B2KKKACngzYEaLfFF5bGovoP3axPMm46tVl?__cft__[0]=AZU-YS4G1ufMhMv8hGq-LGsZSwdPGKFuyrC0t5qnki4qdnC63r3A-tVUwWZwc1ySI3TT5sKKKZVRxkRF0Nv_8dNIK4gA1zCe9xk3alJymKOLv02_5S346MZQ8hizvF03CCSPpzRhmDTkhCnNtBPi5kLQ11ZDr4yY1SbZnCGz5Wfem9D6wTeH7jWybdLODUYf4k5Hk_IJIGOcrF8ZvHe-IQOe&__tn__=%2CO%2CP-R,
pfbid0cS9hzTWFdqn1Yd2HgmDyYeJPF93QMLhXJN5j3Yj5A5RvTbcphQSFW4VGnUKDynNZl,Sky News,28,257,"TV chef Gordon Ramsay and his 49-year-old cookery book author wife Tana announced the birth of their son on Saturday, with the star calling the newborn's arrival an ""amazing birthday present""",2023-11-12:16:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 3 6 3 1 2 6 2 9 8 7 0 0 9 3 9 7 7 8 8 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - r a m s a y - t a n a _ 6 3 5 7 1 0 1 . p n g % 3 F 2 0 2 3 1 1 1 2 0 8 1 2 4 5 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b H d X n Z H P r D r H 7 K t B w T i 4 k U t v U U k I 8 Q 9 y 7 K w n O Q m O 9 M 7 i w & o e = 6 5 5 2 E 3 F 1 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid0cS9hzTWFdqn1Yd2HgmDyYeJPF93QMLhXJN5j3Yj5A5RvTbcphQSFW4VGnUKDynNZl?__cft__[0]=AZVhQSg5gJVZMuRepctJ5NnPqcoRgW4jQHm1lYIZZ2NYE57qmIc7IvrPIf8VTo0OkrPw_jlCO3mn_Dzqo2ly2jgqwJaylnD2T2iFqVx3DdCdcbB_SF2Zam_4m-23vgD0Cz_J48G1WVAHc1CL9VvcWrBTK3nl9YLQu2NJsz94wosNHQU3d3KBDzTDdcfmG9zUDQODzKG3sTUESicxFM7AcAUH&__tn__=%2CO%2CP-R,"- N I . — تر‎ N - . 1 Buic < D RN g\ 1 RN ""4 “fnp 8 i E et el p e By"
pfbid02YUorddfNdaiYbteCvACiP1MhSAHs2Et6uMn3XWnxQre4DwVk7EVZ5hCVGxYjWYSml,Sky News,29,52,Storm Debi sparks UK and Ireland weather warnings amid flooding fears,2023-11-12:16:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 6 2 8 6 0 8 3 4 8 1 8 2 4 7 4 9 2 7 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - n o r t h e r n - i r e l a n d - s t o r m _ 6 3 4 6 0 5 4 . j p g % 3 F 2 0 2 3 1 1 0 2 2 3 0 0 4 2 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G w t C s g 7 Z T o R L d e 7 K a l U 6 L l O p V U i X y N U K v G C Z h t P 1 1 N q w & o e = 6 5 5 2 7 C 1 1 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid02YUorddfNdaiYbteCvACiP1MhSAHs2Et6uMn3XWnxQre4DwVk7EVZ5hCVGxYjWYSml?__cft__[0]=AZXCJ9et2sgW_XSiUw_CzF6wsvu8QK6XdkJ8ZoXhD5hzwa5YbYM7K0zkzQbC1KcJJhCSv39Q24HDOkkXPI-xKErIUym3PdceqfnLA5tEWTgXIJ3KWJLk1kzAFf23Cp-Xuq-ZnVhKhZXJmWFPPIurA9_MJaGp6S5cz5YLRI5L8ysaZPfROmmkgPooZUAkmYSXKJizO-FJk7Ql2q3xoHEHRUDf&__tn__=%2CO%2CP-R,— W | et - =Bl e
pfbid02oDhsE7j9uSFJjX9KLgv4qMV9DRiwTfhXq8vdnk2LdeAy4tfztNMGn3fFRiRmtR1el,Sky News,3,673,Is Suella Braverman digging her own political grave?,2023-11-12:16:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 4 0 8 3 2 1 1 4 9 0 4 0 5 4 6 8 5 3 7 ? u r l = h t t p s % 3 A % 2 F % 2 F e 3 . 3 6 5 d m . c o m % 2 F 2 3 % 2 F 1 1 % 2 F 1 6 0 0 x 9 0 0 % 2 F s k y n e w s - s u e l l a - b r a v e r m a n _ 6 3 5 7 2 8 0 . j p g % 3 F 2 0 2 3 1 1 1 2 1 2 2 9 4 2 & f b _ o b o = 1 & u t l d = 3 6 5 d m . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b G D L j 2 S V s 5 v P 1 E G L b w K l n U c d - B w V C y V n A 5 k L e 1 5 n I k O z A & o e = 6 5 5 2 B 2 4 C & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid02oDhsE7j9uSFJjX9KLgv4qMV9DRiwTfhXq8vdnk2LdeAy4tfztNMGn3fFRiRmtR1el?__cft__[0]=AZVuRGf4fZgzV0fqrz6QUN7oQm1wBW73l0wmSg5cW1tEkL0Woul8EKhjwwT0bAx7gxHmMXGqA8sPsB3GNREeTOOgVunBfdJF8VCN5E3czXSq5W4w1SizU0gqc6oQu9aQxvLtYsNlmqJZqADlyk0l-Z1K56YDdmxTSfu25b41HPaZrtTtVLSMOe3b8tGjpPy7YjdHGXTA8KEDhaLrNyghK-uw&__tn__=%2CO%2CP-R,َِ يوا ا ةا P‏ ا 7 : 5 م P W‏ ‘ 4
pfbid0f53ZvC8jMe4rEVwLSMZs8MkPuAiDbwiciGudZdbbxu8RtuipFR3U8M1XBWwVqu2Cl,Sky News,2,16,"US actors' union SAG-AFTRA has agreed a ""tentative deal"" with Hollywood studio bosses - bringing a 118-day strike to an end.On this week's Backstage podcast, we hear from the union's chief negotiator Duncan Crabtree-Ireland. Plus Hunger Game stars Rachel Zegler, Tom Blyth, Hunter Shafer and Francis Lawrences. Listen here  ",2023-11-12:15:43,h t t p s : / / e x t e r n a l . f t u n 1 5 - 1 . f n a . f b c d n . n e t / e m g 1 / v / t 1 3 / 1 6 8 0 6 5 8 2 8 6 3 0 5 2 7 4 2 9 7 ? u r l = h t t p s % 3 A % 2 F % 2 F p o d f o l l o w . s 3 . e u - w e s t - 1 . a m a z o n a w s . c o m % 2 F d 0 e f b f c b a c 8 2 3 0 e b 9 b 5 f a 9 a d f 3 9 7 1 2 9 e f 0 d 9 6 f 5 b . j p g & f b _ o b o = 1 & u t l d = a m a z o n a w s . c o m & s t p = c 0 . 5 0 0 0 x 0 . 5 0 0 0 f _ d s t - j p g _ f l f f f f f f _ p 5 0 0 x 2 6 1 _ q 7 5 & c c b = 1 3 - 1 & o h = 0 6 _ A b F _ H R l B T z H F 7 Q 6 z f y 5 1 P 7 E A 2 M X o l R t - B h _ O b F l V h y P i 8 w & o e = 6 5 5 2 A E 2 3 & _ n c _ s i d = d b a d 3 9,https://www.facebook.com/skynews/posts/pfbid0f53ZvC8jMe4rEVwLSMZs8MkPuAiDbwiciGudZdbbxu8RtuipFR3U8M1XBWwVqu2Cl?__cft__[0]=AZVmSVD-vH2qCTJOQuqvzm40GsFl9EVjDXc9qwGdXUE_A4L3DmZpzf16v1N0UnK6__4Z7bh4J4ghjrmMZ27PLHi6QGkBAjutQbVmE6uP7ChZ-yeGu5kuRYHWWvQJAnxI45DWHnczNKvK03SVlR8MKq5u9anCi005sph3JwQPng_rhzin5m1KszB4WirFKylwqlER_wbdDkps-_al0DNBJkVD&__tn__=%2CO%2CP-R,i - 4 ] AGE it ١ 1 upscribe — -
